town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CHOA CHU KANG,1990-01,mid,43650.0,30000.0,57300.0,36825.0,50475.0,611.0427591770875,447.76119402985074,774.3243243243244,529.4019766034692,692.683541750706
CHOA CHU KANG,1990-02,mid,42200.0,42200.0,42200.0,42200.0,42200.0,570.2702702702703,570.2702702702703,570.2702702702703,570.2702702702703,570.2702702702703
CHOA CHU KANG,1990-03,mid,36000.0,30000.0,42000.0,33000.0,39000.0,516.1355385235983,405.4054054054054,626.8656716417911,460.77047196450184,571.5006050826946
CHOA CHU KANG,1990-04,mid,42000.0,36000.0,42000.0,39000.0,42000.0,567.5675675675676,529.4117647058823,626.8656716417911,548.489666136725,597.2166196046794
CHOA CHU KANG,1990-06,mid,118000.0,118000.0,118000.0,118000.0,118000.0,1134.6153846153845,1134.6153846153845,1134.6153846153845,1134.6153846153845,1134.6153846153845
CHOA CHU KANG,1990-07,mid,57300.0,42000.0,64000.0,57300.0,64000.0,695.6521739130435,626.8656716417911,774.3243243243244,688.1720430107526,774.3243243243244
CHOA CHU KANG,1990-10,mid,35500.0,35500.0,35500.0,35500.0,35500.0,522.0588235294117,522.0588235294117,522.0588235294117,522.0588235294117,522.0588235294117
CHOA CHU KANG,1990-11,mid,87000.0,64000.0,110000.0,75500.0,98500.0,785.417197181903,646.4646464646464,924.3697478991596,715.9409218232747,854.8934725405313
CHOA CHU KANG,1990-12,mid,70000.0,70000.0,70000.0,70000.0,70000.0,736.8421052631579,736.8421052631579,736.8421052631579,736.8421052631579,736.8421052631579
CHOA CHU KANG,1991-01,mid,80000.0,62000.0,98000.0,71000.0,89000.0,724.8960190136661,626.2626262626262,823.5294117647059,675.5793226381461,774.212715389186
CHOA CHU KANG,1991-02,mid,31000.0,31000.0,31000.0,31000.0,31000.0,462.6865671641791,462.6865671641791,462.6865671641791,462.6865671641791,462.6865671641791
CHOA CHU KANG,1991-03,mid,51500.0,51000.0,52000.0,51250.0,51750.0,585.4110727528449,525.2525252525253,645.5696202531645,555.3317990026851,615.4903465030047
CHOA CHU KANG,1991-04,mid,50000.0,45000.0,55000.0,47500.0,52500.0,675.6756756756756,608.1081081081081,743.2432432432432,641.8918918918919,709.4594594594595
CHOA CHU KANG,1991-07,mid,82500.0,57000.0,108000.0,69750.0,95250.0,879.9902629016553,721.5189873417721,1038.4615384615386,800.7546251217137,959.225900681597
CHOA CHU KANG,1991-08,mid,57100.0,45000.0,65000.0,51050.0,61050.0,714.2857142857143,661.7647058823529,771.6216216216217,688.0252100840337,742.953667953668
CHOA CHU KANG,1991-09,mid,57250.0,42000.0,65000.0,53250.0,59375.0,738.3960047003525,617.6470588235294,777.027027027027,684.3030690537084,771.9594594594595
CHOA CHU KANG,1991-12,mid,133000.0,133000.0,133000.0,133000.0,133000.0,1117.6470588235295,1117.6470588235295,1117.6470588235295,1117.6470588235295,1117.6470588235295
CHOA CHU KANG,1992-01,mid,63500.0,34000.0,120000.0,53750.0,74000.0,763.5135135135135,459.4594594594595,991.7355371900826,634.8012564938988,799.3393009377664
CHOA CHU KANG,1992-02,mid,85000.0,49000.0,130000.0,65000.0,98000.0,823.5294117647059,662.1621621621622,984.8484848484849,706.5217391304348,934.065934065934
CHOA CHU KANG,1992-03,mid,41500.0,38000.0,55000.0,40250.0,45250.0,592.8446005267779,554.0540540540541,696.2025316455696,557.6311605723371,644.1998866427357
CHOA CHU KANG,1992-04,mid,60000.0,57000.0,63000.0,58500.0,61500.0,703.3169533169533,636.3636363636364,770.2702702702703,669.8402948402949,736.7936117936118
CHOA CHU KANG,1992-05,mid,45000.0,45000.0,45000.0,45000.0,45000.0,608.1081081081081,608.1081081081081,608.1081081081081,608.1081081081081,608.1081081081081
CHOA CHU KANG,1992-06,mid,66800.0,50600.0,83000.0,58700.0,74900.0,759.6235418875929,617.0731707317074,902.1739130434783,688.3483563096501,830.8987274655356
CHOA CHU KANG,1992-07,mid,49500.0,42000.0,57000.0,45750.0,53250.0,698.5679709560306,626.8656716417911,770.2702702702703,662.7168212989109,734.4191206131505
CHOA CHU KANG,1992-09,mid,58500.0,57000.0,60000.0,57750.0,59250.0,790.5405405405406,770.2702702702703,810.8108108108108,780.4054054054054,800.6756756756757
CHOA CHU KANG,1992-10,mid,50600.0,36500.0,64000.0,43550.0,57300.0,617.0731707317074,493.2432432432432,703.2967032967033,555.1582069874753,660.1849370142054
CHOA CHU KANG,1992-12,mid,93500.0,42000.0,103000.0,79500.0,97000.0,883.3067517278043,626.8656716417911,1131.868131868132,761.9795758051846,1002.6640026640027
CHOA CHU KANG,1993-01,mid,64000.0,55000.0,75000.0,59500.0,69500.0,743.2432432432432,695.6521739130435,815.2173913043479,719.4477085781434,779.2303172737955
CHOA CHU KANG,1993-02,mid,100000.0,100000.0,100000.0,100000.0,100000.0,1098.901098901099,1098.901098901099,1098.901098901099,1098.901098901099,1098.901098901099
CHOA CHU KANG,1993-03,mid,93500.0,53000.0,170000.0,73250.0,131750.0,1016.304347826087,779.4117647058823,1393.4426229508197,897.8580562659847,1204.8734853884534
CHOA CHU KANG,1993-04,mid,69000.0,48000.0,90000.0,58500.0,79500.0,725.375234521576,585.3658536585366,865.3846153846154,655.3705440900562,795.3799249530957
CHOA CHU KANG,1993-06,mid,156500.0,140000.0,173000.0,148250.0,164750.0,1334.9146807884672,1310.6060606060605,1359.2233009708739,1322.7603706972639,1347.0689908796705
CHOA CHU KANG,1993-07,mid,185000.0,185000.0,185000.0,185000.0,185000.0,1401.5151515151515,1401.5151515151515,1401.5151515151515,1401.5151515151515,1401.5151515151515
CHOA CHU KANG,1993-08,mid,100000.0,100000.0,100000.0,100000.0,100000.0,1086.9565217391305,1086.9565217391305,1086.9565217391305,1086.9565217391305,1086.9565217391305
CHOA CHU KANG,1993-09,mid,146000.0,67000.0,327000.0,126000.0,175000.0,1384.6153846153845,1000.0,2224.4897959183672,1327.2727272727273,1699.0291262135922
CHOA CHU KANG,1993-10,mid,87500.0,75000.0,100000.0,81250.0,93750.0,1050.2350176263221,1013.5135135135135,1086.9565217391305,1031.8742655699177,1068.5957696827263
CHOA CHU KANG,1993-11,mid,139000.0,92000.0,185000.0,115500.0,162000.0,1336.5384615384614,1121.9512195121952,1796.116504854369,1229.2448405253283,1566.3274831964152
CHOA CHU KANG,1993-12,mid,152500.0,60000.0,245000.0,96000.0,172250.0,1459.2874152775235,895.5223880597015,2024.793388429752,1237.2119982611216,1661.682542590218
CHOA CHU KANG,1994-01,mid,140000.0,75000.0,217000.0,88000.0,167000.0,1411.764705882353,1095.890410958904,1778.688524590164,1205.4794520547946,1601.9417475728155
CHOA CHU KANG,1994-02,mid,169000.0,85500.0,315000.0,154125.0,185250.0,1546.6202601209013,1155.4054054054054,2157.5342465753424,1387.7715205148834,1743.4399712437096
CHOA CHU KANG,1994-03,mid,161500.0,91000.0,315000.0,121250.0,231000.0,1567.024886877828,1229.7297297297298,2157.5342465753424,1380.728554641598,1899.6482313855777
CHOA CHU KANG,1994-04,mid,190000.0,95000.0,360000.0,170000.0,220000.0,1818.1818181818182,1283.7837837837837,2465.753424657534,1634.6153846153845,1826.923076923077
CHOA CHU KANG,1994-05,mid,228000.0,80000.0,380000.0,183750.0,250250.0,1892.2027827524453,1081.081081081081,2657.3426573426573,1687.0271122320303,2064.2358758975747
CHOA CHU KANG,1994-06,mid,211500.0,76000.0,275000.0,128750.0,264850.0,1791.7113893858082,1027.027027027027,2254.098360655738,1409.5322423058133,2165.9836065573772
CHOA CHU KANG,1994-07,mid,230000.0,80000.0,400000.0,146000.0,257000.0,1885.2459016393443,1194.0298507462687,2739.72602739726,1554.3478260869565,2106.55737704918
CHOA CHU KANG,1994-08,mid,177500.0,80000.0,260000.0,147000.0,220750.0,1727.0311655557557,1176.4705882352941,2131.1475409836066,1523.3516483516482,1921.894703656999
CHOA CHU KANG,1994-09,mid,137500.0,85000.0,400000.0,91250.0,288750.0,1516.0695468914646,1216.2162162162163,2684.5637583892617,1276.8350030668576,2149.2416034669554
CHOA CHU KANG,1994-10,mid,178000.0,160000.0,233000.0,160750.0,204500.0,1701.3647188129694,1538.4615384615386,1909.8360655737704,1556.9454817027633,1857.1759975255181
CHOA CHU KANG,1994-11,mid,120000.0,94000.0,280000.0,104500.0,181750.0,1479.4520547945206,1287.6712328767123,2314.0495867768595,1336.1998361998362,1802.40630545986
CHOA CHU KANG,1994-12,mid,167000.0,93000.0,268000.0,158000.0,195000.0,1698.9247311827958,1273.972602739726,2214.876033057851,1575.4716981132076,1839.622641509434
CHOA CHU KANG,1995-01,mid,178500.0,150000.0,285000.0,154750.0,220250.0,1742.4450549450548,1525.2525252525252,2336.065573770492,1620.825776165582,1884.7544500953593
CHOA CHU KANG,1995-02,mid,165500.0,101000.0,283500.0,134500.0,186250.0,1612.237277285821,1134.8314606741574,2323.7704918032787,1495.2630905133785,1744.4753711201079
CHOA CHU KANG,1995-03,mid,128000.0,75000.0,435000.0,93500.0,198000.0,1480.8622078968574,1054.054054054054,2979.4520547945203,1381.7924938414722,1942.7361629196494
CHOA CHU KANG,1995-04,mid,217000.0,200000.0,409000.0,206000.0,271750.0,2086.5384615384614,1886.7924528301887,2801.3698630136987,1971.698113207547,2330.1501580611166
CHOA CHU KANG,1995-05,mid,215000.0,113000.0,285000.0,191000.0,280000.0,2067.3076923076924,1547.945205479452,2355.371900826446,1823.2323232323233,2295.0819672131147
CHOA CHU KANG,1995-06,mid,203500.0,100000.0,302000.0,121500.0,235500.0,1928.6608782768408,1415.0943396226414,2495.8677685950415,1523.972602739726,2122.6712149042246
CHOA CHU KANG,1995-07,mid,238000.0,108000.0,406000.0,213750.0,281625.0,2186.818275365302,1459.4594594594594,2800.0,2070.3416728902166,2290.72631913541
CHOA CHU KANG,1995-08,mid,296000.0,110800.0,445000.0,236000.0,325000.0,2380.1652892561983,1497.2972972972973,3047.945205479452,2223.339160839161,2568.489382770382
CHOA CHU KANG,1995-09,mid,219000.0,115000.0,430000.0,210000.0,310000.0,2126.21359223301,1575.3424657534247,2945.205479452055,2019.2307692307693,2540.9836065573772
