town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CHOA CHU KANG,1990-03,very low,56500.0,30000.0,71500.0,49500.0,60625.0,763.5135135135135,405.4054054054054,785.7142857142857,668.918918918919,774.1312741312742
CHOA CHU KANG,1990-04,very low,62000.0,62000.0,62000.0,62000.0,62000.0,626.2626262626262,626.2626262626262,626.2626262626262,626.2626262626262,626.2626262626262
CHOA CHU KANG,1990-08,very low,57300.0,57300.0,57300.0,57300.0,57300.0,753.9473684210526,753.9473684210526,753.9473684210526,753.9473684210526,753.9473684210526
CHOA CHU KANG,1990-09,very low,42000.0,42000.0,42000.0,42000.0,42000.0,626.8656716417911,626.8656716417911,626.8656716417911,626.8656716417911,626.8656716417911
CHOA CHU KANG,1990-11,very low,52250.0,47500.0,57000.0,49875.0,54625.0,706.081081081081,641.8918918918919,770.2702702702703,673.9864864864865,738.1756756756757
CHOA CHU KANG,1991-01,very low,63000.0,40000.0,76000.0,42000.0,64200.0,648.4848484848485,597.0149253731344,826.0869565217391,626.8656716417911,684.7826086956521
CHOA CHU KANG,1991-02,very low,49500.0,49500.0,49500.0,49500.0,49500.0,603.6585365853658,603.6585365853658,603.6585365853658,603.6585365853658,603.6585365853658
CHOA CHU KANG,1991-04,very low,39000.0,36000.0,42000.0,37500.0,40500.0,582.0895522388059,537.3134328358209,626.8656716417911,559.7014925373135,604.4776119402985
CHOA CHU KANG,1991-07,very low,49500.0,42000.0,57000.0,45750.0,53250.0,698.5679709560306,626.8656716417911,770.2702702702703,662.7168212989109,734.4191206131505
CHOA CHU KANG,1991-10,very low,40000.0,30000.0,50000.0,35000.0,45000.0,492.3273657289003,441.1764705882353,543.4782608695652,466.7519181585678,517.9028132992328
CHOA CHU KANG,1991-11,very low,44000.0,34000.0,54000.0,39000.0,49000.0,614.8648648648648,500.0,729.7297297297297,557.4324324324324,672.2972972972973
CHOA CHU KANG,1992-01,very low,57000.0,57000.0,57000.0,57000.0,57000.0,770.2702702702703,770.2702702702703,770.2702702702703,770.2702702702703,770.2702702702703
CHOA CHU KANG,1992-03,very low,42000.0,42000.0,42000.0,42000.0,42000.0,626.8656716417911,626.8656716417911,626.8656716417911,626.8656716417911,626.8656716417911
CHOA CHU KANG,1992-04,very low,72500.0,40000.0,105000.0,56250.0,88750.0,739.6839332748025,597.0149253731344,882.3529411764706,668.3494293239685,811.0184372256365
