town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CHOA CHU KANG,1990-01,high,3 ROOM,57150.0,57000.0,57300.0,57075.0,57225.0,772.2972972972973,770.2702702702703,774.3243243243244,771.2837837837839,773.3108108108108
CHOA CHU KANG,1990-01,high,4 ROOM,65000.0,65000.0,65000.0,65000.0,65000.0,656.5656565656566,656.5656565656566,656.5656565656566,656.5656565656566,656.5656565656566
CHOA CHU KANG,1990-01,low,3 ROOM,38600.0,35000.0,42200.0,36800.0,40400.0,576.1194029850747,522.3880597014926,629.8507462686567,549.2537313432836,602.9850746268658
CHOA CHU KANG,1990-01,low,5 ROOM,90000.0,90000.0,90000.0,90000.0,90000.0,756.3025210084033,756.3025210084033,756.3025210084033,756.3025210084033,756.3025210084033
CHOA CHU KANG,1990-01,mid,3 ROOM,43650.0,30000.0,57300.0,36825.0,50475.0,611.0427591770875,447.76119402985074,774.3243243243244,529.4019766034692,692.683541750706
CHOA CHU KANG,1990-02,high,3 ROOM,55000.0,53000.0,57300.0,54000.0,56150.0,743.2432432432432,716.2162162162163,774.3243243243244,729.7297297297298,758.7837837837837
CHOA CHU KANG,1990-02,high,5 ROOM,99000.0,98000.0,100000.0,98500.0,99500.0,831.9327731092437,823.5294117647059,840.3361344537815,827.7310924369748,836.1344537815125
CHOA CHU KANG,1990-02,low,3 ROOM,44550.0,42200.0,46900.0,43375.0,45725.0,659.778314310799,629.8507462686567,689.7058823529412,644.8145302897278,674.7420983318701
CHOA CHU KANG,1990-02,low,4 ROOM,63000.0,63000.0,63000.0,63000.0,63000.0,684.7826086956521,684.7826086956521,684.7826086956521,684.7826086956521,684.7826086956521
CHOA CHU KANG,1990-02,mid,3 ROOM,42200.0,42200.0,42200.0,42200.0,42200.0,570.2702702702703,570.2702702702703,570.2702702702703,570.2702702702703,570.2702702702703
CHOA CHU KANG,1990-03,high,3 ROOM,40000.0,34000.0,42200.0,37000.0,41100.0,570.2702702702703,500.0,597.0149253731344,535.1351351351352,583.6425978217023
