town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CLEMENTI,1990-01,3 ROOM,01 TO 03,43250.0,34000.0,47000.0,40375.0,46500.0,636.0294117647059,507.46268656716416,701.4925373134329,600.3347234416154,683.8235294117646
CLEMENTI,1990-01,3 ROOM,04 TO 06,49500.0,38500.0,57000.0,43500.0,55750.0,695.1219512195122,557.9710144927536,820.8955223880597,648.0099502487562,701.4925373134329
CLEMENTI,1990-01,3 ROOM,07 TO 09,46500.0,42000.0,57000.0,45275.0,47150.0,686.5671641791045,626.8656716417911,704.4776119402985,675.7232356734844,701.4925373134329
CLEMENTI,1990-01,3 ROOM,10 TO 12,47200.0,34000.0,57000.0,47000.0,52250.0,701.4925373134329,507.46268656716416,783.5820895522388,662.7521830773862,704.4776119402985
CLEMENTI,1990-01,3 ROOM,13 TO 15,41500.0,36000.0,47000.0,38750.0,44250.0,619.4029850746269,537.3134328358209,701.4925373134329,578.3582089552239,660.4477611940299
CLEMENTI,1990-01,4 ROOM,04 TO 06,82000.0,63000.0,98000.0,70000.0,94000.0,788.4615384615385,684.7826086956521,1021.7391304347826,760.8695652173913,933.3333333333334
CLEMENTI,1990-01,4 ROOM,07 TO 09,83000.0,80000.0,86000.0,81500.0,84500.0,897.4988312295466,860.2150537634409,934.7826086956521,878.8569424964937,916.1407199625993
CLEMENTI,1990-01,4 ROOM,10 TO 12,73500.0,70700.0,85000.0,72000.0,75375.0,797.2183263207106,742.2680412371134,876.2886597938144,778.3444816053511,821.08885737918
CLEMENTI,1990-01,4 ROOM,13 TO 15,91500.0,91500.0,91500.0,91500.0,91500.0,943.2989690721649,943.2989690721649,943.2989690721649,943.2989690721649,943.2989690721649
CLEMENTI,1990-01,5 ROOM,01 TO 03,121500.0,110000.0,133000.0,115750.0,127250.0,985.8069211936743,924.3697478991596,1047.244094488189,955.088334546417,1016.5255078409316
CLEMENTI,1990-01,5 ROOM,04 TO 06,141000.0,141000.0,141000.0,141000.0,141000.0,1194.915254237288,1194.915254237288,1194.915254237288,1194.915254237288,1194.915254237288
CLEMENTI,1990-01,5 ROOM,10 TO 12,152000.0,130000.0,175000.0,141000.0,163500.0,1216.0,1101.6949152542372,1446.280991735537,1158.8474576271187,1331.1404958677685
CLEMENTI,1990-01,5 ROOM,13 TO 15,110000.0,110000.0,110000.0,110000.0,110000.0,924.3697478991596,924.3697478991596,924.3697478991596,924.3697478991596,924.3697478991596
CLEMENTI,1990-01,5 ROOM,16 TO 18,120000.0,120000.0,120000.0,120000.0,120000.0,1016.9491525423729,1016.9491525423729,1016.9491525423729,1016.9491525423729,1016.9491525423729
CLEMENTI,1990-01,5 ROOM,19 TO 21,130000.0,130000.0,130000.0,130000.0,130000.0,1101.6949152542372,1101.6949152542372,1101.6949152542372,1101.6949152542372,1101.6949152542372
CLEMENTI,1990-01,5 ROOM,22 TO 24,141000.0,140000.0,150000.0,140500.0,145500.0,1120.0,1094.890510948905,1128.0,1107.4452554744526,1124.0
CLEMENTI,1990-01,EXECUTIVE,01 TO 03,214000.0,214000.0,214000.0,214000.0,214000.0,1465.7534246575342,1465.7534246575342,1465.7534246575342,1465.7534246575342,1465.7534246575342
CLEMENTI,1990-01,EXECUTIVE,04 TO 06,180000.0,180000.0,180000.0,180000.0,180000.0,1192.0529801324503,1192.0529801324503,1192.0529801324503,1192.0529801324503,1192.0529801324503
CLEMENTI,1990-01,EXECUTIVE,10 TO 12,221000.0,207000.0,235000.0,214000.0,228000.0,1434.2890530445306,1269.9386503067485,1598.639455782313,1352.1138516756396,1516.464254413422
CLEMENTI,1990-01,EXECUTIVE,16 TO 18,225000.0,225000.0,225000.0,225000.0,225000.0,1530.6122448979593,1530.6122448979593,1530.6122448979593,1530.6122448979593,1530.6122448979593
CLEMENTI,1990-02,3 ROOM,01 TO 03,47000.0,46000.0,64300.0,47000.0,49200.0,701.4925373134329,676.4705882352941,868.918918918919,701.4925373134329,734.3283582089553
CLEMENTI,1990-02,3 ROOM,04 TO 06,46500.0,40000.0,56000.0,42500.0,49750.0,682.9268292682926,588.2352941176471,772.0588235294117,634.3283582089553,697.7611940298507
CLEMENTI,1990-02,3 ROOM,07 TO 09,47000.0,36250.0,70000.0,40500.0,47375.0,695.1219512195122,541.044776119403,853.6585365853658,602.1729587357331,701.4925373134329
CLEMENTI,1990-02,3 ROOM,10 TO 12,47100.0,40000.0,67000.0,47000.0,54750.0,701.4925373134329,588.2352941176471,817.0731707317074,683.0164992826399,714.9253731343283
CLEMENTI,1990-02,3 ROOM,13 TO 15,44000.0,44000.0,44000.0,44000.0,44000.0,656.7164179104477,656.7164179104477,656.7164179104477,656.7164179104477,656.7164179104477
CLEMENTI,1990-02,4 ROOM,01 TO 03,82000.0,75000.0,89000.0,78500.0,85500.0,891.304347826087,815.2173913043479,967.3913043478261,853.2608695652175,929.3478260869565
CLEMENTI,1990-02,4 ROOM,04 TO 06,88000.0,70000.0,112000.0,81000.0,96000.0,956.0439560439561,760.8695652173913,1046.728971962617,880.7269752220664,980.7692307692307
CLEMENTI,1990-02,4 ROOM,07 TO 09,82500.0,71000.0,94000.0,76750.0,88250.0,906.5934065934066,780.2197802197802,1032.967032967033,843.4065934065934,969.7802197802198
CLEMENTI,1990-02,4 ROOM,10 TO 12,92250.0,90000.0,95000.0,91125.0,93500.0,991.7881032011467,913.4615384615385,1010.8695652173913,970.1236263736264,998.6413043478261
CLEMENTI,1990-02,4 ROOM,13 TO 15,105500.0,86000.0,125000.0,95750.0,115250.0,1039.73704866562,877.5510204081633,1201.923076923077,958.6440345368917,1120.8300627943486
CLEMENTI,1990-02,5 ROOM,01 TO 03,185000.0,185000.0,185000.0,185000.0,185000.0,1302.8169014084508,1302.8169014084508,1302.8169014084508,1302.8169014084508,1302.8169014084508
CLEMENTI,1990-02,5 ROOM,07 TO 09,135000.0,120000.0,150000.0,127500.0,142500.0,1099.8347107438017,960.0,1239.6694214876034,1029.9173553719008,1169.7520661157025
CLEMENTI,1990-02,5 ROOM,10 TO 12,144500.0,122000.0,167000.0,133250.0,155750.0,1182.9940200228448,1008.2644628099174,1357.7235772357724,1095.629241416381,1270.3587986293087
CLEMENTI,1990-02,5 ROOM,13 TO 15,141500.0,130000.0,153000.0,135750.0,147250.0,1117.3096976016684,948.9051094890511,1285.7142857142858,1033.1074035453598,1201.5119916579772
CLEMENTI,1990-02,5 ROOM,25 TO 27,118000.0,118000.0,118000.0,118000.0,118000.0,991.5966386554621,991.5966386554621,991.5966386554621,991.5966386554621,991.5966386554621
CLEMENTI,1990-02,EXECUTIVE,01 TO 03,182000.0,182000.0,182000.0,182000.0,182000.0,1181.8181818181818,1181.8181818181818,1181.8181818181818,1181.8181818181818,1181.8181818181818
CLEMENTI,1990-02,EXECUTIVE,10 TO 12,180000.0,180000.0,180000.0,180000.0,180000.0,1216.2162162162163,1216.2162162162163,1216.2162162162163,1216.2162162162163,1216.2162162162163
CLEMENTI,1990-03,3 ROOM,01 TO 03,47000.0,47000.0,50000.0,47000.0,47000.0,701.4925373134329,691.1764705882352,746.2686567164179,691.1764705882352,701.4925373134329
CLEMENTI,1990-03,3 ROOM,04 TO 06,47500.0,38000.0,57000.0,47000.0,53250.0,698.3072442664725,567.1641791044776,764.7058823529412,688.0081300813008,701.4925373134329
CLEMENTI,1990-03,3 ROOM,07 TO 09,46250.0,36000.0,55000.0,41625.0,47000.0,682.7897549290584,493.9024390243902,746.2686567164179,621.2686567164179,699.6268656716418
CLEMENTI,1990-03,3 ROOM,10 TO 12,48100.0,47000.0,56700.0,47000.0,50575.0,702.9850746268658,691.4634146341464,769.1176470588235,701.4925373134329,735.0746268656716
CLEMENTI,1990-03,3 ROOM,13 TO 15,47000.0,47000.0,47000.0,47000.0,47000.0,701.4925373134329,701.4925373134329,701.4925373134329,701.4925373134329,701.4925373134329
CLEMENTI,1990-03,4 ROOM,01 TO 03,78000.0,71000.0,91000.0,74000.0,83500.0,857.1428571428571,771.7391304347826,989.1304347826087,811.0666507405638,914.8650262780698
CLEMENTI,1990-03,4 ROOM,04 TO 06,90000.0,90000.0,90000.0,90000.0,90000.0,989.010989010989,989.010989010989,989.010989010989,989.010989010989,989.010989010989
CLEMENTI,1990-03,4 ROOM,07 TO 09,71000.0,65000.0,79000.0,68750.0,73750.0,778.6630392537893,752.6881720430108,868.1318681318681,768.8172043010753,804.3823646233284
CLEMENTI,1990-03,4 ROOM,10 TO 12,70500.0,70000.0,109000.0,70250.0,89750.0,766.304347826087,760.8695652173913,1197.8021978021977,763.5869565217391,982.0532728141424
CLEMENTI,1990-03,4 ROOM,13 TO 15,71600.0,71600.0,71600.0,71600.0,71600.0,778.2608695652174,778.2608695652174,778.2608695652174,778.2608695652174,778.2608695652174
CLEMENTI,1990-03,5 ROOM,01 TO 03,118500.0,109000.0,128000.0,113750.0,123250.0,988.2283491909161,900.8264462809917,1075.6302521008404,944.5273977359539,1031.9293006458781
CLEMENTI,1990-03,5 ROOM,04 TO 06,144500.0,144500.0,144500.0,144500.0,144500.0,1194.2148760330579,1194.2148760330579,1194.2148760330579,1194.2148760330579,1194.2148760330579
CLEMENTI,1990-03,5 ROOM,10 TO 12,122000.0,122000.0,122000.0,122000.0,122000.0,1033.8983050847457,1033.8983050847457,1033.8983050847457,1033.8983050847457,1033.8983050847457
CLEMENTI,1990-03,5 ROOM,19 TO 21,170000.0,170000.0,170000.0,170000.0,170000.0,1428.5714285714287,1428.5714285714287,1428.5714285714287,1428.5714285714287,1428.5714285714287
CLEMENTI,1990-04,3 ROOM,01 TO 03,47000.0,37000.0,52500.0,45000.0,47200.0,698.5294117647059,552.2388059701492,772.0588235294117,671.6417910447761,704.4776119402985
CLEMENTI,1990-04,3 ROOM,04 TO 06,47000.0,42000.0,57000.0,47000.0,47150.0,701.4925373134329,626.8656716417911,780.5970149253732,692.1628407460545,701.4925373134329
CLEMENTI,1990-04,3 ROOM,07 TO 09,52000.0,40000.0,62000.0,47000.0,57000.0,703.7037037037037,597.0149253731344,837.8378378378378,701.4925373134329,764.7058823529412
CLEMENTI,1990-04,3 ROOM,10 TO 12,47200.0,40000.0,64000.0,47000.0,54000.0,701.4925373134329,597.0149253731344,864.8648648648649,676.4705882352941,743.9024390243902
CLEMENTI,1990-04,3 ROOM,13 TO 15,46250.0,45500.0,47000.0,45875.0,46625.0,690.2985074626865,679.1044776119403,701.4925373134329,684.7014925373135,695.8955223880597
CLEMENTI,1990-04,4 ROOM,01 TO 03,80000.0,71000.0,80100.0,77750.0,80025.0,869.6679664421599,780.2197802197802,880.2197802197802,840.2162353775257,879.3956043956043
CLEMENTI,1990-04,4 ROOM,04 TO 06,80000.0,72000.0,94000.0,80000.0,90000.0,869.5652173913044,791.2087912087912,1032.967032967033,869.5652173913044,989.010989010989
CLEMENTI,1990-04,4 ROOM,07 TO 09,80000.0,70000.0,104000.0,72000.0,83500.0,869.5652173913044,760.8695652173913,1142.857142857143,791.2087912087912,912.3865265169613
