town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CLEMENTI,1990-01,EXECUTIVE,214000.0,180000.0,235000.0,207000.0,225000.0,1465.7534246575342,1192.0529801324503,1598.639455782313,1269.9386503067485,1530.6122448979593
CLEMENTI,1990-02,EXECUTIVE,181000.0,180000.0,182000.0,180500.0,181500.0,1199.017199017199,1181.8181818181818,1216.2162162162163,1190.4176904176904,1207.6167076167076
CLEMENTI,1990-04,EXECUTIVE,127700.0,127700.0,127700.0,127700.0,127700.0,840.1315789473684,840.1315789473684,840.1315789473684,840.1315789473684,840.1315789473684
CLEMENTI,1990-05,EXECUTIVE,207500.0,180000.0,235000.0,193750.0,221250.0,1374.5640802092416,1161.2903225806451,1587.837837837838,1267.9272013949433,1481.2009590235398
CLEMENTI,1990-06,EXECUTIVE,193000.0,180000.0,233000.0,180000.0,212750.0,1312.925170068027,1118.0124223602484,1595.890410958904,1197.8704525288376,1449.9930109029913
CLEMENTI,1990-07,EXECUTIVE,208750.0,180000.0,235000.0,193125.0,223750.0,1410.472972972973,1224.4897959183672,1609.5890410958905,1306.9670435741864,1517.2621251388375
CLEMENTI,1990-08,EXECUTIVE,215000.0,127700.0,236800.0,170000.0,232000.0,1472.6027397260275,868.7074829931972,1610.8843537414966,1156.4625850340135,1578.2312925170068
CLEMENTI,1990-09,EXECUTIVE,213250.0,170000.0,223500.0,197375.0,220875.0,1421.4774951076322,1148.6486486486488,1490.0,1347.949833395039,1443.9285714285716
CLEMENTI,1990-10,EXECUTIVE,180000.0,127700.0,200000.0,153850.0,190000.0,1168.8311688311687,874.6575342465753,1315.7894736842106,1021.744351538872,1242.3103212576898
CLEMENTI,1990-11,EXECUTIVE,215000.0,215000.0,215000.0,215000.0,215000.0,1452.7027027027027,1452.7027027027027,1452.7027027027027,1452.7027027027027,1452.7027027027027
CLEMENTI,1991-01,EXECUTIVE,227000.0,210000.0,230000.0,221000.0,230000.0,1503.311839277098,1400.0,1554.054054054054,1461.343309253526,1533.5570469798658
CLEMENTI,1991-02,EXECUTIVE,245000.0,245000.0,245000.0,245000.0,245000.0,1666.6666666666667,1666.6666666666667,1666.6666666666667,1666.6666666666667,1666.6666666666667
CLEMENTI,1991-04,EXECUTIVE,220000.0,220000.0,220000.0,220000.0,220000.0,1506.849315068493,1506.849315068493,1506.849315068493,1506.849315068493,1506.849315068493
CLEMENTI,1991-05,EXECUTIVE,230000.0,230000.0,230000.0,230000.0,230000.0,1543.6241610738255,1543.6241610738255,1543.6241610738255,1543.6241610738255,1543.6241610738255
CLEMENTI,1991-06,EXECUTIVE,191000.0,182000.0,200000.0,186500.0,195500.0,1260.0889043842064,1221.476510067114,1298.7012987012988,1240.7827072256603,1279.3951015427526
CLEMENTI,1991-07,EXECUTIVE,250000.0,250000.0,250000.0,250000.0,250000.0,1700.6802721088436,1700.6802721088436,1700.6802721088436,1700.6802721088436,1700.6802721088436
CLEMENTI,1991-08,EXECUTIVE,210850.0,178700.0,243000.0,194775.0,226925.0,1422.1972789115646,1191.3333333333333,1653.061224489796,1306.765306122449,1537.6292517006802
CLEMENTI,1991-10,EXECUTIVE,241500.0,180000.0,263800.0,223500.0,249700.0,1667.4520443619401,1232.876712328767,1794.5578231292518,1506.2057552633999,1751.830945144015
CLEMENTI,1991-11,EXECUTIVE,185000.0,185000.0,185000.0,185000.0,185000.0,1258.5034013605443,1258.5034013605443,1258.5034013605443,1258.5034013605443,1258.5034013605443
CLEMENTI,1992-01,EXECUTIVE,225500.0,200000.0,251000.0,212750.0,238250.0,1522.5539880381684,1360.544217687075,1684.5637583892617,1441.5491028626216,1603.558873213715
CLEMENTI,1992-02,EXECUTIVE,215090.0,180180.0,250000.0,197635.0,232545.0,1376.558681443592,1119.1304347826087,1633.986928104575,1247.8445581131004,1505.2728047740834
CLEMENTI,1992-03,EXECUTIVE,206890.0,178000.0,263000.0,178585.0,242000.0,1411.5800018637592,1186.6666666666667,1765.1006711409395,1215.0570776255709,1640.2547596219697
CLEMENTI,1992-04,EXECUTIVE,210000.0,180000.0,255000.0,195000.0,228750.0,1418.2648401826484,1224.4897959183672,1583.8509316770187,1333.5197092535643,1495.9627329192547
CLEMENTI,1992-05,EXECUTIVE,179390.0,178000.0,235000.0,178585.0,193750.0,1220.368382080711,1178.8079470198675,1609.5890410958905,1206.8641489171291,1320.7876712328766
CLEMENTI,1992-06,EXECUTIVE,197000.0,179000.0,215000.0,188000.0,206000.0,1340.1360544217687,1217.687074829932,1462.5850340136055,1278.9115646258504,1401.3605442176872
CLEMENTI,1992-07,EXECUTIVE,205000.0,165000.0,245000.0,185000.0,225000.0,1370.989545782264,1130.13698630137,1611.842105263158,1250.5632660418169,1491.415825522711
CLEMENTI,1992-08,EXECUTIVE,255000.0,250000.0,260000.0,252500.0,257500.0,1734.6938775510205,1700.6802721088436,1768.7074829931973,1717.687074829932,1751.700680272109
CLEMENTI,1992-09,EXECUTIVE,256000.0,235000.0,267000.0,245500.0,261500.0,1741.4965986394557,1506.4102564102564,1816.3265306122448,1623.9534275248561,1778.9115646258501
CLEMENTI,1992-10,EXECUTIVE,250500.0,222000.0,271000.0,243000.0,256000.0,1709.9058801602832,1510.204081632653,1782.8947368421052,1658.1632653061224,1729.970259552992
CLEMENTI,1992-11,EXECUTIVE,270000.0,260000.0,307000.0,265000.0,288500.0,1836.734693877551,1733.3333333333333,1955.4140127388534,1785.0340136054422,1896.0743533082023
CLEMENTI,1992-12,EXECUTIVE,248500.0,179000.0,267000.0,224750.0,259500.0,1678.5844748858447,1217.687074829932,1816.3265306122448,1537.29848103625,1739.0816326530612
CLEMENTI,1993-01,EXECUTIVE,275000.0,275000.0,275000.0,275000.0,275000.0,1877.1549715776723,1870.748299319728,1883.5616438356165,1873.9516354487,1880.3583077066444
CLEMENTI,1993-02,EXECUTIVE,245000.0,230000.0,260000.0,237500.0,252500.0,1637.1642056573564,1493.5064935064936,1780.8219178082193,1565.3353495819251,1708.9930617327877
CLEMENTI,1993-04,EXECUTIVE,309000.0,295000.0,323000.0,302000.0,316000.0,2072.77397260274,2020.5479452054794,2125.0,2046.6609589041095,2098.8869863013697
CLEMENTI,1993-05,EXECUTIVE,280000.0,257000.0,333000.0,270000.0,310000.0,1904.7619047619048,1784.7222222222222,2162.3376623376626,1836.734693877551,1962.0253164556962
CLEMENTI,1993-07,EXECUTIVE,365000.0,325000.0,370000.0,345000.0,367500.0,2267.080745341615,2210.8843537414964,2534.246575342466,2238.9825495415557,2400.66366034204
CLEMENTI,1993-08,EXECUTIVE,331000.0,283000.0,380000.0,310750.0,351500.0,2235.890410958904,1886.6666666666667,2585.0340136054424,2115.502283105023,2356.2585034013605
CLEMENTI,1993-09,EXECUTIVE,385000.0,385000.0,385000.0,385000.0,385000.0,2619.0476190476193,2619.0476190476193,2619.0476190476193,2619.0476190476193,2619.0476190476193
CLEMENTI,1993-10,EXECUTIVE,349333.0,335000.0,350000.0,342166.5,349666.5,2210.96835443038,2203.9473684210525,2380.9523809523807,2207.457861425716,2295.9603676913803
CLEMENTI,1993-11,EXECUTIVE,367500.0,340000.0,408000.0,347500.0,390750.0,2332.01581027668,2266.6666666666665,2720.0,2271.212121212121,2473.478260869565
CLEMENTI,1993-12,EXECUTIVE,390000.0,355000.0,400000.0,390000.0,395000.0,2653.061224489796,2335.5263157894738,2721.08843537415,2422.360248447205,2705.4794520547944
CLEMENTI,1994-01,EXECUTIVE,373500.0,372000.0,375000.0,372750.0,374250.0,2515.5102040816328,2480.0,2551.0204081632655,2497.7551020408164,2533.265306122449
CLEMENTI,1994-02,EXECUTIVE,410500.0,373000.0,425000.0,394000.0,421250.0,2780.6122448979595,2422.0779220779223,2876.7123287671234,2651.4378478664194,2844.178082191781
CLEMENTI,1994-03,EXECUTIVE,400000.0,392850.0,413000.0,400000.0,412000.0,2721.08843537415,2410.122699386503,2790.5405405405404,2684.5637583892617,2765.1006711409395
