town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CLEMENTI,1990-01,high,71350.0,34000.0,235000.0,47200.0,130000.0,783.0953926022064,507.46268656716416,1598.639455782313,701.4925373134329,1096.5916120252382
CLEMENTI,1990-02,high,67000.0,40000.0,180000.0,47000.0,118000.0,817.0731707317074,588.2352941176471,1357.7235772357724,701.4925373134329,994.5652173913044
CLEMENTI,1990-03,high,51150.0,47000.0,170000.0,47000.0,70775.0,738.8059701492537,691.4634146341464,1428.5714285714287,701.4925373134329,771.403452685422
CLEMENTI,1990-04,high,53250.0,40000.0,163000.0,47000.0,76750.0,732.3359073359073,597.0149253731344,1369.7478991596638,693.2209469153515,900.7494889847832
CLEMENTI,1990-05,high,51100.0,40000.0,168000.0,46875.0,118000.0,702.9850746268658,588.2352941176471,1423.7288135593221,688.2053148889697,952.4013985156106
CLEMENTI,1990-06,high,73500.0,44000.0,206000.0,47000.0,94000.0,825.2882497732867,647.0588235294117,1401.360544217687,701.4925373134329,932.047062695409
CLEMENTI,1990-07,high,65000.0,35000.0,197500.0,47000.0,107000.0,783.1325301204819,522.3880597014926,1525.4237288135594,701.4925373134329,1103.0927835051546
CLEMENTI,1990-08,high,60000.0,37000.0,236800.0,47000.0,106000.0,782.6086956521739,552.2388059701492,1610.8843537414966,701.4925373134329,1156.4625850340135
CLEMENTI,1990-09,high,73000.0,41500.0,206500.0,61500.0,115000.0,879.1208791208791,691.4634146341464,1428.5714285714287,735.0040257648953,984.9709114414998
CLEMENTI,1990-10,high,64500.0,44000.0,127700.0,54425.0,87500.0,738.9486260454003,656.7164179104477,924.3697478991596,699.5950127411722,870.8382966051221
CLEMENTI,1990-11,high,56000.0,34000.0,167000.0,47050.0,70250.0,705.4996755353666,507.46268656716416,1427.3504273504273,696.7145977429924,811.3238157040882
CLEMENTI,1990-12,high,48600.0,43000.0,170000.0,46625.0,77750.0,701.4925373134329,617.283950617284,1440.677966101695,677.2388059701493,861.7216117216117
CLEMENTI,1991-01,high,66000.0,40000.0,230000.0,47000.0,172000.0,814.8148148148148,597.0149253731344,1543.6241610738255,701.4925373134329,1365.079365079365
CLEMENTI,1991-02,high,47000.0,44000.0,245000.0,47000.0,87500.0,701.4925373134329,656.7164179104477,1666.6666666666667,693.7554872695347,953.2071189679884
CLEMENTI,1991-03,high,72750.0,44000.0,178000.0,47000.0,105500.0,825.5191434133679,647.0588235294117,1521.3675213675215,701.4925373134329,1027.9374775422207
CLEMENTI,1991-04,high,59000.0,45000.0,185000.0,47000.0,75000.0,746.2686567164179,671.6417910447761,1554.6218487394958,701.4925373134329,870.6521739130435
CLEMENTI,1991-05,high,47200.0,38000.0,100000.0,43000.0,65000.0,694.1176470588235,567.1641791044776,1098.901098901099,632.3529411764706,843.2835820895523
CLEMENTI,1991-06,high,52500.0,47000.0,182000.0,48875.0,87025.0,701.4925373134329,617.283950617284,1299.2700729927008,686.280487804878,851.3250098697197
CLEMENTI,1991-07,high,66700.0,35000.0,178000.0,47000.0,85000.0,813.4146341463414,514.7058823529412,1487.179487179487,689.0152894066255,896.6470154753132
CLEMENTI,1991-08,high,55000.0,40000.0,178700.0,47000.0,74000.0,716.5999271933018,588.2352941176471,1191.3333333333333,691.1764705882352,828.6407346443732
CLEMENTI,1991-09,high,103500.0,35000.0,183000.0,47000.0,141250.0,986.5986225209526,522.3880597014926,1537.81512605042,701.4925373134329,1228.9915966386554
CLEMENTI,1991-10,high,70750.0,33600.0,263800.0,47000.0,146250.0,849.8361849290135,501.4925373134328,1794.5578231292518,701.4925373134329,1186.0169491525423
CLEMENTI,1991-11,high,61500.0,45000.0,188000.0,47000.0,103750.0,707.8891257995735,637.3626373626373,1579.8319327731092,701.4925373134329,976.3264554163596
CLEMENTI,1991-12,high,57000.0,40000.0,186000.0,47000.0,105000.0,731.7073170731708,597.0149253731344,1488.0,695.1219512195122,1141.304347826087
CLEMENTI,1992-01,high,57000.0,35000.0,160000.0,47000.0,86500.0,782.6086956521739,514.7058823529412,1456.3106796116506,696.334503950834,916.8671405139421
CLEMENTI,1992-02,high,67500.0,34000.0,175000.0,47000.0,115750.0,851.6483516483516,507.46268656716416,1495.7264957264956,701.4925373134329,1125.8290346352248
CLEMENTI,1992-03,high,70000.0,34000.0,263000.0,47000.0,90000.0,879.1208791208791,507.46268656716416,1765.1006711409395,701.4925373134329,1000.0
CLEMENTI,1992-04,high,80000.0,44000.0,219000.0,52000.0,145000.0,940.2985074626865,691.1764705882352,1542.2535211267605,745.7627118644068,1260.5042016806722
CLEMENTI,1992-05,high,59000.0,35000.0,183000.0,46000.0,123000.0,843.3734939759037,522.3880597014926,1759.6153846153845,686.5671641791046,1226.3907087552116
CLEMENTI,1992-06,high,57300.0,40000.0,150000.0,47030.0,60000.0,716.8984346559884,597.0149253731344,1260.5042016806722,694.2073170731708,850.2542233885517
CLEMENTI,1992-07,high,65000.0,44000.0,187800.0,55500.0,100500.0,860.2150537634409,656.7164179104477,1578.1512605042017,754.985754985755,1064.0968175705962
CLEMENTI,1992-08,high,90000.0,35000.0,202000.0,52500.0,111500.0,944.6867565424266,514.7058823529412,1697.4789915966387,735.3476519839826,1247.451343836886
CLEMENTI,1992-09,high,57000.0,38500.0,267000.0,47000.0,86500.0,735.2941176470588,574.6268656716418,1816.3265306122448,698.3072442664725,1010.2428435761769
CLEMENTI,1992-10,high,67000.0,47000.0,251000.0,50000.0,180000.0,985.2941176470588,625.0,1752.1367521367522,746.2686567164179,1525.4237288135594
CLEMENTI,1992-11,high,68000.0,40000.0,270000.0,47000.0,199000.0,1000.0,597.0149253731344,1836.734693877551,701.4925373134329,1619.107438016529
CLEMENTI,1992-12,high,80000.0,35000.0,267000.0,65000.0,125000.0,1038.9610389610389,522.3880597014926,1816.3265306122448,970.1492537313433,1358.695652173913
CLEMENTI,1993-01,high,58500.0,42000.0,275000.0,47000.0,97500.0,852.2024026210411,512.1951219512196,1883.5616438356165,701.4925373134329,1068.7410415671286
CLEMENTI,1993-02,high,72000.0,47000.0,230000.0,54000.0,168000.0,895.5223880597015,701.4925373134329,1678.8321167883212,740.7407407407408,1423.7288135593221
CLEMENTI,1993-03,high,65000.0,35000.0,225000.0,51000.0,102500.0,970.1492537313433,522.3880597014926,1800.0,701.4925373134329,1152.7417261518494
CLEMENTI,1993-04,high,69250.0,40000.0,295000.0,47250.0,78500.0,773.2620640229336,597.0149253731344,2020.5479452054794,701.4925373134329,1145.0218420094648
CLEMENTI,1993-05,high,80000.0,36000.0,250000.0,63000.0,200000.0,1176.4705882352941,537.3134328358209,1891.304347826087,933.6040386303775,1700.3988035892323
CLEMENTI,1993-06,high,148500.0,70000.0,285000.0,91250.0,172000.0,1585.3045259824921,1032.608695652174,2415.2542372881358,1156.716417910448,1697.7585906157335
CLEMENTI,1993-07,high,86500.0,70000.0,195000.0,80500.0,125000.0,1237.313432835821,956.5217391304348,1771.7391304347825,1138.0597014925374,1470.108695652174
CLEMENTI,1993-08,high,152000.0,60000.0,380000.0,81500.0,286500.0,1652.1739130434783,895.5223880597015,2731.09243697479,1207.418788410887,2250.352695822855
CLEMENTI,1993-09,high,101500.0,65000.0,290000.0,85000.0,170000.0,1469.8247890979883,970.1492537313433,2457.6271186440677,1250.0,1769.7682752030578
CLEMENTI,1993-10,high,105000.0,71500.0,360000.0,89000.0,158500.0,1522.3880597014925,1067.1641791044776,2537.81512605042,1328.3582089552237,1720.8346024977154
CLEMENTI,1993-11,high,110000.0,57000.0,408000.0,102000.0,308750.0,1598.7370838117108,695.1219512195122,2735.042735042735,1454.7688387331634,2282.276546982429
CLEMENTI,1993-12,high,115000.0,63000.0,395000.0,95500.0,265000.0,1641.7910447761194,768.2926829268292,2705.4794520547944,1362.598770851624,2184.873949579832
CLEMENTI,1994-01,high,107000.0,80000.0,375000.0,91500.0,158500.0,1452.0412642669007,1194.0298507462687,2551.0204081632655,1341.4634146341464,1736.9804108934545
CLEMENTI,1994-02,high,102500.0,80000.0,420000.0,92250.0,189000.0,1425.3731343283582,1158.5365853658536,2876.7123287671234,1313.542581211589,2026.681537405628
CLEMENTI,1994-03,high,121000.0,70000.0,412000.0,91000.0,198000.0,1684.7826086956522,1044.7761194029852,2765.1006711409395,1343.2835820895523,2175.8241758241757
CLEMENTI,1994-04,high,106000.0,88000.0,420000.0,95000.0,256500.0,1567.1641791044776,1176.8292682926829,2923.076923076923,1385.2063213345039,2304.9052396878487
CLEMENTI,1994-05,high,111000.0,86000.0,430000.0,95500.0,213500.0,1567.1641791044776,1283.5820895522388,2945.205479452055,1380.597014925373,2252.4009603841537
CLEMENTI,1994-06,high,108000.0,80000.0,340000.0,99000.0,208000.0,1567.1641791044776,1194.0298507462687,2888.8888888888887,1402.439024390244,2228.2608695652175
CLEMENTI,1994-07,high,119000.0,90000.0,365000.0,100000.0,175750.0,1674.1659350307286,1282.051282051282,2920.0,1491.354204586822,1917.403248924988
CLEMENTI,1994-08,high,130000.0,90000.0,395000.0,106500.0,200000.0,1776.1194029850747,1343.2835820895523,2883.211678832117,1504.842180774749,2158.3850931677016
