town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CLEMENTI,1990-01,low,55000.0,38500.0,180000.0,47000.0,63000.0,695.1219512195122,557.9710144927536,1194.915254237288,671.6417910447761,760.8695652173913
CLEMENTI,1990-02,low,63000.0,40000.0,112000.0,46625.0,87750.0,766.4641943734015,588.2352941176471,1046.728971962617,685.7025846377867,953.5921068179133
CLEMENTI,1990-03,low,50000.0,38000.0,144500.0,47000.0,57000.0,701.4925373134329,567.1641791044776,1194.2148760330579,695.1219512195122,748.9025460930641
CLEMENTI,1990-04,low,47100.0,42000.0,110000.0,47000.0,74000.0,701.4925373134329,626.8656716417911,1032.967032967033,697.6775466284074,810.7978977544195
CLEMENTI,1990-05,low,46100.0,34000.0,78000.0,42750.0,48650.0,683.1211589113257,507.46268656716416,795.9183673469388,638.0597014925373,723.2111501316945
CLEMENTI,1990-06,low,50000.0,43000.0,99000.0,47020.0,52500.0,746.2686567164179,641.7910447761194,1020.8333333333334,701.7910447761194,777.8204565408253
CLEMENTI,1990-07,low,57000.0,40000.0,235000.0,47000.0,80000.0,731.3432835820895,597.0149253731344,1609.5890410958905,691.1764705882352,824.7422680412371
CLEMENTI,1990-08,low,75900.0,36000.0,232000.0,47000.0,106250.0,824.613021387215,597.0149253731344,1578.2312925170068,634.3283582089553,1064.1758241758243
CLEMENTI,1990-09,low,48000.0,41500.0,223500.0,47000.0,89000.0,716.4179104477612,506.0975609756098,1490.0,701.4925373134329,908.8601167809088
CLEMENTI,1990-10,low,56700.0,47000.0,86500.0,47000.0,68000.0,704.4776119402985,691.4634146341464,961.1111111111111,701.4925373134329,771.7391304347825
CLEMENTI,1990-11,low,49000.0,40000.0,145000.0,47000.0,70750.0,701.4925373134329,585.3658536585366,1239.3162393162393,692.1628407460545,788.4615384615385
CLEMENTI,1990-12,low,56000.0,47000.0,159000.0,54500.0,81000.0,823.5294117647059,682.9268292682926,1347.457627118644,746.2686567164179,890.1098901098901
CLEMENTI,1991-01,low,50000.0,42000.0,230000.0,47000.0,83500.0,725.3731343283582,626.8656716417911,1554.054054054054,701.4925373134329,907.608695652174
CLEMENTI,1991-02,low,53350.0,40000.0,115000.0,47000.0,74750.0,709.3816631130064,588.2352941176471,1010.8695652173913,693.970695303968,862.934362934363
CLEMENTI,1991-03,low,47000.0,39000.0,73000.0,47000.0,49750.0,696.334503950834,582.0895522388059,793.4782608695652,683.8369129959956,712.6865671641791
CLEMENTI,1991-04,low,47000.0,39200.0,100000.0,47000.0,56500.0,701.4925373134329,597.0149253731344,970.8737864077669,688.9617292700212,781.0102301790281
CLEMENTI,1991-05,low,47000.0,47000.0,120000.0,47000.0,48500.0,701.4925373134329,691.1764705882352,991.7355371900826,701.4925373134329,723.8805970149253
CLEMENTI,1991-06,low,47500.0,35000.0,119000.0,47000.0,89375.0,708.955223880597,514.7058823529412,1293.4782608695652,701.4925373134329,982.1428571428571
CLEMENTI,1991-07,low,53500.0,43000.0,192000.0,47000.0,94750.0,725.7462686567164,641.7910447761194,1627.1186440677966,699.8998907899527,924.5366284201236
CLEMENTI,1991-08,low,58000.0,40000.0,78000.0,47000.0,70000.0,706.5217391304348,597.0149253731344,939.7590361445783,701.4925373134329,815.2173913043479
CLEMENTI,1991-09,low,47000.0,34000.0,163000.0,45250.0,61325.0,696.4252810023954,507.46268656716416,1347.107438016529,619.4029850746269,757.2812051649928
CLEMENTI,1991-10,low,57000.0,34000.0,180000.0,47000.0,95000.0,779.6610169491526,507.46268656716416,1232.876712328767,701.4925373134329,1043.956043956044
