town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CLEMENTI,1990-01,mid,47000.0,42000.0,86000.0,45425.0,55500.0,688.8718173836698,626.8656716417911,934.7826086956521,677.9159756771697,703.7037037037037
CLEMENTI,1990-02,mid,47000.0,36250.0,150000.0,42000.0,66750.0,701.4925373134329,541.044776119403,1239.6694214876034,619.9517120280948,762.4036411349844
CLEMENTI,1990-03,mid,47000.0,36000.0,79000.0,44125.0,62500.0,697.7611940298507,493.9024390243902,868.1318681318681,656.6933849272158,751.0832932113626
CLEMENTI,1990-04,mid,57000.0,40000.0,104000.0,49250.0,72000.0,762.7877237851662,597.0149253731344,1142.857142857143,703.150912106136,802.8660528660529
CLEMENTI,1990-05,mid,47000.0,35000.0,145000.0,41000.0,64500.0,691.1764705882352,522.3880597014926,1394.2307692307693,607.5504828797191,743.1561996779387
CLEMENTI,1990-06,mid,47600.0,37000.0,180000.0,46500.0,65500.0,702.9850746268658,552.2388059701492,1224.4897959183672,654.4666374012291,763.4232582503928
CLEMENTI,1990-07,mid,47500.0,41000.0,136000.0,47000.0,63000.0,701.4925373134329,585.3658536585366,1142.857142857143,686.2928007023704,802.1982478909799
CLEMENTI,1990-08,mid,48000.0,36000.0,165000.0,45000.0,80000.0,716.4179104477612,537.3134328358209,1363.6363636363637,667.9543459174715,874.3430482560917
CLEMENTI,1990-09,mid,63560.0,37000.0,142500.0,50625.0,72750.0,764.7433563887878,552.2388059701492,1370.1923076923076,723.8575640316934,856.865524060646
CLEMENTI,1990-10,mid,72000.0,40000.0,158000.0,63750.0,76000.0,791.2087912087912,579.7101449275362,1264.0,734.9236129723935,826.0869565217391
CLEMENTI,1990-11,mid,63000.0,40000.0,90000.0,47000.0,79900.0,739.1304347826087,597.0149253731344,923.9130434782609,701.4925373134329,859.1397849462365
CLEMENTI,1990-12,mid,50200.0,38000.0,120000.0,47150.0,60750.0,702.9850746268658,547.8260869565217,1008.4033613445379,663.1325081907536,737.5875723423698
CLEMENTI,1991-01,mid,56350.0,43000.0,110000.0,47200.0,76750.0,704.4776119402985,641.7910447761194,1010.3092783505155,701.4925373134329,835.997442455243
CLEMENTI,1991-02,mid,47200.0,35000.0,80000.0,45500.0,57000.0,701.4925373134329,522.3880597014926,879.1208791208791,671.0903873744619,725.3731343283582
CLEMENTI,1991-03,mid,47200.0,40000.0,73000.0,47000.0,56700.0,701.4925373134329,582.4175824175824,802.1978021978022,597.0149253731344,704.4776119402985
CLEMENTI,1991-04,mid,47040.0,40000.0,220000.0,47000.0,81500.0,701.4925373134329,597.0149253731344,1506.849315068493,701.4925373134329,797.0642496189942
CLEMENTI,1991-05,mid,60500.0,47000.0,230000.0,53350.0,105500.0,902.9850746268656,609.7560975609756,1543.6241610738255,697.8050921861281,1153.2489249880555
CLEMENTI,1991-06,mid,49020.0,44800.0,140000.0,47000.0,73250.0,731.641791044776,668.6567164179105,1176.4705882352941,701.4925373134329,796.195652173913
CLEMENTI,1991-07,mid,60000.0,35000.0,103000.0,48500.0,72750.0,735.2941176470588,522.3880597014926,1131.868131868132,696.334503950834,854.6296296296297
CLEMENTI,1991-08,mid,47000.0,40000.0,110000.0,47000.0,84500.0,701.4925373134329,588.2352941176471,1076.923076923077,689.1140602582495,883.2663500182682
CLEMENTI,1991-09,mid,48600.0,34000.0,148000.0,47000.0,75000.0,701.4925373134329,507.46268656716416,1223.1404958677685,695.9613696224759,838.7410772225828
CLEMENTI,1991-10,mid,56000.0,42000.0,77000.0,47000.0,66000.0,701.4925373134329,626.8656716417911,926.829268292683,698.3072442664725,748.2410881801126
CLEMENTI,1991-11,mid,47000.0,34000.0,100000.0,45000.0,47000.0,691.1764705882352,507.46268656716416,1098.901098901099,669.865403788634,701.4925373134329
CLEMENTI,1991-12,mid,56000.0,34000.0,92000.0,47000.0,62750.0,701.4925373134329,507.46268656716416,1010.989010989011,689.0243902439024,779.3640493186242
