town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CLEMENTI,1990-01,53250.0,34000.0,235000.0,47000.0,84250.0,701.4925373134329,507.46268656716416,1598.639455782313,680.0600655260284,872.2702582862211
CLEMENTI,1990-02,57000.0,36250.0,185000.0,47000.0,91875.0,740.2985074626865,541.044776119403,1357.7235772357724,694.3028758645795,961.1538461538462
CLEMENTI,1990-03,50000.0,36000.0,170000.0,47000.0,71000.0,701.4925373134329,493.9024390243902,1428.5714285714287,695.1219512195122,774.1935483870968
CLEMENTI,1990-04,52000.0,37000.0,163000.0,47000.0,72000.0,704.4776119402985,552.2388059701492,1369.7478991596638,696.825681492109,838.9847083926031
CLEMENTI,1990-05,47200.0,34000.0,235000.0,45750.0,73500.0,701.4925373134329,507.46268656716416,1587.837837837838,668.4899569583931,790.7378335949765
CLEMENTI,1990-06,52500.0,37000.0,233000.0,47000.0,89500.0,761.1940298507462,552.2388059701492,1595.890410958904,701.4925373134329,913.9921028652425
CLEMENTI,1990-07,57000.0,35000.0,235000.0,47000.0,95250.0,733.6264402668284,522.3880597014926,1609.5890410958905,691.1764705882352,994.4464138012524
CLEMENTI,1990-08,61500.0,36000.0,236800.0,47000.0,101000.0,770.015906680806,537.3134328358209,1610.8843537414966,699.6488147497805,1010.9890109890109
CLEMENTI,1990-09,66000.0,37000.0,223500.0,48000.0,99000.0,774.7252747252747,506.0975609756098,1490.0,701.4925373134329,955.5555555555555
CLEMENTI,1990-10,60500.0,39000.0,200000.0,47000.0,74250.0,720.6359506813758,579.7101449275362,1315.7894736842106,701.4925373134329,831.5217391304348
CLEMENTI,1990-11,52500.0,34000.0,215000.0,47000.0,72000.0,704.4776119402985,507.46268656716416,1452.7027027027027,694.135581061693,808.8824171823808
CLEMENTI,1990-12,53000.0,38000.0,170000.0,47000.0,80000.0,704.4776119402985,547.8260869565217,1440.677966101695,694.1176470588235,879.1208791208791
CLEMENTI,1991-01,55500.0,40000.0,230000.0,47000.0,93000.0,735.2941176470588,597.0149253731344,1554.054054054054,701.4925373134329,948.3695652173913
CLEMENTI,1991-02,47200.0,35000.0,245000.0,47000.0,69000.0,701.4925373134329,522.3880597014926,1666.6666666666667,691.3199426111908,798.6464754757437
CLEMENTI,1991-03,48000.0,39000.0,178000.0,47000.0,63500.0,701.4925373134329,582.0895522388059,1521.3675213675215,688.8718173836698,767.109500805153
CLEMENTI,1991-04,50000.0,39200.0,220000.0,47000.0,72000.0,701.4925373134329,597.0149253731344,1554.6218487394958,698.3072442664725,797.0642496189942
CLEMENTI,1991-05,48250.0,38000.0,230000.0,47000.0,63875.0,702.9850746268658,567.1641791044776,1543.6241610738255,692.1269727403156,848.8805970149253
CLEMENTI,1991-06,48000.0,35000.0,200000.0,47000.0,80000.0,701.4925373134329,514.7058823529412,1299.2700729927008,691.1764705882352,869.5652173913044
CLEMENTI,1991-07,57000.0,35000.0,250000.0,47000.0,80000.0,735.2941176470588,514.7058823529412,1700.6802721088436,688.8718173836698,889.3280632411067
CLEMENTI,1991-08,47500.0,40000.0,243000.0,47000.0,72000.0,701.4925373134329,572.289156626506,1653.061224489796,691.1764705882352,837.8378378378378
CLEMENTI,1991-09,52000.0,34000.0,183000.0,47000.0,100000.0,701.4925373134329,507.46268656716416,1537.81512605042,688.8718173836698,985.9584859584859
CLEMENTI,1991-10,57000.0,33600.0,263800.0,47000.0,90000.0,740.3846153846154,501.4925373134328,1794.5578231292518,701.4925373134329,967.8538390379279
CLEMENTI,1991-11,50000.0,34000.0,188000.0,47000.0,72000.0,701.4925373134329,507.46268656716416,1579.8319327731092,701.4925373134329,844.4605208763952
CLEMENTI,1991-12,52000.0,33600.0,186000.0,47000.0,60000.0,701.4925373134329,501.4925373134328,1488.0,684.7469967236985,774.6576396368672
CLEMENTI,1992-01,48750.0,35000.0,251000.0,47000.0,72250.0,701.4925373134329,514.7058823529412,1684.5637583892617,691.1764705882352,850.7462686567164
CLEMENTI,1992-02,47000.0,34000.0,250000.0,45000.0,71500.0,701.4925373134329,507.46268656716416,1633.986928104575,660.4477611940298,889.010333863275
CLEMENTI,1992-03,59000.0,34000.0,263000.0,47000.0,92500.0,746.2686567164179,507.46268656716416,1765.1006711409395,701.4925373134329,963.9315168597975
CLEMENTI,1992-04,55500.0,33000.0,255000.0,47000.0,92000.0,746.0156842904123,507.46268656716416,1586.7768595041323,699.8998907899527,954.316159586682
CLEMENTI,1992-05,62000.0,35000.0,235000.0,47000.0,113500.0,777.1739130434783,522.3880597014926,1759.6153846153845,686.2928007023704,1179.3815508160817
CLEMENTI,1992-06,60000.0,40000.0,215000.0,47000.0,75000.0,743.5046987285793,597.0149253731344,1520.0,691.4634146341464,902.9850746268656
CLEMENTI,1992-07,65000.0,34000.0,245000.0,51500.0,91750.0,887.3216335902903,507.46268656716416,1611.842105263158,701.4925373134329,1018.3645027872685
CLEMENTI,1992-08,75000.0,35000.0,260000.0,53500.0,116500.0,955.223880597015,514.7058823529412,1768.7074829931973,746.2686567164179,1241.890639481001
CLEMENTI,1992-09,57000.0,38500.0,267000.0,47000.0,88000.0,735.2941176470588,536.5853658536586,1816.3265306122448,701.4925373134329,1059.7014925373135
CLEMENTI,1992-10,67000.0,40000.0,271000.0,50000.0,141750.0,865.6716417910447,597.0149253731344,1782.8947368421052,701.4925373134329,1424.7620935765267
CLEMENTI,1992-11,69500.0,40000.0,307000.0,47000.0,102500.0,977.6119402985075,597.0149253731344,1955.4140127388534,701.4925373134329,1126.5084153699588
CLEMENTI,1992-12,69000.0,35000.0,267000.0,50000.0,110000.0,970.1492537313433,522.3880597014926,1816.3265306122448,707.3170731707318,1153.8461538461538
CLEMENTI,1993-01,59700.0,27000.0,275000.0,47000.0,82500.0,850.7462686567164,457.6271186440678,2214.876033057851,701.4925373134329,1062.0047908605122
CLEMENTI,1993-02,62700.0,34000.0,260000.0,47000.0,100000.0,869.5652173913044,507.46268656716416,1840.0,701.4925373134329,1086.9565217391305
CLEMENTI,1993-03,62000.0,34000.0,252000.0,50000.0,84000.0,782.6086956521739,507.46268656716416,1800.0,701.4925373134329,1048.7038491751769
CLEMENTI,1993-04,70000.0,34000.0,323000.0,50000.0,90000.0,875.0,507.46268656716416,2125.0,701.4925373134329,1097.560975609756
CLEMENTI,1993-05,82500.0,36000.0,333000.0,67250.0,194750.0,1120.3439325113563,537.3134328358209,2162.3376623376626,904.4205495818399,1684.4095811738339
CLEMENTI,1993-06,121500.0,47000.0,285000.0,73925.0,164000.0,1387.7197039777984,701.4925373134329,2415.2542372881358,1061.320237050044,1691.6038154392193
CLEMENTI,1993-07,96000.0,60000.0,370000.0,80000.0,154000.0,1343.2835820895523,869.5652173913044,2534.246575342466,1156.7164179104477,1673.913043478261
