town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
GEYLANG,1990-01,2 ROOM,01 TO 03,19050.0,19000.0,19100.0,19025.0,19075.0,470.45731707317077,463.4146341463415,477.5,466.9359756097561,473.9786585365854
GEYLANG,1990-01,2 ROOM,04 TO 06,18900.0,15000.0,19000.0,16950.0,18950.0,422.22222222222223,333.3333333333333,472.5,377.77777777777777,447.3611111111111
GEYLANG,1990-01,2 ROOM,07 TO 09,16000.0,14000.0,18000.0,15000.0,17000.0,375.0,350.0,400.0,362.5,387.5
GEYLANG,1990-01,2 ROOM,10 TO 12,12000.0,12000.0,12000.0,12000.0,12000.0,240.0,240.0,240.0,240.0,240.0
GEYLANG,1990-01,3 ROOM,01 TO 03,23200.0,16800.0,68000.0,18000.0,48300.0,400.2631578947369,293.1034482758621,1000.0,327.41596638655466,736.0505166475316
GEYLANG,1990-01,3 ROOM,04 TO 06,39200.0,17000.0,83500.0,22000.0,49425.0,591.4372469635628,303.57142857142856,1128.3783783783783,382.7238335435057,742.2125668449198
GEYLANG,1990-01,3 ROOM,07 TO 09,39300.0,18000.0,83000.0,23000.0,43150.0,635.0,346.15384615384613,1121.6216216216217,388.20621468926555,684.3502824858757
GEYLANG,1990-01,3 ROOM,10 TO 12,26400.0,18000.0,45500.0,23000.0,40000.0,425.80645161290323,316.95721077654514,771.1864406779661,377.04918032786884,606.060606060606
GEYLANG,1990-01,4 ROOM,01 TO 03,98500.0,97000.0,100000.0,97750.0,99250.0,956.5422322775264,932.6923076923077,980.3921568627451,944.6172699849171,968.4671945701357
GEYLANG,1990-01,4 ROOM,04 TO 06,128500.0,128000.0,130000.0,128250.0,129250.0,1235.576923076923,1230.7692307692307,1274.5098039215686,1233.173076923077,1255.043363499246
GEYLANG,1990-01,4 ROOM,07 TO 09,105000.0,105000.0,105000.0,105000.0,105000.0,1153.8461538461538,1153.8461538461538,1153.8461538461538,1153.8461538461538,1153.8461538461538
GEYLANG,1990-01,4 ROOM,13 TO 15,50000.0,50000.0,50000.0,50000.0,50000.0,601.684717208183,601.684717208183,601.684717208183,601.684717208183,601.684717208183
GEYLANG,1990-01,5 ROOM,01 TO 03,170000.0,170000.0,170000.0,170000.0,170000.0,1349.2063492063492,1349.2063492063492,1349.2063492063492,1349.2063492063492,1349.2063492063492
GEYLANG,1990-01,5 ROOM,04 TO 06,185000.0,135000.0,201000.0,160000.0,193000.0,1330.9352517985612,1153.8461538461538,1435.7142857142858,1242.3907028223575,1383.3247687564235
GEYLANG,1990-01,5 ROOM,10 TO 12,175000.0,161000.0,180000.0,167750.0,180000.0,1240.9456740442656,1133.8028169014085,1525.4237288135594,1194.1649899396377,1332.0601575555027
GEYLANG,1990-01,5 ROOM,13 TO 15,156000.0,156000.0,156000.0,156000.0,156000.0,1322.0338983050847,1322.0338983050847,1322.0338983050847,1322.0338983050847,1322.0338983050847
GEYLANG,1990-02,2 ROOM,01 TO 03,22350.0,16000.0,28700.0,19175.0,25525.0,518.8888888888889,400.0,637.7777777777778,459.44444444444446,578.3333333333334
GEYLANG,1990-02,2 ROOM,04 TO 06,13500.0,13500.0,13500.0,13500.0,13500.0,270.0,270.0,270.0,270.0,270.0
GEYLANG,1990-02,2 ROOM,07 TO 09,14500.0,14000.0,15000.0,14250.0,14750.0,333.7751855779427,326.0869565217391,341.4634146341463,329.9310710498409,337.61930010604453
GEYLANG,1990-02,2 ROOM,10 TO 12,18900.0,18900.0,18900.0,18900.0,18900.0,460.9756097560976,460.9756097560976,460.9756097560976,460.9756097560976,460.9756097560976
GEYLANG,1990-02,3 ROOM,01 TO 03,48000.0,48000.0,48000.0,48000.0,48000.0,716.4179104477612,716.4179104477612,716.4179104477612,716.4179104477612,716.4179104477612
GEYLANG,1990-02,3 ROOM,04 TO 06,21600.0,20000.0,22000.0,20800.0,21800.0,360.655737704918,350.87719298245617,385.7142857142857,355.76646534368706,373.1850117096019
GEYLANG,1990-02,3 ROOM,07 TO 09,37000.0,23200.0,51000.0,30100.0,44000.0,637.9310344827586,384.74295190713104,671.0526315789474,511.33699319494485,654.4918330308531
GEYLANG,1990-02,3 ROOM,10 TO 12,45000.0,45000.0,45000.0,45000.0,45000.0,762.7118644067797,762.7118644067797,762.7118644067797,762.7118644067797,762.7118644067797
GEYLANG,1990-02,3 ROOM,13 TO 15,55850.0,50500.0,61200.0,53175.0,58525.0,839.2921754862053,765.1515151515151,913.4328358208955,802.2218453188602,876.3625056535504
GEYLANG,1990-02,4 ROOM,01 TO 03,85500.0,70000.0,127000.0,77750.0,106250.0,939.5604395604396,769.2307692307693,1085.4700854700855,854.3956043956044,1012.5152625152625
GEYLANG,1990-02,4 ROOM,04 TO 06,69000.0,58000.0,80000.0,63500.0,74500.0,803.5225905262007,697.9542719614923,909.0909090909091,750.7384312438464,856.306749808555
GEYLANG,1990-02,4 ROOM,10 TO 12,87500.0,85000.0,90000.0,86250.0,88750.0,995.0828157349897,978.2608695652174,1011.9047619047619,986.6718426501035,1003.4937888198758
GEYLANG,1990-02,5 ROOM,01 TO 03,169000.0,169000.0,169000.0,169000.0,169000.0,1341.2698412698412,1341.2698412698412,1341.2698412698412,1341.2698412698412,1341.2698412698412
GEYLANG,1990-02,5 ROOM,04 TO 06,185000.0,185000.0,185000.0,185000.0,185000.0,1321.4285714285713,1321.4285714285713,1321.4285714285713,1321.4285714285713,1321.4285714285713
GEYLANG,1990-02,5 ROOM,07 TO 09,125000.0,125000.0,125000.0,125000.0,125000.0,1059.322033898305,1059.322033898305,1059.322033898305,1059.322033898305,1059.322033898305
GEYLANG,1990-02,5 ROOM,10 TO 12,228000.0,228000.0,228000.0,228000.0,228000.0,1628.5714285714287,1628.5714285714287,1628.5714285714287,1628.5714285714287,1628.5714285714287
GEYLANG,1990-02,EXECUTIVE,04 TO 06,220000.0,220000.0,220000.0,220000.0,220000.0,1466.6666666666667,1466.6666666666667,1466.6666666666667,1466.6666666666667,1466.6666666666667
GEYLANG,1990-03,2 ROOM,01 TO 03,14000.0,14000.0,14000.0,14000.0,14000.0,311.1111111111111,311.1111111111111,311.1111111111111,311.1111111111111,311.1111111111111
GEYLANG,1990-03,2 ROOM,04 TO 06,17000.0,13500.0,28700.0,14000.0,18900.0,378.0,270.0,637.7777777777778,297.8723404255319,414.6341463414634
