town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
GEYLANG,1990-01,2 ROOM,18450.0,12000.0,19100.0,14750.0,19000.0,411.1111111111111,240.0,477.5,345.8333333333333,465.6859756097561
GEYLANG,1990-02,2 ROOM,15500.0,13500.0,28700.0,14250.0,18175.0,370.7317073170732,270.0,637.7777777777778,329.9310710498409,445.7317073170732
GEYLANG,1990-03,2 ROOM,17000.0,13500.0,28700.0,13750.0,18950.0,378.0,270.0,637.7777777777778,304.4917257683215,434.8170731707317
GEYLANG,1990-04,2 ROOM,17950.0,15000.0,19000.0,16500.0,18925.0,417.3170731707317,365.8536585365854,475.0,402.4390243902439,433.75
GEYLANG,1990-05,2 ROOM,17000.0,17000.0,19000.0,17000.0,19000.0,425.0,340.0,463.4146341463415,380.0,425.0
GEYLANG,1990-06,2 ROOM,18700.0,17000.0,19100.0,17750.0,18900.0,425.9146341463414,393.6170212765957,472.5,414.4021739130435,456.0975609756098
GEYLANG,1990-07,2 ROOM,18900.0,13500.0,19000.0,18000.0,19000.0,382.97872340425533,300.0,463.4146341463415,378.0,413.04347826086956
GEYLANG,1990-08,2 ROOM,19050.0,14000.0,19100.0,17750.0,19100.0,423.33333333333337,333.3333333333333,477.5,400.0,437.70833333333337
GEYLANG,1990-09,2 ROOM,18450.0,13500.0,19100.0,16875.0,18950.0,369.0,337.5,465.8536585365854,354.375,399.9634146341464
GEYLANG,1990-10,2 ROOM,19000.0,14500.0,19100.0,16750.0,19050.0,463.4146341463415,345.23809523809524,477.5,404.32636469221836,470.45731707317077
GEYLANG,1990-11,2 ROOM,13500.0,13500.0,18000.0,13500.0,15750.0,329.2682926829268,321.42857142857144,360.0,325.34843205574913,344.6341463414634
GEYLANG,1990-12,2 ROOM,14000.0,13500.0,32000.0,14000.0,18500.0,350.0,300.0,711.1111111111111,333.3333333333333,393.6170212765957
GEYLANG,1991-01,2 ROOM,18900.0,17500.0,22000.0,18000.0,19100.0,415.2173913043478,400.0,550.0,402.1276595744681,416.6666666666667
GEYLANG,1991-02,2 ROOM,14750.0,13500.0,18000.0,13875.0,16125.0,359.5238095238095,329.2682926829268,400.0,344.8170731707317,376.7857142857143
GEYLANG,1991-03,2 ROOM,15000.0,14000.0,16000.0,14500.0,15500.0,330.7317073170732,320.0,341.4634146341463,325.3658536585366,336.0975609756097
GEYLANG,1991-04,2 ROOM,18000.0,13500.0,40200.0,15500.0,24125.0,405.62036055143165,297.8723404255319,893.3333333333334,330.0,575.6944444444445
GEYLANG,1991-07,2 ROOM,18000.0,16150.0,19000.0,17000.0,18900.0,380.0,358.8888888888889,460.9756097560976,377.77777777777777,400.0
GEYLANG,1991-08,2 ROOM,16000.0,16000.0,16000.0,16000.0,16000.0,320.0,320.0,320.0,320.0,320.0
GEYLANG,1991-09,2 ROOM,18000.0,15500.0,23500.0,16250.0,19075.0,392.8571428571429,369.04761904761904,470.0,380.23809523809524,442.26190476190476
GEYLANG,1991-10,2 ROOM,18000.0,15000.0,22500.0,16500.0,20250.0,400.0,357.14285714285717,450.0,378.57142857142856,425.0
GEYLANG,1991-11,2 ROOM,14500.0,14000.0,20000.0,14000.0,16250.0,341.66666666666663,297.8723404255319,500.0,324.46808510638294,387.5
GEYLANG,1991-12,2 ROOM,15000.0,13500.0,19000.0,13550.0,19000.0,337.5,295.6521739130435,475.0,318.75,380.0
GEYLANG,1992-01,2 ROOM,21750.0,13500.0,29000.0,17250.0,26000.0,503.38753387533876,329.2682926829268,644.4444444444445,420.7317073170732,577.7777777777778
GEYLANG,1992-02,2 ROOM,21000.0,18900.0,27000.0,18975.0,24000.0,475.0,380.0,675.0,432.5,543.75
GEYLANG,1992-03,2 ROOM,16500.0,15000.0,18000.0,15750.0,17250.0,330.0,300.0,360.0,315.0,345.0
GEYLANG,1992-04,2 ROOM,15000.0,15000.0,19000.0,15000.0,17000.0,375.0,365.8536585365854,422.22222222222223,370.4268292682927,398.6111111111111
GEYLANG,1992-05,2 ROOM,17000.0,17000.0,17000.0,17000.0,17000.0,404.76190476190476,404.76190476190476,404.76190476190476,404.76190476190476,404.76190476190476
GEYLANG,1992-06,2 ROOM,20000.0,15000.0,29000.0,18900.0,21500.0,472.5,300.0,725.0,400.0,524.390243902439
GEYLANG,1992-07,2 ROOM,17050.0,15000.0,19100.0,16025.0,18075.0,395.97030752916226,326.0869565217391,465.8536585365854,361.0286320254507,430.9119830328738
GEYLANG,1992-08,2 ROOM,19000.0,19000.0,19000.0,19000.0,19000.0,452.3809523809524,452.3809523809524,452.3809523809524,452.3809523809524,452.3809523809524
GEYLANG,1992-09,2 ROOM,18900.0,14000.0,25250.0,17950.0,19000.0,413.04347826086956,297.8723404255319,561.1111111111111,394.32367149758454,473.75
GEYLANG,1992-10,2 ROOM,19000.0,18900.0,21000.0,18950.0,20000.0,466.6666666666667,422.22222222222223,472.5,444.44444444444446,469.58333333333337
GEYLANG,1992-11,2 ROOM,19450.0,15000.0,40000.0,15975.0,32000.0,439.0,326.0869565217391,888.8888888888889,368.890243902439,725.0
GEYLANG,1992-12,2 ROOM,19000.0,14000.0,30000.0,18000.0,28000.0,439.0243902439024,304.3478260869565,666.6666666666666,422.22222222222223,560.0
GEYLANG,1993-01,2 ROOM,18900.0,13500.0,29000.0,15225.0,18975.0,390.06382978723406,329.2682926829268,580.0,357.0,456.781914893617
GEYLANG,1993-02,2 ROOM,19000.0,18900.0,31500.0,18950.0,25250.0,472.5,463.4146341463415,700.0,467.95731707317077,586.25
GEYLANG,1993-03,2 ROOM,19250.0,19000.0,19500.0,19125.0,19375.0,469.9404761904762,452.3809523809524,487.5,461.16071428571433,478.7202380952381
GEYLANG,1993-04,2 ROOM,17450.0,14000.0,20000.0,15250.0,18975.0,400.0,350.0,460.9756097560976,374.390243902439,423.8636363636364
GEYLANG,1993-05,2 ROOM,14000.0,14000.0,14000.0,14000.0,14000.0,325.5813953488372,325.5813953488372,325.5813953488372,325.5813953488372,325.5813953488372
GEYLANG,1993-06,2 ROOM,39000.0,33000.0,45000.0,36000.0,42000.0,858.695652173913,717.3913043478261,1000.0,788.0434782608696,929.3478260869565
GEYLANG,1993-07,2 ROOM,31000.0,15500.0,48000.0,25625.0,36750.0,727.7173913043478,369.04761904761904,960.0,565.0879917184265,858.75
GEYLANG,1993-08,2 ROOM,30000.0,17000.0,48000.0,29000.0,35000.0,731.7073170731708,377.77777777777777,960.0,668.8759278897137,826.3888888888889
GEYLANG,1993-09,2 ROOM,30000.0,20000.0,38000.0,30000.0,35000.0,731.7073170731708,434.7826086956522,844.4444444444445,731.7073170731708,777.7777777777778
GEYLANG,1993-10,2 ROOM,38500.0,27000.0,46000.0,32250.0,40750.0,892.0454545454545,638.2978723404256,1048.780487804878,753.5790031813361,976.272534464475
GEYLANG,1993-11,2 ROOM,40000.0,26000.0,47000.0,34500.0,41000.0,840.0,535.7142857142857,1119.047619047619,741.063829787234,1000.0
GEYLANG,1993-12,2 ROOM,40000.0,35000.0,45000.0,38000.0,41000.0,926.829268292683,777.7777777777778,1125.0,909.0909090909091,950.0
GEYLANG,1994-01,2 ROOM,35000.0,20000.0,55000.0,31250.0,35000.0,843.4959349593496,400.0,1222.2222222222222,708.3333333333333,869.6646341463414
GEYLANG,1994-02,2 ROOM,40000.0,32000.0,46000.0,35000.0,40000.0,888.8888888888889,700.0,1050.0,780.4878048780488,1000.0
GEYLANG,1994-03,2 ROOM,40000.0,30000.0,58000.0,39250.0,46000.0,963.9953542392567,600.0,1380.952380952381,841.6666666666667,1050.0
GEYLANG,1994-04,2 ROOM,40000.0,36000.0,48000.0,39000.0,43000.0,926.829268292683,780.0,1066.6666666666667,860.0,1023.8095238095239
GEYLANG,1994-05,2 ROOM,39000.0,29000.0,50000.0,38000.0,43000.0,920.4660587639312,707.3170731707318,1250.0,878.3643892339545,946.5425531914893
GEYLANG,1994-06,2 ROOM,39000.0,38000.0,40000.0,38500.0,39500.0,940.1162790697674,930.2325581395348,950.0,935.1744186046511,945.0581395348837
GEYLANG,1994-07,2 ROOM,45000.0,40000.0,54000.0,42000.0,51000.0,1024.3902439024391,800.0,1350.0,1000.0,1243.9024390243903
GEYLANG,1994-08,2 ROOM,45750.0,35000.0,54000.0,41250.0,49125.0,1041.376306620209,853.6585365853658,1317.0731707317073,961.987545407369,1110.1190476190477
GEYLANG,1994-09,2 ROOM,38000.0,35000.0,61000.0,36500.0,49500.0,926.829268292683,875.0,1355.5555555555557,900.9146341463415,1141.1924119241194
GEYLANG,1994-10,2 ROOM,42000.0,38000.0,60000.0,41000.0,47500.0,933.3333333333334,714.2857142857143,1333.3333333333333,800.0,1030.9692671394798
GEYLANG,1994-11,2 ROOM,45000.0,38000.0,47000.0,41000.0,45000.0,976.1904761904761,904.7619047619048,1125.0,940.0,1000.0
GEYLANG,1994-12,2 ROOM,50000.0,40000.0,73000.0,42000.0,55000.0,1050.0,888.8888888888889,1622.2222222222222,1000.0,1100.0
GEYLANG,1995-01,2 ROOM,39000.0,34000.0,58000.0,35750.0,49000.0,951.1904761904761,777.7777777777778,1300.0,859.4512195121952,1108.095238095238
GEYLANG,1995-02,2 ROOM,45000.0,39000.0,56500.0,43000.0,50000.0,1000.0,900.0,1345.2380952380952,937.5,1091.4285714285716
GEYLANG,1995-03,2 ROOM,59000.0,50000.0,61000.0,56500.0,61000.0,1378.0487804878048,1111.111111111111,1487.8048780487804,1355.5555555555557,1475.0
GEYLANG,1995-04,2 ROOM,45000.0,40000.0,64000.0,43000.0,52000.0,1097.560975609756,860.0,1280.0,1012.1951219512196,1183.2298136645963
GEYLANG,1995-05,2 ROOM,58500.0,55000.0,63000.0,56500.0,60750.0,1284.782608695652,1140.0,1375.0,1185.0,1370.9239130434783
GEYLANG,1995-06,2 ROOM,57000.0,50000.0,65000.0,54500.0,60500.0,1347.0744680851062,1195.6521739130435,1511.6279069767443,1282.0121951219512,1454.2682926829268
GEYLANG,1995-07,2 ROOM,52000.0,50000.0,54000.0,51000.0,53000.0,1283.5365853658536,1250.0,1317.0731707317073,1266.7682926829268,1300.3048780487804
GEYLANG,1995-08,2 ROOM,62000.0,57000.0,73000.0,59500.0,67500.0,1357.142857142857,1240.0,1697.6744186046512,1298.5714285714284,1527.4086378737543
GEYLANG,1995-09,2 ROOM,62000.0,55000.0,66000.0,59500.0,63750.0,1403.9024390243903,1222.2222222222222,1575.0,1295.5555555555557,1509.6036585365853
GEYLANG,1995-10,2 ROOM,62000.0,56000.0,85000.0,57000.0,70000.0,1416.6666666666665,1244.4444444444443,1808.5106382978724,1293.3333333333333,1725.0
GEYLANG,1995-11,2 ROOM,60500.0,52000.0,72000.0,57250.0,65000.0,1349.3031358885019,1106.3829787234042,1800.0,1302.3809523809523,1460.060975609756
GEYLANG,1995-12,2 ROOM,68500.0,57000.0,77000.0,60750.0,72000.0,1500.0,1140.0,1925.0,1446.6666666666667,1632.1220930232557
GEYLANG,1996-01,2 ROOM,73000.0,65000.0,76000.0,68500.0,74000.0,1625.0,1300.0,1853.658536585366,1500.0,1731.7073170731708
GEYLANG,1996-02,2 ROOM,69500.0,53000.0,82300.0,68500.0,77250.0,1544.4444444444443,1152.1739130434783,1828.888888888889,1461.6666666666667,1716.6666666666665
GEYLANG,1996-03,2 ROOM,69500.0,52000.0,93000.0,65250.0,75000.0,1674.7967479674799,1155.5555555555557,2066.6666666666665,1406.4523589269195,1798.780487804878
GEYLANG,1996-04,2 ROOM,74000.0,70000.0,85000.0,73000.0,81750.0,1827.7439024390244,1707.3170731707316,2048.7804878048782,1748.6933797909408,1885.4166666666667
