town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
GEYLANG,1990-02,EXECUTIVE,220000.0,220000.0,220000.0,220000.0,220000.0,1466.6666666666667,1466.6666666666667,1466.6666666666667,1466.6666666666667,1466.6666666666667
GEYLANG,1990-08,EXECUTIVE,204000.0,190000.0,267000.0,199750.0,220500.0,1369.8179524152847,1292.5170068027212,1880.281690140845,1324.7739885427857,1523.1526143160331
GEYLANG,1990-10,EXECUTIVE,212000.0,188000.0,236000.0,200000.0,224000.0,1399.1808992680376,1323.943661971831,1605.4421768707482,1344.2309486055406,1486.8868600071607
GEYLANG,1990-11,EXECUTIVE,210000.0,210000.0,210000.0,210000.0,210000.0,1409.3959731543623,1409.3959731543623,1409.3959731543623,1409.3959731543623,1409.3959731543623
GEYLANG,1990-12,EXECUTIVE,216500.0,204000.0,229000.0,210250.0,222750.0,1482.876712328767,1397.2602739726028,1568.4931506849316,1440.068493150685,1525.6849315068494
GEYLANG,1991-01,EXECUTIVE,210000.0,205000.0,218500.0,207500.0,214250.0,1428.5714285714287,1348.6842105263158,1437.5,1388.6278195488721,1433.0357142857142
GEYLANG,1991-02,EXECUTIVE,207000.0,204000.0,230000.0,204000.0,215000.0,1397.2602739726028,1381.578947368421,1564.6258503401361,1393.3399423215574,1439.1016680644861
GEYLANG,1991-03,EXECUTIVE,220000.0,204000.0,264000.0,212000.0,242000.0,1506.849315068493,1397.2602739726028,1833.3333333333333,1452.054794520548,1670.0913242009133
GEYLANG,1991-04,EXECUTIVE,205000.0,200000.0,210000.0,202500.0,207500.0,1404.109589041096,1369.86301369863,1438.3561643835617,1386.986301369863,1421.2328767123288
GEYLANG,1991-05,EXECUTIVE,222000.0,205000.0,256000.0,205000.0,243250.0,1520.5479452054794,1404.109589041096,1718.1208053691275,1404.109589041096,1657.2699273696792
GEYLANG,1991-06,EXECUTIVE,220500.0,204000.0,275000.0,205250.0,238750.0,1506.849315068493,1342.1052631578948,1883.5616438356165,1360.8313188289014,1635.2739726027396
GEYLANG,1991-07,EXECUTIVE,204000.0,204000.0,204000.0,204000.0,204000.0,1342.1052631578948,1342.1052631578948,1342.1052631578948,1342.1052631578948,1342.1052631578948
