town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
GEYLANG,1990-01,low,41000.0,15000.0,201000.0,22000.0,83500.0,677.9661016949152,303.57142857142856,1435.7142857142858,422.22222222222223,1128.3783783783783
GEYLANG,1990-02,low,40000.0,13500.0,220000.0,21200.0,106250.0,541.834278837889,270.0,1466.6666666666667,358.21110152430253,1012.1753246753246
GEYLANG,1990-03,low,35500.0,13500.0,190000.0,21875.0,74000.0,575.8974358974359,270.0,1357.142857142857,382.44835805084745,904.9369747899159
GEYLANG,1990-04,low,73000.0,15000.0,146000.0,21150.0,99000.0,894.3089430894308,303.57142857142856,1226.890756302521,417.3170731707317,1046.2991718426501
GEYLANG,1990-05,low,98500.0,28000.0,190000.0,49750.0,166000.0,966.8989547038327,388.8888888888889,1439.3939393939395,648.4677923702315,1274.6784845324992
GEYLANG,1990-06,low,50750.0,17500.0,214000.0,22625.0,77250.0,747.5877192982457,307.0175438596491,1528.5714285714287,419.62443878170126,919.3089430894308
GEYLANG,1990-07,low,24000.0,18000.0,98000.0,21500.0,62750.0,463.4146341463415,357.14285714285717,1101.123595505618,405.77507598784194,784.7826086956522
GEYLANG,1990-08,low,67000.0,19100.0,267000.0,28250.0,85000.0,799.8885172798216,412.6984126984127,1880.281690140845,480.7692307692308,901.0989010989011
GEYLANG,1990-09,low,47000.0,25000.0,184800.0,35100.0,69500.0,709.7474167623421,390.625,1400.0,581.0660124888493,941.0270078180527
GEYLANG,1990-10,low,84000.0,14500.0,117000.0,80000.0,86000.0,978.2608695652174,345.23809523809524,1125.0,869.5652173913044,1023.8095238095239
GEYLANG,1990-11,low,82000.0,25500.0,210000.0,71500.0,111850.0,952.3809523809524,425.0,1409.3959731543623,844.5812110922468,1070.3301127214172
GEYLANG,1990-12,low,53500.0,18000.0,118000.0,28000.0,82000.0,713.3333333333334,285.7142857142857,1123.8095238095239,437.5,891.304347826087
GEYLANG,1991-01,low,45500.0,17500.0,210000.0,27750.0,57125.0,700.0,327.8688524590164,1428.5714285714287,587.5,858.6170708955224
GEYLANG,1991-02,low,50000.0,14000.0,204000.0,35500.0,147350.0,762.7118644067797,350.0,1495.7627118644068,545.6140350877193,1233.7368566685113
GEYLANG,1991-03,low,89500.0,16000.0,264000.0,23250.0,128750.0,975.5202526941657,315.7894736842105,1833.3333333333333,390.9452736318408,1118.2359307359307
GEYLANG,1991-04,low,40100.0,14000.0,185000.0,31700.0,87625.0,874.8644986449865,297.8723404255319,1321.4285714285713,528.7311676082862,986.373001998002
GEYLANG,1991-05,low,25000.0,18000.0,118000.0,23600.0,66000.0,408.3333333333333,300.0,1134.6153846153845,390.625,785.7142857142857
GEYLANG,1991-06,low,72000.0,23000.0,240000.0,36875.0,126000.0,961.3214415726247,377.04918032786884,1643.835616438356,584.3063186813187,1126.948051948052
GEYLANG,1991-07,low,45000.0,17000.0,208000.0,21500.0,84050.0,671.6417910447761,331.6749585406302,1485.7142857142858,435.8449477351917,928.8766788766789
GEYLANG,1991-08,low,85000.0,16000.0,246000.0,44500.0,131660.0,920.6349206349207,320.0,1795.6204379562043,663.919413919414,1026.5003261578604
GEYLANG,1991-09,low,45500.0,20000.0,248000.0,40000.0,150000.0,762.7118644067797,357.14285714285717,1698.6301369863013,586.6666666666666,1027.3972602739725
GEYLANG,1991-10,low,60000.0,23000.0,100000.0,30000.0,80000.0,779.816513761468,383.3333333333333,1098.901098901099,508.47457627118644,882.3529411764706
GEYLANG,1991-11,low,40000.0,20000.0,104500.0,34750.0,54375.0,674.8039463698457,377.04918032786884,1161.111111111111,596.1538461538462,767.7247451343836
GEYLANG,1991-12,low,56000.0,15000.0,105000.0,20000.0,82000.0,673.8868832731649,300.0,1023.8095238095239,446.42857142857144,1000.0
GEYLANG,1992-01,low,82250.0,23000.0,162000.0,32000.0,103750.0,916.4377289377289,348.4848484848485,1365.5913978494623,610.2564102564103,1091.6895604395604
GEYLANG,1992-02,low,52500.0,19000.0,250000.0,40000.0,99325.0,738.498789346247,380.0,1736.111111111111,686.7329047340736,1053.5860655737706
GEYLANG,1992-03,low,40000.0,22000.0,225000.0,27000.0,90000.0,689.6551724137931,392.85714285714283,1584.5070422535211,446.44808743169403,1030.0207039337474
GEYLANG,1992-04,low,48000.0,19000.0,290000.0,34250.0,111250.0,755.5831265508684,350.74626865671644,2013.888888888889,534.668721109399,1101.4957264957266
GEYLANG,1992-05,low,40000.0,19000.0,127000.0,26500.0,88000.0,677.9661016949152,315.09121061359866,1236.5591397849462,455.3571428571429,1059.106334841629
GEYLANG,1992-06,low,114500.0,21500.0,203800.0,80000.0,160000.0,1267.605633802817,524.390243902439,1554.3478260869565,952.3809523809524,1363.095238095238
GEYLANG,1992-07,low,68500.0,19100.0,270000.0,40000.0,141500.0,1008.2627118644068,442.3076923076923,1849.3150684931506,688.722294654498,1431.5711462450593
GEYLANG,1992-08,low,53600.0,23000.0,230000.0,42000.0,117500.0,847.457627118644,383.3333333333333,1575.3424657534247,724.1379310344828,1305.8300395256917
GEYLANG,1992-09,low,54000.0,23000.0,279000.0,43250.0,89750.0,806.8948891031823,377.04918032786884,1910.958904109589,668.0288461538462,1162.1890547263683
GEYLANG,1992-10,low,48000.0,19000.0,222000.0,33000.0,120000.0,821.4285714285714,359.375,1850.0,507.6923076923077,1195.6521739130435
GEYLANG,1992-11,low,45250.0,15000.0,190000.0,35750.0,104500.0,762.7118644067797,326.0869565217391,1404.7619047619048,627.2506515043829,1098.871237458194
GEYLANG,1992-12,low,69125.0,19000.0,200000.0,34750.0,105500.0,954.047619047619,359.375,1340.6593406593406,620.5357142857142,1140.8582089552237
GEYLANG,1993-01,low,45500.0,13500.0,220000.0,35000.0,119000.0,762.7118644067797,329.2682926829268,1746.031746031746,593.2203389830509,1309.5238095238096
GEYLANG,1993-02,low,86000.0,21000.0,320000.0,44250.0,121500.0,1014.9253731343283,375.0,2119.205298013245,675.4662004662005,1373.015873015873
GEYLANG,1993-03,low,100000.0,20000.0,290000.0,85000.0,115000.0,1011.9047619047619,316.95721077654514,2086.3309352517986,989.247311827957,1105.7692307692307
GEYLANG,1993-04,low,56000.0,23000.0,212000.0,43500.0,129000.0,949.1525423728814,442.3076923076923,1709.6774193548388,744.155464640561,1390.6434474616294
GEYLANG,1993-05,low,116500.0,25000.0,323000.0,66000.0,165000.0,1362.4899112187247,416.6666666666667,2167.7852348993288,1097.384570426651,1453.4785067873304
GEYLANG,1993-06,low,104000.0,35000.0,358000.0,63500.0,210000.0,1226.007326007326,583.3333333333334,2452.054794520548,1038.0780471033179,1813.034188034188
GEYLANG,1993-07,low,72500.0,29000.0,352000.0,51500.0,114500.0,1055.5555555555557,630.4347826086956,2410.958904109589,893.6825885978428,1295.1074660633483
GEYLANG,1993-08,low,70000.0,29000.0,375000.0,53500.0,155000.0,1186.4406779661017,630.4347826086956,2516.778523489933,893.9150401836969,1539.9967679379442
GEYLANG,1993-09,low,136000.0,32000.0,331000.0,56750.0,184500.0,1506.061872909699,507.13153724247223,2267.123287671233,1013.3928571428571,1782.0215287379024
GEYLANG,1993-10,low,63500.0,27000.0,370000.0,42250.0,181250.0,1092.8571428571427,638.2978723404256,2569.4444444444443,977.5980911983033,1728.120925684485
GEYLANG,1993-11,low,102000.0,36000.0,363000.0,65000.0,165000.0,1353.8461538461538,857.1428571428571,2475.409836065574,1071.4285714285713,1733.3333333333333
GEYLANG,1993-12,low,95000.0,34000.0,360000.0,80000.0,163000.0,1528.8461538461538,563.8474295190713,2465.753424657534,1250.0,1865.6716417910447
GEYLANG,1994-01,low,127500.0,20000.0,409000.0,77250.0,187250.0,1517.857142857143,400.0,2801.3698630136987,1106.672932330827,1987.895767598738
GEYLANG,1994-02,low,86000.0,40000.0,395000.0,68000.0,190000.0,1457.6271186440679,975.609756097561,2705.4794520547944,1195.22921108742,1923.076923076923
GEYLANG,1994-03,low,140000.0,39000.0,420000.0,63250.0,237500.0,1666.6666666666667,866.6666666666666,2837.837837837838,1101.5625,2029.9145299145298
GEYLANG,1994-04,low,91000.0,60000.0,393800.0,72750.0,188000.0,1508.4745762711864,1083.3333333333333,2874.4525547445255,1216.9642857142858,2004.590395480226
GEYLANG,1994-05,low,93000.0,38000.0,377500.0,69750.0,200750.0,1491.8043710021323,861.1111111111111,2715.827338129496,1092.7966101694915,1886.4265015806113
GEYLANG,1994-06,low,86000.0,38000.0,385000.0,75500.0,190000.0,1401.2629161882892,950.0,2636.986301369863,1235.576923076923,1807.1428571428573
GEYLANG,1994-07,low,159000.0,45000.0,405000.0,90000.0,211250.0,1796.9173993270379,1000.0,2923.913043478261,1500.3177966101696,2241.8478260869565
GEYLANG,1994-08,low,114000.0,40000.0,470000.0,78375.0,296250.0,1583.686440677966,957.4468085106383,2937.5,1265.8864767073724,2185.665362035225
GEYLANG,1994-09,low,152000.0,69000.0,470000.0,85000.0,200000.0,1785.7142857142858,1210.5263157894738,3092.1052631578946,1392.857142857143,2142.8571428571427
GEYLANG,1994-10,low,120000.0,42000.0,278000.0,80000.0,147000.0,1666.6666666666667,933.3333333333334,2521.7391304347825,1323.5294117647059,1778.5714285714287
