town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
GEYLANG,1990-01,39600.0,12000.0,201000.0,21500.0,61300.0,600.0,240.0,1525.4237288135594,383.3333333333333,914.9253731343283
GEYLANG,1990-02,50750.0,13500.0,228000.0,21900.0,86625.0,739.5648874272704,270.0,1628.5714285714287,396.42857142857144,986.6718426501035
GEYLANG,1990-03,42000.0,13500.0,190000.0,21000.0,95000.0,637.7777777777778,270.0,1357.142857142857,400.0,940.1709401709402
GEYLANG,1990-04,72500.0,15000.0,165000.0,26425.0,99500.0,894.2698561601001,303.57142857142856,1538.4615384615386,473.6607142857143,1040.936147186147
GEYLANG,1990-05,38000.0,17000.0,190000.0,22875.0,86000.0,584.6153846153846,340.0,1439.3939393939395,422.39842454394693,1023.8095238095239
GEYLANG,1990-06,40000.0,17000.0,214000.0,23200.0,70500.0,615.3846153846154,307.0175438596491,1528.5714285714287,425.9146341463414,875.2275209319257
GEYLANG,1990-07,63000.0,13500.0,210000.0,26250.0,94000.0,869.5652173913044,300.0,1590.909090909091,472.09193245778613,1030.5900621118012
GEYLANG,1990-08,82000.0,14000.0,267000.0,35000.0,91000.0,875.0,281.25,1880.281690140845,553.5714285714286,1023.8095238095239
GEYLANG,1990-09,60500.0,13500.0,185000.0,32250.0,86350.0,805.4806828391734,327.8688524590164,1400.0,507.6923076923077,1027.9761904761904
GEYLANG,1990-10,82000.0,14500.0,236000.0,34000.0,118000.0,978.2608695652174,321.42857142857144,1605.4421768707482,560.6060606060606,1100.9174311926606
GEYLANG,1990-11,56600.0,13500.0,210000.0,31500.0,86250.0,793.2584269662921,321.42857142857144,1471.698113207547,533.1564986737401,1026.7857142857142
GEYLANG,1990-12,44350.0,13500.0,229000.0,27250.0,84125.0,683.8106370543542,285.7142857142857,1571.4285714285713,435.2678571428571,1032.6876513317193
GEYLANG,1991-01,49850.0,17500.0,218500.0,35389.25,106875.0,776.5151515151515,327.8688524590164,1437.5,598.761408083442,1024.058854718982
GEYLANG,1991-02,46000.0,13500.0,230000.0,24000.0,118000.0,712.1212121212121,329.2682926829268,1564.6258503401361,417.85714285714283,1134.6153846153845
GEYLANG,1991-03,75000.0,14000.0,264000.0,36750.0,110750.0,910.1123595505618,315.7894736842105,1833.3333333333333,607.6502732240438,1023.8095238095239
GEYLANG,1991-04,47250.0,13500.0,210000.0,24750.0,82375.0,779.7619047619048,297.8723404255319,1438.3561643835617,425.0769959725184,934.2451027233635
GEYLANG,1991-05,66000.0,18000.0,256000.0,40000.0,118000.0,854.7008547008547,300.0,1718.1208053691275,671.6417910447761,1134.6153846153845
GEYLANG,1991-06,61000.0,19000.0,275000.0,34250.0,112500.0,905.7733311464655,298.5074626865672,1883.5616438356165,530.3030303030303,1106.5934065934066
GEYLANG,1991-07,71000.0,16150.0,208000.0,23250.0,113125.0,811.4035087719299,309.09090909090907,1613.6752136752136,412.20238095238096,1128.7784679089027
GEYLANG,1991-08,77370.0,16000.0,279000.0,40000.0,120000.0,880.2008608321378,295.08196721311475,1872.4832214765102,629.4489092996555,1157.77972027972
GEYLANG,1991-09,73500.0,15500.0,250000.0,40000.0,132250.0,925.5611543747137,298.2456140350877,1712.3287671232877,622.8787878787879,1127.7724204435874
GEYLANG,1991-10,64000.0,15000.0,240000.0,29250.0,100000.0,848.8700564971751,321.42857142857144,1643.835616438356,497.4273607748184,1061.7368742368744
GEYLANG,1991-11,61000.0,14000.0,250000.0,39000.0,105000.0,809.5238095238095,297.8723404255319,1750.0,615.3846153846154,1134.6153846153845
GEYLANG,1991-12,60000.0,13500.0,272000.0,20750.0,86000.0,797.7456940222897,283.3333333333333,1825.503355704698,380.3565505804312,1023.8095238095239
GEYLANG,1992-01,84750.0,13500.0,275000.0,45000.0,139700.0,925.309350682485,288.135593220339,1883.5616438356165,678.7313432835821,1162.5438695799842
GEYLANG,1992-02,48000.0,16600.0,250000.0,30000.0,130000.0,762.7118644067797,230.55555555555554,1736.111111111111,525.4237288135594,1139.344262295082
GEYLANG,1992-03,63000.0,15000.0,280000.0,28500.0,97500.0,857.1428571428571,300.0,1893.939393939394,482.73809523809524,1109.0395480225989
GEYLANG,1992-04,50000.0,15000.0,290000.0,32000.0,115350.0,762.7118644067797,350.74626865671644,2013.888888888889,511.8130457113508,1082.3674636174637
GEYLANG,1992-05,86000.0,17000.0,275000.0,40000.0,134500.0,897.0588235294117,300.0,1883.5616438356165,610.7226107226106,1225.3310214375788
GEYLANG,1992-06,90000.0,15000.0,260000.0,40000.0,140000.0,1071.4285714285713,300.0,1916.6666666666667,652.542372881356,1289.5405218194414
GEYLANG,1992-07,65000.0,15000.0,292000.0,40000.0,130000.0,987.9518072289156,316.6666666666667,1986.3945578231292,638.4742951907132,1139.344262295082
GEYLANG,1992-08,73000.0,19000.0,233000.0,40000.0,122250.0,959.4594594594595,348.4848484848485,1974.5762711864406,673.7749546279492,1287.7647714604236
GEYLANG,1992-09,46500.0,14000.0,283000.0,34625.0,107500.0,755.7855280312907,297.8723404255319,1938.3561643835617,574.6794871794872,1105.072463768116
GEYLANG,1992-10,70250.0,18900.0,295000.0,39875.0,118000.0,974.1025641025641,316.6666666666667,1979.8657718120805,674.8771119288726,1214.5019024558976
GEYLANG,1992-11,50000.0,15000.0,335000.0,38000.0,100000.0,803.5714285714286,298.2456140350877,2278.91156462585,642.8571428571429,1147.0588235294117
GEYLANG,1992-12,61000.0,14000.0,282000.0,30000.0,112000.0,917.2491970527111,269.4136291600634,1931.5068493150684,595.0,1205.8823529411766
GEYLANG,1993-01,61000.0,13500.0,290000.0,37500.0,118500.0,891.304347826087,329.2682926829268,1986.3013698630136,653.5261545380442,1139.423076923077
