town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
HOUGANG,1990-01,3 ROOM,01 TO 03,48750.0,42000.0,55700.0,47250.0,51375.0,708.955223880597,626.8656716417911,776.1194029850747,677.0623235175474,743.6315046389673
HOUGANG,1990-01,3 ROOM,04 TO 06,50000.0,25200.0,63000.0,31700.0,52500.0,746.2686567164179,427.1186440677966,783.5820895522388,458.90410958904107,768.2926829268292
HOUGANG,1990-01,3 ROOM,07 TO 09,52200.0,39000.0,52500.0,50800.0,52500.0,783.5820895522388,577.2727272727273,790.9090909090909,582.0895522388059,783.5820895522388
HOUGANG,1990-01,3 ROOM,10 TO 12,46700.0,32500.0,52500.0,39050.0,47000.0,697.0149253731344,457.7464788732394,750.0,576.3387297633873,701.4925373134329
HOUGANG,1990-01,3 ROOM,13 TO 15,36000.0,24000.0,48000.0,30000.0,42000.0,527.7141548327988,406.77966101694915,648.6486486486486,467.246907924874,588.1814017407238
HOUGANG,1990-01,4 ROOM,04 TO 06,80000.0,60000.0,100000.0,71000.0,93000.0,763.4408602150538,731.7073170731708,961.5384615384615,754.7169811320755,885.7142857142857
HOUGANG,1990-01,4 ROOM,07 TO 09,84000.0,70000.0,112000.0,70750.0,100750.0,830.794504181601,752.6881720430108,1230.7692307692307,760.752688172043,981.3034188034188
HOUGANG,1990-01,4 ROOM,10 TO 12,89500.0,73000.0,100000.0,78250.0,99250.0,859.4542503550416,761.9047619047619,943.3962264150944,779.1858678955454,936.3207547169811
HOUGANG,1990-01,4 ROOM,13 TO 15,115000.0,115000.0,115000.0,115000.0,115000.0,1084.9056603773586,1084.9056603773586,1084.9056603773586,1084.9056603773586,1084.9056603773586
HOUGANG,1990-01,4 ROOM,16 TO 18,52000.0,52000.0,52000.0,52000.0,52000.0,634.1463414634146,634.1463414634146,634.1463414634146,634.1463414634146,634.1463414634146
HOUGANG,1990-01,5 ROOM,01 TO 03,141000.0,105000.0,180000.0,129500.0,158500.0,1034.9424793033008,875.0,1250.0,967.8529190409633,1202.8105482303956
HOUGANG,1990-01,5 ROOM,04 TO 06,146500.0,133000.0,160000.0,139750.0,153250.0,1112.967058549645,1099.1735537190082,1126.7605633802816,1106.0703061343265,1119.8638109649632
HOUGANG,1990-01,5 ROOM,07 TO 09,127000.0,127000.0,127000.0,127000.0,127000.0,1007.936507936508,1007.936507936508,1007.936507936508,1007.936507936508,1007.936507936508
HOUGANG,1990-01,5 ROOM,10 TO 12,142000.0,130000.0,147000.0,136000.0,144500.0,1075.7575757575758,1074.3801652892562,1214.8760330578511,1075.068870523416,1145.3168044077133
HOUGANG,1990-01,EXECUTIVE,04 TO 06,192000.0,182000.0,215000.0,187000.0,203500.0,1288.5906040268455,1238.095238095238,1472.6027397260275,1263.3429210610418,1380.5966718764366
HOUGANG,1990-01,EXECUTIVE,07 TO 09,190000.0,190000.0,190000.0,190000.0,190000.0,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642
HOUGANG,1990-01,EXECUTIVE,10 TO 12,212500.0,210000.0,215000.0,211250.0,213750.0,1440.7519764662622,1418.918918918919,1462.5850340136055,1429.8354476925906,1451.668505239934
HOUGANG,1990-02,3 ROOM,01 TO 03,47000.0,38500.0,63100.0,45175.0,54750.0,700.7462686567164,547.945205479452,770.2702702702703,626.5334287466776,739.6753460777851
HOUGANG,1990-02,3 ROOM,04 TO 06,33400.0,33400.0,33400.0,33400.0,33400.0,491.1764705882353,491.1764705882353,491.1764705882353,491.1764705882353,491.1764705882353
HOUGANG,1990-02,3 ROOM,07 TO 09,44000.0,40000.0,47000.0,44000.0,46000.0,656.7164179104477,597.0149253731344,701.4925373134329,602.7397260273973,686.5671641791045
HOUGANG,1990-02,3 ROOM,10 TO 12,43500.0,40000.0,47000.0,41750.0,45250.0,649.2537313432836,597.0149253731344,701.4925373134329,623.134328358209,675.3731343283582
HOUGANG,1990-02,3 ROOM,13 TO 15,49650.0,47000.0,52300.0,48325.0,50975.0,741.044776119403,701.4925373134329,780.5970149253732,721.2686567164179,760.8208955223881
HOUGANG,1990-02,4 ROOM,04 TO 06,99350.0,63000.0,116000.0,89775.0,104000.0,959.8954443614638,663.1578947368421,1115.3846153846155,884.47879407256,1000.0
