town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
HOUGANG,1990-01,high,52500.0,24000.0,215000.0,46700.0,107500.0,739.4366197183099,406.77966101694915,1462.5850340136055,641.3974950560316,1008.8881958521753
HOUGANG,1990-02,high,81150.0,40000.0,190000.0,47000.0,180500.0,919.1446613088403,597.0149253731344,1267.123287671233,701.4925373134329,1151.5625
HOUGANG,1990-03,high,60000.0,42000.0,180000.0,52000.0,109000.0,783.5820895522388,575.3424657534247,1280.9917355371902,718.1818181818181,930.1075268817204
HOUGANG,1990-04,high,85000.0,42000.0,165000.0,53500.0,130500.0,879.1208791208791,575.3424657534247,1259.5419847328244,798.5074626865671,1134.6153846153845
HOUGANG,1990-05,high,45000.0,37400.0,122000.0,41000.0,52500.0,671.6417910447761,558.2089552238806,1009.6153846153846,571.8666939276221,783.5820895522388
HOUGANG,1990-06,high,110000.0,26000.0,216000.0,54475.0,118250.0,914.5799925989886,440.6779661016949,1384.6153846153845,707.3560767590618,1121.0678210678211
HOUGANG,1990-07,high,85000.0,40000.0,192000.0,65100.0,96750.0,817.3076923076924,547.945205479452,1352.112676056338,767.8796223446105,904.1132478632478
HOUGANG,1990-08,high,61500.0,30000.0,178000.0,44175.0,102275.0,776.1194029850747,428.57142857142856,1308.8235294117646,650.7539880358923,907.0454545454545
HOUGANG,1990-09,high,49000.0,31000.0,80000.0,39000.0,65000.0,642.1487603305785,516.6666666666666,879.1208791208791,577.9906656841072,726.0508308895405
HOUGANG,1990-10,high,47200.0,40000.0,215000.0,46700.0,138000.0,704.4776119402985,578.082191780822,1378.2051282051282,697.0149253731344,1106.8702290076335
HOUGANG,1990-11,high,50000.0,30000.0,137000.0,39000.0,66500.0,716.2162162162163,428.57142857142856,1132.2314049586778,541.578236542543,831.351484336559
HOUGANG,1990-12,high,81500.0,40000.0,208000.0,62750.0,122250.0,880.6990881458967,547.945205479452,1405.4054054054054,719.2184240089873,1046.0763861028645
HOUGANG,1991-01,high,72000.0,31500.0,183500.0,47675.0,99500.0,801.2828419884052,500.0,1390.1515151515152,701.829268292683,969.4478908188586
HOUGANG,1991-02,high,65000.0,35300.0,199800.0,41750.0,88500.0,756.7567567567568,534.2465753424658,1332.0,623.1343283582089,855.0224047796863
HOUGANG,1991-03,high,46700.0,35000.0,180000.0,42750.0,76675.0,695.5223880597015,534.2465753424658,1192.0529801324503,636.1486486486486,785.488764966377
HOUGANG,1991-04,high,56000.0,31000.0,212500.0,42000.0,110000.0,763.7593283582089,462.6865671641791,1407.2847682119204,619.4029850746269,960.2897102897102
HOUGANG,1991-05,high,98000.0,35000.0,180000.0,68500.0,125000.0,918.3673469387755,507.2463768115942,1216.2162162162163,831.006831006831,1037.3740412092043
HOUGANG,1991-06,high,90000.0,47000.0,218000.0,70000.0,110000.0,865.0793650793651,625.0,1397.4358974358975,763.4408602150538,1038.8349514563106
HOUGANG,1991-07,high,71500.0,35000.0,180000.0,56750.0,126375.0,771.712158808933,537.3134328358209,1314.0495867768595,701.4925373134329,1044.4214876033056
HOUGANG,1991-08,high,65750.0,31000.0,120000.0,44250.0,94750.0,694.8460820895523,525.4237288135594,1153.8461538461538,643.7592258487781,908.5227272727273
HOUGANG,1991-09,high,56250.0,31500.0,207000.0,41875.0,93625.0,735.5719683957403,533.8983050847457,1380.0,601.3085258638316,864.91848991849
HOUGANG,1991-10,high,77000.0,30000.0,215000.0,53750.0,104250.0,833.777872612824,508.47457627118644,1472.6027397260275,695.8353394318729,1076.0553942372123
HOUGANG,1991-11,high,64000.0,35000.0,226000.0,45000.0,90000.0,761.9047619047619,583.3333333333334,1516.778523489933,652.1739130434783,900.8264462809917
HOUGANG,1991-12,high,59000.0,24000.0,100000.0,47000.0,70350.0,709.4419208306294,406.77966101694915,1056.1797752808989,670.6240188383046,786.9909502262444
HOUGANG,1992-01,high,68300.0,24000.0,171000.0,52500.0,77000.0,780.2197802197802,406.77966101694915,1413.2231404958677,701.4925373134329,970.1492537313433
HOUGANG,1992-02,high,76500.0,30300.0,190000.0,53350.0,128500.0,884.6153846153846,452.23880597014926,1360.2941176470588,696.4779759737896,1028.0
HOUGANG,1992-03,high,104000.0,40000.0,228000.0,70000.0,146500.0,972.5725094577554,577.027027027027,1509.9337748344371,796.5889276373148,1092.5324675324675
HOUGANG,1992-04,high,73000.0,47000.0,208000.0,60000.0,94000.0,869.047619047619,619.047619047619,1405.4054054054054,714.2857142857143,942.3076923076923
HOUGANG,1992-05,high,96000.0,40000.0,247000.0,61000.0,179250.0,1063.9187574671446,547.945205479452,1668.918918918919,761.9047619047619,1197.292025764311
HOUGANG,1992-06,high,80000.0,37000.0,175000.0,61575.0,110750.0,877.0903010033445,552.2388059701492,1446.280991735537,759.5608108108108,1086.1150744416873
HOUGANG,1992-07,high,93000.0,41000.0,248000.0,56000.0,155000.0,900.8264462809917,575.3424657534247,1710.344827586207,709.6774193548387,1229.5081967213114
HOUGANG,1992-08,high,110000.0,35000.0,225000.0,72000.0,144500.0,952.3809523809524,552.0833333333334,1520.2702702702702,798.4281091077207,1213.960113960114
HOUGANG,1992-09,high,79380.0,40000.0,230000.0,50000.0,155000.0,833.3333333333334,597.0149253731344,1575.3424657534247,702.4793388429752,1183.206106870229
HOUGANG,1992-10,high,119500.0,42000.0,277000.0,65500.0,173700.0,1113.7585532746823,575.3424657534247,1884.3537414965986,795.986284792255,1417.3076923076924
HOUGANG,1992-11,high,105500.0,31500.0,255000.0,49250.0,150000.0,1109.126984126984,533.8983050847457,1758.6206896551723,711.4955357142858,1291.748957647575
HOUGANG,1992-12,high,141000.0,32000.0,265000.0,61250.0,166250.0,1067.3076923076924,438.35616438356163,1827.5862068965516,731.6930970149253,1260.03957630078
HOUGANG,1993-01,high,105250.0,37000.0,200000.0,60500.0,134875.0,1007.1334503950834,451.219512195122,1470.5882352941176,782.5159914712153,1225.235849056604
HOUGANG,1993-02,high,68000.0,24000.0,220000.0,47500.0,106000.0,777.014652014652,406.77966101694915,1506.849315068493,672.0430107526881,1006.8624557260921
HOUGANG,1993-03,high,91250.0,42000.0,193500.0,61250.0,106750.0,943.1326249508068,575.3424657534247,1612.5,810.8996302889224,1105.2455357142858
HOUGANG,1993-04,high,100000.0,50000.0,206000.0,67500.0,125000.0,1041.6666666666667,689.1891891891892,1716.6666666666667,872.1042471042472,1203.494623655914
HOUGANG,1993-05,high,130000.0,42000.0,270000.0,90250.0,171000.0,1380.952380952381,626.8656716417911,1836.734693877551,1077.3028795416856,1516.5364275001975
HOUGANG,1993-06,high,107000.0,45000.0,310000.0,63500.0,206750.0,1150.7936507936506,609.7560975609756,2094.5945945945946,931.8181818181819,1674.4192242114236
HOUGANG,1993-07,high,130000.0,70000.0,243000.0,94500.0,141500.0,1428.5714285714287,760.8695652173913,1991.8032786885246,1251.6233766233765,1554.9450549450548
HOUGANG,1993-08,high,128000.0,75000.0,315000.0,89500.0,185000.0,1560.9756097560976,1119.402985074627,2114.0939597315437,1290.3225806451612,1778.8461538461538
HOUGANG,1993-09,high,179000.0,65000.0,338000.0,86750.0,242500.0,1734.3253788222485,1000.0,2253.3333333333335,1198.2949959644875,1956.6910733759153
HOUGANG,1993-10,high,174500.0,75000.0,370500.0,123750.0,228750.0,1711.0233516483518,1223.8805970149253,2486.577181208054,1467.2072330654419,1919.4214876033059
HOUGANG,1993-11,high,168000.0,65000.0,363000.0,123000.0,260000.0,1648.3516483516485,945.9459459459459,2503.448275862069,1437.5,1907.8947368421052
HOUGANG,1993-12,high,148250.0,78000.0,376200.0,90000.0,307500.0,1552.5290761465876,1148.6486486486488,2630.769230769231,1308.3333333333333,2248.934426229508
HOUGANG,1994-01,high,150000.0,70000.0,371000.0,90000.0,206000.0,1611.6504854368932,1123.2876712328766,2561.9834710743803,1301.3698630136987,1923.076923076923
HOUGANG,1994-02,high,150000.0,75000.0,360000.0,100250.0,198750.0,1714.7435897435898,1013.5135135135135,2487.603305785124,1389.6103896103896,1848.3711786889191
HOUGANG,1994-03,high,180000.0,75000.0,418000.0,105000.0,277500.0,1747.5728155339805,1095.890410958904,2863.013698630137,1478.1527146874323,2123.02627158503
HOUGANG,1994-04,high,172500.0,76000.0,388000.0,124750.0,244000.0,1800.886869997837,1101.4492753623188,2503.2258064516127,1614.5618556701031,2164.6825396825398
HOUGANG,1994-05,high,177500.0,82000.0,388000.0,115000.0,227000.0,1895.4227590591227,961.5384615384615,2621.6216216216217,1515.8536585365853,2020.8333333333335
HOUGANG,1994-06,high,173000.0,85000.0,407000.0,142000.0,280000.0,1809.5238095238096,1175.6756756756756,2806.896551724138,1491.5254237288136,2190.0826446280994
HOUGANG,1994-07,high,177500.0,76000.0,415000.0,145000.0,271250.0,1868.6794305351007,1235.2941176470588,2785.2348993288592,1480.9782608695652,2219.9265381083565
HOUGANG,1994-08,high,177500.0,80000.0,425000.0,129250.0,323000.0,1839.4777265745008,1194.0298507462687,2852.3489932885905,1687.8292905581638,2451.224662162162
HOUGANG,1994-09,high,182500.0,85000.0,408000.0,122750.0,293750.0,1932.4122479462285,1216.2162162162163,2756.7567567567567,1718.89400921659,2251.578824263215
HOUGANG,1994-10,high,188800.0,90000.0,400000.0,150000.0,325000.0,2047.6190476190477,1168.8311688311687,2800.0,1752.5773195876288,2391.6666666666665
HOUGANG,1994-11,high,187500.0,86000.0,420000.0,100000.0,301250.0,1814.8733031674208,1283.5820895522388,2857.1428571428573,1491.0246066962486,2420.7746478873237
HOUGANG,1994-12,high,190000.0,86000.0,442000.0,155000.0,275000.0,1887.7551020408164,1283.5820895522388,3048.2758620689656,1718.2890855457226,2293.3884297520663
HOUGANG,1995-01,high,205000.0,77000.0,495000.0,114000.0,229900.0,1933.9622641509434,1203.125,3413.793103448276,1619.6046793061719,2330.357142857143
HOUGANG,1995-02,high,195000.0,83000.0,420000.0,163500.0,264000.0,2000.0,1219.5121951219512,2781.456953642384,1892.857142857143,2325.639599555061
HOUGANG,1995-03,high,198000.0,83000.0,405000.0,158500.0,326500.0,2153.846153846154,1296.875,2702.7027027027025,1754.8076923076924,2424.8322147651006
HOUGANG,1995-04,high,245000.0,85000.0,460000.0,198000.0,368250.0,2334.8909657320874,1416.6666666666667,3150.6849315068494,2072.4587912087914,2655.4183521396635
HOUGANG,1995-05,high,180000.0,85000.0,355000.0,125000.0,232000.0,2145.631067961165,1440.677966101695,2727.2727272727275,1742.4242424242425,2277.777777777778
HOUGANG,1995-06,high,230000.0,100000.0,361000.0,193000.0,308000.0,2233.009708737864,1369.86301369863,3008.3333333333335,2127.659574468085,2545.4545454545455
HOUGANG,1995-07,high,249000.0,76000.0,460000.0,207000.0,341450.0,2441.978733240869,1288.135593220339,3239.43661971831,2172.6190476190477,2746.5297860034702
HOUGANG,1995-08,high,210000.0,105000.0,485000.0,132000.0,318250.0,2242.7184466019417,1486.4864864864865,3321.917808219178,1871.3190802743043,2588.314049586777
HOUGANG,1995-09,high,317500.0,103000.0,490000.0,223000.0,389500.0,2623.9669421487606,1547.945205479452,3288.5906040268455,2368.238557558946,3047.6584022038564
HOUGANG,1995-10,high,224000.0,104000.0,518800.0,175250.0,257625.0,2343.735992828328,1756.7567567567567,3413.157894736842,2101.471807628524,2499.818774918449
HOUGANG,1995-11,high,227250.0,107000.0,504000.0,187750.0,332500.0,2426.651305683564,1641.7910447761194,3428.5714285714284,2143.4151785714284,2625.4801536491677
HOUGANG,1995-12,high,226000.0,106500.0,500000.0,150000.0,347000.0,2380.9523809523807,1605.6338028169014,3496.5034965034965,2074.626865671642,2695.2380952380954
HOUGANG,1996-01,high,270000.0,133000.0,540000.0,216000.0,350000.0,2583.3333333333335,1927.536231884058,3698.6301369863013,2355.769230769231,2781.5533980582522
HOUGANG,1996-02,high,250000.0,123000.0,518000.0,209000.0,334400.0,2596.153846153846,1863.6363636363637,3572.4137931034484,2455.78231292517,2763.1733021077284
HOUGANG,1996-03,high,279500.0,115000.0,588000.0,170000.0,440000.0,2797.6190476190477,1916.6666666666667,4027.3972602739727,2313.4328358208954,3241.3793103448274
HOUGANG,1996-04,high,298250.0,125000.0,630000.0,202000.0,415000.0,2895.631067961165,1865.6716417910447,4405.5944055944055,2391.274476125043,3175.198587819947
HOUGANG,1996-05,high,302000.0,130000.0,609800.0,272500.0,427500.0,2980.769230769231,2166.6666666666665,4047.6190476190477,2823.9296081277216,3467.948717948718
HOUGANG,1996-06,high,320000.0,146000.0,633000.0,258000.0,380000.0,3130.9523809523807,2191.780821917808,4335.664335664335,2857.1428571428573,3289.2561983471073
HOUGANG,1996-07,high,335000.0,140000.0,620000.0,231500.0,450000.0,3238.095238095238,2164.179104477612,4335.664335664335,2760.647979614125,3672.176308539945
HOUGANG,1996-08,high,343500.0,170000.0,656000.0,268875.0,462000.0,3362.6373626373625,2476.190476190476,4625.0,3177.2113022113026,3809.8122350090853
HOUGANG,1996-09,high,285000.0,154000.0,585000.0,210000.0,334500.0,3131.868131868132,2169.0140845070423,3874.1721854304637,2837.837837837838,3400.7187780772683
HOUGANG,1996-10,high,350000.0,166000.0,670000.0,262000.0,459500.0,3450.4363392257774,2397.2602739726026,4589.041095890411,3142.785904255319,3778.9256198347107
HOUGANG,1996-11,high,359000.0,170000.0,695000.0,264750.0,505750.0,3432.0828819068256,2537.313432835821,4860.1398601398605,3155.327004219409,3937.624007936508
HOUGANG,1996-12,high,365000.0,150000.0,650000.0,220000.0,498000.0,3428.5714285714284,2343.75,4499.983333333334,3104.4776119402986,3951.6129032258063
HOUGANG,1997-01,high,333000.0,159000.0,650000.0,221250.0,476000.0,3251.3736263736264,2178.082191780822,4545.454545454545,3030.4054054054054,3899.088285451922
HOUGANG,1997-02,high,330000.0,177000.0,665000.0,218000.0,475000.0,3250.0,2658.5365853658536,4523.809523809524,2985.0746268656717,3729.5081967213114
HOUGANG,1997-03,high,388000.0,190000.0,651000.0,277000.0,521400.0,3480.916030534351,2602.7397260273974,4545.454545454545,3214.285714285714,3874.6165413533836
HOUGANG,1997-04,high,333990.0,180000.0,628000.0,289500.0,450500.0,3242.621359223301,2417.5824175824177,4272.108843537415,3096.480165099748,3702.4528501801233
HOUGANG,1997-05,high,290000.0,165000.0,605000.0,209000.0,436000.0,3134.6153846153848,2323.943661971831,4143.835616438356,2945.945945945946,3544.7154471544713
HOUGANG,1997-06,high,340000.0,175000.0,610000.0,282500.0,503500.0,3278.688524590164,2689.189189189189,4236.111111111111,3099.3640699523053,3745.0
HOUGANG,1997-07,high,284000.0,173000.0,620000.0,208000.0,420000.0,3119.0476190476193,2608.108108108108,4335.664335664335,2906.094527363184,3325.2829260291946
HOUGANG,1997-08,high,279000.0,150000.0,585000.0,216250.0,407750.0,3067.3076923076924,2542.3728813559323,3896.551724137931,2884.3283582089553,3438.8246957472993
HOUGANG,1997-09,high,340000.0,160000.0,578000.0,260000.0,450000.0,3059.7014925373132,2388.0597014925374,4041.958041958042,2844.0860215053763,3338.8429752066118
HOUGANG,1997-10,high,300000.0,143000.0,568000.0,203000.0,400000.0,3021.978021978022,2423.728813559322,3783.7837837837837,2776.3976726536807,3253.629976580796
HOUGANG,1997-11,high,328000.0,188000.0,555000.0,259500.0,420000.0,3258.5354896675653,2500.0,3854.1666666666665,3015.6822344322345,3500.0
HOUGANG,1997-12,high,270000.0,155000.0,550000.0,185250.0,354250.0,2932.6923076923076,2134.1463414634145,3793.103448275862,2586.7537313432836,3203.6030341340074
HOUGANG,1998-01,high,297500.0,175000.0,560000.0,260750.0,383500.0,2943.9971584181862,2479.7297297297296,3916.083916083916,2814.593672456576,3148.6742424242425
