town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
HOUGANG,1990-01,low,63000.0,25200.0,215000.0,51000.0,116500.0,768.2926829268292,427.1186440677966,1472.6027397260275,738.9879868947944,1030.356007628735
HOUGANG,1990-02,low,100000.0,33400.0,195000.0,77700.0,127000.0,958.252427184466,491.1764705882353,1317.5675675675675,663.1578947368421,1115.3846153846155
HOUGANG,1990-03,low,80000.0,46700.0,230000.0,52050.0,107250.0,813.9328063241106,655.4054054054054,1533.3333333333333,711.8336886993604,994.8615031757233
HOUGANG,1990-04,low,120000.0,48000.0,180000.0,50000.0,127000.0,845.0704225352113,537.6344086021505,1200.0,716.4179104477612,969.4656488549618
HOUGANG,1990-05,low,74250.0,41000.0,220000.0,52125.0,144750.0,913.8563049853373,554.0540540540541,1486.4864864864865,780.9531886024424,1172.8372434017597
HOUGANG,1990-06,low,64300.0,30000.0,217000.0,45250.0,93000.0,835.0649350649351,508.47457627118644,1466.2162162162163,635.6024754277394,919.6147798742138
HOUGANG,1990-07,low,50000.0,35000.0,149500.0,45000.0,72000.0,746.2686567164179,583.3333333333334,1235.5371900826447,671.6417910447761,774.1935483870968
HOUGANG,1990-08,low,74000.0,38000.0,181000.0,50900.0,99250.0,880.7234432234432,633.3333333333334,1225.0,725.662182047509,958.1265508684863
HOUGANG,1990-09,low,65000.0,31700.0,200000.0,53000.0,116000.0,791.044776119403,537.2881355932203,1250.0,773.8095238095239,1115.3846153846155
HOUGANG,1990-10,low,100000.0,46000.0,199000.0,80000.0,183000.0,943.3962264150944,560.9756097560976,1324.3243243243244,860.2150537634409,1292.2077922077922
HOUGANG,1990-11,low,72500.0,30000.0,180000.0,44750.0,99000.0,799.6447996447996,500.0,1267.605633802817,598.5820895522388,941.215034965035
HOUGANG,1990-12,low,62000.0,34500.0,195000.0,46250.0,80092.0,746.6975467490136,485.9154929577465,1335.6164383561643,679.3265813788203,799.6073478760046
HOUGANG,1991-01,low,63000.0,27000.0,205000.0,48500.0,91500.0,769.2307692307693,457.6271186440678,1385.1351351351352,661.6915422885572,937.5
HOUGANG,1991-02,low,56000.0,41000.0,161000.0,46000.0,109000.0,716.4179104477612,561.6438356164383,1059.2105263157894,686.5671641791045,865.0793650793651
HOUGANG,1991-03,low,120000.0,53000.0,208500.0,88000.0,187000.0,1052.8846153846155,779.4117647058823,1404.109589041096,926.3157894736842,1328.0254777070063
HOUGANG,1991-04,low,72000.0,30000.0,185000.0,54875.0,104025.0,791.2087912087912,508.47457627118644,1311.4754098360656,744.5196647324307,984.1689560439561
HOUGANG,1991-05,low,61000.0,34000.0,205000.0,47000.0,97500.0,765.3061224489796,500.0,1331.1688311688313,622.8360680415475,897.2537878787879
HOUGANG,1991-06,low,71500.0,35000.0,208000.0,50000.0,137500.0,811.0599078341014,575.3424657534247,1424.6575342465753,687.4475279850747,1086.7848367848367
HOUGANG,1991-07,low,90500.0,38000.0,190000.0,75000.0,132000.0,886.6758241758241,520.5479452054794,1283.7837837837837,792.2512755102041,1054.4215006305171
HOUGANG,1991-08,low,65500.0,34000.0,231000.0,48500.0,92250.0,760.0988084859052,507.46268656716416,1540.0,722.8804431450992,928.228021978022
HOUGANG,1991-09,low,64400.0,38000.0,215000.0,47000.0,90000.0,738.0952380952381,520.5479452054794,1452.7027027027027,697.0149253731344,894.2307692307693
HOUGANG,1991-10,low,72000.0,25300.0,228000.0,43000.0,100000.0,750.0,428.8135593220339,1470.967741935484,616.4383561643835,961.5384615384615
HOUGANG,1991-11,low,70000.0,35000.0,200000.0,47000.0,95000.0,757.8947368421053,479.45205479452056,1471.0743801652893,701.4925373134329,846.1538461538462
HOUGANG,1991-12,low,65000.0,35000.0,163300.0,47000.0,105000.0,775.5102040816327,583.3333333333334,1237.121212121212,692.2096832908628,887.2377622377622
HOUGANG,1992-01,low,62500.0,29000.0,200000.0,48250.0,100000.0,781.0015898251193,479.45205479452056,1388.4297520661157,701.4925373134329,995.7300275482094
HOUGANG,1992-02,low,52000.0,38000.0,233168.0,44750.0,81750.0,741.1957411957412,535.2112676056338,1554.4533333333334,664.9816176470588,812.4804259317257
HOUGANG,1992-03,low,81500.0,23000.0,240000.0,52000.0,160000.0,823.0645836239364,389.8305084745763,1600.0,722.2814498933902,1226.2045347189419
HOUGANG,1992-04,low,55000.0,35000.0,180000.0,47000.0,99000.0,760.0988084859052,575.3424657534247,1239.6694214876034,661.106418918919,882.2544642857142
HOUGANG,1992-05,low,86000.0,31500.0,246500.0,63000.0,100250.0,872.4173553719008,533.8983050847457,1643.3333333333333,766.7919799498748,963.8722927557878
HOUGANG,1992-06,low,98000.0,42000.0,192000.0,55000.0,160000.0,907.4074074074074,581.081081081081,1391.304347826087,743.2432432432432,1122.4489795918366
HOUGANG,1992-07,low,75500.0,25000.0,220000.0,47000.0,118250.0,774.7252747252747,423.728813559322,1506.849315068493,693.4143714417603,1127.1399055489965
HOUGANG,1992-08,low,95850.0,38000.0,237000.0,63750.0,165250.0,900.5134876078324,593.75,1626.7605633802816,769.3954162276079,1239.6694214876034
HOUGANG,1992-09,low,73500.0,50000.0,258000.0,64195.0,146250.0,892.0454545454545,595.2380952380952,1842.857142857143,764.2261904761905,1243.9401549942595
HOUGANG,1992-10,low,99350.0,52000.0,251800.0,66500.0,180000.0,1039.9954212454213,712.3287671232877,1785.8156028368794,845.8333333333334,1343.4882689001054
HOUGANG,1992-11,low,80000.0,31500.0,245000.0,60000.0,100000.0,869.5652173913044,533.8983050847457,1644.2953020134228,712.1212121212121,1095.2380952380952
HOUGANG,1992-12,low,110500.0,50000.0,230000.0,65000.0,150000.0,860.2150537634409,684.931506849315,1474.3589743589744,761.9047619047619,1314.0495867768595
HOUGANG,1993-01,low,139000.0,40000.0,260000.0,71000.0,192500.0,1194.854953475643,597.0149253731344,1793.103448275862,1029.6580188679245,1365.7894736842104
HOUGANG,1993-02,low,70500.0,42000.0,280000.0,50250.0,98250.0,768.6251920122888,626.8656716417911,1891.8918918918919,695.4633204633204,1054.713249835201
HOUGANG,1993-03,low,57000.0,50000.0,159000.0,55000.0,89000.0,820.8955223880597,716.2162162162163,1096.551724137931,755.952380952381,917.5257731958762
HOUGANG,1993-04,low,75000.0,42000.0,258000.0,64000.0,95000.0,898.3050847457627,567.5675675675676,1743.2432432432433,769.2307692307693,1043.956043956044
HOUGANG,1993-05,low,160000.0,55000.0,278000.0,95000.0,200000.0,1280.3957739392922,743.2432432432432,1853.3333333333333,1079.628015111886,1433.8373110083717
HOUGANG,1993-06,low,150000.0,48000.0,262000.0,87000.0,185000.0,1239.6694214876034,705.8823529411765,1900.8264462809918,1050.4587155963304,1537.6221001221002
HOUGANG,1993-07,low,112000.0,55000.0,270000.0,84625.0,201000.0,1318.141435678749,857.1428571428571,1966.9421487603306,1102.5308241401688,1605.2309177309178
HOUGANG,1993-08,low,177000.0,53000.0,346000.0,92250.0,292500.0,1584.9358974358975,768.1159420289855,2275.862068965517,1203.1853281853282,2041.403593977659
HOUGANG,1993-09,low,180000.0,75000.0,363000.0,85000.0,302500.0,1665.3005464480875,1013.5135135135135,2503.448275862069,1240.6716417910447,2076.0135135135138
HOUGANG,1993-10,low,165000.0,40000.0,380000.0,134500.0,235750.0,1690.4761904761904,540.5405405405405,2567.5675675675675,1428.4660766961651,1906.099518459069
HOUGANG,1993-11,low,157000.0,50000.0,363000.0,84500.0,342500.0,1844.2622950819673,675.6756756756756,2486.301369863014,1407.2139303482586,2242.708333333333
HOUGANG,1993-12,low,155000.0,50000.0,385000.0,87500.0,275000.0,1635.2941176470588,746.2686567164179,2620.689655172414,1234.375,2214.159885915611
HOUGANG,1994-01,low,170000.0,65000.0,350000.0,92000.0,230000.0,1570.2479338842975,1044.7761194029852,2364.864864864865,1313.4328358208954,1970.873786407767
HOUGANG,1994-02,low,171000.0,75000.0,377000.0,103000.0,252500.0,1747.5728155339805,1126.7605633802816,2600.0,1398.8533988533989,1991.7016664408616
HOUGANG,1994-03,low,177500.0,74000.0,355000.0,91750.0,253750.0,1801.4509762082575,1104.4776119402984,2958.3333333333335,1372.7491531467285,2088.4562841530055
HOUGANG,1994-04,low,170000.0,75000.0,375000.0,101500.0,266000.0,1708.3333333333333,1194.0298507462687,2605.6338028169016,1337.1054198927932,2111.615432226119
HOUGANG,1994-05,low,193000.0,85000.0,385000.0,110000.0,305000.0,1787.037037037037,1162.162162162162,2601.3513513513512,1607.142857142857,2279.4117647058824
HOUGANG,1994-06,low,175000.0,79000.0,383000.0,144000.0,216000.0,1785.7142857142858,1194.0298507462687,2553.3333333333335,1648.8673139158577,2035.1454521521653
HOUGANG,1994-07,low,205500.0,84000.0,395000.0,168500.0,293750.0,2077.0138951957133,1219.5121951219512,2743.0555555555557,1615.4515479025463,2259.3018018018015
HOUGANG,1994-08,low,157500.0,80000.0,373000.0,108500.0,174500.0,1692.53663003663,1194.0298507462687,2537.4149659863947,1528.6106418918919,1845.9249084249084
