town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
HOUGANG,1990-01,mid,70000.0,39000.0,190000.0,52350.0,104500.0,783.5820895522388,577.2727272727273,1258.2781456953642,758.0645161290323,953.0423280423281
HOUGANG,1990-02,mid,46000.0,40000.0,144000.0,44000.0,55500.0,656.7164179104477,597.0149253731344,1099.2366412213742,627.9004752585965,694.0298507462687
HOUGANG,1990-03,mid,67000.0,44000.0,126000.0,53000.0,90000.0,726.3173926286933,602.1505376344086,1041.3223140495868,643.074947841438,857.2693540226007
HOUGANG,1990-04,mid,47750.0,23000.0,110000.0,40975.0,51750.0,678.7671232876712,389.8305084745763,1057.6923076923076,599.2383970558168,756.3793933558015
HOUGANG,1990-05,mid,125500.0,53000.0,198000.0,89250.0,161750.0,942.1147952075787,546.3917525773196,1337.837837837838,744.2532738924492,1139.9763165227084
HOUGANG,1990-06,mid,61250.0,31700.0,115000.0,46500.0,101250.0,779.8507462686567,537.2881355932203,1084.9056603773586,692.5416133162612,869.410569105691
HOUGANG,1990-07,mid,57300.0,31500.0,161000.0,45500.0,89500.0,698.9247311827957,533.8983050847457,1159.4202898550725,671.1867491809246,906.0690653432589
HOUGANG,1990-08,mid,52360.0,42000.0,147000.0,43800.0,68000.0,686.5671641791045,575.3424657534247,1214.8760330578511,626.8656716417911,809.5238095238095
HOUGANG,1990-09,mid,52000.0,40000.0,177000.0,43000.0,62000.0,681.3186813186813,575.3424657534247,1340.909090909091,597.0149253731344,783.5820895522388
HOUGANG,1990-10,mid,45950.0,26000.0,140000.0,41000.0,59750.0,594.4948630136987,440.6779661016949,1238.9380530973451,562.5682562795778,762.0824449182658
HOUGANG,1990-11,mid,105000.0,42200.0,232000.0,50625.0,152500.0,921.4876033057851,629.8507462686567,1567.5675675675675,723.8805970149253,1211.6935483870968
HOUGANG,1990-12,mid,55500.0,28000.0,170000.0,44250.0,71000.0,708.955223880597,474.5762711864407,1089.7435897435898,655.9052563270603,846.7664092664093
HOUGANG,1991-01,mid,111000.0,47000.0,203000.0,86250.0,144500.0,1058.4152689415846,659.3406593406594,1357.142857142857,927.960927960928,1201.7768822128596
HOUGANG,1991-02,mid,56630.0,38000.0,195000.0,41000.0,84000.0,752.6881720430108,520.5479452054794,1317.5675675675675,588.3625351503354,877.157394843962
HOUGANG,1991-03,mid,84000.0,42000.0,215000.0,55000.0,102250.0,871.031746031746,575.3424657534247,1433.3333333333333,713.2373845060413,956.7307692307693
HOUGANG,1991-04,mid,59700.0,31500.0,200000.0,47875.0,114250.0,804.0156361051884,533.8983050847457,1310.6060606060605,700.9047229605397,949.7877018727728
HOUGANG,1991-05,mid,57000.0,35000.0,180000.0,41000.0,115000.0,774.1935483870968,547.945205479452,1266.6666666666667,583.3333333333334,1105.7692307692307
HOUGANG,1991-06,mid,80000.0,31000.0,161000.0,49000.0,99000.0,769.2307692307693,525.4237288135594,1210.5263157894738,678.8712686567164,956.4973861090366
HOUGANG,1991-07,mid,67050.0,35000.0,168000.0,45875.0,110500.0,725.7462686567164,507.2463768115942,1377.049180327869,600.8814102564103,1039.857609710551
HOUGANG,1991-08,mid,44500.0,32000.0,99000.0,39000.0,60050.0,638.6250565355043,438.35616438356163,942.8571428571429,575.4462432544624,712.0398009950248
HOUGANG,1991-09,mid,56000.0,36000.0,235000.0,44500.0,97500.0,698.3072442664725,493.1506849315069,1587.837837837838,600.0522575250836,930.7005494505495
HOUGANG,1991-10,mid,57000.0,47000.0,215000.0,49000.0,72000.0,701.4925373134329,612.9032258064516,1514.0845070422536,666.6666666666666,791.2087912087912
HOUGANG,1991-11,mid,64000.0,26000.0,202500.0,52400.0,96225.0,785.8208955223881,440.6779661016949,1386.986301369863,675.1095029518187,895.6310679611651
HOUGANG,1991-12,mid,70000.0,31000.0,240000.0,50000.0,92000.0,769.8924731182796,525.4237288135594,1548.3870967741937,661.9718309859155,967.741935483871
HOUGANG,1992-01,mid,62150.0,34500.0,214000.0,47000.0,102000.0,761.4672655505649,514.9253731343283,1507.0422535211267,701.4925373134329,940.2415766052129
HOUGANG,1992-02,mid,90000.0,43000.0,175000.0,65000.0,100000.0,893.2038834951456,641.7910447761194,1232.394366197183,735.2941176470588,989.010989010989
HOUGANG,1992-03,mid,98500.0,28000.0,200000.0,61000.0,147250.0,862.6373626373627,466.6666666666667,1487.603305785124,774.1312741312742,1158.3624708624707
HOUGANG,1992-04,mid,110400.0,40000.0,250000.0,67500.0,189125.0,983.8883093958116,597.0149253731344,1773.049645390071,767.7095631641087,1370.7207207207207
HOUGANG,1992-05,mid,101000.0,57000.0,231000.0,72500.0,135000.0,848.4500574052813,681.8181818181819,1560.8108108108108,769.4906444906445,1115.702479338843
HOUGANG,1992-06,mid,124000.0,59000.0,244000.0,72000.0,142500.0,1021.1267605633802,719.1011235955057,1615.8940397350993,834.2171159228163,1187.5473604445567
HOUGANG,1992-07,mid,115000.0,42000.0,245000.0,87500.0,155000.0,1075.7575757575758,591.3978494623656,1689.655172413793,915.7105030891439,1294.5362718089991
HOUGANG,1992-08,mid,95750.0,30000.0,265000.0,64750.0,133250.0,959.5238095238095,500.0,1754.9668874172185,849.2935635792778,1235.1958700273308
HOUGANG,1992-09,mid,75700.0,33600.0,227000.0,50750.0,108750.0,817.8396072013093,509.09090909090907,1598.5915492957747,752.2962112514351,1135.2357320099254
HOUGANG,1992-10,mid,97500.0,36000.0,230000.0,58500.0,182750.0,1071.4285714285713,537.3134328358209,1541.3223140495868,838.1721529339603,1302.2671431762342
HOUGANG,1992-11,mid,82000.0,30000.0,253000.0,52500.0,141000.0,886.7855842737531,508.47457627118644,1697.986577181208,776.9196822594881,1166.068412162162
HOUGANG,1992-12,mid,95000.0,48000.0,265000.0,72000.0,126000.0,943.3962264150944,657.5342465753424,1827.5862068965516,791.2087912087912,1274.7252747252746
HOUGANG,1993-01,mid,65000.0,41300.0,266000.0,58500.0,126325.0,867.0804794520548,645.3125,1761.58940397351,801.5604890604891,1190.777972027972
HOUGANG,1993-02,mid,80000.0,23500.0,265000.0,67500.0,142750.0,925.6286784376672,398.3050847457627,1778.523489932886,787.7132196162047,1318.5592816274634
HOUGANG,1993-03,mid,109500.0,42000.0,280000.0,66000.0,177250.0,1131.816877152698,575.3424657534247,1891.8918918918919,821.0287846481876,1468.0825242718447
HOUGANG,1993-04,mid,125000.0,47000.0,255000.0,60000.0,225000.0,1201.923076923077,661.9718309859155,1875.0,810.8108108108108,1689.1891891891892
HOUGANG,1993-05,mid,115000.0,57000.0,270000.0,74250.0,142500.0,1236.5591397849462,769.2307692307693,1862.0689655172414,1045.774647887324,1469.0026954177897
HOUGANG,1993-06,mid,140000.0,45000.0,285000.0,99300.0,208500.0,1347.2527472527472,671.6417910447761,1879.1946308724832,1158.5103329506314,1714.734518283709
HOUGANG,1993-07,mid,120000.0,60000.0,309000.0,79000.0,200000.0,1179.1044776119404,967.741935483871,2116.4383561643835,1015.625,1652.892561983471
HOUGANG,1993-08,mid,190000.0,69000.0,340000.0,159500.0,243875.0,1686.8131868131868,932.4324324324324,2281.8791946308725,1478.8524590163934,1929.672131147541
HOUGANG,1993-09,mid,197500.0,63000.0,363000.0,131250.0,282250.0,1824.1996309074862,940.2985074626865,2556.3380281690143,1442.3076923076924,2071.473135642983
HOUGANG,1993-10,mid,171500.0,70000.0,350000.0,103750.0,219000.0,1593.1058990760484,1027.3972602739725,2364.864864864865,1423.5412474849095,1980.8076923076924
HOUGANG,1993-11,mid,178500.0,70000.0,380000.0,88750.0,307500.0,1730.8638331365605,1044.7761194029852,2585.0340136054424,1289.8204291044776,2208.6499528537356
HOUGANG,1993-12,mid,165000.0,70000.0,340000.0,90000.0,192500.0,1801.0752688172042,958.9041095890411,2344.8275862068967,1332.089552238806,1928.6674347158219
HOUGANG,1994-01,mid,180000.0,79000.0,345000.0,95000.0,263000.0,1698.1132075471698,1081.081081081081,2458.3333333333335,1268.6567164179105,2112.676056338028
HOUGANG,1994-02,mid,185000.0,75000.0,352000.0,155000.0,267000.0,1845.2380952380952,1071.4285714285713,2394.3661971830984,1631.578947368421,2206.6115702479337
HOUGANG,1994-03,mid,155000.0,76000.0,360000.0,99000.0,254250.0,1684.981684981685,1095.890410958904,2396.694214876033,1387.7571601452198,2083.8567493112946
HOUGANG,1994-04,mid,180000.0,71000.0,385000.0,165000.0,265000.0,1956.5217391304348,1183.3333333333333,2549.6688741721855,1682.6923076923076,2118.2795698924733
HOUGANG,1994-05,mid,176500.0,86000.0,400000.0,116750.0,247625.0,1973.7555081734185,1189.1891891891892,2739.72602739726,1568.619031260735,2186.6193605202548
HOUGANG,1994-06,mid,169000.0,80000.0,408000.0,104450.0,245750.0,1766.025641025641,1176.4705882352941,2756.7567567567567,1559.4172297297298,2059.16810462265
HOUGANG,1994-07,mid,180000.0,85000.0,383000.0,110000.0,265000.0,1964.2857142857142,1158.5365853658536,2587.837837837838,1538.4615384615386,2190.0826446280994
HOUGANG,1994-08,mid,202500.0,83000.0,340000.0,184250.0,272500.0,2055.721958273084,1406.7796610169491,2519.083969465649,1804.0223135642982,2223.032786885246
HOUGANG,1994-09,mid,172000.0,80000.0,415000.0,134000.0,247000.0,1783.6538461538462,1243.2432432432433,2862.0689655172414,1636.4468864468863,2115.7024793388427
HOUGANG,1994-10,mid,183000.0,92000.0,430000.0,148000.0,240000.0,1851.851851851852,1408.4507042253522,2945.205479452055,1681.159420289855,2172.1311475409834
HOUGANG,1994-11,mid,179500.0,95000.0,450000.0,127500.0,217500.0,1801.6019417475727,1338.0281690140846,2980.1324503311257,1660.44776119403,2076.236263736264
HOUGANG,1994-12,mid,175000.0,63000.0,450000.0,108000.0,224500.0,1822.9166666666667,1050.0,3020.1342281879197,1532.170229931424,2130.511076990568
HOUGANG,1995-01,mid,200000.0,104000.0,424000.0,163000.0,243000.0,1978.021978021978,1363.6363636363637,2771.2418300653594,1904.7619047619048,2149.532710280374
HOUGANG,1995-02,mid,155000.0,80000.0,317500.0,110000.0,185000.0,1796.116504854369,1256.0975609756097,2602.4590163934427,1594.5945945945946,1946.8085106382978
HOUGANG,1995-03,mid,180000.0,96000.0,350000.0,103000.0,250000.0,1901.098901098901,1310.8108108108108,2791.6666666666665,1611.9402985074628,2212.3893805309735
HOUGANG,1995-04,mid,198000.0,106000.0,422000.0,178750.0,226250.0,2129.032258064516,1452.054794520548,2740.2597402597403,1890.10989010989,2267.3992673992675
HOUGANG,1995-05,mid,229800.0,104000.0,455000.0,125000.0,283000.0,2177.570093457944,1485.7142857142858,3074.324324324324,1831.3719862227326,2521.091811414392
HOUGANG,1995-06,mid,173400.0,106000.0,445000.0,126750.0,213500.0,2021.1513244164698,1582.089552238806,2972.972972972973,1811.5671641791043,2216.346153846154
