town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
HOUGANG,1990-01,very low,80350.0,42000.0,180000.0,49125.0,140500.0,825.5597014925373,626.8656716417911,1250.0,712.6865671641791,1010.4289861305235
HOUGANG,1990-02,very low,54000.0,38500.0,175000.0,46950.0,102200.0,729.7297297297297,547.945205479452,1325.7575757575758,671.9178082191781,912.912912912913
HOUGANG,1990-03,very low,58000.0,33400.0,205000.0,46500.0,108900.0,716.0493827160494,491.1764705882353,1404.109589041096,625.609756097561,785.7142857142857
HOUGANG,1990-04,very low,87000.0,39000.0,200000.0,55500.0,119350.0,913.8888888888889,582.0895522388059,1333.3333333333333,668.2991293532339,1046.2543321780859
HOUGANG,1990-05,very low,63000.0,33400.0,89800.0,41000.0,71500.0,684.7826086956521,439.4736842105263,986.8131868131868,578.3582089552239,800.8130081300812
HOUGANG,1990-06,very low,61000.0,31500.0,90000.0,44500.0,68725.0,716.5999271933018,533.8983050847457,881.7204301075269,632.740552556367,854.0221825599184
HOUGANG,1990-07,very low,92000.0,40000.0,227000.0,46900.0,145000.0,826.4462809917355,487.8048780487805,1464.516129032258,697.0149253731344,1035.7142857142858
HOUGANG,1990-08,very low,64000.0,37400.0,111000.0,58000.0,71000.0,780.2197802197802,558.2089552238806,909.8360655737705,639.4230769230769,864.8648648648649
HOUGANG,1990-09,very low,68180.0,26000.0,173000.0,56100.0,156500.0,811.6666666666666,440.6779661016949,1310.6060606060605,590.5263157894736,1194.6564885496184
HOUGANG,1990-10,very low,70000.0,27000.0,207000.0,48000.0,109000.0,721.6494845360825,457.6271186440678,1344.155844155844,682.9268292682926,900.8264462809917
HOUGANG,1990-11,very low,50000.0,30000.0,122000.0,39000.0,100000.0,746.2686567164179,501.4925373134328,1008.2644628099174,541.0958904109589,931.2977099236641
HOUGANG,1990-12,very low,84000.0,25000.0,205000.0,42250.0,100000.0,773.8231917336395,423.728813559322,1385.1351351351352,583.0965909090909,936.9049679764584
HOUGANG,1991-01,very low,75800.0,39000.0,168000.0,67250.0,94500.0,798.1684981684982,563.3802816901408,1223.1404958677685,771.0978342046303,939.9683797986995
HOUGANG,1991-02,very low,55000.0,28000.0,166500.0,35000.0,119000.0,701.4925373134329,452.7027027027027,1215.3284671532847,522.3880597014926,909.0909090909091
HOUGANG,1991-03,very low,161000.0,30000.0,180000.0,95500.0,170500.0,1045.4545454545455,500.0,1304.3478260869565,772.7272727272727,1174.901185770751
HOUGANG,1991-04,very low,92500.0,43500.0,185000.0,65625.0,110775.0,859.8767737117251,595.8904109589041,1250.0,757.2627931769723,1003.5941804407714
HOUGANG,1991-05,very low,76900.0,40000.0,215000.0,45000.0,161250.0,788.3599540661864,575.3424657534247,1452.7027027027027,659.5268542199489,1059.9358974358975
HOUGANG,1991-06,very low,110000.0,38000.0,207000.0,62250.0,174500.0,939.8496240601504,535.2112676056338,1398.6486486486488,751.9829612220917,1202.4193548387098
HOUGANG,1991-07,very low,92700.0,25000.0,210000.0,67500.0,122750.0,885.9307359307359,423.728813559322,1400.0,715.4143258426966,1052.301864801865
HOUGANG,1991-08,very low,67000.0,41000.0,192000.0,47000.0,134750.0,731.6986496090974,640.625,1419.8473282442749,668.8606847697757,974.7933884297521
HOUGANG,1991-09,very low,71000.0,37000.0,200000.0,57000.0,99000.0,763.4408602150538,578.125,1351.3513513513512,695.1219512195122,933.9622641509434
HOUGANG,1991-10,very low,60100.0,28000.0,121800.0,46250.0,86225.0,725.0805851723283,474.5762711864407,952.3809523809524,627.6835003066858,840.2248352500324
HOUGANG,1991-11,very low,62000.0,38000.0,197000.0,45500.0,114000.0,751.7696267696267,544.943820224719,1437.956204379562,660.0979477611941,998.1338309784057
HOUGANG,1991-12,very low,64500.0,35000.0,185000.0,50000.0,75125.0,735.9203296703297,479.45205479452056,1185.8974358974358,640.7674772036474,831.5217391304348
HOUGANG,1992-01,very low,55000.0,30000.0,110000.0,41230.0,62000.0,659.3406593406594,500.0,1208.7912087912089,580.8596386738138,810.5082694634934
HOUGANG,1992-02,very low,84250.0,47000.0,230000.0,66000.0,138750.0,900.6296733569461,689.1891891891892,1493.5064935064936,741.0714285714286,1284.4397795854106
HOUGANG,1992-03,very low,73000.0,42000.0,243000.0,56500.0,102125.0,817.7592486103124,575.3424657534247,1641.8918918918919,662.3068820224719,968.0500658761529
HOUGANG,1992-04,very low,99000.0,46000.0,200100.0,52000.0,142000.0,892.5619834710744,686.5671641791045,1460.5839416058395,796.875,1000.0
HOUGANG,1992-05,very low,114000.0,40000.0,238000.0,55750.0,181000.0,945.9459459459459,575.3424657534247,1630.13698630137,708.0498866213152,1252.3388773388774
HOUGANG,1992-06,very low,87500.0,30000.0,200000.0,53500.0,109750.0,841.3461538461538,500.0,1333.3333333333333,686.5320376556331,1054.2582417582416
HOUGANG,1992-07,very low,100000.0,43000.0,253000.0,87250.0,161750.0,1021.4162984781542,671.875,1664.4736842105262,868.5200668896321,1260.3721682847895
HOUGANG,1992-08,very low,64000.0,31500.0,218000.0,50000.0,108000.0,761.9047619047619,463.768115942029,1602.9411764705883,666.6666666666666,1095.890410958904
HOUGANG,1992-09,very low,82000.0,41000.0,249800.0,64000.0,95000.0,900.0,640.625,1687.837837837838,707.5471698113207,1077.3809523809523
HOUGANG,1992-10,very low,115000.0,45000.0,226000.0,70000.0,170000.0,1006.6115702479339,671.6417910447761,1637.6811594202898,791.2087912087912,1263.7362637362637
HOUGANG,1992-11,very low,96000.0,41000.0,242800.0,63500.0,155000.0,989.6907216494845,626.8656716417911,1546.4968152866243,838.0149812734082,1166.2247753719253
HOUGANG,1992-12,very low,64500.0,30000.0,265000.0,54500.0,208700.0,798.2625482625483,500.0,1866.1971830985915,702.1317531168231,1410.135135135135
HOUGANG,1993-01,very low,65000.0,40000.0,90000.0,64000.0,67000.0,773.8095238095239,571.4285714285714,865.3846153846154,761.9047619047619,797.6190476190476
HOUGANG,1993-02,very low,120000.0,40000.0,235000.0,65000.0,172000.0,970.1492537313433,588.2352941176471,1516.1290322580646,774.1935483870968,1421.4876033057851
HOUGANG,1993-03,very low,120000.0,65000.0,267000.0,110000.0,145000.0,1198.3471074380166,755.5555555555555,1841.3793103448277,1140.495867768595,1263.7362637362637
HOUGANG,1993-04,very low,94500.0,34000.0,170000.0,57750.0,139000.0,970.467032967033,507.46268656716416,1262.1359223300972,785.3464419475656,1088.8157894736842
HOUGANG,1993-05,very low,122500.0,36000.0,200000.0,91000.0,180000.0,1217.6031515654158,562.5,1503.7593984962407,913.0482941958352,1418.3640268106983
HOUGANG,1993-06,very low,95000.0,60000.0,275000.0,70000.0,175000.0,1071.4285714285713,857.1428571428571,1956.2043795620439,1044.7761194029852,1388.888888888889
HOUGANG,1993-07,very low,179500.0,55000.0,338000.0,123500.0,275750.0,1685.057471264368,820.8955223880597,2315.068493150685,1434.4093406593406,1840.0096525096524
HOUGANG,1993-08,very low,172000.0,68000.0,335000.0,115000.0,280000.0,1559.1397849462367,1062.5,2248.3221476510066,1223.404255319149,1916.6666666666667
HOUGANG,1993-09,very low,140000.0,39000.0,345000.0,98000.0,210000.0,1443.298969072165,582.0895522388059,2225.8064516129034,1223.8805970149253,1818.1818181818182
HOUGANG,1993-10,very low,178500.0,70000.0,350000.0,137000.0,257500.0,1733.009708737864,958.9041095890411,2317.880794701987,1516.8560606060605,2085.4357195416796
HOUGANG,1993-11,very low,237500.0,67000.0,355000.0,100000.0,325000.0,1870.0787401574803,1000.0,2591.2408759124087,1510.4166666666667,2197.802197802198
