town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
HOUGANG,1990-01,high,3 ROOM,46700.0,24000.0,52500.0,37675.0,47250.0,672.8317870108915,406.77966101694915,750.0,557.5031133250311,701.4925373134329
HOUGANG,1990-01,high,4 ROOM,89500.0,52000.0,115000.0,74750.0,99750.0,859.4542503550416,634.1463414634146,1084.9056603773586,767.6651305683564,941.0377358490566
HOUGANG,1990-01,high,5 ROOM,142000.0,130000.0,147000.0,136000.0,144500.0,1075.7575757575758,1074.3801652892562,1214.8760330578511,1075.068870523416,1145.3168044077133
HOUGANG,1990-01,high,EXECUTIVE,212500.0,210000.0,215000.0,211250.0,213750.0,1440.7519764662622,1418.918918918919,1462.5850340136055,1429.8354476925906,1451.668505239934
HOUGANG,1990-01,low,3 ROOM,50000.0,25200.0,63000.0,31700.0,52500.0,746.2686567164179,427.1186440677966,783.5820895522388,458.90410958904107,768.2926829268292
HOUGANG,1990-01,low,4 ROOM,80000.0,60000.0,100000.0,71000.0,93000.0,763.4408602150538,731.7073170731708,961.5384615384615,754.7169811320755,885.7142857142857
HOUGANG,1990-01,low,5 ROOM,146500.0,133000.0,160000.0,139750.0,153250.0,1112.967058549645,1099.1735537190082,1126.7605633802816,1106.0703061343265,1119.8638109649632
HOUGANG,1990-01,low,EXECUTIVE,192000.0,182000.0,215000.0,187000.0,203500.0,1288.5906040268455,1238.095238095238,1472.6027397260275,1263.3429210610418,1380.5966718764366
HOUGANG,1990-01,mid,3 ROOM,52200.0,39000.0,52500.0,50800.0,52500.0,783.5820895522388,577.2727272727273,790.9090909090909,582.0895522388059,783.5820895522388
HOUGANG,1990-01,mid,4 ROOM,84000.0,70000.0,112000.0,70750.0,100750.0,830.794504181601,752.6881720430108,1230.7692307692307,760.752688172043,981.3034188034188
HOUGANG,1990-01,mid,5 ROOM,127000.0,127000.0,127000.0,127000.0,127000.0,1007.936507936508,1007.936507936508,1007.936507936508,1007.936507936508,1007.936507936508
HOUGANG,1990-01,mid,EXECUTIVE,190000.0,190000.0,190000.0,190000.0,190000.0,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642
HOUGANG,1990-01,very low,3 ROOM,48750.0,42000.0,55700.0,47250.0,51375.0,708.955223880597,626.8656716417911,776.1194029850747,677.0623235175474,743.6315046389673
HOUGANG,1990-01,very low,5 ROOM,141000.0,105000.0,180000.0,129500.0,158500.0,1034.9424793033008,875.0,1250.0,967.8529190409633,1202.8105482303956
HOUGANG,1990-02,high,3 ROOM,47000.0,40000.0,52300.0,45250.0,48325.0,701.4925373134329,597.0149253731344,780.5970149253732,675.3731343283582,721.2686567164179
HOUGANG,1990-02,high,4 ROOM,110000.0,110000.0,110000.0,110000.0,110000.0,1057.6923076923076,1057.6923076923076,1057.6923076923076,1057.6923076923076,1057.6923076923076
HOUGANG,1990-02,high,EXECUTIVE,185000.0,179000.0,190000.0,182000.0,187500.0,1250.0,1118.75,1267.123287671233,1184.375,1258.5616438356165
HOUGANG,1990-02,low,3 ROOM,33400.0,33400.0,33400.0,33400.0,33400.0,491.1764705882353,491.1764705882353,491.1764705882353,491.1764705882353,491.1764705882353
HOUGANG,1990-02,low,4 ROOM,99350.0,63000.0,116000.0,89775.0,104000.0,959.8954443614638,663.1578947368421,1115.3846153846155,884.47879407256,1000.0
HOUGANG,1990-02,low,5 ROOM,127000.0,77700.0,152500.0,102350.0,139750.0,954.8872180451128,642.1487603305785,1138.0597014925372,798.5179891878456,1046.473459768825
HOUGANG,1990-02,low,EXECUTIVE,195000.0,195000.0,195000.0,195000.0,195000.0,1317.5675675675675,1317.5675675675675,1317.5675675675675,1317.5675675675675,1317.5675675675675
HOUGANG,1990-02,mid,3 ROOM,44000.0,40000.0,47000.0,44000.0,46000.0,656.7164179104477,597.0149253731344,701.4925373134329,602.7397260273973,686.5671641791045
HOUGANG,1990-02,mid,4 ROOM,64000.0,64000.0,64000.0,64000.0,64000.0,653.0612244897959,653.0612244897959,653.0612244897959,653.0612244897959,653.0612244897959
HOUGANG,1990-02,mid,5 ROOM,144000.0,144000.0,144000.0,144000.0,144000.0,1099.2366412213742,1099.2366412213742,1099.2366412213742,1099.2366412213742,1099.2366412213742
HOUGANG,1990-02,very low,3 ROOM,47000.0,38500.0,63100.0,45175.0,54750.0,700.7462686567164,547.945205479452,770.2702702702703,626.5334287466776,739.6753460777851
HOUGANG,1990-02,very low,5 ROOM,142500.0,141300.0,175000.0,141900.0,158750.0,1070.4545454545455,1055.5555555555557,1325.7575757575758,1063.0050505050506,1198.1060606060605
HOUGANG,1990-03,high,3 ROOM,49700.0,42000.0,52560.0,44850.0,52375.0,747.1506105834465,575.3424657534247,784.4776119402985,672.0827679782903,781.7164179104477
HOUGANG,1990-03,high,4 ROOM,71000.0,60000.0,86500.0,65500.0,78750.0,763.4408602150538,612.2448979591836,930.1075268817204,687.8428790871187,846.7741935483871
HOUGANG,1990-03,high,5 ROOM,127000.0,109000.0,155000.0,118000.0,141000.0,954.8872180451128,900.8264462809917,1280.9917355371902,927.8568321630523,1117.9394767911515
HOUGANG,1990-03,high,EXECUTIVE,180000.0,180000.0,180000.0,180000.0,180000.0,1216.2162162162163,1216.2162162162163,1216.2162162162163,1216.2162162162163,1216.2162162162163
HOUGANG,1990-03,low,3 ROOM,50250.0,46700.0,77000.0,47375.0,52150.0,722.1748400852879,655.4054054054054,836.9565217391304,698.134328358209,778.8961038961039
HOUGANG,1990-03,low,4 ROOM,91000.0,70000.0,110000.0,79750.0,101750.0,908.2532051282051,752.6881720430108,1009.1743119266055,836.6095430107528,966.235885673959
HOUGANG,1990-03,low,5 ROOM,114350.0,90700.0,138000.0,102525.0,126175.0,893.8022537259178,692.3664122137404,1095.2380952380952,793.0843329698291,994.5201744820065
HOUGANG,1990-03,low,EXECUTIVE,200000.0,170000.0,230000.0,185000.0,215000.0,1340.9909909909911,1148.6486486486488,1533.3333333333333,1244.81981981982,1437.162162162162
HOUGANG,1990-03,mid,3 ROOM,44000.0,44000.0,44000.0,44000.0,44000.0,656.7164179104477,656.7164179104477,656.7164179104477,656.7164179104477,656.7164179104477
HOUGANG,1990-03,mid,4 ROOM,67000.0,56000.0,78000.0,61500.0,72500.0,699.0344524906736,602.1505376344086,795.9183673469388,650.5924950625412,747.4764099188062
