town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
HOUGANG,1990-01,63000.0,24000.0,215000.0,48000.0,126000.0,768.2926829268292,406.77966101694915,1472.6027397260275,697.0149253731344,1007.936507936508
HOUGANG,1990-02,63000.0,33400.0,195000.0,46950.0,134150.0,729.7297297297297,491.1764705882353,1325.7575757575758,654.8888212001218,1064.0734265734266
HOUGANG,1990-03,70000.0,33400.0,230000.0,50600.0,109250.0,769.7801316000642,491.1764705882353,1533.3333333333333,683.4539136379173,935.5614143920595
HOUGANG,1990-04,69000.0,23000.0,200000.0,47200.0,119000.0,776.1194029850747,389.8305084745763,1333.3333333333333,623.8499284399918,1013.5789782736347
HOUGANG,1990-05,52250.0,33400.0,220000.0,41750.0,87350.0,716.5166812993855,439.4736842105263,1486.4864864864865,566.7552647720302,948.4432234432235
HOUGANG,1990-06,64300.0,26000.0,217000.0,46500.0,107500.0,783.5820895522388,440.6779661016949,1466.2162162162163,654.4140997141949,921.2962962962963
HOUGANG,1990-07,65000.0,31500.0,227000.0,46550.0,98500.0,774.1935483870968,487.8048780487805,1464.516129032258,679.1044776119403,933.5087082728592
HOUGANG,1990-08,63570.0,30000.0,181000.0,46925.0,96750.0,780.8561587666065,428.57142857142856,1308.8235294117646,650.5596391580355,908.409090909091
HOUGANG,1990-09,53500.0,26000.0,200000.0,43250.0,75320.0,726.0508308895405,440.6779661016949,1340.909090909091,592.1484681853888,851.5653153153153
HOUGANG,1990-10,57000.0,26000.0,215000.0,45500.0,119500.0,724.4897959183673,440.6779661016949,1378.2051282051282,599.8773257002658,1033.055940822931
HOUGANG,1990-11,56450.0,30000.0,232000.0,42425.0,108500.0,770.5789235639982,428.57142857142856,1567.5675675675675,585.5223880597015,963.8009049773756
HOUGANG,1990-12,66550.0,25000.0,208000.0,45250.0,99000.0,755.2836484983316,423.728813559322,1405.4054054054054,642.2101449275362,913.563829787234
HOUGANG,1991-01,75000.0,27000.0,205000.0,52000.0,100000.0,786.8131868131868,457.6271186440678,1390.1515151515152,701.4925373134329,989.010989010989
HOUGANG,1991-02,56315.0,28000.0,199800.0,41875.0,100000.0,734.553041245386,452.7027027027027,1332.0,613.8059701492537,876.3111888111888
HOUGANG,1991-03,80500.0,30000.0,215000.0,46700.0,117500.0,830.1282051282051,500.0,1433.3333333333333,694.776119402985,1043.52487135506
HOUGANG,1991-04,71500.0,30000.0,212500.0,47250.0,110000.0,794.8581269476792,462.6865671641791,1407.2847682119204,702.2557666214383,1003.5941804407714
HOUGANG,1991-05,75000.0,34000.0,215000.0,45750.0,123500.0,836.734693877551,500.0,1452.7027027027027,673.4001292824822,1033.4333098094567
HOUGANG,1991-06,87400.0,31000.0,218000.0,62000.0,127500.0,865.0793650793651,525.4237288135594,1424.6575342465753,735.8954451345755,1078.174949142691
HOUGANG,1991-07,80000.0,25000.0,210000.0,59500.0,125125.0,822.535673281942,423.728813559322,1400.0,701.4925373134329,1050.9506833036246
HOUGANG,1991-08,62000.0,31000.0,231000.0,45750.0,99000.0,739.6907216494845,438.35616438356163,1540.0,668.8606847697757,915.1515151515152
HOUGANG,1991-09,62550.0,31500.0,235000.0,47000.0,96000.0,734.9012775842044,493.1506849315069,1587.837837837838,649.6535181236675,902.1545584045584
HOUGANG,1991-10,65000.0,25300.0,228000.0,47000.0,100000.0,757.1428571428571,428.8135593220339,1514.0845070422536,642.0593314419638,927.3097826086956
HOUGANG,1991-11,64000.0,26000.0,226000.0,47000.0,96725.0,769.7505197505197,440.6779661016949,1516.778523489933,671.6417910447761,904.2995839112344
HOUGANG,1991-12,64000.0,24000.0,240000.0,47000.0,89625.0,746.2686567164179,406.77966101694915,1548.3870967741937,665.0021710811984,861.7788461538462
HOUGANG,1992-01,60000.0,24000.0,214000.0,47000.0,97500.0,764.0733712839975,406.77966101694915,1507.0422535211267,660.1681451079041,934.2679127725856
HOUGANG,1992-02,74250.0,30300.0,233168.0,50000.0,121500.0,793.1114193250116,452.23880597014926,1554.4533333333334,699.5666827154549,1058.5955056179776
