town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG WEST,1990-01,3 ROOM,01 TO 03,25000.0,22500.0,47000.0,22500.0,45000.0,389.8305084745763,321.42857142857144,701.4925373134329,340.90909090909093,656.7164179104477
JURONG WEST,1990-01,3 ROOM,04 TO 06,26250.0,22500.0,53000.0,23400.0,35325.0,394.91525423728814,334.2857142857143,761.1940298507462,370.32988871224165,478.5
JURONG WEST,1990-01,3 ROOM,07 TO 09,31700.0,22500.0,57300.0,27000.0,49000.0,533.8983050847457,334.2857142857143,784.931506849315,415.38461538461536,690.2439024390244
JURONG WEST,1990-01,3 ROOM,10 TO 12,28000.0,22500.0,57000.0,24500.0,39450.0,446.969696969697,334.2857142857143,780.8219178082192,372.2355769230769,550.1431200163565
JURONG WEST,1990-01,3 ROOM,13 TO 15,26750.0,23000.0,31000.0,25250.0,28375.0,431.877444589309,389.8305084745763,525.4237288135594,414.7653194263364,461.864406779661
JURONG WEST,1990-01,3 ROOM,16 TO 18,31600.0,22500.0,36500.0,29250.0,32900.0,510.7953063885267,381.35593220338984,536.7647058823529,461.1082138200782,534.6149052841475
JURONG WEST,1990-01,3 ROOM,19 TO 21,26000.0,22500.0,33300.0,23000.0,31000.0,382.3529411764706,346.15384615384613,489.70588235294116,382.3529411764706,476.9230769230769
JURONG WEST,1990-01,3 ROOM,22 TO 24,22500.0,22500.0,23000.0,22500.0,22750.0,381.35593220338984,353.84615384615387,381.35593220338984,367.60104302477185,381.35593220338984
JURONG WEST,1990-01,4 ROOM,01 TO 03,78000.0,45000.0,92000.0,54000.0,83000.0,747.2527472527472,517.2413793103449,859.2233009708738,613.6363636363636,761.4678899082569
JURONG WEST,1990-01,4 ROOM,04 TO 06,88250.0,51500.0,98000.0,76000.0,88500.0,828.4450188904354,591.9540229885057,951.4563106796116,802.755376344086,851.8133868558625
JURONG WEST,1990-01,4 ROOM,07 TO 09,88000.0,45000.0,94000.0,75000.0,88000.0,822.4299065420561,517.2413793103449,912.6213592233009,728.1553398058253,850.9615384615385
JURONG WEST,1990-01,4 ROOM,10 TO 12,88550.0,82000.0,105000.0,85825.0,93750.0,823.8014884042922,796.1165048543689,1009.6153846153846,803.8902373247033,883.2449676491733
JURONG WEST,1990-01,4 ROOM,13 TO 15,104000.0,104000.0,104000.0,104000.0,104000.0,1009.7087378640776,1009.7087378640776,1009.7087378640776,1009.7087378640776,1009.7087378640776
JURONG WEST,1990-01,4 ROOM,16 TO 18,51000.0,51000.0,51000.0,51000.0,51000.0,586.2068965517242,586.2068965517242,586.2068965517242,586.2068965517242,586.2068965517242
JURONG WEST,1990-01,5 ROOM,01 TO 03,106500.0,86000.0,127000.0,96250.0,116750.0,809.2935487675434,704.9180327868852,913.6690647482014,757.1057907772142,861.4813067578724
JURONG WEST,1990-01,5 ROOM,04 TO 06,122500.0,95000.0,150000.0,108750.0,136250.0,935.0035244360902,742.1875,1127.8195488721803,838.5955122180451,1031.4115366541353
JURONG WEST,1990-01,5 ROOM,07 TO 09,118500.0,90700.0,127000.0,105175.0,127000.0,884.3283582089553,647.8571428571429,947.7611940298508,777.6359275053305,947.7611940298508
