town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1990-01,4 ROOM,75000.0,60000.0,90000.0,71500.0,88000.0,800.0,609.7560975609756,966.6666666666666,726.828231292517,846.1538461538462
JURONG EAST,1990-02,4 ROOM,71400.0,55000.0,87000.0,71000.0,79000.0,731.9587628865979,555.5555555555555,924.7311827956989,710.1206237128567,795.9288052373158
JURONG EAST,1990-03,4 ROOM,71600.0,50000.0,88340.0,70000.0,86500.0,777.1739130434783,531.9148936170212,945.6521739130435,707.070707070707,831.8513573653761
JURONG EAST,1990-04,4 ROOM,78500.0,75000.0,88000.0,77000.0,81125.0,785.7961053837344,742.5742574257425,857.8947368421053,773.3918128654971,798.4536082474227
JURONG EAST,1990-05,4 ROOM,70500.0,63000.0,88000.0,63750.0,79750.0,743.8754018401507,649.4845360824743,846.1538461538462,657.2164948453609,832.5062034739454
JURONG EAST,1990-06,4 ROOM,75000.0,45900.0,87000.0,54700.0,82000.0,757.5757575757576,463.6363636363636,956.0439560439561,588.1720430107526,881.7204301075269
JURONG EAST,1990-07,4 ROOM,81000.0,59000.0,94000.0,70000.0,88500.0,836.5384615384615,634.4086021505376,989.010989010989,744.6808510638298,870.9677419354839
JURONG EAST,1990-08,4 ROOM,68500.0,60000.0,95000.0,64250.0,80250.0,698.6879100281162,659.7938144329897,1032.608695652174,667.5257731958762,865.8841158841159
JURONG EAST,1990-09,4 ROOM,71000.0,54000.0,85000.0,68500.0,72500.0,747.3684210526316,545.4545454545455,904.2553191489362,717.7012502741829,771.5531890789623
JURONG EAST,1990-10,4 ROOM,92500.0,75000.0,102000.0,86250.0,96750.0,876.6846361185983,789.4736842105264,980.7692307692307,840.2255639097745,917.3621190130624
JURONG EAST,1990-11,4 ROOM,72000.0,53000.0,103000.0,64600.0,86650.0,754.7169811320755,563.8297872340426,1040.4040404040404,688.0706921944036,870.5910666153254
JURONG EAST,1990-12,4 ROOM,73500.0,60000.0,91000.0,70500.0,85125.0,780.3030303030303,652.1739130434783,968.0851063829788,723.0552952202437,846.5544871794872
JURONG EAST,1991-01,4 ROOM,81750.0,65000.0,115000.0,70000.0,95500.0,898.3516483516484,656.5656565656566,1105.7692307692307,755.4945054945056,952.1416083916083
JURONG EAST,1991-02,4 ROOM,81750.0,71000.0,95000.0,71375.0,92750.0,846.8406593406594,729.5918367346939,929.2929292929293,767.5627943485086,917.4193861693861
JURONG EAST,1991-03,4 ROOM,71500.0,45900.0,88500.0,64000.0,77500.0,760.6382978723404,463.6363636363636,879.1208791208791,651.3144329896907,824.6543778801844
JURONG EAST,1991-04,4 ROOM,71550.0,64000.0,90000.0,70250.0,83750.0,774.1291251964379,698.9247311827957,904.2553191489362,758.9624799816976,851.0382569558101
JURONG EAST,1991-05,4 ROOM,74000.0,66000.0,95000.0,70000.0,87250.0,787.2340425531914,673.0769230769231,896.2264150943396,740.7614781634938,858.031914893617
JURONG EAST,1991-06,4 ROOM,57500.0,50000.0,65000.0,53750.0,61250.0,580.8080808080808,505.050505050505,656.5656565656566,542.929292929293,618.6868686868687
JURONG EAST,1991-07,4 ROOM,86000.0,59000.0,91000.0,64000.0,88000.0,838.0952380952381,648.3516483516484,947.9166666666666,771.0843373493976,924.7311827956989
JURONG EAST,1991-08,4 ROOM,84000.0,59000.0,116500.0,75500.0,89500.0,898.936170212766,595.959595959596,1120.1923076923076,796.2469237079574,936.0282574568289
JURONG EAST,1991-09,4 ROOM,70100.0,63000.0,90000.0,65800.0,75000.0,780.2197802197802,636.3636363636364,857.1428571428571,667.6190476190476,824.1758241758242
JURONG EAST,1991-10,4 ROOM,65000.0,60000.0,97000.0,63750.0,73000.0,676.29179331307,631.0679611650486,1031.9148936170213,636.4903945465813,793.6930091185411
JURONG EAST,1991-11,4 ROOM,72000.0,62000.0,88500.0,67000.0,77850.0,746.9879518072289,609.5238095238095,816.3265306122449,713.2914510963292,785.6382978723404
JURONG EAST,1991-12,4 ROOM,80000.0,60000.0,100000.0,70000.0,85000.0,761.9047619047619,659.3406593406594,961.5384615384615,666.6666666666666,934.065934065934
JURONG EAST,1992-01,4 ROOM,73200.0,64000.0,100000.0,70350.0,84750.0,728.6181601903252,646.4646464646464,909.0909090909091,705.2884615384615,857.4900063118031
JURONG EAST,1992-02,4 ROOM,62000.0,45000.0,71400.0,56250.0,65850.0,636.8421052631579,454.54545454545456,751.578947368421,563.6363636363636,693.1578947368421
JURONG EAST,1992-03,4 ROOM,71250.0,55000.0,122800.0,70000.0,87500.0,764.9345335515549,567.0103092783505,1180.7692307692307,746.9017328361483,905.6862948372382
JURONG EAST,1992-04,4 ROOM,87000.0,45900.0,98000.0,70500.0,88075.0,826.0332434860736,473.1958762886598,1076.923076923077,718.0985297344744,926.5591397849462
JURONG EAST,1992-05,4 ROOM,89500.0,69000.0,120000.0,78000.0,104500.0,927.6810659789382,666.6666666666666,1208.7912087912089,777.685072815534,1069.0247252747254
JURONG EAST,1992-06,4 ROOM,89500.0,80000.0,125000.0,86000.0,90000.0,860.5769230769231,769.2307692307693,1190.4761904761904,809.7367002156722,1001.2298747763865
JURONG EAST,1992-07,4 ROOM,85000.0,50000.0,133000.0,64500.0,95000.0,801.8018018018018,505.050505050505,1278.8461538461538,695.3661327231121,918.1292008961912
JURONG EAST,1992-08,4 ROOM,82000.0,52000.0,102000.0,73275.0,92500.0,824.75788815995,504.8543689320388,1098.901098901099,749.1909385113269,983.3822091886608
JURONG EAST,1992-09,4 ROOM,110500.0,65000.0,126800.0,80000.0,123500.0,1131.6107316107316,656.5656565656566,1308.5106382978724,774.6686303387335,1228.3653846153845
JURONG EAST,1992-10,4 ROOM,80000.0,48000.0,115000.0,70000.0,92000.0,780.6122448979592,484.8484848484849,1263.7362637362637,707.070707070707,929.2929292929293
JURONG EAST,1992-11,4 ROOM,105000.0,75000.0,133000.0,91250.0,118500.0,1014.1198891198892,773.1958762886597,1318.6813186813188,989.2329892329892,1166.1211129296237
JURONG EAST,1992-12,4 ROOM,88000.0,62000.0,133500.0,64000.0,110000.0,846.1538461538462,649.4845360824743,1277.7777777777778,673.9130434782609,1157.8947368421052
JURONG EAST,1993-01,4 ROOM,80000.0,50000.0,128000.0,67000.0,95000.0,845.360824742268,543.4782608695652,1271.7391304347825,728.701406120761,975.2747252747253
JURONG EAST,1993-02,4 ROOM,88000.0,64000.0,140000.0,80000.0,125000.0,846.1538461538462,646.4646464646464,1190.4761904761904,824.7422680412371,1138.2113821138212
JURONG EAST,1993-03,4 ROOM,79000.0,64000.0,117000.0,74000.0,80000.0,951.8072289156627,680.8510638297872,1258.0645161290322,711.5384615384615,963.855421686747
JURONG EAST,1993-04,4 ROOM,102500.0,80000.0,137000.0,95000.0,113000.0,1035.265897723793,808.0808080808081,1304.7619047619048,975.2160783088618,1105.893446487506
JURONG EAST,1993-05,4 ROOM,122000.0,90000.0,142000.0,108000.0,123500.0,1168.421052631579,989.010989010989,1365.3846153846155,1118.5701830863122,1232.5814536340852
JURONG EAST,1993-06,4 ROOM,109000.0,82000.0,140000.0,96000.0,131000.0,1211.111111111111,828.2828282828283,1355.5555555555557,1024.3570862127563,1321.2250712250711
JURONG EAST,1993-07,4 ROOM,124000.0,80000.0,140000.0,110000.0,130000.0,1291.6666666666667,808.0808080808081,1538.4615384615386,1019.2307692307693,1388.888888888889
JURONG EAST,1993-08,4 ROOM,135000.0,110000.0,155000.0,130000.0,150000.0,1404.2553191489362,1100.0,1648.3516483516485,1313.1313131313132,1435.1851851851852
JURONG EAST,1993-09,4 ROOM,136000.0,115000.0,171000.0,125000.0,144000.0,1384.2105263157894,1095.2380952380952,1644.2307692307693,1287.1287128712872,1489.3617021276596
JURONG EAST,1993-10,4 ROOM,155000.0,120000.0,185000.0,146250.0,165750.0,1597.9199372056514,1315.7894736842106,1947.3684210526317,1450.4989655592065,1734.89010989011
JURONG EAST,1993-11,4 ROOM,150000.0,95000.0,185000.0,138500.0,158750.0,1573.1182795698924,1039.6039603960396,1787.2340425531916,1470.5186198190618,1660.9949190594352
JURONG EAST,1993-12,4 ROOM,145000.0,120000.0,170000.0,126250.0,158750.0,1498.2043558850787,1237.3737373737374,1868.131868131868,1370.3703703703704,1643.328633683671
JURONG EAST,1994-01,4 ROOM,160000.0,135000.0,180000.0,150000.0,163500.0,1648.3516483516485,1363.6363636363637,1861.7021276595744,1515.1515151515152,1718.0851063829787
JURONG EAST,1994-02,4 ROOM,154500.0,130000.0,193000.0,148500.0,165600.0,1639.393215480172,1406.25,2053.191489361702,1502.7910685805423,1666.6666666666667
JURONG EAST,1994-03,4 ROOM,155500.0,116000.0,185000.0,146250.0,173750.0,1613.6475208640159,1340.2061855670104,1953.8461538461538,1551.6717325227964,1713.598901098901
JURONG EAST,1994-04,4 ROOM,168500.0,140000.0,193000.0,150750.0,182750.0,1735.215053763441,1462.2641509433963,2065.217391304348,1577.7706336216975,1868.1131019036955
JURONG EAST,1994-05,4 ROOM,156000.0,118000.0,200000.0,141000.0,165000.0,1575.7575757575758,1421.686746987952,1978.021978021978,1546.0843373493976,1707.4175824175823
JURONG EAST,1994-06,4 ROOM,176500.0,165000.0,190000.0,170000.0,180000.0,1809.017223910841,1590.4761904761904,1978.021978021978,1660.7142857142858,1884.9701573521431
JURONG EAST,1994-07,4 ROOM,167000.0,137000.0,215000.0,161000.0,195000.0,1653.8461538461538,1383.8383838383838,2197.802197802198,1557.6923076923076,1857.142857142857
JURONG EAST,1994-08,4 ROOM,165000.0,138000.0,195000.0,157750.0,185750.0,1647.163120567376,1393.939393939394,2119.5652173913045,1530.6122448979593,1817.9469901168015
JURONG EAST,1994-09,4 ROOM,172000.0,123000.0,187000.0,157500.0,178000.0,1715.7894736842106,1481.9277108433735,1968.421052631579,1637.0625358577167,1798.3673469387754
JURONG EAST,1994-10,4 ROOM,170000.0,145000.0,200000.0,156875.0,183000.0,1822.954822954823,1464.6464646464647,2010.989010989011,1600.883652430044,1913.2653061224491
