town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1990-01,EXECUTIVE,160000.0,159000.0,182000.0,159700.0,160750.0,1061.9127516778524,1032.258064516129,1159.2356687898089,1041.532258064516,1079.6808656348446
JURONG EAST,1990-02,EXECUTIVE,167750.0,160000.0,175500.0,163875.0,171625.0,1114.2153832567997,1073.8255033557048,1154.6052631578948,1094.0204433062522,1134.4103232073473
JURONG EAST,1990-03,EXECUTIVE,166000.0,160000.0,185000.0,160250.0,177750.0,1144.7474891713075,1052.6315789473683,1267.605633802817,1096.2718037186123,1170.6707134612918
JURONG EAST,1990-04,EXECUTIVE,168600.0,160000.0,177200.0,164300.0,172900.0,1131.5436241610737,1073.8255033557048,1189.2617449664428,1102.6845637583892,1160.4026845637584
JURONG EAST,1990-06,EXECUTIVE,190000.0,175000.0,210000.0,182500.0,200000.0,1275.1677852348994,1190.4761904761904,1409.3959731543623,1232.8219878555449,1342.2818791946308
JURONG EAST,1990-07,EXECUTIVE,176500.0,159600.0,195000.0,169650.0,183750.0,1200.6802721088434,1071.1409395973155,1382.9787234042553,1150.4382961238186,1264.1120277898392
JURONG EAST,1990-09,EXECUTIVE,160000.0,145000.0,175000.0,152500.0,167500.0,1077.7933974242699,973.1543624161073,1182.4324324324325,1025.4738799201887,1130.1129149283513
JURONG EAST,1990-10,EXECUTIVE,174500.0,160000.0,189000.0,167250.0,181750.0,1201.6040744442857,1134.7517730496454,1268.456375838926,1168.1779237469655,1235.030225141606
JURONG EAST,1990-11,EXECUTIVE,183750.0,180000.0,187500.0,181875.0,185625.0,1239.259410801964,1201.923076923077,1276.595744680851,1220.5912438625205,1257.9275777414075
JURONG EAST,1991-01,EXECUTIVE,183000.0,161000.0,205000.0,172000.0,194000.0,1207.2743017969258,1038.7096774193549,1375.8389261744967,1122.9919896081403,1291.5566139857112
JURONG EAST,1991-02,EXECUTIVE,160000.0,145000.0,175000.0,152500.0,167500.0,1058.0275429268718,941.5584415584416,1174.496644295302,999.7929922426567,1116.262093611087
JURONG EAST,1991-03,EXECUTIVE,165000.0,114000.0,200000.0,156250.0,182500.0,1151.268503974487,808.5106382978723,1342.2818791946308,1050.301559949211,1226.9862144023218
JURONG EAST,1991-04,EXECUTIVE,181500.0,160000.0,203000.0,170750.0,192250.0,1218.1208053691275,1073.8255033557048,1362.4161073825503,1145.9731543624162,1290.268456375839
JURONG EAST,1991-05,EXECUTIVE,180000.0,145000.0,212000.0,162500.0,205000.0,1228.916224023856,973.1543624161073,1452.054794520548,1111.0334544776815,1382.3894456191965
JURONG EAST,1991-06,EXECUTIVE,186000.0,130000.0,201000.0,167500.0,194250.0,1319.148936170213,838.7096774193549,1367.3469387755101,1167.124227865477,1363.1133304385585
JURONG EAST,1991-07,EXECUTIVE,206500.0,160000.0,220000.0,170000.0,217500.0,1413.9027714675149,1095.890410958904,1479.7297297297298,1203.1765058435722,1426.9863606841307
JURONG EAST,1991-08,EXECUTIVE,190000.0,160000.0,195000.0,175000.0,192500.0,1233.7662337662337,1052.6315789473683,1382.9787234042553,1143.198906356801,1308.3724785852446
JURONG EAST,1991-09,EXECUTIVE,193000.0,163000.0,223000.0,178000.0,208000.0,1286.1345275728836,1044.871794871795,1527.3972602739725,1165.5031612223393,1406.7658939234282
JURONG EAST,1991-10,EXECUTIVE,185000.0,160000.0,190000.0,175000.0,190000.0,1220.9099625207007,1073.8255033557048,1275.1677852348994,1174.4966442953018,1244.1166216334
JURONG EAST,1991-11,EXECUTIVE,170000.0,160000.0,213000.0,160000.0,190000.0,1140.9395973154362,1073.8255033557048,1448.9795918367347,1073.8255033557048,1301.3698630136987
JURONG EAST,1991-12,EXECUTIVE,194000.0,160000.0,228000.0,177000.0,211000.0,1317.3758865248228,1134.7517730496454,1500.0,1226.063829787234,1408.6879432624114
JURONG EAST,1992-01,EXECUTIVE,199500.0,194000.0,205000.0,196750.0,202250.0,1353.061505929944,1302.013422818792,1404.109589041096,1327.537464374368,1378.5855474855198
JURONG EAST,1992-02,EXECUTIVE,204000.0,160000.0,221000.0,182000.0,212500.0,1378.3783783783783,1073.8255033557048,1493.2432432432433,1226.1019408670415,1435.8108108108108
JURONG EAST,1992-03,EXECUTIVE,185000.0,160000.0,227000.0,174000.0,218000.0,1267.123287671233,1073.8255033557048,1609.9290780141844,1167.7852348993288,1493.150684931507
JURONG EAST,1992-04,EXECUTIVE,181000.0,161000.0,205000.0,175250.0,187750.0,1214.7651006711408,1038.7096774193549,1314.1025641025642,1165.7176878112145,1244.6330235759765
JURONG EAST,1992-05,EXECUTIVE,165000.0,145000.0,234000.0,156250.0,186000.0,1130.13698630137,973.1543624161073,1539.4736842105262,1065.2063988232048,1258.1560922855083
JURONG EAST,1992-06,EXECUTIVE,167500.0,125000.0,210000.0,146250.0,188750.0,1169.8509190910406,850.3401360544218,1489.3617021276596,1010.0955275727313,1329.6063106093502
JURONG EAST,1992-07,EXECUTIVE,220000.0,200000.0,220000.0,210000.0,220000.0,1506.849315068493,1360.544217687075,1560.2836879432625,1433.6967663777841,1533.5665015058778
JURONG EAST,1992-08,EXECUTIVE,220000.0,185000.0,245000.0,191000.0,240000.0,1506.4102564102564,1178.343949044586,1725.3521126760563,1301.3698630136987,1610.7382550335572
JURONG EAST,1992-09,EXECUTIVE,222000.0,210000.0,236000.0,216000.0,229000.0,1520.5479452054794,1409.3959731543623,1583.8926174496644,1464.9719591799208,1552.220281327572
JURONG EAST,1992-10,EXECUTIVE,160000.0,160000.0,210000.0,160000.0,185000.0,1134.7517730496454,1081.081081081081,1438.3561643835617,1107.9164270653632,1286.5539687166035
JURONG EAST,1992-11,EXECUTIVE,218000.0,160000.0,235000.0,198000.0,225000.0,1406.4516129032259,1073.8255033557048,1584.5070422535211,1337.837837837838,1577.1812080536913
JURONG EAST,1992-12,EXECUTIVE,220000.0,160000.0,237000.0,182500.0,226500.0,1476.510067114094,1073.8255033557048,1549.0196078431372,1232.1371501620783,1520.2775775054074
JURONG EAST,1993-01,EXECUTIVE,229000.0,225000.0,233000.0,227000.0,231000.0,1542.1957192091422,1510.0671140939598,1574.3243243243244,1526.131416651551,1558.2600217667332
JURONG EAST,1993-02,EXECUTIVE,200000.0,160000.0,237000.0,200000.0,220000.0,1342.2818791946308,1073.8255033557048,1538.9610389610389,1282.051282051282,1476.510067114094
JURONG EAST,1993-03,EXECUTIVE,194000.0,160000.0,228000.0,177000.0,211000.0,1317.7346694860717,1073.8255033557048,1561.6438356164383,1195.7800864208882,1439.6892525512549
JURONG EAST,1993-04,EXECUTIVE,211000.0,187000.0,230000.0,198000.0,218750.0,1432.8859060402683,1255.03355704698,1575.3424657534247,1328.8590604026845,1504.6908970602137
JURONG EAST,1993-05,EXECUTIVE,240000.0,200000.0,255000.0,210000.0,248000.0,1610.7382550335572,1315.7894736842106,1808.5106382978724,1409.3959731543623,1687.0748299319728
JURONG EAST,1993-06,EXECUTIVE,263000.0,250000.0,295000.0,260000.0,267000.0,1765.1006711409395,1602.5641025641025,1903.225806451613,1677.4193548387098,1880.281690140845
JURONG EAST,1993-07,EXECUTIVE,258500.0,240000.0,275000.0,252750.0,263750.0,1673.4202145491117,1578.9473684210527,1845.6375838926174,1636.7750586657728,1729.5015012363124
JURONG EAST,1993-08,EXECUTIVE,275000.0,260000.0,290000.0,267500.0,282500.0,1871.5290633098853,1756.7567567567567,1986.3013698630136,1814.142910033321,1928.9152165864493
JURONG EAST,1993-09,EXECUTIVE,250000.0,245000.0,300500.0,247500.0,275250.0,1773.049645390071,1655.4054054054054,2131.205673758865,1714.2275253977382,1952.127659574468
JURONG EAST,1993-10,EXECUTIVE,307500.0,260000.0,330000.0,282500.0,326250.0,2063.758389261745,1744.96644295302,2214.7651006711408,1895.9731543624162,2189.597315436242
JURONG EAST,1993-11,EXECUTIVE,330000.0,290000.0,345000.0,321500.0,336000.0,2269.503546099291,1907.8947368421052,2429.5774647887324,2191.2751677852348,2333.590584603511
JURONG EAST,1993-12,EXECUTIVE,320000.0,300000.0,326000.0,315000.0,325000.0,2147.6510067114095,2089.041095890411,2187.9194630872485,2114.0939597315437,2181.2080536912754
JURONG EAST,1994-01,EXECUTIVE,307000.0,290000.0,372900.0,293000.0,310000.0,2088.4353741496598,1959.4594594594594,2519.5945945945946,1966.4429530201342,2123.2876712328766
JURONG EAST,1994-02,EXECUTIVE,318000.0,300000.0,360000.0,308500.0,335000.0,2134.228187919463,1923.076923076923,2416.1073825503354,2017.1205061343137,2240.82774049217
JURONG EAST,1994-03,EXECUTIVE,327500.0,315000.0,380000.0,321250.0,348750.0,2203.2729612944745,2070.063694267516,2435.897435897436,2133.51567527811,2271.4332106516563
JURONG EAST,1994-04,EXECUTIVE,331000.0,300000.0,375000.0,313500.0,350000.0,2214.21858216971,2000.0,2419.3548387096776,2132.5860345566184,2372.9637171417994
JURONG EAST,1994-05,EXECUTIVE,326500.0,280000.0,343000.0,305750.0,331500.0,2140.4220779220777,1971.8309859154929,2415.492957746479,2115.757042253521,2200.0348644643946
JURONG EAST,1994-06,EXECUTIVE,338750.0,303000.0,380000.0,316625.0,367250.0,2286.86972982275,2033.5570469798658,2588.6524822695037,2125.0,2474.2118820304377
JURONG EAST,1994-07,EXECUTIVE,323000.0,303000.0,360000.0,320000.0,350000.0,2197.278911564626,2075.3424657534247,2432.4324324324325,2147.6510067114095,2348.993288590604
JURONG EAST,1994-08,EXECUTIVE,354500.0,325000.0,380000.0,340000.0,368000.0,2395.8133589006075,2288.7323943661972,2676.056338028169,2308.7602797996033,2526.1569416498996
JURONG EAST,1994-09,EXECUTIVE,317000.0,290000.0,385000.0,315000.0,360000.0,2141.891891891892,1986.3013698630136,2583.8926174496646,2114.0939597315437,2553.191489361702
JURONG EAST,1994-10,EXECUTIVE,365000.0,320000.0,380000.0,339000.0,368000.0,2382.55033557047,2182.4324324324325,2602.7397260273974,2282.987185152452,2529.2255699938123
JURONG EAST,1994-11,EXECUTIVE,365000.0,335000.0,407000.0,365000.0,390000.0,2449.6644295302012,2248.3221476510066,2746.478873239437,2401.315789473684,2677.6315789473683
JURONG EAST,1994-12,EXECUTIVE,362000.0,320000.0,398000.0,330000.0,378800.0,2431.5068493150684,2129.032258064516,2822.695035460993,2214.7651006711408,2564.625850340136
JURONG EAST,1995-01,EXECUTIVE,385000.0,333000.0,400000.0,359000.0,392500.0,2583.8926174496646,2265.3061224489797,2836.8794326241136,2424.599369949322,2710.386025036889
