town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1990-01,65000.0,26000.0,182000.0,45625.0,107500.0,732.1047008547008,337.6623376623377,1191.6666666666667,659.2039800995025,883.0807482832109
JURONG EAST,1990-02,50000.0,30000.0,175500.0,45500.0,72000.0,686.7647058823529,389.61038961038963,1350.0,614.8648648648649,737.6068376068376
JURONG EAST,1990-03,57000.0,27000.0,185000.0,46900.0,88340.0,702.7027027027027,363.6363636363636,1267.605633802817,656.7164179104477,908.3333333333334
JURONG EAST,1990-04,57000.0,23500.0,177200.0,44500.0,109500.0,700.0,305.1948051948052,1225.0,644.5346795434591,900.7545271629779
JURONG EAST,1990-05,47000.0,25000.0,147000.0,33250.0,85000.0,659.7938144329897,324.6753246753247,1145.8333333333333,473.32593787817666,777.2263578715192
JURONG EAST,1990-06,50000.0,24000.0,210000.0,46900.0,85500.0,717.7254751881617,311.68831168831167,1409.3959731543623,689.5355093256815,882.428533962759
JURONG EAST,1990-07,56700.0,30000.0,195000.0,42375.0,91000.0,698.5074626865671,396.1038961038961,1382.9787234042553,626.3992537313434,942.3976608187135
JURONG EAST,1990-08,55000.0,29000.0,160000.0,41000.0,94500.0,686.5671641791045,348.83720930232556,1333.3333333333333,611.9402985074628,907.967032967033
JURONG EAST,1990-09,67000.0,25000.0,178000.0,46850.0,99850.0,725.1282051282051,324.6753246753247,1483.3333333333333,526.4586160108548,902.540882714964
JURONG EAST,1990-10,70000.0,25000.0,189000.0,42000.0,100000.0,746.2686567164179,324.6753246753247,1280.9917355371902,622.036874451273,904.843976777939
JURONG EAST,1990-11,64200.0,23000.0,187500.0,46950.0,96500.0,714.2857142857143,310.81081081081084,1416.6666666666667,607.1494379952092,911.0708799648892
JURONG EAST,1990-12,88500.0,28000.0,142000.0,56000.0,125000.0,850.9615384615385,388.8888888888889,1186.4406779661017,701.4925373134329,968.0851063829788
JURONG EAST,1991-01,78500.0,23500.0,205000.0,46950.0,112500.0,770.2702702702703,305.1948051948052,1375.8389261744967,668.5169842584921,995.1923076923076
JURONG EAST,1991-02,63000.0,24000.0,175000.0,44750.0,121750.0,747.1488595438175,311.68831168831167,1275.0,649.2537313432836,940.7407407407408
JURONG EAST,1991-03,80000.0,28000.0,200000.0,57000.0,148000.0,808.5106382978723,366.27906976744185,1342.2818791946308,666.6666666666666,1088.4353741496598
JURONG EAST,1991-04,67500.0,31500.0,203000.0,46925.0,89625.0,756.0379528464634,437.5,1362.4161073825503,659.0676919622812,861.80441898527
JURONG EAST,1991-05,70700.0,26000.0,212000.0,47000.0,117500.0,778.9828749351323,337.6623376623377,1452.054794520548,673.7266112266112,962.9166192697077
JURONG EAST,1991-06,48000.0,25000.0,201000.0,40500.0,121000.0,691.1764705882352,324.6753246753247,1367.3469387755101,588.2352941176471,929.1723202170963
JURONG EAST,1991-07,53750.0,25000.0,220000.0,42000.0,123500.0,699.2537313432836,337.8378378378378,1479.7297297297298,626.8656716417911,1057.491987179487
JURONG EAST,1991-08,68000.0,35000.0,195000.0,43000.0,97250.0,771.0047003525265,514.7058823529412,1382.9787234042553,624.5610184372257,956.4155449413809
JURONG EAST,1991-09,65800.0,31000.0,223000.0,46350.0,95000.0,714.2857142857143,418.9189189189189,1527.3972602739725,647.1759852041541,843.6657681940701
JURONG EAST,1991-10,57000.0,25000.0,190000.0,42000.0,120000.0,697.0149253731344,324.6753246753247,1508.4745762711864,617.6470588235294,1000.0
JURONG EAST,1991-11,67000.0,23400.0,213000.0,42125.0,116500.0,704.28162219207,303.8961038961039,1448.9795918367347,607.7380952380952,926.3888888888889
JURONG EAST,1991-12,47000.0,24500.0,228000.0,41500.0,81250.0,686.6659350307286,318.1818181818182,1500.0,597.0149253731344,791.988416988417
JURONG EAST,1992-01,55000.0,23000.0,205000.0,42000.0,100000.0,700.7462686567164,267.4418604651163,1404.109589041096,591.817496229261,874.9619250685349
JURONG EAST,1992-02,48000.0,23000.0,221000.0,33500.0,120000.0,650.2749410840535,315.06849315068496,1493.2432432432433,458.5561497326203,956.7760942760942
JURONG EAST,1992-03,66000.0,25000.0,227000.0,46525.0,103200.0,730.8949220713926,324.6753246753247,1609.9290780141844,616.5138352638353,948.4833348469712
JURONG EAST,1992-04,75500.0,30000.0,205000.0,45675.0,121250.0,770.2702702702703,366.27906976744185,1525.0,626.8656716417911,1046.1262751585332
JURONG EAST,1992-05,77000.0,27500.0,234000.0,42000.0,109000.0,746.6530403679101,371.6216216216216,1539.4736842105262,626.8656716417911,986.0805860805862
JURONG EAST,1992-06,70000.0,32500.0,210000.0,42000.0,125000.0,811.318407960199,439.18918918918916,1566.6666666666667,626.8656716417911,963.5202583675866
JURONG EAST,1992-07,61000.0,25000.0,220000.0,42000.0,100000.0,734.9397590361446,324.6753246753247,1560.2836879432625,597.0149253731344,926.4705882352941
JURONG EAST,1992-08,95000.0,29000.0,245000.0,47250.0,182500.0,873.6314190859646,376.6233766233766,1725.3521126760563,693.7554872695347,1298.6625323954092
JURONG EAST,1992-09,65000.0,27000.0,236000.0,44250.0,120750.0,772.0588235294117,364.86486486486484,1583.8926174496644,649.1406603346902,1157.237525987526
JURONG EAST,1992-10,68500.0,24000.0,210000.0,46875.0,138666.0,774.9215070643643,324.3243243243243,1567.7966101694915,613.8305322128851,1141.8164488017428
JURONG EAST,1992-11,90000.0,30000.0,235000.0,51380.0,123000.0,980.0,416.6666666666667,1584.5070422535211,716.2162162162163,1170.212765957447
JURONG EAST,1992-12,85900.0,25000.0,237000.0,42000.0,153950.0,793.978379344233,324.6753246753247,1549.0196078431372,626.8656716417911,1234.0491559086395
JURONG EAST,1993-01,64000.0,31000.0,233000.0,50000.0,108500.0,809.9173553719008,402.5974025974026,1574.3243243243244,640.0,961.5384615384615
JURONG EAST,1993-02,56000.0,30000.0,237000.0,42000.0,145750.0,738.8059701492537,389.61038961038963,1566.6666666666667,617.6470588235294,1164.4223263075721
JURONG EAST,1993-03,64000.0,31500.0,228000.0,42000.0,142000.0,770.2702702702703,422.0779220779221,1561.6438356164383,617.6470588235294,1183.3333333333333
JURONG EAST,1993-04,80000.0,31500.0,230000.0,43500.0,157500.0,895.5223880597015,409.09090909090907,1575.3424657534247,617.6470588235294,1279.8977309044424
JURONG EAST,1993-05,108000.0,32760.0,255000.0,57750.0,182375.0,1115.6716417910447,442.7027027027027,1808.5106382978724,772.5078975078975,1363.3241758241759
JURONG EAST,1993-06,130000.0,45000.0,295000.0,67500.0,183000.0,1211.111111111111,572.5190839694657,1903.225806451613,843.7188789301465,1489.5661157024792
JURONG EAST,1993-07,131500.0,40000.0,280000.0,76125.0,212250.0,1388.6593204775022,588.2352941176471,2333.3333333333335,1036.8111366245694,1688.9254385964914
JURONG EAST,1993-08,135000.0,25000.0,290000.0,80000.0,217000.0,1404.2553191489362,324.6753246753247,2314.0495867768595,1130.952380952381,1756.7567567567567
JURONG EAST,1993-09,140000.0,60000.0,300500.0,85000.0,220000.0,1417.910447761194,779.2207792207793,2333.3333333333335,1189.1891891891892,1772.3577235772357
JURONG EAST,1993-10,159500.0,50000.0,330000.0,103750.0,232500.0,1679.6092796092796,735.2941176470588,2288.135593220339,1350.5267778753293,1924.0771812080538
JURONG EAST,1993-11,137000.0,50000.0,345000.0,85000.0,227500.0,1461.4454029034296,649.3506493506494,2650.0,1194.0298507462687,1899.671052631579
JURONG EAST,1993-12,157500.0,58000.0,326000.0,86500.0,258250.0,1637.7210971545758,783.7837837837837,2291.6666666666665,1238.4479119553746,2095.304311850694
JURONG EAST,1994-01,127500.0,50000.0,372900.0,82250.0,174500.0,1435.4395604395604,649.3506493506494,2519.5945945945946,1223.8805970149253,1787.5075620084694
JURONG EAST,1994-02,138000.0,62000.0,360000.0,85000.0,207500.0,1477.0642201834862,805.1948051948052,2435.897435897436,1241.0246066962486,1885.7774206508639
JURONG EAST,1994-03,147000.0,55000.0,380000.0,87000.0,252500.0,1547.6190476190477,743.2432432432432,2709.4017094017095,1257.818052594172,2128.475551294343
JURONG EAST,1994-04,177000.0,55000.0,375000.0,90000.0,265000.0,1750.0,763.8888888888889,2558.3333333333335,1313.4328358208954,2127.659574468085
JURONG EAST,1994-05,123000.0,70000.0,343000.0,87000.0,251500.0,1448.3703929332928,909.0909090909091,2716.6666666666665,1250.9328358208954,2029.3447293447293
JURONG EAST,1994-06,167000.0,65000.0,380000.0,90000.0,260000.0,1634.6153846153845,844.1558441558442,2588.6524822695037,1268.6567164179105,2041.6666666666667
JURONG EAST,1994-07,157500.0,64000.0,360000.0,93000.0,256250.0,1605.043541364296,831.1688311688312,2583.3333333333335,1302.6421944332392,2127.938034188034
JURONG EAST,1994-08,160000.0,73000.0,380000.0,92000.0,250000.0,1585.858585858586,948.0519480519481,2676.056338028169,1323.5294117647059,2057.1428571428573
JURONG EAST,1994-09,132500.0,75000.0,385000.0,100000.0,245000.0,1602.3494288681204,974.025974025974,2688.5245901639346,1348.8079085094012,2086.2157976251938
JURONG EAST,1994-10,179000.0,74000.0,380000.0,101250.0,274250.0,1808.8235294117646,961.038961038961,2602.7397260273974,1463.6665159053218,2187.1066271751206
JURONG EAST,1994-11,144000.0,78000.0,407000.0,96500.0,263500.0,1699.9320124320125,1038.9610389610389,2750.0,1368.6974789915967,2082.9334787350053
JURONG EAST,1994-12,166000.0,72000.0,398000.0,95000.0,290000.0,1660.0,935.0649350649351,2851.2396694214876,1308.8235294117646,2178.5714285714284
JURONG EAST,1995-01,168000.0,75000.0,400000.0,94500.0,265000.0,1707.4175824175823,872.0930232558139,2888.8888888888887,1338.3450395083407,2212.2438654186694
JURONG EAST,1995-02,184500.0,80000.0,410000.0,104000.0,262500.0,1809.687953555878,1111.111111111111,2887.323943661972,1435.6120826709061,2266.5062094109603
JURONG EAST,1995-03,179500.0,70000.0,380000.0,103000.0,267750.0,1857.3113207547171,909.0909090909091,2635.4166666666665,1487.9596861055547,2161.3475177304963
JURONG EAST,1995-04,156500.0,80000.0,420000.0,109500.0,266500.0,1798.8505747126437,1095.890410958904,2978.723404255319,1576.7590618336885,2210.151460512081
JURONG EAST,1995-05,171500.0,86000.0,416000.0,109250.0,274750.0,1884.3085106382978,1116.8831168831168,2849.3150684931506,1590.5667144906743,2260.3305785123966
