town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1990-01,high,72000.0,26000.0,160000.0,38000.0,116500.0,735.042735042735,337.6623376623377,1191.6666666666667,525.7898743814237,933.0764099903654
JURONG EAST,1990-02,high,47000.0,30000.0,162000.0,35000.0,91000.0,699.0291262135922,389.61038961038963,1350.0,503.06685749335514,820.8317387421865
JURONG EAST,1990-03,high,57000.0,28000.0,171000.0,47000.0,109000.0,770.2702702702703,363.6363636363636,1176.0330578512396,689.7058823529412,945.6521739130435
JURONG EAST,1990-04,high,47000.0,23500.0,150000.0,35500.0,85000.0,695.5882352941176,305.1948051948052,1225.0,527.6558384547849,806.5618503118503
JURONG EAST,1990-05,high,46950.0,25000.0,123000.0,30500.0,77000.0,652.6280960484023,324.6753246753247,1025.0,407.950157950158,698.54587357331
JURONG EAST,1990-06,high,101450.0,30000.0,210000.0,43250.0,165250.0,987.5838926174497,416.6666666666667,1409.3959731543623,636.0294117647059,1302.0833333333333
JURONG EAST,1990-07,high,58000.0,31000.0,157000.0,40375.0,113500.0,733.6425978217023,418.9189189189189,1330.5084745762713,583.9752848659926,997.2527472527472
JURONG EAST,1990-08,high,57000.0,31500.0,160000.0,46000.0,139000.0,750.0,424.6753246753247,1333.3333333333333,686.5671641791045,1145.0381679389313
JURONG EAST,1990-09,high,77920.0,25000.0,178000.0,47000.0,137125.0,736.2483130904184,324.6753246753247,1483.3333333333333,648.2124262408886,1017.2589342052429
JURONG EAST,1990-10,high,90000.0,25000.0,155000.0,44500.0,100500.0,836.0042735042734,324.6753246753247,1280.9917355371902,640.8371040723982,930.2884615384615
JURONG EAST,1990-11,high,49000.0,27000.0,180000.0,35500.0,136500.0,720.5882352941176,364.86486486486484,1276.595744680851,522.0588235294117,1045.2991452991455
JURONG EAST,1990-12,high,75000.0,38000.0,140000.0,46000.0,125500.0,833.3333333333334,535.2112676056338,1186.4406779661017,686.5671641791045,1072.6495726495727
JURONG EAST,1991-01,high,88000.0,23500.0,205000.0,47000.0,120000.0,862.6373626373627,305.1948051948052,1375.8389261744967,691.1764705882352,1083.3333333333333
JURONG EAST,1991-02,high,88500.0,31500.0,153000.0,54250.0,127750.0,875.0942258404946,431.5068493150685,1275.0,728.817809174952,994.2748091603053
JURONG EAST,1991-03,high,78000.0,28000.0,194000.0,50000.0,120000.0,770.2702702702703,366.27906976744185,1328.7671232876712,549.4505494505495,1000.0
JURONG EAST,1991-04,high,68500.0,31500.0,203000.0,45750.0,127000.0,763.5135135135135,437.5,1362.4161073825503,641.0529860799281,944.2773600668338
JURONG EAST,1991-05,high,46500.0,26000.0,210000.0,36500.0,88750.0,668.8237533307956,337.6623376623377,1409.3959731543623,536.7647058823529,815.9722222222222
JURONG EAST,1991-06,high,47000.0,25000.0,201000.0,40000.0,115000.0,648.6486486486486,324.6753246753247,1367.3469387755101,588.2352941176471,867.4840085287847
JURONG EAST,1991-07,high,109000.0,30000.0,220000.0,38250.0,152000.0,931.6239316239316,405.4054054054054,1479.7297297297298,534.8414179104478,1266.6666666666667
JURONG EAST,1991-08,high,85000.0,36000.0,195000.0,47000.0,116500.0,923.0769230769231,529.4117647058823,1382.9787234042553,617.6470588235294,991.4529914529915
JURONG EAST,1991-09,high,90000.0,31000.0,223000.0,64000.0,158500.0,857.1428571428571,418.9189189189189,1527.3972602739725,646.4646464646464,1320.8333333333333
JURONG EAST,1991-10,high,123500.0,25000.0,180000.0,57750.0,155250.0,981.060606060606,324.6753246753247,1508.4745762711864,664.5936981757877,1198.9507162175698
JURONG EAST,1991-11,high,60200.0,23400.0,213000.0,34000.0,85000.0,716.7832167832167,303.8961038961039,1448.9795918367347,441.7267267267267,795.4787234042553
JURONG EAST,1991-12,high,70000.0,35000.0,160000.0,43500.0,116000.0,691.1764705882352,514.7058823529412,1258.3333333333333,607.3309920983319,1009.0176998573945
JURONG EAST,1992-01,high,100000.0,30000.0,164500.0,71250.0,109500.0,831.679389312977,416.6666666666667,1370.8333333333333,705.2884615384615,914.7727272727273
JURONG EAST,1992-02,high,49000.0,30000.0,204000.0,36750.0,69700.0,673.6842105263158,389.61038961038963,1378.3783783783783,446.02272727272725,776.6159199652022
JURONG EAST,1992-03,high,77500.0,25000.0,227000.0,46750.0,128100.0,735.2941176470588,324.6753246753247,1609.9290780141844,673.7877583465819,1105.4078471863706
JURONG EAST,1992-04,high,75500.0,31500.0,178000.0,42000.0,120000.0,774.7252747252747,366.27906976744185,1483.3333333333333,603.2489989078996,1008.5470085470085
JURONG EAST,1992-05,high,91000.0,27500.0,167000.0,69000.0,132000.0,919.1919191919192,371.6216216216216,1391.6666666666667,639.0977443609023,1010.989010989011
JURONG EAST,1992-06,high,80000.0,33000.0,188000.0,54000.0,133000.0,880.5970149253732,445.94594594594594,1566.6666666666667,769.2307692307693,1136.7521367521367
JURONG EAST,1992-07,high,64000.0,25000.0,130000.0,42000.0,90000.0,646.4646464646464,324.6753246753247,962.9629629629629,505.050505050505,858.5858585858585
JURONG EAST,1992-08,high,90000.0,31500.0,245000.0,49250.0,178500.0,815.6999419135342,431.5068493150685,1678.0821917808219,654.4117647058823,1458.3333333333333
JURONG EAST,1992-09,high,93500.0,35000.0,236000.0,45750.0,123950.0,957.6271186440679,472.97297297297297,1583.8926174496644,675.2633889376647,1169.2567567567567
JURONG EAST,1992-10,high,50500.0,30000.0,185000.0,40250.0,107750.0,665.2269647696477,389.61038961038963,1567.7966101694915,577.0255863539445,1042.6165146909827
JURONG EAST,1992-11,high,92500.0,38500.0,235000.0,72500.0,129750.0,989.4549894549895,527.3972602739726,1584.5070422535211,781.653699354081,1248.2476635514017
JURONG EAST,1992-12,high,124250.0,25000.0,223000.0,42750.0,162750.0,1208.288409703504,337.8378378378378,1527.3972602739725,635.0977073395908,1345.1614042523133
JURONG EAST,1993-01,high,88000.0,38000.0,158000.0,57000.0,120000.0,916.6666666666666,493.5064935064935,1316.6666666666667,689.1891891891892,1153.8461538461538
JURONG EAST,1993-02,high,111000.0,40000.0,220000.0,59500.0,136250.0,850.5578391074574,476.1904761904762,1500.0,766.4684098305465,1177.4099883855981
JURONG EAST,1993-03,high,59500.0,31500.0,186000.0,33275.0,126250.0,686.6515837104073,431.5068493150685,1550.0,462.015933844292,1125.4518072289156
JURONG EAST,1993-04,high,105000.0,45000.0,220000.0,60000.0,181000.0,1039.6039603960396,584.4155844155844,1541.6666666666667,796.8998410174881,1448.5724938745075
JURONG EAST,1993-05,high,97500.0,46000.0,248000.0,56500.0,150125.0,957.4690970039808,676.4705882352941,1735.042735042735,763.5135135135135,1387.5801282051284
JURONG EAST,1993-06,high,175000.0,53000.0,295000.0,95500.0,201500.0,1335.8778625954199,688.3116883116883,1903.225806451613,893.8631790744466,1608.3684143385635
JURONG EAST,1993-07,high,188000.0,40000.0,280000.0,140500.0,214000.0,1625.0,588.2352941176471,2333.3333333333335,1232.7558804831533,1799.6794871794873
JURONG EAST,1993-08,high,187000.0,58000.0,280000.0,98000.0,240500.0,1570.2479338842975,794.5205479452055,2314.0495867768595,1298.4575484575485,1808.3350851376917
JURONG EAST,1993-09,high,128750.0,60000.0,300500.0,82250.0,233250.0,1287.5037503750377,779.2207792207793,2333.3333333333335,1133.7278893469875,1930.275325767129
JURONG EAST,1993-10,high,175000.0,50000.0,280000.0,135000.0,245000.0,1744.576244732324,735.2941176470588,2288.135593220339,1402.160681679854,1859.7800471327573
JURONG EAST,1993-11,high,180000.0,50000.0,338000.0,85000.0,257250.0,1648.3068135454914,649.3506493506494,2650.0,1066.865132459192,2117.2542735042734
JURONG EAST,1993-12,high,250000.0,63000.0,325000.0,231000.0,290000.0,2089.041095890411,851.3513513513514,2291.6666666666665,1908.3969465648854,2164.4295302013425
JURONG EAST,1994-01,high,120000.0,50000.0,310000.0,85000.0,180000.0,1428.5714285714287,649.3506493506494,2333.3333333333335,1223.8805970149253,1781.6091954022988
JURONG EAST,1994-02,high,137500.0,62000.0,335000.0,89250.0,267500.0,1556.7835365853657,805.1948051948052,2435.897435897436,1194.3028758645796,2090.565286624204
JURONG EAST,1994-03,high,207500.0,55000.0,330000.0,145500.0,266725.0,1885.5421686746988,743.2432432432432,2709.4017094017095,1409.0116279069766,2220.3579418344516
JURONG EAST,1994-04,high,191500.0,55000.0,350000.0,88000.0,273750.0,1870.8670715249664,763.8888888888889,2558.3333333333335,1291.044776119403,2231.5705128205127
JURONG EAST,1994-05,high,165000.0,75000.0,343000.0,101500.0,283750.0,1632.6530612244899,974.025974025974,2716.6666666666665,1294.5151033386328,2370.7061068702287
JURONG EAST,1994-06,high,173000.0,75000.0,370000.0,94000.0,273000.0,1691.7293233082708,1027.3972602739725,2588.6524822695037,1367.6470588235295,2152.671755725191
JURONG EAST,1994-07,high,215000.0,70000.0,360000.0,110000.0,285000.0,1929.8245614035088,909.0909090909091,2583.3333333333335,1506.849315068493,2355.371900826446
JURONG EAST,1994-08,high,162500.0,76000.0,380000.0,90750.0,261250.0,1505.1480051480053,987.012987012987,2676.056338028169,1315.956979806848,2110.507246376812
JURONG EAST,1994-09,high,119000.0,77000.0,319000.0,103000.0,261250.0,1591.2940379403794,1040.5405405405406,2658.3333333333335,1437.1722468737394,2148.0855855855857
JURONG EAST,1994-10,high,245000.0,88000.0,312000.0,164000.0,281250.0,1915.6162464985996,1283.7837837837837,2600.0,1580.3364500919042,2329.028925619835
JURONG EAST,1994-11,high,244000.0,95000.0,407000.0,116250.0,328450.0,2152.538370720189,1324.3243243243244,2750.0,1493.75,2605.43893129771
JURONG EAST,1994-12,high,210000.0,75000.0,378800.0,91000.0,310000.0,2090.909090909091,1013.5135135135135,2851.2396694214876,1229.7297297297298,2542.281879194631
JURONG EAST,1995-01,high,190000.0,75000.0,345000.0,105750.0,299000.0,1783.8564627049905,872.0930232558139,2888.8888888888887,1326.3465447154472,2512.8205128205127
JURONG EAST,1995-02,high,219000.0,93000.0,410000.0,190000.0,295500.0,2079.140461215933,1256.7567567567567,2887.323943661972,1820.301161103048,2349.862258953168
JURONG EAST,1995-03,high,182000.0,82000.0,316250.0,103000.0,270000.0,1915.7894736842106,1205.8823529411766,2635.4166666666665,1514.7058823529412,2293.2330827067667
JURONG EAST,1995-04,high,120000.0,90000.0,325000.0,109000.0,206000.0,1683.8235294117646,1216.2162162162163,2708.3333333333335,1582.089552238806,2076.923076923077
JURONG EAST,1995-05,high,180000.0,93000.0,416000.0,119000.0,290000.0,1969.6969696969697,1207.7922077922078,2849.3150684931506,1631.7063331988707,2407.3002754820936
JURONG EAST,1995-06,high,226000.0,98000.0,410000.0,106500.0,349500.0,2043.9469320066335,1298.7012987012988,3123.96694214876,1516.7910447761194,2767.732760622243
JURONG EAST,1995-07,high,175000.0,103000.0,380000.0,113000.0,310000.0,1881.720430107527,1537.313432835821,3220.3389830508477,1661.764705882353,2606.837606837607
JURONG EAST,1995-08,high,261500.0,98000.0,411500.0,118750.0,362000.0,2347.314049586777,1361.111111111111,3253.968253968254,1716.6602054661757,2823.3920581655484
JURONG EAST,1995-09,high,295000.0,109000.0,445000.0,210000.0,355000.0,2462.809917355372,1513.888888888889,3206.6115702479337,2171.717171717172,2836.5384615384614
JURONG EAST,1995-10,high,208000.0,92500.0,371000.0,127625.0,312500.0,2086.511627906977,1250.0,3091.6666666666665,1869.3722943722942,2731.4754454584963
JURONG EAST,1995-11,high,230000.0,105000.0,370000.0,135000.0,343000.0,2336.842105263158,1438.3561643835617,3135.593220338983,1962.686567164179,2669.1729323308273
JURONG EAST,1995-12,high,222500.0,100000.0,467000.0,138125.0,363750.0,2233.663162234591,1324.6753246753246,3333.3333333333335,2031.25,3063.8297872340427
JURONG EAST,1996-01,high,215000.0,105000.0,466000.0,139000.0,355000.0,2194.0298507462685,1418.918918918919,3698.4126984126983,1726.1904761904761,2932.6923076923076
JURONG EAST,1996-02,high,230000.0,130000.0,475000.0,147500.0,383500.0,2308.823529411765,1780.8219178082193,3925.619834710744,2126.2071992976294,3131.9790549492145
JURONG EAST,1996-03,high,272000.0,115000.0,405000.0,149500.0,361000.0,2514.705882352941,1337.2093023255813,3393.153846153846,2067.5675675675675,3247.863247863248
JURONG EAST,1996-04,high,209000.0,122000.0,510000.0,151000.0,389000.0,2397.0588235294117,1584.4155844155844,3900.0,2214.8251192368843,3005.0746268656717
JURONG EAST,1996-05,high,268900.0,133000.0,515000.0,170250.0,410750.0,2708.4237950499346,1727.2727272727273,3816.6666666666665,2490.6716417910447,3157.9117191533296
JURONG EAST,1996-06,high,269000.0,95000.0,480000.0,194750.0,402250.0,2718.4942716857613,1283.7837837837837,4000.0,2360.3896103896104,3205.545132374401
JURONG EAST,1996-07,high,276000.0,140000.0,500000.0,181875.0,412500.0,2862.293144208038,1891.8918918918919,4237.28813559322,2371.2662337662337,3337.2536554354733
JURONG EAST,1996-08,high,282500.0,135000.0,600000.0,177750.0,418250.0,2938.925570228091,1824.3243243243244,4237.28813559322,2390.7536125845986,3591.3120567375886
JURONG EAST,1996-09,high,221000.0,135000.0,488000.0,177500.0,402500.0,2720.5882352941176,1824.3243243243244,4041.6666666666665,2566.5266106442577,3496.817603200582
JURONG EAST,1996-10,high,200000.0,156500.0,600000.0,175000.0,430000.0,2794.1176470588234,2103.896103896104,3888.8888888888887,2485.0746268656717,3583.3333333333335
JURONG EAST,1996-11,high,285000.0,110000.0,550000.0,194500.0,388500.0,2941.176470588235,1506.849315068493,4166.666666666667,2731.2834224598932,3148.714810281518
JURONG EAST,1996-12,high,270000.0,170000.0,530000.0,195000.0,425000.0,3088.235294117647,2500.0,4166.666666666667,2764.705882352941,3388.4297520661157
JURONG EAST,1997-01,high,348000.0,159000.0,505000.0,220000.0,440000.0,3183.0985915492956,2064.935064935065,4208.333333333333,2783.944658944659,3606.837606837607
JURONG EAST,1997-02,high,303000.0,168000.0,482000.0,203000.0,407000.0,3091.8367346938776,2270.2702702702704,3875.0,2738.095238095238,3478.6324786324785
JURONG EAST,1997-03,high,318000.0,168000.0,510000.0,195000.0,440500.0,3028.5714285714284,2270.2702702702704,4214.876033057852,2838.235294117647,3733.0508474576272
JURONG EAST,1997-04,high,299000.0,158000.0,570000.0,196850.0,402500.0,3013.1712259371834,2051.948051948052,4041.6666666666665,2820.8823529411766,3476.7628205128203
JURONG EAST,1997-05,high,373000.0,170000.0,465000.0,204000.0,435000.0,3012.0481927710844,2328.7671232876714,3875.0,2900.0,3404.9586776859505
JURONG EAST,1997-06,high,266000.0,162000.0,550000.0,195000.0,369500.0,3014.8156277436346,2168.8311688311687,4000.0,2835.1990049751244,3273.3516483516482
JURONG EAST,1997-07,high,292500.0,160000.0,457000.0,197000.0,375250.0,2866.5158371040725,2077.9220779220777,3808.3333333333335,2772.1471471471473,3244.2450495049507
JURONG EAST,1997-08,high,275000.0,155000.0,480000.0,191500.0,413000.0,2877.3584905660377,2094.5945945945946,3733.3333333333335,2694.0359477124184,3266.2938105891126
JURONG EAST,1997-09,high,298000.0,160000.0,520000.0,196000.0,398000.0,2896.2264150943397,2162.162162162162,3625.0,2676.470588235294,3028.846153846154
JURONG EAST,1997-10,high,285000.0,143000.0,490000.0,181750.0,400000.0,2996.1832061068703,1857.142857142857,3750.0,2331.845238095238,3218.181818181818
JURONG EAST,1997-11,high,269500.0,150000.0,440800.0,179625.0,381500.0,2781.8474758324382,2009.090909090909,3767.5213675213677,2429.6975546975546,3005.6910569105694
JURONG EAST,1997-12,high,261500.0,140000.0,416000.0,170250.0,385000.0,2625.0,1870.1298701298701,3474.576271186441,2405.838454784899,3109.33524173028
JURONG EAST,1998-01,high,277000.0,136000.0,488000.0,172000.0,388000.0,2704.081632653061,1837.837837837838,3460.9929078014184,2416.6666666666665,3154.3624161073826
JURONG EAST,1998-02,high,260000.0,132500.0,472000.0,168500.0,357500.0,2597.0149253731342,1753.2467532467533,3400.0,2324.4068592905805,2852.230834672464
JURONG EAST,1998-03,high,262000.0,132000.0,420000.0,235000.0,365000.0,2563.0252100840335,1714.2857142857142,3432.2033898305085,2404.040404040404,3016.6666666666665
JURONG EAST,1998-04,high,246750.0,125000.0,418000.0,164850.0,327500.0,2469.6366651590533,1623.3766233766235,3291.6666666666665,2328.2227784730912,2651.4100056778752
JURONG EAST,1998-05,high,242900.0,129000.0,380000.0,154000.0,289000.0,2381.6280806572067,1720.7792207792209,3158.3333333333335,2203.277817150957,2684.796437659033
JURONG EAST,1998-06,high,240500.0,123000.0,454000.0,149250.0,354750.0,2441.0153019023987,1662.162162162162,3219.8581560283687,2175.8254183627314,2745.859872611465
JURONG EAST,1998-07,high,159500.0,118000.0,463000.0,144625.0,257000.0,2233.823529411765,1594.5945945945946,3171.2328767123286,2058.823529411765,2478.8090697181606
JURONG EAST,1998-08,high,159000.0,117000.0,445000.0,141000.0,338000.0,2220.5882352941176,1519.4805194805194,3250.0,2089.5522388059703,2793.3884297520663
JURONG EAST,1998-09,high,230000.0,125000.0,417000.0,150125.0,337250.0,2379.1153974060526,1736.111111111111,3279.6610169491523,2104.093503072871,2686.4997418688695
JURONG EAST,1998-10,high,214500.0,115000.0,436000.0,140250.0,295000.0,2218.5877466251295,1554.054054054054,3141.6666666666665,2059.043020193152,2607.9936854190582
JURONG EAST,1998-11,high,219500.0,115000.0,405000.0,140000.0,326000.0,2216.5914612981605,1594.5945945945946,3166.6666666666665,2021.042471042471,2681.25
JURONG EAST,1998-12,high,215000.0,116000.0,380000.0,162500.0,334875.0,2266.304347826087,1589.041095890411,3166.6666666666665,2073.529411764706,2765.5737704918033
JURONG EAST,1999-01,high,238000.0,116000.0,450000.0,167500.0,318250.0,2289.0905823148814,1597.4025974025974,3177.9661016949153,2039.2316017316018,2496.5582515918086
JURONG EAST,1999-02,high,262500.0,112000.0,416000.0,210000.0,330000.0,2374.436090225564,1454.5454545454545,3114.754098360656,2138.659793814433,2608.6873325679294
