town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1990-01,low,76000.0,26000.0,182000.0,43375.0,93250.0,784.6153846153846,337.6623376623377,1159.2356687898089,631.7226890756302,917.2865013774104
JURONG EAST,1990-02,low,48500.0,31000.0,87000.0,46525.0,71100.0,688.9705882352941,418.9189189189189,924.7311827956989,620.2321724709784,723.8987816307404
JURONG EAST,1990-03,low,47000.0,27000.0,185000.0,46225.0,82000.0,696.334503950834,364.86486486486484,1267.605633802817,570.577961257542,862.9378895336342
JURONG EAST,1990-04,low,81500.0,31500.0,177200.0,45000.0,126500.0,857.8947368421053,409.09090909090907,1189.2617449664428,661.7647058823529,1072.0338983050847
JURONG EAST,1990-05,low,46900.0,30000.0,147000.0,34000.0,88000.0,700.0,405.4054054054054,1122.1374045801526,507.46268656716416,846.1538461538462
JURONG EAST,1990-06,low,47250.0,33400.0,175000.0,46925.0,80250.0,705.223880597015,498.5074626865672,1190.4761904761904,697.7611940298508,850.6842619745846
JURONG EAST,1990-07,low,63200.0,31500.0,180000.0,44375.0,99250.0,697.7611940298507,425.6756756756757,1224.4897959183672,650.9024644220757,942.3976608187135
JURONG EAST,1990-08,low,77850.0,30000.0,128000.0,44250.0,97000.0,688.8718173836698,348.83720930232556,1032.608695652174,645.9596725288054,916.6905855338691
JURONG EAST,1990-09,low,57000.0,26000.0,70000.0,46700.0,67000.0,690.7216494845361,337.6623376623377,770.2702702702703,686.7647058823529,744.6808510638298
JURONG EAST,1990-10,low,89500.0,40000.0,189000.0,44750.0,153000.0,895.5882352941176,597.0149253731344,1268.456375838926,658.0882352941176,1126.063829787234
JURONG EAST,1990-11,low,64200.0,34000.0,103000.0,50000.0,88300.0,735.2941176470588,500.0,1040.4040404040404,661.8556701030927,769.2307692307693
