town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1990-01,mid,63500.0,26500.0,160000.0,44750.0,90250.0,726.828231292517,358.1081081081081,1115.702479338843,667.9104477611941,822.039072039072
JURONG EAST,1990-02,mid,70000.0,32500.0,108700.0,46900.0,86300.0,676.8656716417911,422.0779220779221,905.8333333333334,629.2134831460675,737.6068376068376
JURONG EAST,1990-03,mid,70000.0,41500.0,148000.0,46900.0,80000.0,707.070707070707,561.4035087719299,1104.4776119402984,657.1428571428571,777.1739130434783
JURONG EAST,1990-04,mid,50000.0,42000.0,160000.0,46800.0,84000.0,746.2686567164179,626.8656716417911,1073.8255033557048,680.6738366988586,796.9072164948454
JURONG EAST,1990-05,mid,64000.0,31000.0,127000.0,42000.0,85000.0,658.9147286821706,418.9189189189189,1008.2644628099174,535.7142857142857,827.9569892473119
JURONG EAST,1990-06,mid,55750.0,46900.0,108800.0,51175.0,79500.0,746.2686567164179,588.1720430107526,956.0439560439561,698.9033433886375,807.7448125227521
JURONG EAST,1990-07,mid,46600.0,30000.0,173000.0,36675.0,53875.0,686.6659350307286,396.1038961038961,1176.8707482993198,531.5419654971894,733.7420042643923
JURONG EAST,1990-08,mid,44000.0,29000.0,120000.0,37500.0,53350.0,647.0588235294117,391.8918918918919,991.7355371900826,534.9939491730537,676.7156862745098
JURONG EAST,1990-09,mid,56000.0,25000.0,120000.0,47000.0,90700.0,691.1764705882352,324.6753246753247,952.3809523809524,545.4545454545455,900.8264462809917
JURONG EAST,1990-10,mid,46700.0,35000.0,60000.0,40850.0,53350.0,697.0149253731344,454.54545454545456,731.7073170731708,575.7801899592945,714.3611212231526
JURONG EAST,1990-11,mid,77500.0,24000.0,170000.0,58250.0,95500.0,686.6002214839425,324.3243243243243,1416.6666666666667,619.6808510638298,922.4241694752046
JURONG EAST,1990-12,mid,78500.0,28000.0,142000.0,42900.0,114250.0,758.1536760641238,388.8888888888889,1173.5537190082644,617.346256684492,917.003367003367
JURONG EAST,1991-01,mid,103000.0,32700.0,161000.0,46500.0,106850.0,783.5820895522388,424.6753246753247,1038.7096774193549,688.9815627743635,944.365861411316
JURONG EAST,1991-02,mid,53000.0,28000.0,127000.0,45500.0,101850.0,779.4117647058823,363.6363636363636,940.7407407407408,625.7541478129713,905.9043229497775
JURONG EAST,1991-03,mid,80000.0,74000.0,118000.0,77000.0,99000.0,851.063829787234,787.2340425531914,1000.0,819.1489361702127,925.531914893617
JURONG EAST,1991-04,mid,48350.0,41500.0,85000.0,45400.0,58750.0,721.6417910447761,610.2941176470588,904.2553191489362,675.3347234416154,785.7653223245475
JURONG EAST,1991-05,mid,80000.0,40000.0,170000.0,66000.0,110000.0,851.063829787234,597.0149253731344,1253.7313432835822,694.7368421052631,932.2033898305085
JURONG EAST,1991-06,mid,48450.0,26500.0,180000.0,32950.0,122750.0,609.0277777777778,358.1081081081081,1276.595744680851,433.0808080808081,908.6038961038961
JURONG EAST,1991-07,mid,79000.0,31500.0,213000.0,42000.0,152300.0,759.6153846153846,437.5,1429.5302013422818,626.8656716417911,1134.7517730496454
JURONG EAST,1991-08,mid,57000.0,35000.0,163800.0,42500.0,75500.0,770.2702702702703,514.7058823529412,1213.3333333333333,634.3283582089553,819.101607347876
JURONG EAST,1991-09,mid,46850.0,40000.0,151000.0,45250.0,49500.0,681.410521955261,588.2352941176471,1258.3333333333333,653.8259407189405,724.2647058823529
JURONG EAST,1991-10,mid,46700.0,35000.0,163000.0,42000.0,77100.0,697.0149253731344,514.7058823529412,1234.8484848484848,622.3661106233538,902.4439332949971
JURONG EAST,1991-11,mid,47000.0,28000.0,180000.0,38750.0,126000.0,701.4925373134329,363.6363636363636,1285.7142857142858,574.5171202809482,947.4696070115917
JURONG EAST,1991-12,mid,47000.0,24500.0,170000.0,46125.0,56000.0,691.1764705882352,318.1818181818182,1268.6567164179105,669.8560767590618,756.7567567567568
JURONG EAST,1992-01,mid,43500.0,23000.0,194000.0,41000.0,107000.0,626.8656716417911,267.4418604651163,1302.013422818792,588.2352941176471,919.3499622071051
JURONG EAST,1992-02,mid,37000.0,23000.0,221000.0,32000.0,47000.0,552.2388059701492,315.06849315068496,1493.2432432432433,415.5844155844156,691.1764705882352
JURONG EAST,1992-03,mid,53000.0,32700.0,120000.0,50500.0,85000.0,716.2162162162163,424.6753246753247,991.7355371900826,601.1904761904761,726.4957264957264
JURONG EAST,1992-04,mid,57000.0,30000.0,183000.0,51250.0,119500.0,770.2702702702703,389.61038961038963,1525.0,682.3170731707316,1080.128205128205
JURONG EAST,1992-05,mid,41000.0,31500.0,110000.0,36000.0,108000.0,611.9402985074627,431.5068493150685,1208.7912087912089,537.3134328358209,900.8264462809917
JURONG EAST,1992-06,mid,91500.0,42000.0,210000.0,47500.0,117500.0,805.5295950155763,626.8656716417911,1489.3617021276596,701.0535557506585,964.3874643874644
JURONG EAST,1992-07,mid,65000.0,42000.0,177000.0,56750.0,124000.0,807.1428571428571,626.8656716417911,1311.111111111111,752.7821939586645,1111.2523839796568
JURONG EAST,1992-08,mid,84000.0,29000.0,245000.0,52000.0,152000.0,848.4848484848485,376.6233766233766,1725.3521126760563,702.7027027027027,1222.2222222222222
JURONG EAST,1992-09,mid,52500.0,27000.0,120000.0,36500.0,103000.0,772.0588235294117,364.86486486486484,1307.6923076923076,508.147853736089,946.0075352455032
JURONG EAST,1992-10,mid,110000.0,24000.0,210000.0,66000.0,155000.0,1148.148148148148,324.3243243243243,1438.3561643835617,833.3333333333334,1250.0
JURONG EAST,1992-11,mid,60000.0,30000.0,198000.0,46500.0,129700.0,771.2590639419908,416.6666666666667,1337.837837837838,672.4919419822724,1157.9004329004329
JURONG EAST,1992-12,mid,98000.0,41000.0,237000.0,56000.0,157000.0,796.7479674796748,611.9402985074627,1549.0196078431372,661.6987897803676,1118.8445527464717
JURONG EAST,1993-01,mid,63000.0,35000.0,130000.0,50000.0,75000.0,746.2686567164179,480.5194805194805,1074.3801652892562,588.2352941176471,860.2150537634409
