town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG WEST,1990-05,2 ROOM,16800.0,16800.0,16800.0,16800.0,16800.0,294.7368421052632,294.7368421052632,294.7368421052632,294.7368421052632,294.7368421052632
JURONG WEST,1999-07,2 ROOM,72000.0,72000.0,72000.0,72000.0,72000.0,1263.157894736842,1263.157894736842,1263.157894736842,1263.157894736842,1263.157894736842
JURONG WEST,1999-09,2 ROOM,77000.0,77000.0,77000.0,77000.0,77000.0,1350.877192982456,1350.877192982456,1350.877192982456,1350.877192982456,1350.877192982456
JURONG WEST,2000-06,2 ROOM,82000.0,82000.0,82000.0,82000.0,82000.0,1438.5964912280701,1438.5964912280701,1438.5964912280701,1438.5964912280701,1438.5964912280701
JURONG WEST,2000-10,2 ROOM,79500.0,74000.0,85000.0,76750.0,82250.0,1394.7368421052633,1298.2456140350878,1491.2280701754387,1346.4912280701756,1442.982456140351
JURONG WEST,2000-11,2 ROOM,78000.0,78000.0,78000.0,78000.0,78000.0,1392.857142857143,1392.857142857143,1392.857142857143,1392.857142857143,1392.857142857143
JURONG WEST,2001-03,2 ROOM,75000.0,75000.0,75000.0,75000.0,75000.0,1315.7894736842106,1315.7894736842106,1315.7894736842106,1315.7894736842106,1315.7894736842106
JURONG WEST,2002-05,2 ROOM,66000.0,66000.0,66000.0,66000.0,66000.0,1157.8947368421052,1157.8947368421052,1157.8947368421052,1157.8947368421052,1157.8947368421052
JURONG WEST,2002-11,2 ROOM,67000.0,67000.0,67000.0,67000.0,67000.0,1175.438596491228,1175.438596491228,1175.438596491228,1175.438596491228,1175.438596491228
JURONG WEST,2003-08,2 ROOM,95000.0,95000.0,95000.0,95000.0,95000.0,1666.6666666666667,1666.6666666666667,1666.6666666666667,1666.6666666666667,1666.6666666666667
JURONG WEST,2003-10,2 ROOM,75000.0,75000.0,75000.0,75000.0,75000.0,1315.7894736842106,1315.7894736842106,1315.7894736842106,1315.7894736842106,1315.7894736842106
JURONG WEST,2003-12,2 ROOM,55000.0,55000.0,55000.0,55000.0,55000.0,964.9122807017544,964.9122807017544,964.9122807017544,964.9122807017544,964.9122807017544
JURONG WEST,2010-08,2 ROOM,198000.0,198000.0,198000.0,198000.0,198000.0,3473.684210526316,3473.684210526316,3473.684210526316,3473.684210526316,3473.684210526316
JURONG WEST,2010-12,2 ROOM,200000.0,200000.0,200000.0,200000.0,200000.0,4255.31914893617,4255.31914893617,4255.31914893617,4255.31914893617,4255.31914893617
JURONG WEST,2011-04,2 ROOM,250000.0,250000.0,250000.0,250000.0,250000.0,4464.285714285715,4464.285714285715,4464.285714285715,4464.285714285715,4464.285714285715
JURONG WEST,2011-09,2 ROOM,230000.0,230000.0,230000.0,230000.0,230000.0,4035.0877192982457,4035.0877192982457,4035.0877192982457,4035.0877192982457,4035.0877192982457
JURONG WEST,2011-11,2 ROOM,280000.0,280000.0,280000.0,280000.0,280000.0,5490.196078431372,5490.196078431372,5490.196078431372,5490.196078431372,5490.196078431372
JURONG WEST,2012-03,2 ROOM,265000.0,253000.0,293000.0,259000.0,279000.0,4883.333333333333,4517.857142857143,5760.869565217391,4700.5952380952385,5322.101449275362
JURONG WEST,2012-04,2 ROOM,268000.0,268000.0,268000.0,268000.0,268000.0,5583.333333333333,5583.333333333333,5583.333333333333,5583.333333333333,5583.333333333333
JURONG WEST,2012-05,2 ROOM,270000.0,270000.0,270000.0,270000.0,270000.0,5625.0,5625.0,5625.0,5625.0,5625.0
JURONG WEST,2012-06,2 ROOM,254000.0,209000.0,299000.0,231500.0,276500.0,4357.738095238095,3732.1428571428573,4983.333333333333,4044.940476190476,4670.535714285714
JURONG WEST,2012-07,2 ROOM,277000.0,268000.0,286000.0,272500.0,281500.0,5501.552795031055,4785.714285714285,6217.391304347826,5143.633540372671,5859.472049689441
JURONG WEST,2012-08,2 ROOM,275000.0,275000.0,275000.0,275000.0,275000.0,5729.166666666667,5729.166666666667,5729.166666666667,5729.166666666667,5729.166666666667
JURONG WEST,2012-12,2 ROOM,285000.0,285000.0,285000.0,285000.0,285000.0,5480.7692307692305,5480.7692307692305,5480.7692307692305,5480.7692307692305,5480.7692307692305
JURONG WEST,2013-01,2 ROOM,285000.0,285000.0,285000.0,285000.0,285000.0,5937.5,5937.5,5937.5,5937.5,5937.5
JURONG WEST,2013-05,2 ROOM,219000.0,208000.0,230000.0,213500.0,224500.0,4828.354670459934,4035.0877192982457,5621.621621621622,4431.72119487909,5224.988146040778
JURONG WEST,2013-06,2 ROOM,232000.0,230000.0,288000.0,231000.0,260000.0,5272.727272727273,4791.666666666667,6000.0,5032.19696969697,5636.363636363636
JURONG WEST,2013-11,2 ROOM,280000.0,280000.0,280000.0,280000.0,280000.0,5000.0,5000.0,5000.0,5000.0,5000.0
JURONG WEST,2014-05,2 ROOM,275000.0,275000.0,275000.0,275000.0,275000.0,5729.166666666667,5729.166666666667,5729.166666666667,5729.166666666667,5729.166666666667
JURONG WEST,2014-06,2 ROOM,239000.0,210000.0,268000.0,224500.0,253500.0,5147.086031452359,4468.085106382979,5826.086956521739,4807.585568917669,5486.586493987049
JURONG WEST,2014-09,2 ROOM,280000.0,280000.0,280000.0,280000.0,280000.0,5000.0,5000.0,5000.0,5000.0,5000.0
JURONG WEST,2014-10,2 ROOM,253000.0,253000.0,253000.0,253000.0,253000.0,5500.0,5500.0,5500.0,5500.0,5500.0
