town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG WEST,1990-01,EXECUTIVE,166500.0,160000.0,175000.0,160000.0,173500.0,1110.0,1066.6666666666667,1158.9403973509934,1066.6666666666667,1154.7350993377484
JURONG WEST,1990-02,EXECUTIVE,161000.0,160000.0,177000.0,160500.0,169000.0,1080.5369127516778,1059.6026490066224,1187.9194630872482,1070.0697808791501,1134.228187919463
JURONG WEST,1990-03,EXECUTIVE,190000.0,160000.0,196000.0,185000.0,190000.0,1250.0,1118.881118881119,1258.2781456953642,1232.7044025157234,1258.2781456953642
JURONG WEST,1990-04,EXECUTIVE,180000.0,160000.0,185000.0,170000.0,182500.0,1192.0529801324503,1059.6026490066224,1250.0,1125.8278145695363,1221.026490066225
JURONG WEST,1990-05,EXECUTIVE,179000.0,161000.0,187200.0,173750.0,181800.0,1197.3778414175765,1012.5786163522013,1239.7350993377484,1147.184389187388,1211.960801861464
JURONG WEST,1990-06,EXECUTIVE,173000.0,160000.0,173000.0,166500.0,173000.0,1153.3333333333333,1073.8255033557048,1168.918918918919,1113.5794183445191,1161.126126126126
JURONG WEST,1990-07,EXECUTIVE,170000.0,114000.0,205000.0,159800.0,187500.0,1133.3333333333333,754.9668874172186,1357.6158940397352,1068.903803131991,1262.6972610194086
JURONG WEST,1990-08,EXECUTIVE,159800.0,150000.0,193000.0,159600.0,181750.0,1072.5405405405404,993.3774834437086,1295.3020134228188,1058.7152317880796,1215.2702702702702
JURONG WEST,1990-09,EXECUTIVE,198000.0,180000.0,213000.0,186000.0,200000.0,1311.2582781456954,1208.0536912751677,1410.5960264900662,1300.6993006993007,1342.2818791946308
JURONG WEST,1990-10,EXECUTIVE,160000.0,159000.0,193800.0,159600.0,160000.0,1059.6026490066224,1052.9801324503312,1283.4437086092714,1056.953642384106,1059.6026490066224
JURONG WEST,1990-11,EXECUTIVE,171000.0,160000.0,188000.0,161000.0,185000.0,1147.6510067114093,1025.4777070063694,1225.1655629139073,1066.6666666666667,1182.3899371069183
JURONG WEST,1990-12,EXECUTIVE,187000.0,160000.0,194000.0,173500.0,190500.0,1246.6666666666667,1081.081081081081,1302.013422818792,1163.873873873874,1274.3400447427293
JURONG WEST,1991-01,EXECUTIVE,160000.0,159800.0,186500.0,160000.0,160000.0,1066.6666666666667,1019.108280254777,1243.3333333333333,1059.6026490066224,1066.6666666666667
JURONG WEST,1991-02,EXECUTIVE,159800.0,159800.0,159800.0,159800.0,159800.0,1058.2781456953642,1058.2781456953642,1058.2781456953642,1058.2781456953642,1058.2781456953642
JURONG WEST,1991-03,EXECUTIVE,175500.0,160000.0,191000.0,167750.0,183250.0,1145.1930064549224,1073.8255033557048,1216.56050955414,1109.5092549053136,1180.8767580045312
