town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG WEST,1990-01,high,31000.0,22500.0,173000.0,24500.0,52500.0,470.0,334.2857142857143,1153.3333333333333,382.3529411764706,714.8648648648648
JURONG WEST,1990-02,high,51500.0,22500.0,177000.0,25000.0,86000.0,625.0,346.15384615384613,1187.9194630872482,384.61538461538464,849.0566037735849
JURONG WEST,1990-03,high,31700.0,22500.0,190000.0,27250.0,79375.0,533.8983050847457,346.15384615384613,1258.2781456953642,437.48370273794,793.5159500693482
JURONG WEST,1990-04,high,39500.0,22500.0,180000.0,28237.5,86750.0,563.1646157418156,334.2857142857143,1192.0529801324503,434.4230769230769,832.4899248946693
JURONG WEST,1990-05,high,57000.0,22500.0,187200.0,28500.0,87250.0,700.0,334.2857142857143,1239.7350993377484,459.58279009126466,796.0014809329878
JURONG WEST,1990-06,high,34450.0,22500.0,173000.0,24000.0,80325.0,481.7047817047817,346.15384615384613,1153.3333333333333,396.21903520208605,771.0765765765766
JURONG WEST,1990-07,high,33600.0,22500.0,205000.0,25875.0,82000.0,531.3559322033898,334.2857142857143,1357.6158940397352,415.1568825910931,797.945205479452
JURONG WEST,1990-08,high,31500.0,22500.0,193000.0,25250.0,74000.0,511.2685381355932,340.90909090909093,1295.3020134228188,405.93220338983053,741.2559618441971
JURONG WEST,1990-09,high,47000.0,22500.0,213000.0,27500.0,87000.0,609.7560975609756,346.15384615384613,1410.5960264900662,466.10169491525426,770.2702702702703
JURONG WEST,1990-10,high,31250.0,22500.0,193800.0,25125.0,46500.0,480.94405594405595,346.15384615384613,1283.4437086092714,384.7457627118644,565.3565166569258
JURONG WEST,1990-11,high,32900.0,26100.0,171000.0,29000.0,88000.0,540.6779661016949,364.86486486486484,1158.273381294964,444.5054945054945,854.5454545454545
JURONG WEST,1990-12,high,34000.0,23400.0,160000.0,28000.0,85000.0,507.8125,365.625,1081.081081081081,430.7692307692308,717.5
JURONG WEST,1991-01,high,54000.0,23000.0,185000.0,29000.0,125000.0,613.6363636363636,353.84615384615387,1233.3333333333333,448.47972972972974,958.3727530747398
JURONG WEST,1991-02,high,40000.0,22500.0,135000.0,25000.0,90000.0,597.0149253731344,346.15384615384613,1027.4725274725274,389.70588235294116,803.5714285714286
JURONG WEST,1991-03,high,53500.0,23500.0,160000.0,30375.0,69775.0,693.212022081374,335.7142857142857,1073.8255033557048,452.03619909502265,789.6394701189222
JURONG WEST,1991-04,high,44200.0,23000.0,160000.0,28000.0,86575.0,597.6795931341386,353.84615384615387,1118.881118881119,430.7692307692308,835.5890450659324
JURONG WEST,1991-05,high,43000.0,23000.0,208500.0,27500.0,76750.0,573.5221165770979,353.84615384615387,1328.0254777070063,429.33507170795303,797.1812434141201
