town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG WEST,1990-01,low,51000.0,22500.0,175000.0,26000.0,88500.0,591.9540229885057,334.2857142857143,1158.9403973509934,389.8305084745763,827.1028037383178
JURONG WEST,1990-02,low,46000.0,22500.0,98000.0,26500.0,70700.0,686.5671641791045,337.3134328358209,951.4563106796116,379.86778846153845,777.0736113201866
JURONG WEST,1990-03,low,50350.0,22500.0,127000.0,28500.0,87875.0,716.7507059298105,346.15384615384613,1048.5436893203882,435.01722158438577,800.1987281399047
JURONG WEST,1990-04,low,46700.0,23000.0,160000.0,31000.0,75000.0,662.1621621621622,334.2857142857143,1127.8195488721803,462.6865671641791,739.7260273972603
JURONG WEST,1990-05,low,32900.0,23400.0,178000.0,28500.0,76000.0,514.0625,334.2857142857143,1202.7027027027027,422.41000877963126,801.5131286159324
JURONG WEST,1990-06,low,43000.0,22500.0,173000.0,27000.0,68250.0,581.081081081081,334.2857142857143,1168.918918918919,415.38461538461536,765.8406082793579
JURONG WEST,1990-07,low,32900.0,23000.0,192000.0,27500.0,61350.0,514.0625,353.84615384615387,1288.5906040268455,410.8173076923077,794.5205479452055
JURONG WEST,1990-08,low,54000.0,23000.0,189000.0,27000.0,87000.0,700.3142183817754,335.7142857142857,1260.0,447.0664928292047,808.0726357425386
JURONG WEST,1990-09,low,31500.0,23400.0,180000.0,29000.0,87000.0,470.0,365.625,1208.0536912751677,432.8358208955224,836.5384615384615
JURONG WEST,1990-10,low,87000.0,23400.0,160000.0,38800.0,118000.0,836.5384615384615,334.2857142857143,1059.6026490066224,546.7596229379419,924.2938201554213
JURONG WEST,1990-11,low,68500.0,23500.0,188000.0,46285.0,135250.0,759.924220343923,367.1875,1225.1655629139073,557.1284965034965,972.534840285427
JURONG WEST,1990-12,low,50000.0,30000.0,187000.0,32950.0,92500.0,697.0149253731344,428.57142857142856,1246.6666666666667,477.3076923076923,850.0652457590256
JURONG WEST,1991-01,low,68500.0,23400.0,159800.0,45320.0,121750.0,735.3616532721011,365.625,1245.9016393442623,632.7414772727273,954.8872180451128
JURONG WEST,1991-02,low,72200.0,24000.0,160000.0,50225.0,97750.0,750.1508295625943,363.6363636363636,1203.0075187969924,619.0396072374228,891.1956176563989
JURONG WEST,1991-03,low,54500.0,24000.0,191000.0,32900.0,97750.0,649.1088248079989,342.85714285714283,1216.56050955414,481.5,855.5442344178202
JURONG WEST,1991-04,low,55000.0,29000.0,161000.0,43000.0,88000.0,739.7260273972603,491.52542372881356,1093.525179856115,641.7910447761194,844.6601941747573
JURONG WEST,1991-05,low,88000.0,28000.0,186000.0,39250.0,132375.0,838.1712626995645,430.7692307692308,1184.7133757961783,568.5256151674062,989.6965155488947
JURONG WEST,1991-06,low,73000.0,23400.0,177500.0,56750.0,109750.0,808.2120582120583,365.625,1116.3522012578617,766.1319394376352,937.3397435897436
