town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG WEST,1990-01,high,3 ROOM,27000.0,22500.0,57000.0,23000.0,31600.0,423.0769230769231,334.2857142857143,780.8219178082192,381.35593220338984,486.1538461538462
JURONG WEST,1990-01,high,4 ROOM,88550.0,51000.0,105000.0,83275.0,100500.0,823.8014884042922,586.2068965517242,1009.7087378640776,798.7077490111471,967.4919122933142
JURONG WEST,1990-01,high,5 ROOM,140000.0,105000.0,150000.0,122500.0,145000.0,1052.6315789473683,937.5,1127.8195488721803,995.0657894736842,1090.2255639097743
JURONG WEST,1990-01,high,EXECUTIVE,160000.0,160000.0,173000.0,160000.0,166500.0,1066.6666666666667,1066.6666666666667,1153.3333333333333,1066.6666666666667,1110.0
JURONG WEST,1990-01,low,3 ROOM,26250.0,22500.0,53000.0,23400.0,35325.0,394.91525423728814,334.2857142857143,761.1940298507462,370.32988871224165,478.5
JURONG WEST,1990-01,low,4 ROOM,88250.0,51500.0,98000.0,76000.0,88500.0,828.4450188904354,591.9540229885057,951.4563106796116,802.755376344086,851.8133868558625
JURONG WEST,1990-01,low,5 ROOM,122500.0,95000.0,150000.0,108750.0,136250.0,935.0035244360902,742.1875,1127.8195488721803,838.5955122180451,1031.4115366541353
JURONG WEST,1990-01,low,EXECUTIVE,175000.0,175000.0,175000.0,175000.0,175000.0,1158.9403973509934,1158.9403973509934,1158.9403973509934,1158.9403973509934,1158.9403973509934
JURONG WEST,1990-01,mid,3 ROOM,31700.0,22500.0,57300.0,27000.0,49000.0,533.8983050847457,334.2857142857143,784.931506849315,415.38461538461536,690.2439024390244
JURONG WEST,1990-01,mid,4 ROOM,88000.0,45000.0,94000.0,75000.0,88000.0,822.4299065420561,517.2413793103449,912.6213592233009,728.1553398058253,850.9615384615385
JURONG WEST,1990-01,mid,5 ROOM,118500.0,90700.0,127000.0,105175.0,127000.0,884.3283582089553,647.8571428571429,947.7611940298508,777.6359275053305,947.7611940298508
JURONG WEST,1990-01,very low,3 ROOM,25000.0,22500.0,47000.0,22500.0,45000.0,389.8305084745763,321.42857142857144,701.4925373134329,340.90909090909093,656.7164179104477
JURONG WEST,1990-01,very low,4 ROOM,78000.0,45000.0,92000.0,54000.0,83000.0,747.2527472527472,517.2413793103449,859.2233009708738,613.6363636363636,761.4678899082569
JURONG WEST,1990-01,very low,5 ROOM,106500.0,86000.0,127000.0,96250.0,116750.0,809.2935487675434,704.9180327868852,913.6690647482014,757.1057907772142,861.4813067578724
JURONG WEST,1990-02,high,3 ROOM,23750.0,22500.0,55000.0,22500.0,30525.0,382.98565840938727,346.15384615384613,753.4246575342465,381.35593220338984,480.17601043024774
