town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG/WHAMPOA,1990-02,EXECUTIVE,166000.0,166000.0,166000.0,166000.0,166000.0,1106.6666666666667,1106.6666666666667,1106.6666666666667,1106.6666666666667,1106.6666666666667
KALLANG/WHAMPOA,1990-05,EXECUTIVE,248000.0,248000.0,248000.0,248000.0,248000.0,1664.4295302013422,1664.4295302013422,1664.4295302013422,1664.4295302013422,1664.4295302013422
KALLANG/WHAMPOA,1990-08,EXECUTIVE,241000.0,233000.0,249000.0,237000.0,245000.0,1612.2371364653245,1553.3333333333333,1671.1409395973155,1582.7852348993288,1641.68903803132
KALLANG/WHAMPOA,1990-09,EXECUTIVE,235000.0,235000.0,235000.0,235000.0,235000.0,1535.9477124183006,1535.9477124183006,1535.9477124183006,1535.9477124183006,1535.9477124183006
KALLANG/WHAMPOA,1990-11,EXECUTIVE,238500.0,238500.0,238500.0,238500.0,238500.0,1519.1082802547771,1519.1082802547771,1519.1082802547771,1519.1082802547771,1519.1082802547771
KALLANG/WHAMPOA,1991-03,EXECUTIVE,254000.0,254000.0,254000.0,254000.0,254000.0,1649.3506493506493,1649.3506493506493,1649.3506493506493,1649.3506493506493,1649.3506493506493
KALLANG/WHAMPOA,1991-09,EXECUTIVE,193000.0,156000.0,230000.0,174500.0,211500.0,1304.8254762898068,1106.3829787234042,1503.2679738562092,1205.6042275066054,1404.046725073008
KALLANG/WHAMPOA,1991-10,EXECUTIVE,156800.0,156800.0,156800.0,156800.0,156800.0,1112.0567375886526,1112.0567375886526,1112.0567375886526,1112.0567375886526,1112.0567375886526
KALLANG/WHAMPOA,1991-11,EXECUTIVE,232000.0,232000.0,232000.0,232000.0,232000.0,1546.6666666666667,1546.6666666666667,1546.6666666666667,1546.6666666666667,1546.6666666666667
KALLANG/WHAMPOA,1992-02,EXECUTIVE,234000.0,230000.0,238000.0,232000.0,236000.0,1621.8120805369126,1543.6241610738255,1700.0,1582.7181208053692,1660.9060402684563
KALLANG/WHAMPOA,1992-03,EXECUTIVE,232500.0,232500.0,232500.0,232500.0,232500.0,1509.7402597402597,1509.7402597402597,1509.7402597402597,1509.7402597402597,1509.7402597402597
KALLANG/WHAMPOA,1992-04,EXECUTIVE,275000.0,275000.0,275000.0,275000.0,275000.0,1833.3333333333333,1833.3333333333333,1833.3333333333333,1833.3333333333333,1833.3333333333333
KALLANG/WHAMPOA,1992-05,EXECUTIVE,204000.0,160000.0,248000.0,182000.0,226000.0,1394.0425531914893,1134.7517730496454,1653.3333333333333,1264.3971631205673,1523.6879432624114
KALLANG/WHAMPOA,1992-06,EXECUTIVE,293000.0,293000.0,293000.0,293000.0,293000.0,1854.4303797468353,1854.4303797468353,1854.4303797468353,1854.4303797468353,1854.4303797468353
KALLANG/WHAMPOA,1992-07,EXECUTIVE,238000.0,232000.0,295000.0,235000.0,266500.0,1611.111111111111,1515.9235668789809,1940.7894736842106,1563.517338995046,1775.9502923976609
KALLANG/WHAMPOA,1992-08,EXECUTIVE,250000.0,225000.0,280000.0,237500.0,265000.0,1785.7142857142858,1500.0,1866.6666666666667,1642.857142857143,1826.1904761904761
KALLANG/WHAMPOA,1992-09,EXECUTIVE,236500.0,188000.0,285000.0,212250.0,260750.0,1598.0392156862745,1333.3333333333333,1862.7450980392157,1465.6862745098038,1730.3921568627452
KALLANG/WHAMPOA,1992-10,EXECUTIVE,260000.0,260000.0,260000.0,260000.0,260000.0,1733.3333333333333,1733.3333333333333,1733.3333333333333,1733.3333333333333,1733.3333333333333
KALLANG/WHAMPOA,1992-11,EXECUTIVE,166800.0,166800.0,166800.0,166800.0,166800.0,1182.9787234042553,1182.9787234042553,1182.9787234042553,1182.9787234042553,1182.9787234042553
KALLANG/WHAMPOA,1993-02,EXECUTIVE,250000.0,250000.0,250000.0,250000.0,250000.0,1736.111111111111,1736.111111111111,1736.111111111111,1736.111111111111,1736.111111111111
KALLANG/WHAMPOA,1993-03,EXECUTIVE,288000.0,288000.0,288000.0,288000.0,288000.0,1920.0,1920.0,1920.0,1920.0,1920.0
KALLANG/WHAMPOA,1993-04,EXECUTIVE,253000.0,233000.0,273000.0,243000.0,263000.0,1651.305946223229,1563.758389261745,1738.8535031847134,1607.532167742487,1695.0797247039714
KALLANG/WHAMPOA,1993-05,EXECUTIVE,298500.0,295000.0,310000.0,296500.0,302500.0,2010.1351351351352,1980.0,2152.777777777778,1989.9324324324325,2058.464714714715
KALLANG/WHAMPOA,1993-06,EXECUTIVE,258000.0,192000.0,315000.0,232000.0,264000.0,1760.0,1361.7021276595744,2006.3694267515923,1546.6666666666667,1829.787234042553
KALLANG/WHAMPOA,1993-07,EXECUTIVE,300000.0,270000.0,340000.0,298000.0,308000.0,2000.0,1875.0,2361.1111111111113,1898.0891719745223,2138.8888888888887
KALLANG/WHAMPOA,1993-08,EXECUTIVE,349000.0,335000.0,363000.0,342000.0,356000.0,2423.6111111111113,2326.3888888888887,2520.8333333333335,2375.0,2472.222222222222
KALLANG/WHAMPOA,1993-09,EXECUTIVE,360000.0,345000.0,375000.0,352500.0,367500.0,2314.397386053437,2240.2597402597403,2388.5350318471337,2277.3285631565886,2351.4662089502854
KALLANG/WHAMPOA,1993-10,EXECUTIVE,341000.0,320000.0,362000.0,330500.0,351500.0,2263.9773531493274,2222.222222222222,2305.732484076433,2243.099787685775,2284.8549186128803
KALLANG/WHAMPOA,1993-11,EXECUTIVE,320000.0,310000.0,420000.0,315000.0,370000.0,2133.3333333333335,2066.6666666666665,2916.6666666666665,2100.0,2525.0
KALLANG/WHAMPOA,1993-12,EXECUTIVE,365500.0,350000.0,381000.0,357750.0,373250.0,2436.666666666667,2333.3333333333335,2540.0,2385.0,2488.3333333333335
KALLANG/WHAMPOA,1994-01,EXECUTIVE,370000.0,370000.0,370000.0,370000.0,370000.0,2569.4444444444443,2569.4444444444443,2569.4444444444443,2569.4444444444443,2569.4444444444443
KALLANG/WHAMPOA,1994-02,EXECUTIVE,370000.0,370000.0,370000.0,370000.0,370000.0,2466.6666666666665,2466.6666666666665,2466.6666666666665,2466.6666666666665,2466.6666666666665
KALLANG/WHAMPOA,1994-03,EXECUTIVE,387500.0,370000.0,405000.0,378750.0,396250.0,2647.8607382550335,2483.221476510067,2812.5,2565.5411073825503,2730.1803691275168
KALLANG/WHAMPOA,1994-04,EXECUTIVE,395000.0,350000.0,425000.0,372500.0,410000.0,2633.3333333333335,2364.864864864865,2951.3888888888887,2499.0990990990995,2792.3611111111113
KALLANG/WHAMPOA,1994-06,EXECUTIVE,407500.0,385000.0,430000.0,396250.0,418750.0,2751.2254901960787,2516.3398692810456,2986.1111111111113,2633.782679738562,2868.668300653595
KALLANG/WHAMPOA,1994-07,EXECUTIVE,364000.0,345000.0,383000.0,354500.0,373500.0,2479.8611111111113,2300.0,2659.722222222222,2389.9305555555557,2569.7916666666665
KALLANG/WHAMPOA,1994-08,EXECUTIVE,422000.0,365000.0,430000.0,408000.0,430000.0,2721.518987341772,2449.6644295302012,2866.6666666666665,2720.0,2813.3333333333335
KALLANG/WHAMPOA,1994-09,EXECUTIVE,330000.0,305000.0,355000.0,317500.0,342500.0,2314.199172576832,2163.1205673758864,2465.277777777778,2238.659869976359,2389.738475177305
KALLANG/WHAMPOA,1994-10,EXECUTIVE,405000.0,405000.0,405000.0,405000.0,405000.0,2700.0,2700.0,2700.0,2700.0,2700.0
KALLANG/WHAMPOA,1995-01,EXECUTIVE,410000.0,410000.0,410000.0,410000.0,410000.0,2733.3333333333335,2733.3333333333335,2733.3333333333335,2733.3333333333335,2733.3333333333335
KALLANG/WHAMPOA,1995-02,EXECUTIVE,390000.0,390000.0,390000.0,390000.0,390000.0,2600.0,2600.0,2600.0,2600.0,2600.0
KALLANG/WHAMPOA,1995-03,EXECUTIVE,408000.0,408000.0,408000.0,408000.0,408000.0,2550.0,2550.0,2550.0,2550.0,2550.0
KALLANG/WHAMPOA,1995-04,EXECUTIVE,430000.0,430000.0,430000.0,430000.0,430000.0,2866.6666666666665,2866.6666666666665,2866.6666666666665,2866.6666666666665,2866.6666666666665
KALLANG/WHAMPOA,1995-06,EXECUTIVE,460000.0,460000.0,460000.0,460000.0,460000.0,2929.936305732484,2929.936305732484,2929.936305732484,2929.936305732484,2929.936305732484
KALLANG/WHAMPOA,1995-07,EXECUTIVE,422000.0,323000.0,495000.0,372500.0,458500.0,2740.2597402597403,2290.7801418439717,3235.294117647059,2515.519941051856,2987.7769289534
KALLANG/WHAMPOA,1995-08,EXECUTIVE,440000.0,440000.0,440000.0,440000.0,440000.0,2933.3333333333335,2933.3333333333335,2933.3333333333335,2933.3333333333335,2933.3333333333335
KALLANG/WHAMPOA,1995-09,EXECUTIVE,470000.0,380000.0,490000.0,425000.0,480000.0,3181.818181818182,2695.0354609929077,3357.1428571428573,2938.4268214055446,3269.4805194805194
KALLANG/WHAMPOA,1995-10,EXECUTIVE,500000.0,500000.0,500000.0,500000.0,500000.0,3328.4677990092005,3184.7133757961783,3472.222222222222,3256.5905874026894,3400.345010615711
KALLANG/WHAMPOA,1995-11,EXECUTIVE,444000.0,388000.0,500000.0,416000.0,472000.0,3009.87345292727,2751.77304964539,3267.97385620915,2880.82325128633,3138.92365456821
KALLANG/WHAMPOA,1995-12,EXECUTIVE,500000.0,500000.0,500000.0,500000.0,500000.0,3333.3333333333335,3333.3333333333335,3333.3333333333335,3333.3333333333335,3333.3333333333335
KALLANG/WHAMPOA,1996-01,EXECUTIVE,405000.0,391000.0,485000.0,400000.0,465000.0,2872.340425531915,2773.049645390071,3233.3333333333335,2836.8794326241136,3039.2156862745096
KALLANG/WHAMPOA,1996-03,EXECUTIVE,560000.0,560000.0,560000.0,560000.0,560000.0,3636.3636363636365,3636.3636363636365,3636.3636363636365,3636.3636363636365,3636.3636363636365
