town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG,1990-01,53000.0,15300.0,185000.0,44650.0,95500.0,774.5762711864406,306.0,1542.372881355932,667.222850678733,1002.6447433163852
KALLANG,1990-02,74250.0,17000.0,230000.0,44750.0,129750.0,889.8944193061841,327.58620689655174,1666.6666666666667,688.4615384615385,1136.3240418118469
KALLANG,1990-03,55000.0,21000.0,185000.0,45125.0,72250.0,805.5106658047835,400.0,1571.428571428571,676.5837104072398,915.1119402985074
KALLANG,1990-04,52000.0,20000.0,183000.0,41000.0,100000.0,771.1864406779661,357.1428571428572,1500.0,621.2121212121212,1068.3760683760684
KALLANG,1990-05,52000.0,15300.0,248000.0,42900.0,93300.0,762.7118644067797,306.0,1713.0434782608695,677.9661016949152,1040.2985074626863
KALLANG,1990-06,48500.0,26500.0,180000.0,41250.0,90000.0,713.2352941176471,420.6349206349207,1475.4098360655737,656.5285204991087,973.8214434710056
KALLANG,1990-07,45700.0,15400.0,217800.0,41000.0,73000.0,725.8064516129032,308.0,1578.2608695652175,640.1515151515151,897.0588235294117
KALLANG,1990-08,48000.0,19000.0,249000.0,38000.0,85000.0,711.8644067796611,383.3333333333333,1671.1409395973155,584.6153846153846,992.5531914893616
KALLANG,1990-09,62000.0,21500.0,235000.0,42375.0,88250.0,843.8915857605177,428.57142857142856,1618.6440677966102,619.0045248868778,1045.0082508250823
KALLANG,1990-10,58500.0,15500.0,220000.0,40500.0,92850.0,858.5164835164835,316.3265306122449,1594.2028985507247,588.2352941176471,1056.9318181818182
KALLANG,1990-11,58000.0,20000.0,238500.0,45500.0,125000.0,824.1758241758242,252.3809523809524,1667.7966101694915,689.3939393939394,1183.48623853211
KALLANG,1990-12,53000.0,19000.0,185000.0,40000.0,70000.0,700.0,306.4516129032258,1516.3934426229507,615.3846153846154,925.0
KALLANG,1991-01,60000.0,24000.0,222000.0,43875.0,93500.0,812.0879120879122,428.57142857142856,1610.1694915254238,674.9717194570136,1006.4144571025304
KALLANG,1991-02,60000.0,21500.0,225000.0,45500.0,86500.0,825.3968253968254,430.0,1679.1044776119404,723.0769230769231,968.2539682539684
KALLANG,1991-03,60000.0,21000.0,254000.0,45500.0,104000.0,838.2352941176471,341.26984126984127,1649.3506493506493,728.8135593220339,1068.3760683760684
KALLANG,1991-04,49000.0,17500.0,180000.0,45000.0,62750.0,706.7873303167421,350.0,1475.728155339806,686.0471149854711,890.7967032967033
KALLANG,1991-05,68000.0,22000.0,200000.0,45000.0,117750.0,762.7118644067797,392.8571428571428,1694.915254237288,689.3939393939394,1131.3131313131312
