town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG,1990-01,low,56000.0,31400.0,110000.0,45000.0,75100.0,764.7058823529412,498.4126984126984,1170.212765957447,747.5728155339806,897.0588235294117
KALLANG,1990-02,low,54750.0,17000.0,230000.0,26600.0,108375.0,839.4257525929675,327.58620689655174,1666.6666666666667,475.0,1084.3589743589744
KALLANG,1990-03,low,56000.0,26500.0,80000.0,45000.0,61000.0,850.0,441.6666666666667,1000.0,762.7118644067797,909.0909090909092
KALLANG,1990-04,low,46500.0,22000.0,115000.0,35125.0,72500.0,656.6985645933014,392.8571428571428,1263.7362637362637,561.5384615384615,860.0241222192442
KALLANG,1990-05,low,47750.0,36000.0,248000.0,44475.0,75600.0,701.3333333333333,553.8461538461538,1664.4295302013422,676.3636363636364,1004.4895204826928
KALLANG,1990-06,low,43750.0,35000.0,45700.0,40625.0,45375.0,673.5418743768694,538.4615384615385,703.0769230769231,650.2339572192514,680.8551617873652
KALLANG,1990-07,low,45250.0,15400.0,185000.0,32500.0,66625.0,690.909090909091,308.0,1293.7062937062938,543.9618644067796,1025.5467571644042
KALLANG,1990-08,low,60500.0,20000.0,158000.0,43750.0,106000.0,845.5882352941177,416.6666666666667,1439.0243902439024,665.2097902097903,1124.8320025298442
KALLANG,1990-09,low,56000.0,21500.0,129000.0,43500.0,70000.0,933.3333333333334,430.0,1240.3846153846157,639.7058823529412,1166.6666666666667
KALLANG,1990-10,low,45700.0,24000.0,90000.0,34500.0,57100.0,718.4615384615385,428.57142857142856,1125.0,557.3663624511082,881.7936300987149
KALLANG,1990-11,low,56000.0,45500.0,89000.0,48025.0,71250.0,773.3438035408338,689.3939393939394,978.021978021978,711.773711725168,840.2655838454785
KALLANG,1990-12,low,47850.0,26000.0,184800.0,39250.0,67500.0,713.8591800356505,464.2857142857143,1391.304347826087,626.7926988265971,860.6283422459893
KALLANG,1991-01,low,70450.0,35000.0,125000.0,44650.0,93500.0,964.017521902378,530.3030303030303,1142.857142857143,703.3116036505867,1036.0275689223058
KALLANG,1991-02,low,45500.0,21500.0,213000.0,31000.0,75000.0,771.1864406779661,430.0,1638.4615384615386,553.5714285714286,835.820895522388
KALLANG,1991-03,low,57850.0,21000.0,185000.0,43125.0,88250.0,895.7758620689656,341.26984126984127,1330.9352517985612,661.3636363636364,1044.8606271777005
KALLANG,1991-04,low,68100.0,28000.0,152000.0,45000.0,125000.0,896.4285714285714,500.0,1475.728155339806,684.6719457013575,1089.7435897435898
KALLANG,1991-05,low,60000.0,37000.0,185000.0,43750.0,116625.0,960.7210115684692,569.2307692307693,1321.428571428571,689.3665158371041,1191.0941000746827
KALLANG,1991-06,low,59500.0,24000.0,179000.0,45000.0,88000.0,731.7073170731708,380.95238095238096,1704.7619047619048,692.3076923076923,967.032967032967
KALLANG,1991-07,low,61000.0,24000.0,180000.0,52500.0,127000.0,842.8571428571429,320.0,1571.428571428571,734.9397590361446,1233.009708737864
KALLANG,1991-08,low,45500.0,40000.0,165000.0,45000.0,61000.0,692.3076923076923,615.3846153846154,1259.5419847328244,676.9230769230769,897.0588235294117
KALLANG,1991-09,low,49500.0,20000.0,133000.0,36625.0,70750.0,744.5701357466063,370.3703703703704,1242.9906542056074,566.6971916971917,976.292318893338
KALLANG,1991-10,low,45000.0,29200.0,130500.0,42000.0,61000.0,711.8644067796611,521.4285714285714,1388.2978723404256,681.8181818181819,779.6610169491526
KALLANG,1991-11,low,52000.0,22000.0,90000.0,47350.0,69000.0,753.6231884057971,458.3333333333333,989.010989010989,711.883763003166,924.625468164794
KALLANG,1991-12,low,81000.0,44000.0,100000.0,71000.0,86500.0,954.5454545454544,745.7627118644068,1098.901098901099,868.2588597842836,1024.7252747252746
KALLANG,1992-01,low,46000.0,21400.0,185000.0,40500.0,120000.0,762.7118644067797,412.6984126984127,1516.3934426229507,634.8454636091725,1199.0291262135922
KALLANG,1992-02,low,65750.0,26500.0,238000.0,41250.0,94675.0,881.5958815958816,441.6666666666667,1700.0,644.2307692307692,1155.918659043659
KALLANG,1992-03,low,74000.0,21000.0,196000.0,57500.0,114000.0,897.0588235294117,420.0,1661.0169491525423,749.377980510056,1065.4168328679698
KALLANG,1992-04,low,75000.0,40000.0,275000.0,47750.0,85000.0,888.8888888888889,669.1176470588235,1833.3333333333333,818.4656556645853,968.3060841597428
KALLANG,1992-05,low,45500.0,20000.0,211000.0,39500.0,93500.0,756.3559322033898,357.1428571428572,1834.782608695652,633.7797619047619,1000.5997079682936
KALLANG,1992-06,low,45500.0,33000.0,65000.0,43500.0,55925.0,752.4826927667701,559.3220338983051,955.8823529411764,671.1538461538462,850.4889178617992
KALLANG,1992-07,low,58750.0,18000.0,177000.0,45250.0,82500.0,800.779253960143,375.0,1718.4466019417475,763.21036889332,899.2647058823529
