town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG/WHAMPOA,1990-01,mid,43000.0,15300.0,153000.0,40000.0,49750.0,661.5384615384615,306.0,1330.4347826086957,615.3846153846154,833.1214689265537
KALLANG/WHAMPOA,1990-02,mid,60000.0,20800.0,178000.0,44500.0,79750.0,713.5922330097087,433.3333333333333,1508.4745762711864,684.6153846153845,924.3225380039656
KALLANG/WHAMPOA,1990-03,mid,61000.0,24000.0,185000.0,48000.0,68000.0,908.7378640776699,400.0,1340.5797101449275,800.0,970.1492537313433
KALLANG/WHAMPOA,1990-04,mid,54000.0,42000.0,128000.0,47750.0,86500.0,794.1176470588235,669.1176470588235,1219.047619047619,723.5792622133599,1057.3744182314235
KALLANG/WHAMPOA,1990-05,mid,49200.0,15300.0,138000.0,28000.0,97750.0,706.5904365904366,306.0,1406.5934065934066,469.06779661016947,1068.30565646082
KALLANG/WHAMPOA,1990-06,mid,40000.0,36000.0,125000.0,37000.0,48500.0,545.4545454545455,486.8421052631579,1068.3760683760684,526.3157894736842,713.2352941176471
KALLANG/WHAMPOA,1990-07,mid,45700.0,26400.0,149000.0,45000.0,54000.0,774.5762711864406,440.0,1333.3333333333333,692.3076923076923,796.6101694915254
KALLANG/WHAMPOA,1990-08,mid,41000.0,21500.0,249000.0,28000.0,61000.0,584.6153846153846,432.0,1671.1409395973155,500.0,823.0769230769231
KALLANG/WHAMPOA,1990-09,mid,45000.0,30000.0,123000.0,43500.0,53400.0,671.6417910447761,500.0,1336.9565217391305,608.8235294117646,858.405253283302
KALLANG/WHAMPOA,1990-10,mid,54350.0,25000.0,165000.0,40500.0,92125.0,851.0048426150122,396.8253968253968,1375.0,602.7149321266968,1088.1568144499179
KALLANG/WHAMPOA,1990-11,mid,89500.0,20000.0,183500.0,45625.0,128000.0,946.2759462759464,357.14285714285717,1449.5412844036698,723.5658409387223,1173.3289646133683
KALLANG/WHAMPOA,1990-12,mid,59500.0,35000.0,130000.0,55500.0,89500.0,889.7058823529412,588.2352941176471,1361.7021276595744,822.8466386554621,1155.8265582655827
KALLANG/WHAMPOA,1991-01,mid,45700.0,26000.0,122800.0,44000.0,90000.0,733.3333333333334,464.2857142857143,1364.4444444444443,659.3406593406594,854.7008547008547
KALLANG/WHAMPOA,1991-02,mid,46250.0,45000.0,100000.0,45375.0,60250.0,760.5225988700565,723.0769230769231,970.8737864077669,749.5192307692308,814.7523449070266
KALLANG/WHAMPOA,1991-03,mid,92000.0,26460.0,254000.0,60000.0,126800.0,1000.0,441.0,1649.3506493506493,841.0500206696983,1083.7606837606836
KALLANG/WHAMPOA,1991-04,mid,48000.0,21500.0,93000.0,45500.0,55500.0,703.0769230769231,383.92857142857144,948.5294117647059,690.8508158508158,822.2124670763828
KALLANG/WHAMPOA,1991-05,mid,45600.0,22000.0,170000.0,45125.0,56425.0,732.8943937418514,392.85714285714283,1416.6666666666667,700.7692307692307,904.9636803874092
KALLANG/WHAMPOA,1991-06,mid,45500.0,44000.0,67000.0,44750.0,56250.0,758.3333333333334,647.0588235294117,985.2941176470588,702.6960784313726,871.813725490196
KALLANG/WHAMPOA,1991-07,mid,69500.0,23500.0,158200.0,42500.0,93975.0,853.3333333333333,419.64285714285717,1340.677966101695,653.8461538461538,1065.8883037694013
KALLANG/WHAMPOA,1991-08,mid,60000.0,40000.0,148000.0,45500.0,100000.0,895.5223880597015,666.6666666666666,1538.4615384615386,746.2686567164179,1098.901098901099
KALLANG/WHAMPOA,1991-09,mid,69500.0,30000.0,170000.0,45550.0,137000.0,957.8977932636469,476.1904761904762,1440.677966101695,700.7692307692307,1079.787234042553
KALLANG/WHAMPOA,1991-10,mid,53000.0,20000.0,187000.0,40000.0,74000.0,733.3333333333334,357.14285714285717,1452.991452991453,652.7472527472528,886.928860613071
KALLANG/WHAMPOA,1991-11,mid,45700.0,25000.0,201000.0,45000.0,175000.0,723.0769230769231,446.42857142857144,1739.1304347826087,690.8508158508158,1277.111644018119
KALLANG/WHAMPOA,1991-12,mid,52000.0,15500.0,232000.0,45000.0,95000.0,764.7058823529412,322.9166666666667,1795.1807228915663,669.1176470588235,1079.5454545454545
KALLANG/WHAMPOA,1992-01,mid,70000.0,22000.0,180000.0,60000.0,95000.0,843.3734939759037,366.6666666666667,1525.4237288135594,789.4736842105264,1144.578313253012
KALLANG/WHAMPOA,1992-02,mid,108000.0,19000.0,158000.0,48000.0,127000.0,1186.8131868131868,339.2857142857143,1593.4065934065934,813.5593220338983,1304.3478260869565
KALLANG/WHAMPOA,1992-03,mid,55000.0,38000.0,128000.0,46000.0,77000.0,830.7692307692307,678.5714285714286,1230.7692307692307,743.6974789915967,1056.886810831872
KALLANG/WHAMPOA,1992-04,mid,62000.0,24000.0,220000.0,42500.0,97000.0,765.4320987654321,480.0,1641.7910447761194,653.8461538461538,1031.9148936170213
KALLANG/WHAMPOA,1992-05,mid,100000.0,45500.0,248000.0,61000.0,130000.0,1083.3333333333333,669.1176470588235,1682.6923076923076,897.0588235294117,1190.4761904761904
KALLANG/WHAMPOA,1992-06,mid,54000.0,44000.0,260000.0,47000.0,130000.0,794.1176470588235,676.9230769230769,1818.1818181818182,723.0769230769231,1250.0
KALLANG/WHAMPOA,1992-07,mid,95000.0,16000.0,295000.0,54000.0,118400.0,1021.978021978022,333.3333333333333,1940.7894736842106,815.0112023898432,1375.6664388243335
KALLANG/WHAMPOA,1992-08,mid,122500.0,18000.0,280000.0,43000.0,130750.0,1281.1128945960409,360.0,1866.6666666666667,795.7516339869281,1527.8745644599303
KALLANG/WHAMPOA,1992-09,mid,49000.0,24000.0,195000.0,45000.0,100000.0,737.2881355932203,480.0,1893.2038834951456,700.0,1068.3760683760684
KALLANG/WHAMPOA,1992-10,mid,55750.0,21400.0,210000.0,43125.0,77125.0,897.0588235294117,383.3333333333333,1801.8867924528302,685.7142857142858,1072.205934612651
KALLANG/WHAMPOA,1992-11,mid,59000.0,45500.0,195000.0,52750.0,87000.0,907.2781655034896,700.0,1893.2038834951456,836.013986013986,1165.0
KALLANG/WHAMPOA,1992-12,mid,45500.0,30000.0,180000.0,40000.0,61000.0,733.3333333333334,500.0,1395.3488372093022,606.060606060606,983.0508474576271
KALLANG/WHAMPOA,1993-01,mid,64000.0,45500.0,195000.0,61000.0,140500.0,956.1051693404634,700.0,1666.6666666666667,897.0588235294117,1268.1321410829607
KALLANG/WHAMPOA,1993-02,mid,66750.0,45000.0,227000.0,54250.0,125000.0,1023.2445520581114,762.7118644067797,1891.6666666666667,803.3088235294117,1362.876254180602
KALLANG/WHAMPOA,1993-03,mid,60500.0,26000.0,120000.0,36750.0,83875.0,912.10407239819,464.2857142857143,1363.6363636363637,622.8813559322034,1080.932580932581
KALLANG/WHAMPOA,1993-04,mid,65000.0,21000.0,198000.0,39250.0,160250.0,1038.4615384615386,420.0,1807.6923076923076,643.8652073732719,1575.2053170773008
KALLANG/WHAMPOA,1993-05,mid,118850.0,40500.0,300000.0,78000.0,129125.0,1231.4490594151612,686.4406779661017,2027.027027027027,1082.3863636363635,1530.3717798594848
KALLANG/WHAMPOA,1993-06,mid,145000.0,25000.0,264000.0,68500.0,212000.0,1338.5826771653544,446.42857142857144,1870.2290076335878,1007.3529411764706,1636.4285714285716
KALLANG/WHAMPOA,1993-07,mid,138000.0,35000.0,298000.0,90000.0,215000.0,1468.0851063829787,729.1666666666666,2087.378640776699,1153.8461538461538,1898.0891719745223
KALLANG/WHAMPOA,1993-08,mid,130000.0,46000.0,250000.0,93000.0,167500.0,1547.6190476190477,920.0,2118.64406779661,1367.6470588235293,1724.1544862904086
KALLANG/WHAMPOA,1993-09,mid,68000.0,33000.0,345000.0,39500.0,262000.0,1046.1538461538462,611.1111111111111,2240.2597402597403,877.7777777777778,2239.3162393162393
KALLANG/WHAMPOA,1993-10,mid,120000.0,69000.0,297000.0,75750.0,168750.0,1560.5842048323116,1095.2380952380952,2516.9491525423728,1283.898305084746,1825.5666049953747
KALLANG/WHAMPOA,1993-11,mid,90000.0,40000.0,320000.0,80000.0,155000.0,1500.0,800.0,2385.321100917431,1176.4705882352941,1864.8648648648648
KALLANG/WHAMPOA,1993-12,mid,89000.0,38000.0,315000.0,78000.0,107000.0,1323.076923076923,760.0,2627.1186440677966,1230.7692307692307,1621.6216216216217
KALLANG/WHAMPOA,1994-01,mid,142000.0,69000.0,328000.0,85500.0,261000.0,1755.27950310559,1076.923076923077,2852.1739130434785,1353.6889332003989,2314.119578123909
KALLANG/WHAMPOA,1994-02,mid,97500.0,46000.0,306888.0,84000.0,188250.0,1620.645009416196,958.3333333333334,2438.0165289256197,1276.4667535853978,2139.2477203647413
KALLANG/WHAMPOA,1994-03,mid,97000.0,40500.0,405000.0,81500.0,180250.0,1457.5553895942244,723.2142857142857,2812.5,1214.6341463414633,1819.2330210772834
KALLANG/WHAMPOA,1994-04,mid,90000.0,41000.0,290000.0,65000.0,197000.0,1330.9954751131222,840.0,2478.6324786324785,1171.4616402116403,2008.1661457808248
KALLANG/WHAMPOA,1994-05,mid,156000.0,63000.0,340000.0,107500.0,210750.0,1950.79185520362,1050.0,2615.3846153846152,1587.837837837838,2212.122060470325
KALLANG/WHAMPOA,1994-06,mid,92000.0,38000.0,430000.0,86500.0,119750.0,1533.6158192090395,791.6666666666666,2986.1111111111113,1310.3411513859273,1904.2601923957855
KALLANG/WHAMPOA,1994-07,mid,145000.0,69000.0,245000.0,93000.0,193500.0,1746.987951807229,1150.0,2122.6415094339623,1409.6440872560274,1927.4475524475524
KALLANG/WHAMPOA,1994-08,mid,128000.0,80000.0,430000.0,95750.0,211000.0,1682.1568262246228,1246.1538461538462,2866.6666666666665,1501.5734265734266,2227.5536759921924
KALLANG/WHAMPOA,1994-09,mid,135000.0,47000.0,300000.0,113500.0,230000.0,1824.3243243243244,1044.4444444444443,2456.1403508771928,1619.85446985447,2229.3755173365216
KALLANG/WHAMPOA,1994-10,mid,100000.0,68000.0,290000.0,86500.0,122500.0,1450.7042253521126,1096.774193548387,2248.062015503876,1376.923076923077,1802.4010382868269
KALLANG/WHAMPOA,1994-11,mid,110000.0,74000.0,300000.0,92250.0,192250.0,1746.810207336523,1174.6031746031747,2582.4175824175823,1462.26795803067,2102.207114918979
KALLANG/WHAMPOA,1994-12,mid,107000.0,42000.0,395000.0,92250.0,151500.0,1561.5079365079364,840.0,3110.236220472441,1379.581447963801,2014.3260694108153
KALLANG/WHAMPOA,1995-01,mid,113000.0,45000.0,340000.0,92750.0,203750.0,1697.737556561086,900.0,2863.2478632478633,1463.110667996012,2256.107109301597
KALLANG/WHAMPOA,1995-02,mid,133000.0,97000.0,345000.0,110000.0,285000.0,1735.2941176470588,1469.6969696969697,2614.678899082569,1617.6470588235295,2598.4251968503936
KALLANG/WHAMPOA,1995-03,mid,106000.0,46000.0,408000.0,88000.0,133000.0,1630.7692307692307,958.3333333333334,2550.0,1333.3333333333333,2190.4761904761904
KALLANG/WHAMPOA,1995-04,mid,168000.0,92000.0,375000.0,100500.0,310000.0,2264.957264957265,1642.857142857143,3008.4745762711864,1746.5193704600483,2666.5918275707227
KALLANG/WHAMPOA,1995-05,mid,111750.0,92000.0,225000.0,110000.0,123000.0,1696.1538461538462,1476.923076923077,2586.206896551724,1647.5840336134454,1914.556277056277
KALLANG/WHAMPOA,1995-06,mid,125500.0,50000.0,298000.0,110000.0,139625.0,1858.6739780658027,1000.0,2865.3846153846152,1693.4731934731935,1934.6153846153848
KALLANG/WHAMPOA,1995-07,mid,138000.0,48000.0,355000.0,111500.0,212500.0,2300.0,960.0,2865.3846153846152,1676.3574660633485,2504.449838187702
KALLANG/WHAMPOA,1995-08,mid,125000.0,55000.0,440000.0,118500.0,203000.0,1923.076923076923,1145.8333333333333,3024.0963855421687,1735.289791115034,2312.069286645558
KALLANG/WHAMPOA,1995-09,mid,121500.0,95000.0,395000.0,110000.0,254000.0,1875.0,1507.936507936508,3231.7073170731705,1731.50623885918,2843.890298653133
KALLANG/WHAMPOA,1995-10,mid,140000.0,57000.0,500000.0,115000.0,325000.0,2058.823529411765,1187.5,3471.0743801652893,1743.8914027149322,2830.944055944056
KALLANG/WHAMPOA,1995-11,mid,172000.0,105000.0,480000.0,139500.0,308000.0,2324.324324324324,1825.3968253968253,3503.6496350364964,2078.4313725490197,2923.992673992674
KALLANG/WHAMPOA,1995-12,mid,198000.0,65000.0,425000.0,132500.0,235000.0,2366.685945633314,1354.1666666666667,3601.6949152542375,1985.7473035439139,2582.4175824175823
KALLANG/WHAMPOA,1996-01,mid,129000.0,70000.0,485000.0,122000.0,167000.0,2040.6746031746034,1458.3333333333333,3233.3333333333335,1950.2450980392157,2516.4910673385248
KALLANG/WHAMPOA,1996-02,mid,270750.0,138000.0,355000.0,179375.0,315500.0,2959.000238891543,2123.076923076923,3355.769230769231,2483.0097087378645,3017.3076923076924
KALLANG/WHAMPOA,1996-03,mid,170000.0,132000.0,340000.0,146000.0,274500.0,2698.4126984126983,2166.6666666666665,3300.970873786408,2257.105606258149,3081.043956043956
KALLANG/WHAMPOA,1996-04,mid,235000.0,67000.0,470000.0,149000.0,322500.0,2957.446808510638,1395.8333333333333,3902.439024390244,2314.935064935065,3416.1490683229813
