town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG/WHAMPOA,1990-01,2 ROOM,07 TO 09,15300.0,15300.0,15300.0,15300.0,15300.0,306.0,306.0,306.0,306.0,306.0
KALLANG/WHAMPOA,1990-01,3 ROOM,01 TO 03,49350.0,26000.0,58000.0,40775.0,54250.0,665.4892296458561,464.2857142857143,852.9411764705883,594.987091222031,732.5534759358288
KALLANG/WHAMPOA,1990-01,3 ROOM,04 TO 06,48750.0,31400.0,77000.0,44775.0,59750.0,760.1694915254237,498.41269841269843,992.5373134328358,703.9386584289497,808.8235294117646
KALLANG/WHAMPOA,1990-01,3 ROOM,07 TO 09,42000.0,23500.0,53000.0,40000.0,45700.0,646.1538461538462,419.64285714285717,898.3050847457627,615.3846153846154,744.980443285528
KALLANG/WHAMPOA,1990-01,3 ROOM,10 TO 12,42750.0,36000.0,52000.0,38500.0,45500.0,622.4376114081997,512.8205128205128,866.6666666666666,553.030303030303,692.2794117647059
KALLANG/WHAMPOA,1990-01,3 ROOM,13 TO 15,45000.0,39500.0,61000.0,43875.0,48200.0,692.3076923076923,598.4848484848485,897.0588235294117,675.0,732.0871040723982
KALLANG/WHAMPOA,1990-01,3 ROOM,16 TO 18,45700.0,45700.0,45700.0,45700.0,45700.0,703.0769230769231,703.0769230769231,703.0769230769231,703.0769230769231,703.0769230769231
KALLANG/WHAMPOA,1990-01,3 ROOM,22 TO 24,52850.0,52700.0,53000.0,52775.0,52925.0,744.3661971830986,742.2535211267606,746.4788732394367,743.3098591549297,745.4225352112676
KALLANG/WHAMPOA,1990-01,4 ROOM,01 TO 03,87500.0,75000.0,100000.0,82500.0,92500.0,961.5384615384614,824.1758241758242,1098.901098901099,906.5934065934066,1016.4835164835165
KALLANG/WHAMPOA,1990-01,4 ROOM,04 TO 06,100000.0,75100.0,110000.0,87550.0,105000.0,952.3809523809524,825.2747252747253,1170.212765957447,888.8278388278388,1061.2968591691997
KALLANG/WHAMPOA,1990-01,4 ROOM,07 TO 09,74900.0,74900.0,74900.0,74900.0,74900.0,891.6666666666666,891.6666666666666,891.6666666666666,891.6666666666666,891.6666666666666
KALLANG/WHAMPOA,1990-01,4 ROOM,10 TO 12,94000.0,94000.0,94000.0,94000.0,94000.0,1032.967032967033,1032.967032967033,1032.967032967033,1032.967032967033,1032.967032967033
KALLANG/WHAMPOA,1990-01,4 ROOM,16 TO 18,73000.0,73000.0,73000.0,73000.0,73000.0,802.1978021978022,802.1978021978022,802.1978021978022,802.1978021978022,802.1978021978022
KALLANG/WHAMPOA,1990-01,4 ROOM,22 TO 24,109125.0,81000.0,137250.0,95062.5,123187.5,1111.317080977275,890.1098901098901,1332.5242718446602,1000.7134855435827,1221.9206764109676
KALLANG/WHAMPOA,1990-01,5 ROOM,01 TO 03,125000.0,125000.0,125000.0,125000.0,125000.0,1082.433648223122,1068.3760683760684,1096.4912280701753,1075.4048582995952,1089.4624381466485
KALLANG/WHAMPOA,1990-01,5 ROOM,07 TO 09,139000.0,125000.0,153000.0,132000.0,146000.0,1213.4630053394355,1096.4912280701753,1330.4347826086957,1154.9771167048054,1271.9488939740656
KALLANG/WHAMPOA,1990-01,5 ROOM,10 TO 12,173000.0,138000.0,185000.0,157500.0,182750.0,1386.039886039886,1179.4871794871794,1542.3728813559321,1322.6495726495727,1436.8752716210342
KALLANG/WHAMPOA,1990-01,5 ROOM,13 TO 15,152500.0,125000.0,180000.0,138750.0,166250.0,1181.6700485765234,1068.3760683760684,1294.9640287769785,1125.0230584762958,1238.317038676751
KALLANG/WHAMPOA,1990-01,5 ROOM,16 TO 18,150000.0,150000.0,150000.0,150000.0,150000.0,1229.5081967213114,1229.5081967213114,1229.5081967213114,1229.5081967213114,1229.5081967213114
KALLANG/WHAMPOA,1990-01,5 ROOM,19 TO 21,183000.0,183000.0,183000.0,183000.0,183000.0,1500.0,1500.0,1500.0,1500.0,1500.0
KALLANG/WHAMPOA,1990-01,5 ROOM,22 TO 24,180000.0,180000.0,180000.0,180000.0,180000.0,1475.4098360655737,1475.4098360655737,1475.4098360655737,1475.4098360655737,1475.4098360655737
KALLANG/WHAMPOA,1990-02,2 ROOM,04 TO 06,18000.0,17000.0,19000.0,17500.0,18500.0,340.8764367816092,327.58620689655174,354.1666666666667,334.23132183908046,347.52155172413796
KALLANG/WHAMPOA,1990-02,2 ROOM,07 TO 09,20800.0,20800.0,20800.0,20800.0,20800.0,433.3333333333333,433.3333333333333,433.3333333333333,433.3333333333333,433.3333333333333
KALLANG/WHAMPOA,1990-02,3 ROOM,01 TO 03,35000.0,35000.0,35000.0,35000.0,35000.0,555.5555555555555,555.5555555555555,555.5555555555555,555.5555555555555,555.5555555555555
KALLANG/WHAMPOA,1990-02,3 ROOM,04 TO 06,51500.0,26600.0,55500.0,26600.0,54000.0,805.9701492537314,475.0,940.6779661016949,475.0,872.8813559322034
KALLANG/WHAMPOA,1990-02,3 ROOM,07 TO 09,52500.0,44000.0,73500.0,44750.0,63375.0,702.9499626587005,676.9230769230769,882.3529411764706,688.4615384615385,755.7824100513992
KALLANG/WHAMPOA,1990-02,3 ROOM,10 TO 12,40000.0,35000.0,93600.0,37500.0,66800.0,615.3846153846154,538.4615384615385,908.7378640776699,576.9230769230769,762.0612397311427
KALLANG/WHAMPOA,1990-02,3 ROOM,13 TO 15,58400.0,58000.0,58800.0,58200.0,58600.0,818.4705882352941,784.0,852.9411764705883,801.2352941176471,835.7058823529412
KALLANG/WHAMPOA,1990-02,4 ROOM,01 TO 03,109500.0,104000.0,115000.0,106750.0,112250.0,1183.1306990881458,1142.857142857143,1223.404255319149,1162.9939209726444,1203.2674772036473
KALLANG/WHAMPOA,1990-02,4 ROOM,04 TO 06,98000.0,70000.0,139500.0,84000.0,118750.0,1076.923076923077,804.5977011494252,1134.1463414634147,940.7603890362511,1105.5347091932458
KALLANG/WHAMPOA,1990-02,4 ROOM,07 TO 09,86000.0,86000.0,86000.0,86000.0,86000.0,966.2921348314607,966.2921348314607,966.2921348314607,966.2921348314607,966.2921348314607
KALLANG/WHAMPOA,1990-02,4 ROOM,10 TO 12,75000.0,75000.0,75000.0,75000.0,75000.0,862.0689655172414,862.0689655172414,862.0689655172414,862.0689655172414,862.0689655172414
KALLANG/WHAMPOA,1990-02,4 ROOM,16 TO 18,129000.0,129000.0,129000.0,129000.0,129000.0,1228.5714285714287,1228.5714285714287,1228.5714285714287,1228.5714285714287,1228.5714285714287
KALLANG/WHAMPOA,1990-02,5 ROOM,04 TO 06,230000.0,230000.0,230000.0,230000.0,230000.0,1666.6666666666667,1666.6666666666667,1666.6666666666667,1666.6666666666667,1666.6666666666667
KALLANG/WHAMPOA,1990-02,5 ROOM,07 TO 09,178000.0,178000.0,178000.0,178000.0,178000.0,1508.4745762711864,1508.4745762711864,1508.4745762711864,1508.4745762711864,1508.4745762711864
KALLANG/WHAMPOA,1990-02,5 ROOM,10 TO 12,132500.0,105000.0,160000.0,118750.0,146250.0,1126.684050412864,897.4358974358975,1355.9322033898304,1012.0599739243808,1241.3081269013471
KALLANG/WHAMPOA,1990-02,5 ROOM,13 TO 15,132000.0,132000.0,132000.0,132000.0,132000.0,977.7777777777778,977.7777777777778,977.7777777777778,977.7777777777778,977.7777777777778
KALLANG/WHAMPOA,1990-02,5 ROOM,16 TO 18,185000.0,185000.0,185000.0,185000.0,185000.0,1541.6666666666667,1541.6666666666667,1541.6666666666667,1541.6666666666667,1541.6666666666667
KALLANG/WHAMPOA,1990-02,5 ROOM,19 TO 21,170000.0,170000.0,170000.0,170000.0,170000.0,1440.677966101695,1440.677966101695,1440.677966101695,1440.677966101695,1440.677966101695
KALLANG/WHAMPOA,1990-02,5 ROOM,22 TO 24,142000.0,126000.0,158000.0,134000.0,150000.0,1194.491525423729,1050.0,1338.9830508474577,1122.2457627118645,1266.7372881355932
KALLANG/WHAMPOA,1990-02,EXECUTIVE,04 TO 06,166000.0,166000.0,166000.0,166000.0,166000.0,1106.6666666666667,1106.6666666666667,1106.6666666666667,1106.6666666666667,1106.6666666666667
KALLANG/WHAMPOA,1990-03,2 ROOM,01 TO 03,21000.0,21000.0,21000.0,21000.0,21000.0,420.0,420.0,420.0,420.0,420.0
KALLANG/WHAMPOA,1990-03,3 ROOM,01 TO 03,44500.0,24500.0,120000.0,44000.0,54625.0,670.9956709956709,408.3333333333333,851.3513513513514,598.6579097658481,741.264667535854
KALLANG/WHAMPOA,1990-03,3 ROOM,04 TO 06,53500.0,26500.0,70000.0,44000.0,60250.0,836.7647058823529,441.6666666666667,1000.0,722.7691924227319,867.8558427375318
KALLANG/WHAMPOA,1990-03,3 ROOM,07 TO 09,55000.0,24000.0,93600.0,46850.0,66000.0,908.7378640776699,400.0,1014.9253731343283,787.2881355932203,951.176321780926
KALLANG/WHAMPOA,1990-03,3 ROOM,10 TO 12,53000.0,45700.0,75000.0,46000.0,55000.0,774.5762711864406,676.4705882352941,1013.5135135135135,697.3684210526316,808.8235294117648
KALLANG/WHAMPOA,1990-03,3 ROOM,13 TO 15,45500.0,40000.0,50000.0,42000.0,50000.0,689.3939393939394,606.060606060606,769.2307692307693,646.1538461538462,735.2941176470588
KALLANG/WHAMPOA,1990-03,3 ROOM,16 TO 18,45700.0,45700.0,45700.0,45700.0,45700.0,703.0769230769231,703.0769230769231,703.0769230769231,703.0769230769231,703.0769230769231
KALLANG/WHAMPOA,1990-03,4 ROOM,01 TO 03,101500.0,75000.0,128000.0,88250.0,114750.0,999.2438753906645,824.1758241758242,1174.3119266055046,911.7098497832443,1086.7779009980845
KALLANG/WHAMPOA,1990-03,4 ROOM,04 TO 06,80000.0,80000.0,80000.0,80000.0,80000.0,909.0909090909091,909.0909090909091,909.0909090909091,909.0909090909091,909.0909090909091
KALLANG/WHAMPOA,1990-03,4 ROOM,07 TO 09,75000.0,75000.0,75000.0,75000.0,75000.0,852.2727272727273,852.2727272727273,852.2727272727273,852.2727272727273,852.2727272727273
KALLANG/WHAMPOA,1990-03,4 ROOM,10 TO 12,73000.0,70000.0,91500.0,71500.0,82250.0,853.6585365853658,802.1978021978022,973.4042553191489,827.928169391584,913.5313959522573
KALLANG/WHAMPOA,1990-03,4 ROOM,19 TO 21,93500.0,66000.0,121000.0,79750.0,107250.0,1148.3516483516482,725.2747252747253,1571.4285714285713,936.8131868131868,1359.89010989011
KALLANG/WHAMPOA,1990-03,5 ROOM,07 TO 09,185000.0,185000.0,185000.0,185000.0,185000.0,1340.5797101449275,1340.5797101449275,1340.5797101449275,1340.5797101449275,1340.5797101449275
KALLANG/WHAMPOA,1990-03,5 ROOM,13 TO 15,159000.0,159000.0,159000.0,159000.0,159000.0,1382.608695652174,1382.608695652174,1382.608695652174,1382.608695652174,1382.608695652174
KALLANG/WHAMPOA,1990-03,5 ROOM,19 TO 21,184000.0,184000.0,184000.0,184000.0,184000.0,1533.3333333333333,1533.3333333333333,1533.3333333333333,1533.3333333333333,1533.3333333333333
KALLANG/WHAMPOA,1990-03,5 ROOM,22 TO 24,170000.0,170000.0,170000.0,170000.0,170000.0,1440.677966101695,1440.677966101695,1440.677966101695,1440.677966101695,1440.677966101695
KALLANG/WHAMPOA,1990-04,3 ROOM,04 TO 06,40000.0,22000.0,70000.0,34000.0,48000.0,588.2352941176471,392.85714285714283,853.6585365853658,546.1538461538462,681.8181818181819
KALLANG/WHAMPOA,1990-04,3 ROOM,07 TO 09,50000.0,42000.0,61000.0,45500.0,54000.0,735.2941176470588,669.1176470588235,910.4477611940298,711.8644067796611,794.1176470588235
KALLANG/WHAMPOA,1990-04,3 ROOM,10 TO 12,45700.0,20000.0,93500.0,45500.0,46000.0,707.6923076923077,357.14285714285717,907.7669902912621,703.0769230769231,771.1864406779661
KALLANG/WHAMPOA,1990-04,3 ROOM,13 TO 15,40000.0,40000.0,41000.0,40000.0,40500.0,606.060606060606,588.2352941176471,621.2121212121212,597.1479500891265,613.6363636363636
KALLANG/WHAMPOA,1990-04,3 ROOM,16 TO 18,34000.0,34000.0,34000.0,34000.0,34000.0,576.271186440678,576.271186440678,576.271186440678,576.271186440678,576.271186440678
KALLANG/WHAMPOA,1990-04,4 ROOM,01 TO 03,93380.0,75100.0,100000.0,84240.0,96690.0,1052.6315789473683,853.4090909090909,1111.6666666666667,953.0203349282297,1082.1491228070176
KALLANG/WHAMPOA,1990-04,4 ROOM,04 TO 06,90000.0,80000.0,115000.0,85000.0,102500.0,1168.8311688311687,879.1208791208791,1263.7362637362637,1023.976023976024,1216.2837162837163
KALLANG/WHAMPOA,1990-04,4 ROOM,07 TO 09,120000.0,112000.0,128000.0,116000.0,124000.0,1211.674347158218,1204.3010752688172,1219.047619047619,1207.9877112135177,1215.3609831029185
KALLANG/WHAMPOA,1990-04,4 ROOM,10 TO 12,100000.0,100000.0,100000.0,100000.0,100000.0,1063.8297872340424,1063.8297872340424,1063.8297872340424,1063.8297872340424,1063.8297872340424
KALLANG/WHAMPOA,1990-04,5 ROOM,13 TO 15,125100.0,125000.0,183000.0,125050.0,154050.0,1097.3684210526317,1068.3760683760684,1500.0,1082.87224471435,1298.6842105263158
KALLANG/WHAMPOA,1990-04,5 ROOM,16 TO 18,152500.0,147000.0,158000.0,149750.0,155250.0,1315.1616499442584,1256.4102564102564,1373.9130434782608,1285.7859531772574,1344.5373467112597
KALLANG/WHAMPOA,1990-05,2 ROOM,07 TO 09,18450.0,15300.0,21600.0,16875.0,20025.0,369.0,306.0,432.0,337.5,400.5
KALLANG/WHAMPOA,1990-05,3 ROOM,01 TO 03,38000.0,33000.0,45000.0,35500.0,41500.0,584.6153846153846,550.0,762.7118644067797,567.3076923076924,673.6636245110822
KALLANG/WHAMPOA,1990-05,3 ROOM,04 TO 06,45000.0,36000.0,69700.0,42900.0,50000.0,692.3076923076923,553.8461538461538,1040.2985074626865,660.0,702.6666666666666
KALLANG/WHAMPOA,1990-05,3 ROOM,07 TO 09,44600.0,26000.0,73000.0,34000.0,53800.0,686.1538461538462,433.3333333333333,890.2439024390244,576.271186440678,727.027027027027
KALLANG/WHAMPOA,1990-05,3 ROOM,10 TO 12,52000.0,45000.0,76800.0,45000.0,60000.0,762.7118644067797,692.3076923076923,1010.5263157894736,732.3943661971831,882.3529411764706
KALLANG/WHAMPOA,1990-05,3 ROOM,13 TO 15,40000.0,40000.0,45700.0,40000.0,42850.0,677.9661016949152,615.3846153846154,774.5762711864406,646.6753585397653,726.2711864406779
KALLANG/WHAMPOA,1990-05,4 ROOM,01 TO 03,92500.0,75000.0,110000.0,83750.0,101250.0,1016.4835164835165,824.1758241758242,1208.7912087912089,920.3296703296704,1112.6373626373627
