town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG/WHAMPOA,1990-01,5 ROOM,153000.0,125000.0,185000.0,125000.0,180000.0,1294.9640287769785,1068.3760683760684,1542.3728813559321,1096.4912280701753,1401.7094017094016
KALLANG/WHAMPOA,1990-02,5 ROOM,160000.0,105000.0,230000.0,132000.0,178000.0,1355.9322033898304,897.4358974358975,1666.6666666666667,1050.0,1508.4745762711864
KALLANG/WHAMPOA,1990-03,5 ROOM,177000.0,159000.0,185000.0,167250.0,184250.0,1411.6433308769344,1340.5797101449275,1533.3333333333333,1372.1014492753625,1463.8418079096045
KALLANG/WHAMPOA,1990-04,5 ROOM,147000.0,125000.0,183000.0,125100.0,158000.0,1256.4102564102564,1068.3760683760684,1500.0,1097.3684210526317,1373.9130434782608
KALLANG/WHAMPOA,1990-05,5 ROOM,190000.0,150000.0,197000.0,170000.0,193500.0,1610.1694915254238,1181.1023622047244,1713.0434782608695,1395.635926865074,1661.6064848931467
KALLANG/WHAMPOA,1990-06,5 ROOM,125000.0,125000.0,180000.0,125000.0,152500.0,1096.4912280701753,1068.3760683760684,1475.4098360655737,1082.433648223122,1285.9505320678745
KALLANG/WHAMPOA,1990-07,5 ROOM,151000.0,125000.0,217800.0,142875.0,164750.0,1283.6052836052836,1068.3760683760684,1578.2608695652175,1221.1538461538462,1315.5149934810952
KALLANG/WHAMPOA,1990-08,5 ROOM,158000.0,125000.0,206000.0,156000.0,185000.0,1236.2204724409448,1068.3760683760684,1525.9259259259259,1169.1205175394568,1347.670807453416
KALLANG/WHAMPOA,1990-09,5 ROOM,175250.0,140000.0,191000.0,155000.0,190625.0,1473.870056497175,1228.0701754385964,1618.6440677966102,1307.017543859649,1615.4661016949153
KALLANG/WHAMPOA,1990-10,5 ROOM,162500.0,150000.0,220000.0,157500.0,178750.0,1365.4661016949153,1304.3478260869565,1594.2028985507247,1343.036109064112,1429.8007246376812
KALLANG/WHAMPOA,1990-11,5 ROOM,142500.0,125000.0,196800.0,140000.0,183500.0,1228.0701754385964,1068.3760683760684,1667.7966101694915,1203.3898305084747,1392.086330935252
KALLANG/WHAMPOA,1990-12,5 ROOM,184800.0,165000.0,185000.0,174900.0,184900.0,1379.1044776119404,1222.2222222222222,1516.3934426229507,1300.6633499170812,1447.7489601174457
KALLANG/WHAMPOA,1991-01,5 ROOM,125000.0,100000.0,222000.0,125000.0,164250.0,1096.4912280701753,854.7008547008547,1610.1694915254238,1068.3760683760684,1390.4414929594786
KALLANG/WHAMPOA,1991-02,5 ROOM,196000.0,125000.0,225000.0,158000.0,213000.0,1410.071942446043,1096.4912280701753,1679.1044776119404,1350.4273504273503,1638.4615384615386
KALLANG/WHAMPOA,1991-03,5 ROOM,128000.0,125000.0,185000.0,125600.0,185000.0,1094.017094017094,1068.3760683760684,1370.3703703703704,1073.5042735042734,1330.9352517985612
KALLANG/WHAMPOA,1991-04,5 ROOM,125000.0,125000.0,180000.0,125000.0,152500.0,1068.3760683760684,1068.3760683760684,1294.9640287769785,1068.3760683760684,1181.6700485765234
KALLANG/WHAMPOA,1991-05,5 ROOM,170000.0,125300.0,200000.0,156500.0,184900.0,1321.4285714285713,1070.940170940171,1694.915254237288,1304.1666666666667,1377.8985507246377
KALLANG/WHAMPOA,1991-06,5 ROOM,160000.0,125000.0,192000.0,140000.0,184000.0,1367.5213675213674,1007.1942446043165,1627.1186440677966,1068.3760683760684,1533.3333333333333
KALLANG/WHAMPOA,1991-07,5 ROOM,156000.0,115000.0,180000.0,128000.0,158200.0,1271.1864406779662,966.3865546218487,1525.4237288135594,1066.6666666666667,1340.677966101695
KALLANG/WHAMPOA,1991-08,5 ROOM,165000.0,125300.0,205000.0,149000.0,189000.0,1316.6666666666667,1070.940170940171,1737.2881355932204,1228.0615906570106,1587.7118644067796
KALLANG/WHAMPOA,1991-09,5 ROOM,156000.0,125000.0,215000.0,153395.0,170000.0,1298.4276114047107,1068.3760683760684,1546.7625899280577,1250.1242216291778,1337.0602478279447
KALLANG/WHAMPOA,1991-10,5 ROOM,170000.0,125000.0,243000.0,125000.0,187000.0,1416.6666666666667,1041.6666666666667,1833.3333333333333,1096.4912280701753,1504.2735042735044
KALLANG/WHAMPOA,1991-11,5 ROOM,182500.0,148000.0,201000.0,167000.0,188750.0,1334.9591513230093,1259.2592592592594,1739.1304347826087,1297.4252177205603,1591.1367138254657
KALLANG/WHAMPOA,1991-12,5 ROOM,172000.0,112000.0,232000.0,170000.0,185000.0,1470.08547008547,982.4561403508771,1669.0647482014388,1287.878787878788,1567.7966101694915
KALLANG/WHAMPOA,1992-01,5 ROOM,180000.0,100000.0,190000.0,180000.0,185000.0,1516.3934426229507,854.7008547008547,1525.4237288135594,1407.4074074074074,1525.4237288135594
KALLANG/WHAMPOA,1992-02,5 ROOM,158000.0,157500.0,160000.0,157750.0,159000.0,1350.4273504273503,1346.1538461538462,1355.9322033898304,1348.2905982905982,1353.1797769085904
KALLANG/WHAMPOA,1992-03,5 ROOM,160000.0,100000.0,196000.0,125790.0,184750.0,1252.966857283404,840.3361344537815,1661.0169491525423,1096.3832658569502,1433.953341740227
KALLANG/WHAMPOA,1992-04,5 ROOM,220000.0,160000.0,243000.0,166500.0,232000.0,1641.7910447761194,1355.9322033898304,1908.3333333333333,1411.0169491525423,1745.3237410071943
KALLANG/WHAMPOA,1992-05,5 ROOM,150000.0,90000.0,226000.0,125000.0,180250.0,1159.756405401994,750.0,1915.2542372881355,1079.594017094017,1577.1167048054922
KALLANG/WHAMPOA,1992-06,5 ROOM,214000.0,160000.0,260000.0,187000.0,237000.0,1813.5593220338983,1221.3740458015268,1818.1818181818182,1517.4666839177125,1815.8705701078584
KALLANG/WHAMPOA,1992-07,5 ROOM,180000.0,135000.0,207000.0,180000.0,200000.0,1525.4237288135594,1144.0677966101696,1725.0,1475.4098360655737,1694.915254237288
KALLANG/WHAMPOA,1992-08,5 ROOM,200000.0,125000.0,273000.0,175000.0,230000.0,1652.892561983471,1041.6666666666667,1992.7007299270074,1475.4098360655737,1818.1818181818182
KALLANG/WHAMPOA,1992-09,5 ROOM,162500.0,125000.0,223000.0,136250.0,194500.0,1253.7029200169277,1068.3760683760684,1858.3333333333333,1149.4469582704878,1462.7847721822543
KALLANG/WHAMPOA,1992-10,5 ROOM,205000.0,130000.0,215000.0,189000.0,211500.0,1721.311475409836,1140.3508771929824,1837.6068376068376,1601.6949152542375,1748.8093570528085
KALLANG/WHAMPOA,1992-11,5 ROOM,191500.0,173000.0,278000.0,180000.0,232500.0,1544.7631464580618,1341.0852713178294,2076.923076923077,1468.8762176288903,1793.8845822566752
KALLANG/WHAMPOA,1992-12,5 ROOM,180000.0,150000.0,234000.0,175000.0,218000.0,1475.4098360655737,1240.3100775193798,1983.050847457627,1332.857142857143,1760.0
KALLANG/WHAMPOA,1993-01,5 ROOM,195000.0,165000.0,230000.0,190000.0,214000.0,1666.6666666666667,1352.4590163934427,1783.3333333333333,1407.4074074074074,1742.4242424242425
KALLANG/WHAMPOA,1993-02,5 ROOM,227000.0,150000.0,230000.0,188500.0,228500.0,1891.6666666666667,1260.5042016806722,1949.1525423728813,1576.0854341736695,1920.409604519774
KALLANG/WHAMPOA,1993-03,5 ROOM,211000.0,180000.0,233000.0,195500.0,222000.0,1788.135593220339,1525.4237288135594,1974.5762711864406,1656.7796610169491,1881.3559322033898
KALLANG/WHAMPOA,1993-04,5 ROOM,189000.0,169000.0,235000.0,177250.0,207250.0,1446.1942257217847,1215.8273381294964,2008.5470085470085,1303.9568345323742,1671.4280907194293
KALLANG/WHAMPOA,1993-05,5 ROOM,200000.0,150000.0,280000.0,187500.0,237500.0,1683.7606837606838,1181.1023622047244,2014.388489208633,1498.076923076923,1966.6574048346763
KALLANG/WHAMPOA,1993-06,5 ROOM,245000.0,165000.0,317000.0,185000.0,260000.0,1870.2290076335878,1338.5826771653544,2280.5755395683454,1581.1965811965813,2047.244094488189
KALLANG/WHAMPOA,1993-07,5 ROOM,239000.0,154000.0,295000.0,207500.0,268000.0,1975.206611570248,1212.5984251968505,2149.122807017544,1750.534188034188,2085.7056329497273
KALLANG/WHAMPOA,1993-08,5 ROOM,240000.0,192000.0,332000.0,216000.0,250000.0,1978.4172661870505,1641.025641025641,2371.4285714285716,1800.0,2118.64406779661
KALLANG/WHAMPOA,1993-09,5 ROOM,270000.0,130000.0,320000.0,231500.0,288500.0,2247.9338842975208,1111.111111111111,2540.9836065573772,1978.6324786324788,2286.9249394673125
KALLANG/WHAMPOA,1993-10,5 ROOM,313000.0,255000.0,345000.0,285000.0,340000.0,2516.9491525423728,2166.6666666666665,2615.3846153846152,2371.212121212121,2555.5555555555557
KALLANG/WHAMPOA,1993-11,5 ROOM,293000.0,250000.0,375000.0,266500.0,307875.0,2444.663167104112,2136.7521367521367,2717.391304347826,2236.111111111111,2518.000133457894
KALLANG/WHAMPOA,1993-12,5 ROOM,314000.0,260000.0,365000.0,292500.0,338000.0,2544.9735449735454,2222.222222222222,3173.913043478261,2358.9575381679388,2677.9661016949153
KALLANG/WHAMPOA,1994-01,5 ROOM,309000.0,220000.0,350000.0,259000.0,322500.0,2370.3703703703704,1880.3418803418804,3043.478260869565,2192.1163413700724,2559.322033898305
KALLANG/WHAMPOA,1994-02,5 ROOM,304944.0,240000.0,350000.0,284250.0,334375.0,2471.074380165289,2051.2820512820513,2916.6666666666665,2149.5726495726494,2833.686440677966
