town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG/WHAMPOA,1990-01,high,54350.0,36000.0,185000.0,45125.0,137812.5,810.6577246283128,512.8205128205128,1542.3728813559321,692.3076923076923,1217.0029424127783
KALLANG/WHAMPOA,1990-02,high,115500.0,35000.0,185000.0,62850.0,151500.0,943.2578209277239,538.4615384615385,1541.6666666666667,855.2231237322516,1311.3801452784505
KALLANG/WHAMPOA,1990-03,high,55000.0,40000.0,184000.0,45850.0,83250.0,774.5762711864406,606.060606060606,1571.4285714285713,700.2226720647773,993.4588844163312
KALLANG/WHAMPOA,1990-04,high,46000.0,20000.0,183000.0,40500.0,125050.0,771.1864406779661,357.14285714285717,1500.0,613.6363636363636,1082.87224471435
KALLANG/WHAMPOA,1990-05,high,67500.0,40000.0,197000.0,45175.0,117000.0,853.2643826761474,615.3846153846154,1713.0434782608695,739.9737407495822,1175.7085020242914
KALLANG/WHAMPOA,1990-06,high,83250.0,37000.0,180000.0,48725.0,99500.0,876.4539714190762,569.2307692307693,1475.4098360655737,731.4488424197162,1083.3574320416424
KALLANG/WHAMPOA,1990-07,high,50000.0,16000.0,217800.0,45000.0,105000.0,769.2307692307693,380.95238095238096,1578.2608695652175,683.6800205444273,1184.9816849816848
KALLANG/WHAMPOA,1990-08,high,49000.0,26600.0,233000.0,42750.0,127750.0,816.6666666666666,443.3333333333333,1553.3333333333333,702.3076923076924,1084.6153846153845
KALLANG/WHAMPOA,1990-09,high,78450.0,40000.0,191000.0,65400.0,138750.0,947.9489164086688,615.3846153846154,1618.6440677966102,820.0040453074433,1271.3032581453635
KALLANG/WHAMPOA,1990-10,high,77500.0,40000.0,150000.0,53075.0,94100.0,906.1986863711002,588.2352941176471,1304.3478260869565,807.0413758723829,1082.1699134199134
KALLANG/WHAMPOA,1990-11,high,63500.0,26400.0,238500.0,48875.0,142125.0,872.396260455962,471.42857142857144,1667.7966101694915,734.7014925373135,1212.7378828427
KALLANG/WHAMPOA,1990-12,high,44500.0,38000.0,185000.0,40125.0,58250.0,676.9230769230769,540.5405405405405,1516.3934426229507,614.0734265734266,852.1844660194174
KALLANG/WHAMPOA,1991-01,high,61000.0,28000.0,222000.0,44375.0,106250.0,863.3021390374331,444.44444444444446,1610.1694915254238,688.1578947368421,1068.2723425441873
KALLANG/WHAMPOA,1991-02,high,75100.0,33000.0,225000.0,49000.0,88250.0,897.0588235294117,507.6923076923077,1679.1044776119404,798.2916330373957,985.7574189095928
KALLANG/WHAMPOA,1991-03,high,75000.0,43000.0,185000.0,46000.0,93500.0,824.1758241758242,597.4025974025974,1370.3703703703704,728.8135593220339,1050.561797752809
KALLANG/WHAMPOA,1991-04,high,46000.0,17500.0,63000.0,45500.0,55250.0,707.6923076923077,350.0,1050.0,694.6969696969697,846.8057366362451
KALLANG/WHAMPOA,1991-05,high,74100.0,37000.0,200000.0,45500.0,125300.0,902.439024390244,569.2307692307693,1694.915254237288,694.9152542372881,1189.3203883495146
KALLANG/WHAMPOA,1991-06,high,60000.0,22500.0,192000.0,45500.0,107000.0,882.3529411764706,450.0,1627.1186440677966,700.0,1122.670807453416
