town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG/WHAMPOA,1990-01,very low,80000.0,26000.0,125000.0,54250.0,97500.0,893.5035552682612,464.2857142857143,1098.901098901099,725.3621378621378,1048.5347985347985
KALLANG/WHAMPOA,1990-02,very low,104000.0,35000.0,115000.0,69500.0,109500.0,1142.857142857143,555.5555555555555,1223.404255319149,849.2063492063492,1183.1306990881458
KALLANG/WHAMPOA,1990-03,very low,45000.0,21000.0,128000.0,44000.0,63000.0,675.3246753246754,408.3333333333333,1174.3119266055046,582.5242718446602,816.1764705882352
KALLANG/WHAMPOA,1990-04,very low,93380.0,75100.0,100000.0,84240.0,96690.0,1052.6315789473683,853.4090909090909,1111.6666666666667,953.0203349282297,1082.1491228070176
KALLANG/WHAMPOA,1990-05,very low,45000.0,33000.0,110000.0,38000.0,75000.0,762.7118644067797,550.0,1208.7912087912089,584.6153846153846,824.1758241758242
KALLANG/WHAMPOA,1990-06,very low,60600.0,26500.0,125000.0,51375.0,82800.0,897.7611940298507,420.63492063492066,1344.0860215053763,758.8070676031607,943.0851063829788
KALLANG/WHAMPOA,1990-07,very low,44000.0,24500.0,73000.0,35500.0,53600.0,666.6666666666666,408.3333333333333,882.3529411764706,564.1025641025641,839.7590361445783
KALLANG/WHAMPOA,1990-08,very low,39000.0,19000.0,75000.0,24350.0,54750.0,534.965034965035,383.3333333333333,824.1758241758242,429.0816326530612,647.4344091014627
KALLANG/WHAMPOA,1990-09,very low,40250.0,23000.0,235000.0,32250.0,82800.0,614.5687645687645,428.57142857142856,1535.9477124183006,512.3367198838897,932.3638613861386
KALLANG/WHAMPOA,1990-10,very low,61000.0,15500.0,220000.0,34000.0,103000.0,910.4477611940298,316.3265306122449,1594.2028985507247,396.8253968253968,1030.0
KALLANG/WHAMPOA,1990-11,very low,45500.0,21500.0,147000.0,44000.0,88000.0,692.3076923076923,252.38095238095238,1413.4615384615386,516.9230769230769,967.032967032967
KALLANG/WHAMPOA,1990-12,very low,53000.0,19000.0,127000.0,35500.0,77500.0,666.6666666666666,306.4516129032258,1233.009708737864,572.0338983050847,828.8497217068646
KALLANG/WHAMPOA,1991-01,very low,45500.0,24000.0,110000.0,43500.0,75000.0,700.0,428.57142857142856,1098.901098901099,669.1176470588235,914.6341463414634
