town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
LIM CHU KANG,1990-06,4 ROOM,32500.0,32500.0,32500.0,32500.0,32500.0,391.56626506024094,391.56626506024094,391.56626506024094,391.56626506024094,391.56626506024094
LIM CHU KANG,1990-10,4 ROOM,45700.0,45700.0,45700.0,45700.0,45700.0,550.6024096385543,550.6024096385543,550.6024096385543,550.6024096385543,550.6024096385543
LIM CHU KANG,1991-03,4 ROOM,45500.0,45500.0,45500.0,45500.0,45500.0,548.1927710843373,548.1927710843373,548.1927710843373,548.1927710843373,548.1927710843373
LIM CHU KANG,1991-04,4 ROOM,32500.0,32500.0,32500.0,32500.0,32500.0,378.11147186147184,369.3181818181818,386.9047619047619,373.71482683982686,382.5081168831169
LIM CHU KANG,1991-05,4 ROOM,37000.0,37000.0,37000.0,37000.0,37000.0,420.45454545454544,420.45454545454544,420.45454545454544,420.45454545454544,420.45454545454544
LIM CHU KANG,1991-07,4 ROOM,45700.0,45700.0,45700.0,45700.0,45700.0,550.6024096385543,550.6024096385543,550.6024096385543,550.6024096385543,550.6024096385543
LIM CHU KANG,1991-10,4 ROOM,45000.0,45000.0,45000.0,45000.0,45000.0,542.1686746987951,542.1686746987951,542.1686746987951,542.1686746987951,542.1686746987951
LIM CHU KANG,1992-03,4 ROOM,35000.0,35000.0,35000.0,35000.0,35000.0,421.68674698795184,421.68674698795184,421.68674698795184,421.68674698795184,421.68674698795184
LIM CHU KANG,1993-08,4 ROOM,48500.0,48500.0,48500.0,48500.0,48500.0,584.3373493975904,584.3373493975904,584.3373493975904,584.3373493975904,584.3373493975904
LIM CHU KANG,1993-10,4 ROOM,65000.0,65000.0,65000.0,65000.0,65000.0,783.1325301204819,783.1325301204819,783.1325301204819,783.1325301204819,783.1325301204819
LIM CHU KANG,1995-03,4 ROOM,95000.0,95000.0,95000.0,95000.0,95000.0,1144.578313253012,1144.578313253012,1144.578313253012,1144.578313253012,1144.578313253012
LIM CHU KANG,1995-07,4 ROOM,100000.0,100000.0,100000.0,100000.0,100000.0,1204.8192771084337,1204.8192771084337,1204.8192771084337,1204.8192771084337,1204.8192771084337
LIM CHU KANG,1996-07,4 ROOM,120000.0,120000.0,120000.0,120000.0,120000.0,1445.7831325301204,1445.7831325301204,1445.7831325301204,1445.7831325301204,1445.7831325301204
LIM CHU KANG,1996-10,4 ROOM,147000.0,147000.0,147000.0,147000.0,147000.0,1771.0843373493976,1771.0843373493976,1771.0843373493976,1771.0843373493976,1771.0843373493976
LIM CHU KANG,1997-04,4 ROOM,156000.0,156000.0,156000.0,156000.0,156000.0,1879.5180722891566,1879.5180722891566,1879.5180722891566,1879.5180722891566,1879.5180722891566
LIM CHU KANG,1997-12,4 ROOM,144000.0,144000.0,144000.0,144000.0,144000.0,1734.9397590361446,1734.9397590361446,1734.9397590361446,1734.9397590361446,1734.9397590361446
LIM CHU KANG,1998-11,4 ROOM,100000.0,100000.0,100000.0,100000.0,100000.0,1204.8192771084337,1204.8192771084337,1204.8192771084337,1204.8192771084337,1204.8192771084337
