town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
LIM CHU KANG,1990-03,20400.0,20400.0,20400.0,20400.0,20400.0,345.76271186440675,345.76271186440675,345.76271186440675,345.76271186440675,345.76271186440675
LIM CHU KANG,1990-06,32500.0,32500.0,32500.0,32500.0,32500.0,391.56626506024094,391.56626506024094,391.56626506024094,391.56626506024094,391.56626506024094
LIM CHU KANG,1990-10,45700.0,45700.0,45700.0,45700.0,45700.0,550.6024096385543,550.6024096385543,550.6024096385543,550.6024096385543,550.6024096385543
LIM CHU KANG,1991-02,33200.0,33200.0,33200.0,33200.0,33200.0,474.2857142857143,474.2857142857143,474.2857142857143,474.2857142857143,474.2857142857143
LIM CHU KANG,1991-03,45500.0,45500.0,45500.0,45500.0,45500.0,548.1927710843373,548.1927710843373,548.1927710843373,548.1927710843373,548.1927710843373
LIM CHU KANG,1991-04,26450.0,20400.0,32500.0,20400.0,32500.0,357.5404468412943,345.76271186440675,386.9047619047619,345.76271186440675,373.71482683982686
LIM CHU KANG,1991-05,32850.0,28700.0,37000.0,30775.0,34925.0,453.4476117103236,420.45454545454544,486.4406779661017,436.9510785824345,469.94414483821265
LIM CHU KANG,1991-07,37200.0,28700.0,45700.0,32950.0,41450.0,518.521543802328,486.4406779661017,550.6024096385543,502.48111088421484,534.5619767204412
LIM CHU KANG,1991-08,29000.0,29000.0,29000.0,29000.0,29000.0,414.2857142857143,414.2857142857143,414.2857142857143,414.2857142857143,414.2857142857143
LIM CHU KANG,1991-10,45000.0,45000.0,45000.0,45000.0,45000.0,542.1686746987951,542.1686746987951,542.1686746987951,542.1686746987951,542.1686746987951
LIM CHU KANG,1991-11,28700.0,28700.0,28700.0,28700.0,28700.0,486.4406779661017,486.4406779661017,486.4406779661017,486.4406779661017,486.4406779661017
LIM CHU KANG,1992-01,22000.0,22000.0,22000.0,22000.0,22000.0,372.8813559322034,372.8813559322034,372.8813559322034,372.8813559322034,372.8813559322034
LIM CHU KANG,1992-02,31900.0,31900.0,31900.0,31900.0,31900.0,540.6779661016949,540.6779661016949,540.6779661016949,540.6779661016949,540.6779661016949
LIM CHU KANG,1992-03,28500.0,22000.0,35000.0,25250.0,31750.0,397.28405146007765,372.8813559322034,421.68674698795184,385.0827036961405,409.4853992240147
LIM CHU KANG,1992-12,23000.0,23000.0,23000.0,23000.0,23000.0,389.8305084745763,389.8305084745763,389.8305084745763,389.8305084745763,389.8305084745763
LIM CHU KANG,1993-08,48500.0,48500.0,48500.0,48500.0,48500.0,584.3373493975904,584.3373493975904,584.3373493975904,584.3373493975904,584.3373493975904
LIM CHU KANG,1993-10,65000.0,65000.0,65000.0,65000.0,65000.0,783.1325301204819,783.1325301204819,783.1325301204819,783.1325301204819,783.1325301204819
LIM CHU KANG,1994-03,24000.0,24000.0,24000.0,24000.0,24000.0,342.85714285714283,342.85714285714283,342.85714285714283,342.85714285714283,342.85714285714283
LIM CHU KANG,1994-04,69000.0,69000.0,69000.0,69000.0,69000.0,985.7142857142857,985.7142857142857,985.7142857142857,985.7142857142857,985.7142857142857
LIM CHU KANG,1994-05,55000.0,55000.0,55000.0,55000.0,55000.0,785.7142857142857,785.7142857142857,785.7142857142857,785.7142857142857,785.7142857142857
LIM CHU KANG,1994-07,52500.0,50000.0,55000.0,51250.0,53750.0,840.3954802259886,833.3333333333334,847.457627118644,836.8644067796611,843.9265536723163
LIM CHU KANG,1994-08,55000.0,55000.0,55000.0,55000.0,55000.0,785.7142857142857,785.7142857142857,785.7142857142857,785.7142857142857,785.7142857142857
LIM CHU KANG,1994-09,58000.0,58000.0,58000.0,58000.0,58000.0,828.5714285714286,828.5714285714286,828.5714285714286,828.5714285714286,828.5714285714286
LIM CHU KANG,1994-11,63500.0,63500.0,63500.0,63500.0,63500.0,1076.2711864406779,1076.2711864406779,1076.2711864406779,1076.2711864406779,1076.2711864406779
LIM CHU KANG,1995-01,52000.0,52000.0,52000.0,52000.0,52000.0,881.3559322033898,881.3559322033898,881.3559322033898,881.3559322033898,881.3559322033898
LIM CHU KANG,1995-03,95000.0,95000.0,95000.0,95000.0,95000.0,1144.578313253012,1144.578313253012,1144.578313253012,1144.578313253012,1144.578313253012
LIM CHU KANG,1995-04,60000.0,60000.0,60000.0,60000.0,60000.0,1016.9491525423729,1016.9491525423729,1016.9491525423729,1016.9491525423729,1016.9491525423729
LIM CHU KANG,1995-06,55000.0,55000.0,55000.0,55000.0,55000.0,932.2033898305085,932.2033898305085,932.2033898305085,932.2033898305085,932.2033898305085
LIM CHU KANG,1995-07,100000.0,100000.0,100000.0,100000.0,100000.0,1204.8192771084337,1204.8192771084337,1204.8192771084337,1204.8192771084337,1204.8192771084337
LIM CHU KANG,1995-10,66000.0,66000.0,66000.0,66000.0,66000.0,1118.6440677966102,1118.6440677966102,1118.6440677966102,1118.6440677966102,1118.6440677966102
