town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
LIM CHU KANG,1990-03,very low,20400.0,20400.0,20400.0,20400.0,20400.0,345.76271186440675,345.76271186440675,345.76271186440675,345.76271186440675,345.76271186440675
LIM CHU KANG,1990-10,very low,45700.0,45700.0,45700.0,45700.0,45700.0,550.6024096385543,550.6024096385543,550.6024096385543,550.6024096385543,550.6024096385543
LIM CHU KANG,1991-03,very low,45500.0,45500.0,45500.0,45500.0,45500.0,548.1927710843373,548.1927710843373,548.1927710843373,548.1927710843373,548.1927710843373
LIM CHU KANG,1991-04,very low,32500.0,32500.0,32500.0,32500.0,32500.0,369.3181818181818,369.3181818181818,369.3181818181818,369.3181818181818,369.3181818181818
LIM CHU KANG,1991-05,very low,37000.0,37000.0,37000.0,37000.0,37000.0,420.45454545454544,420.45454545454544,420.45454545454544,420.45454545454544,420.45454545454544
LIM CHU KANG,1991-07,very low,37200.0,28700.0,45700.0,32950.0,41450.0,518.521543802328,486.4406779661017,550.6024096385543,502.48111088421484,534.5619767204412
LIM CHU KANG,1991-10,very low,45000.0,45000.0,45000.0,45000.0,45000.0,542.1686746987951,542.1686746987951,542.1686746987951,542.1686746987951,542.1686746987951
LIM CHU KANG,1992-01,very low,22000.0,22000.0,22000.0,22000.0,22000.0,372.8813559322034,372.8813559322034,372.8813559322034,372.8813559322034,372.8813559322034
LIM CHU KANG,1992-03,very low,35000.0,35000.0,35000.0,35000.0,35000.0,421.68674698795184,421.68674698795184,421.68674698795184,421.68674698795184,421.68674698795184
LIM CHU KANG,1992-12,very low,23000.0,23000.0,23000.0,23000.0,23000.0,389.8305084745763,389.8305084745763,389.8305084745763,389.8305084745763,389.8305084745763
LIM CHU KANG,1993-08,very low,48500.0,48500.0,48500.0,48500.0,48500.0,584.3373493975904,584.3373493975904,584.3373493975904,584.3373493975904,584.3373493975904
LIM CHU KANG,1994-03,very low,24000.0,24000.0,24000.0,24000.0,24000.0,342.85714285714283,342.85714285714283,342.85714285714283,342.85714285714283,342.85714285714283
LIM CHU KANG,1994-07,very low,55000.0,55000.0,55000.0,55000.0,55000.0,833.3333333333334,833.3333333333334,833.3333333333334,833.3333333333334,833.3333333333334
LIM CHU KANG,1994-09,very low,58000.0,58000.0,58000.0,58000.0,58000.0,828.5714285714286,828.5714285714286,828.5714285714286,828.5714285714286,828.5714285714286
LIM CHU KANG,1994-11,very low,63500.0,63500.0,63500.0,63500.0,63500.0,1076.2711864406779,1076.2711864406779,1076.2711864406779,1076.2711864406779,1076.2711864406779
LIM CHU KANG,1995-03,very low,95000.0,95000.0,95000.0,95000.0,95000.0,1144.578313253012,1144.578313253012,1144.578313253012,1144.578313253012,1144.578313253012
LIM CHU KANG,1995-04,very low,60000.0,60000.0,60000.0,60000.0,60000.0,1016.9491525423729,1016.9491525423729,1016.9491525423729,1016.9491525423729,1016.9491525423729
LIM CHU KANG,1996-02,very low,72000.0,72000.0,72000.0,72000.0,72000.0,1090.909090909091,1090.909090909091,1090.909090909091,1090.909090909091,1090.909090909091
LIM CHU KANG,1996-06,very low,86000.0,86000.0,86000.0,86000.0,86000.0,1457.6271186440679,1457.6271186440679,1457.6271186440679,1457.6271186440679,1457.6271186440679
LIM CHU KANG,1996-07,very low,120000.0,120000.0,120000.0,120000.0,120000.0,1445.7831325301204,1445.7831325301204,1445.7831325301204,1445.7831325301204,1445.7831325301204
LIM CHU KANG,1996-10,very low,80000.0,80000.0,80000.0,80000.0,80000.0,1355.9322033898304,1355.9322033898304,1355.9322033898304,1355.9322033898304,1355.9322033898304
LIM CHU KANG,1997-01,very low,88000.0,85000.0,91000.0,86500.0,89500.0,1491.5254237288136,1440.677966101695,1542.3728813559321,1466.1016949152543,1516.9491525423728
LIM CHU KANG,1997-04,very low,78500.0,78500.0,78500.0,78500.0,78500.0,1330.5084745762713,1330.5084745762713,1330.5084745762713,1330.5084745762713,1330.5084745762713
LIM CHU KANG,1997-09,very low,83500.0,83500.0,83500.0,83500.0,83500.0,1415.2542372881355,1415.2542372881355,1415.2542372881355,1415.2542372881355,1415.2542372881355
LIM CHU KANG,1997-12,very low,144000.0,144000.0,144000.0,144000.0,144000.0,1734.9397590361446,1734.9397590361446,1734.9397590361446,1734.9397590361446,1734.9397590361446
LIM CHU KANG,1998-04,very low,94500.0,85000.0,104000.0,89750.0,99250.0,1395.0216450216449,1214.2857142857142,1575.7575757575758,1304.6536796536795,1485.3896103896104
LIM CHU KANG,1998-05,very low,77000.0,77000.0,77000.0,77000.0,77000.0,1305.084745762712,1305.084745762712,1305.084745762712,1305.084745762712,1305.084745762712
LIM CHU KANG,1998-09,very low,72000.0,66000.0,78000.0,69000.0,75000.0,1150.231124807396,1118.6440677966102,1181.8181818181818,1134.4375963020032,1166.0246533127888
LIM CHU KANG,1998-10,very low,88000.0,88000.0,88000.0,88000.0,88000.0,1257.142857142857,1257.142857142857,1257.142857142857,1257.142857142857,1257.142857142857
LIM CHU KANG,1998-11,very low,100000.0,100000.0,100000.0,100000.0,100000.0,1204.8192771084337,1204.8192771084337,1204.8192771084337,1204.8192771084337,1204.8192771084337
LIM CHU KANG,1998-12,very low,67000.0,67000.0,67000.0,67000.0,67000.0,1135.593220338983,1135.593220338983,1135.593220338983,1135.593220338983,1135.593220338983
