town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
MARINE PARADE,1990-01,3 ROOM,01 TO 03,44500.0,44000.0,45000.0,44250.0,44750.0,634.5141700404859,592.1052631578947,676.9230769230769,613.3097165991902,655.7186234817814
MARINE PARADE,1990-01,3 ROOM,04 TO 06,41500.0,37000.0,55000.0,39250.0,46000.0,669.7522816166884,569.2307692307693,723.6842105263158,638.4615384615385,689.3956289027653
MARINE PARADE,1990-01,3 ROOM,07 TO 09,40100.0,40000.0,43500.0,40000.0,41025.0,616.9230769230769,615.3846153846154,669.2307692307693,615.3846153846154,631.1538461538462
MARINE PARADE,1990-01,3 ROOM,10 TO 12,49000.0,38000.0,60000.0,43500.0,54500.0,720.8791208791208,584.6153846153846,857.1428571428571,652.7472527472528,789.010989010989
MARINE PARADE,1990-01,3 ROOM,13 TO 15,58000.0,58000.0,58000.0,58000.0,58000.0,763.1578947368421,763.1578947368421,763.1578947368421,763.1578947368421,763.1578947368421
MARINE PARADE,1990-01,3 ROOM,16 TO 18,42000.0,42000.0,42000.0,42000.0,42000.0,646.1538461538462,646.1538461538462,646.1538461538462,646.1538461538462,646.1538461538462
MARINE PARADE,1990-01,4 ROOM,01 TO 03,66000.0,66000.0,66000.0,66000.0,66000.0,750.0,750.0,750.0,750.0,750.0
MARINE PARADE,1990-01,4 ROOM,04 TO 06,75250.0,65500.0,85000.0,70375.0,80125.0,860.6648380355277,744.3181818181819,977.0114942528736,802.4915099268549,918.8381661442006
MARINE PARADE,1990-01,5 ROOM,01 TO 03,147500.0,145000.0,150000.0,146250.0,148750.0,1170.6349206349205,1150.7936507936508,1190.4761904761904,1160.7142857142858,1180.5555555555554
MARINE PARADE,1990-01,5 ROOM,04 TO 06,143000.0,110000.0,145000.0,126500.0,144000.0,1188.5245901639344,916.6666666666666,1222.2222222222222,1052.5956284153006,1205.3734061930782
MARINE PARADE,1990-01,5 ROOM,10 TO 12,158000.0,158000.0,158000.0,158000.0,158000.0,1316.6666666666667,1316.6666666666667,1316.6666666666667,1316.6666666666667,1316.6666666666667
MARINE PARADE,1990-01,5 ROOM,19 TO 21,155000.0,155000.0,155000.0,155000.0,155000.0,1291.6666666666667,1291.6666666666667,1291.6666666666667,1291.6666666666667,1291.6666666666667
MARINE PARADE,1990-01,5 ROOM,22 TO 24,150000.0,135000.0,165000.0,142500.0,157500.0,1250.0,1125.0,1375.0,1187.5,1312.5
MARINE PARADE,1990-01,5 ROOM,25 TO 27,156000.0,156000.0,156000.0,156000.0,156000.0,1300.0,1300.0,1300.0,1300.0,1300.0
MARINE PARADE,1990-02,3 ROOM,01 TO 03,40000.0,39000.0,40200.0,39500.0,40100.0,615.3846153846154,600.0,618.4615384615385,607.6923076923076,616.9230769230769
MARINE PARADE,1990-02,3 ROOM,04 TO 06,40000.0,40000.0,40000.0,40000.0,40000.0,677.9661016949152,677.9661016949152,677.9661016949152,677.9661016949152,677.9661016949152
MARINE PARADE,1990-02,3 ROOM,07 TO 09,55000.0,55000.0,55000.0,55000.0,55000.0,723.6842105263158,723.6842105263158,723.6842105263158,723.6842105263158,723.6842105263158
MARINE PARADE,1990-02,3 ROOM,10 TO 12,56995.0,50000.0,63990.0,53497.5,60492.5,786.0187969924812,657.8947368421053,914.1428571428571,721.9567669172933,850.0808270676691
MARINE PARADE,1990-02,3 ROOM,13 TO 15,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
MARINE PARADE,1990-02,3 ROOM,16 TO 18,47000.0,44000.0,50000.0,45500.0,48500.0,667.408906882591,657.8947368421053,676.9230769230769,662.6518218623482,672.165991902834
MARINE PARADE,1990-02,4 ROOM,04 TO 06,74700.0,64400.0,85000.0,69550.0,79850.0,858.6206896551724,740.2298850574713,977.0114942528736,799.4252873563219,917.816091954023
MARINE PARADE,1990-02,4 ROOM,07 TO 09,100000.0,100000.0,100000.0,100000.0,100000.0,1149.4252873563219,1149.4252873563219,1149.4252873563219,1149.4252873563219,1149.4252873563219
MARINE PARADE,1990-02,4 ROOM,10 TO 12,87000.0,87000.0,87000.0,87000.0,87000.0,988.6363636363636,988.6363636363636,988.6363636363636,988.6363636363636,988.6363636363636
MARINE PARADE,1990-02,4 ROOM,13 TO 15,70000.0,70000.0,70000.0,70000.0,70000.0,795.4545454545455,795.4545454545455,795.4545454545455,795.4545454545455,795.4545454545455
MARINE PARADE,1990-02,5 ROOM,01 TO 03,177000.0,177000.0,177000.0,177000.0,177000.0,1475.0,1475.0,1475.0,1475.0,1475.0
MARINE PARADE,1990-02,5 ROOM,10 TO 12,125000.0,125000.0,125000.0,125000.0,125000.0,1041.6666666666667,1041.6666666666667,1041.6666666666667,1041.6666666666667,1041.6666666666667
MARINE PARADE,1990-02,5 ROOM,19 TO 21,158500.0,145000.0,172000.0,151750.0,165250.0,1310.9289617486338,1188.5245901639344,1433.3333333333333,1249.7267759562842,1372.1311475409834
MARINE PARADE,1990-03,3 ROOM,01 TO 03,39600.0,39000.0,40200.0,39300.0,39900.0,565.8097165991903,513.1578947368421,618.4615384615385,539.4838056680162,592.1356275303643
MARINE PARADE,1990-03,3 ROOM,04 TO 06,38000.0,38000.0,38000.0,38000.0,38000.0,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846
MARINE PARADE,1990-03,3 ROOM,07 TO 09,39000.0,29000.0,40000.0,34000.0,39500.0,600.0,491.52542372881356,615.3846153846154,545.7627118644068,607.6923076923076
MARINE PARADE,1990-03,3 ROOM,10 TO 12,40000.0,32000.0,55000.0,40000.0,46500.0,615.3846153846154,492.3076923076923,723.6842105263158,615.3846153846154,664.2857142857143
MARINE PARADE,1990-03,3 ROOM,13 TO 15,35000.0,35000.0,35000.0,35000.0,35000.0,538.4615384615385,538.4615384615385,538.4615384615385,538.4615384615385,538.4615384615385
MARINE PARADE,1990-03,3 ROOM,16 TO 18,54000.0,54000.0,54000.0,54000.0,54000.0,710.5263157894736,710.5263157894736,710.5263157894736,710.5263157894736,710.5263157894736
MARINE PARADE,1990-03,4 ROOM,01 TO 03,85000.0,75000.0,95000.0,80000.0,90000.0,1036.5853658536585,914.6341463414634,1158.5365853658536,975.609756097561,1097.560975609756
MARINE PARADE,1990-03,4 ROOM,04 TO 06,100000.0,100000.0,100000.0,100000.0,100000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
MARINE PARADE,1990-03,4 ROOM,07 TO 09,91250.0,79500.0,103000.0,85375.0,97125.0,1079.7533259423503,903.4090909090909,1256.0975609756097,991.5812084257205,1167.92544345898
MARINE PARADE,1990-03,4 ROOM,10 TO 12,65000.0,65000.0,65000.0,65000.0,65000.0,747.1264367816092,747.1264367816092,747.1264367816092,747.1264367816092,747.1264367816092
MARINE PARADE,1990-03,5 ROOM,04 TO 06,169800.0,169800.0,169800.0,169800.0,169800.0,1415.0,1415.0,1415.0,1415.0,1415.0
MARINE PARADE,1990-03,5 ROOM,10 TO 12,152500.0,110000.0,195000.0,131250.0,173750.0,1242.1875,859.375,1625.0,1050.78125,1433.59375
MARINE PARADE,1990-03,5 ROOM,16 TO 18,172000.0,172000.0,172000.0,172000.0,172000.0,1433.3333333333333,1433.3333333333333,1433.3333333333333,1433.3333333333333,1433.3333333333333
MARINE PARADE,1990-03,5 ROOM,22 TO 24,157000.0,126000.0,190000.0,141500.0,173500.0,1308.3333333333333,1050.0,1583.3333333333333,1179.1666666666665,1445.8333333333333
MARINE PARADE,1990-04,3 ROOM,01 TO 03,40000.0,34000.0,46000.0,37000.0,43000.0,590.1098901098901,523.0769230769231,657.1428571428571,556.5934065934066,623.6263736263736
MARINE PARADE,1990-04,3 ROOM,04 TO 06,43000.0,40000.0,46000.0,41500.0,44500.0,598.8315481986367,582.2784810126582,615.3846153846154,590.5550146056474,607.1080817916261
MARINE PARADE,1990-04,3 ROOM,10 TO 12,35000.0,30000.0,40000.0,32500.0,37500.0,493.92712550607285,461.53846153846155,526.3157894736842,477.73279352226723,510.1214574898785
MARINE PARADE,1990-04,4 ROOM,01 TO 03,65000.0,65000.0,65000.0,65000.0,65000.0,738.6363636363636,738.6363636363636,738.6363636363636,738.6363636363636,738.6363636363636
MARINE PARADE,1990-04,4 ROOM,07 TO 09,83000.0,83000.0,83000.0,83000.0,83000.0,1012.1951219512196,1012.1951219512196,1012.1951219512196,1012.1951219512196,1012.1951219512196
MARINE PARADE,1990-04,4 ROOM,13 TO 15,80500.0,80500.0,80500.0,80500.0,80500.0,925.2873563218391,925.2873563218391,925.2873563218391,925.2873563218391,925.2873563218391
MARINE PARADE,1990-04,5 ROOM,04 TO 06,160000.0,159000.0,161000.0,159500.0,160500.0,1333.3333333333335,1325.0,1341.6666666666667,1329.1666666666667,1337.5
MARINE PARADE,1990-04,5 ROOM,07 TO 09,165000.0,165000.0,165000.0,165000.0,165000.0,1341.4634146341464,1341.4634146341464,1341.4634146341464,1341.4634146341464,1341.4634146341464
MARINE PARADE,1990-04,5 ROOM,10 TO 12,140000.0,140000.0,140000.0,140000.0,140000.0,1166.6666666666667,1166.6666666666667,1166.6666666666667,1166.6666666666667,1166.6666666666667
MARINE PARADE,1990-04,5 ROOM,13 TO 15,142500.0,135000.0,150000.0,138750.0,146250.0,1203.525641025641,1125.0,1282.051282051282,1164.2628205128206,1242.7884615384614
MARINE PARADE,1990-04,5 ROOM,16 TO 18,175000.0,175000.0,175000.0,175000.0,175000.0,1495.7264957264956,1495.7264957264956,1495.7264957264956,1495.7264957264956,1495.7264957264956
MARINE PARADE,1990-04,5 ROOM,22 TO 24,150000.0,150000.0,150000.0,150000.0,150000.0,1250.0,1250.0,1250.0,1250.0,1250.0
MARINE PARADE,1990-05,3 ROOM,01 TO 03,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
MARINE PARADE,1990-05,3 ROOM,04 TO 06,38000.0,34000.0,39500.0,36000.0,38750.0,584.6153846153846,523.0769230769231,607.6923076923077,553.8461538461538,596.1538461538462
MARINE PARADE,1990-05,3 ROOM,10 TO 12,55000.0,55000.0,55000.0,55000.0,55000.0,846.1538461538462,846.1538461538462,846.1538461538462,846.1538461538462,846.1538461538462
MARINE PARADE,1990-05,3 ROOM,13 TO 15,46000.0,46000.0,46000.0,46000.0,46000.0,605.2631578947369,605.2631578947369,605.2631578947369,605.2631578947369,605.2631578947369
MARINE PARADE,1990-05,4 ROOM,07 TO 09,111000.0,111000.0,111000.0,111000.0,111000.0,1261.3636363636363,1261.3636363636363,1261.3636363636363,1261.3636363636363,1261.3636363636363
MARINE PARADE,1990-05,4 ROOM,13 TO 15,92000.0,92000.0,92000.0,92000.0,92000.0,1057.471264367816,1057.471264367816,1057.471264367816,1057.471264367816,1057.471264367816
MARINE PARADE,1990-05,4 ROOM,16 TO 18,104000.0,104000.0,104000.0,104000.0,104000.0,1181.8181818181818,1181.8181818181818,1181.8181818181818,1181.8181818181818,1181.8181818181818
MARINE PARADE,1990-05,5 ROOM,07 TO 09,130000.0,130000.0,130000.0,130000.0,130000.0,1083.3333333333333,1083.3333333333333,1083.3333333333333,1083.3333333333333,1083.3333333333333
MARINE PARADE,1990-05,5 ROOM,13 TO 15,110000.0,110000.0,110000.0,110000.0,110000.0,916.6666666666666,916.6666666666666,916.6666666666666,916.6666666666666,916.6666666666666
MARINE PARADE,1990-05,5 ROOM,22 TO 24,140000.0,140000.0,140000.0,140000.0,140000.0,1166.6666666666667,1166.6666666666667,1166.6666666666667,1166.6666666666667,1166.6666666666667
MARINE PARADE,1990-06,3 ROOM,07 TO 09,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
MARINE PARADE,1990-06,4 ROOM,04 TO 06,87750.0,70000.0,111000.0,77875.0,99000.0,997.1590909090909,853.6585365853658,1261.3636363636363,899.4941796008869,1125.0
MARINE PARADE,1990-06,4 ROOM,10 TO 12,87500.0,85000.0,90000.0,86250.0,88750.0,1067.0731707317073,1036.5853658536585,1097.560975609756,1051.8292682926829,1082.3170731707316
MARINE PARADE,1990-06,5 ROOM,01 TO 03,164000.0,164000.0,164000.0,164000.0,164000.0,1281.25,1281.25,1281.25,1281.25,1281.25
MARINE PARADE,1990-06,5 ROOM,04 TO 06,147000.0,147000.0,147000.0,147000.0,147000.0,1225.0,1225.0,1225.0,1225.0,1225.0
MARINE PARADE,1990-06,5 ROOM,10 TO 12,171000.0,170000.0,172000.0,170500.0,171500.0,1413.2513661202186,1409.8360655737704,1416.6666666666667,1411.5437158469945,1414.9590163934427
MARINE PARADE,1990-06,5 ROOM,13 TO 15,181500.0,175000.0,188000.0,178250.0,184750.0,1532.5854700854702,1458.3333333333333,1606.837606837607,1495.4594017094016,1569.7115384615386
MARINE PARADE,1990-07,3 ROOM,04 TO 06,37500.0,35000.0,40000.0,36250.0,38750.0,576.9230769230769,538.4615384615385,615.3846153846154,557.6923076923076,596.1538461538462
MARINE PARADE,1990-07,3 ROOM,07 TO 09,43000.0,40000.0,46000.0,41500.0,44500.0,588.3458646616541,571.4285714285714,605.2631578947369,579.8872180451128,596.8045112781955
MARINE PARADE,1990-07,3 ROOM,16 TO 18,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
MARINE PARADE,1990-07,4 ROOM,01 TO 03,85000.0,85000.0,85000.0,85000.0,85000.0,965.9090909090909,965.9090909090909,965.9090909090909,965.9090909090909,965.9090909090909
MARINE PARADE,1990-07,4 ROOM,07 TO 09,100000.0,100000.0,100000.0,100000.0,100000.0,1149.4252873563219,1149.4252873563219,1149.4252873563219,1149.4252873563219,1149.4252873563219
MARINE PARADE,1990-07,5 ROOM,10 TO 12,188000.0,182000.0,195000.0,185000.0,191500.0,1566.6666666666667,1491.8032786885246,1598.360655737705,1529.2349726775956,1582.5136612021859
MARINE PARADE,1990-07,5 ROOM,13 TO 15,190000.0,190000.0,190000.0,190000.0,190000.0,1557.377049180328,1557.377049180328,1557.377049180328,1557.377049180328,1557.377049180328
MARINE PARADE,1990-07,5 ROOM,16 TO 18,140000.0,140000.0,140000.0,140000.0,140000.0,1111.111111111111,1111.111111111111,1111.111111111111,1111.111111111111,1111.111111111111
MARINE PARADE,1990-07,5 ROOM,19 TO 21,170000.0,170000.0,170000.0,170000.0,170000.0,1416.6666666666667,1416.6666666666667,1416.6666666666667,1416.6666666666667,1416.6666666666667
MARINE PARADE,1990-07,5 ROOM,22 TO 24,180000.0,180000.0,180000.0,180000.0,180000.0,1428.5714285714287,1428.5714285714287,1428.5714285714287,1428.5714285714287,1428.5714285714287
MARINE PARADE,1990-07,5 ROOM,25 TO 27,160000.0,150000.0,170000.0,155000.0,165000.0,1299.6031746031745,1250.0,1349.2063492063492,1274.8015873015872,1324.404761904762
MARINE PARADE,1990-08,3 ROOM,01 TO 03,34000.0,34000.0,34000.0,34000.0,34000.0,523.0769230769231,523.0769230769231,523.0769230769231,523.0769230769231,523.0769230769231
MARINE PARADE,1990-08,3 ROOM,04 TO 06,42500.0,40000.0,45000.0,41250.0,43750.0,603.744939271255,592.1052631578947,615.3846153846154,597.9251012145749,609.5647773279352
MARINE PARADE,1990-08,3 ROOM,07 TO 09,49500.0,40000.0,70000.0,46750.0,55000.0,705.8704453441296,615.3846153846154,921.0526315789474,647.2672064777328,795.6477732793522
MARINE PARADE,1990-08,3 ROOM,10 TO 12,60250.0,48000.0,72500.0,54125.0,66375.0,829.9148606811145,705.8823529411765,953.9473684210526,767.8986068111456,891.9311145510835
MARINE PARADE,1990-08,4 ROOM,04 TO 06,98000.0,98000.0,98000.0,98000.0,98000.0,1126.4367816091954,1126.4367816091954,1126.4367816091954,1126.4367816091954,1126.4367816091954
MARINE PARADE,1990-08,4 ROOM,13 TO 15,82500.0,65000.0,100000.0,73750.0,91250.0,941.7450365726227,747.1264367816092,1136.3636363636363,844.435736677116,1039.0543364681296
MARINE PARADE,1990-08,5 ROOM,01 TO 03,140000.0,140000.0,140000.0,140000.0,140000.0,1147.5409836065573,1147.5409836065573,1147.5409836065573,1147.5409836065573,1147.5409836065573
