town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
MARINE PARADE,1990-01,5 ROOM,147500.0,110000.0,165000.0,143500.0,155750.0,1206.3492063492063,916.6666666666666,1375.0,1160.2263856362217,1297.9166666666667
MARINE PARADE,1990-02,5 ROOM,158500.0,125000.0,177000.0,140000.0,173250.0,1310.9289617486338,1041.6666666666667,1475.0,1151.8101092896175,1443.75
MARINE PARADE,1990-03,5 ROOM,169800.0,110000.0,195000.0,141500.0,181000.0,1415.0,859.375,1625.0,1179.1666666666665,1508.3333333333333
MARINE PARADE,1990-04,5 ROOM,154500.0,135000.0,175000.0,147500.0,162000.0,1303.525641025641,1125.0,1495.7264957264956,1229.1666666666667,1341.5142276422764
MARINE PARADE,1990-05,5 ROOM,130000.0,110000.0,140000.0,120000.0,135000.0,1083.3333333333333,916.6666666666666,1166.6666666666667,1000.0,1125.0
MARINE PARADE,1990-06,5 ROOM,171000.0,147000.0,188000.0,165500.0,174250.0,1413.2513661202186,1225.0,1606.837606837607,1313.3965163934427,1447.9166666666665
MARINE PARADE,1990-07,5 ROOM,180000.0,140000.0,195000.0,170000.0,188000.0,1428.5714285714287,1111.111111111111,1598.360655737705,1349.2063492063492,1557.377049180328
MARINE PARADE,1990-08,5 ROOM,151500.0,110000.0,180000.0,132500.0,167250.0,1220.5958886286755,916.6666666666666,1500.0,1089.8224043715848,1345.2380952380954
MARINE PARADE,1990-09,5 ROOM,165000.0,148000.0,180000.0,156500.0,172500.0,1289.0625,1233.3333333333333,1500.0,1261.1979166666665,1394.53125
MARINE PARADE,1990-10,5 ROOM,110000.0,110000.0,165000.0,110000.0,137500.0,916.6666666666666,916.6666666666666,1375.0,916.6666666666666,1145.8333333333333
MARINE PARADE,1990-11,5 ROOM,153000.0,130000.0,230000.0,149500.0,177500.0,1254.0983606557377,1065.5737704918033,1916.6666666666667,1216.2698412698414,1479.1666666666667
MARINE PARADE,1990-12,5 ROOM,147500.0,120000.0,182000.0,129750.0,167000.0,1229.1666666666665,937.5,1516.6666666666667,1065.625,1391.6666666666667
MARINE PARADE,1991-01,5 ROOM,160000.0,130000.0,183000.0,145000.0,173250.0,1276.9944105691056,1083.3333333333333,1525.0,1149.7395833333333,1417.8353658536585
MARINE PARADE,1991-02,5 ROOM,170000.0,165000.0,181000.0,167500.0,175500.0,1375.0,1349.2063492063492,1483.6065573770493,1362.1031746031745,1429.3032786885246
MARINE PARADE,1991-03,5 ROOM,165750.0,160000.0,171500.0,162875.0,168625.0,1369.535519125683,1333.3333333333333,1405.7377049180327,1351.434426229508,1387.636612021858
MARINE PARADE,1991-04,5 ROOM,147000.0,110000.0,213000.0,128500.0,180000.0,1225.0,859.375,1775.0,1042.1875,1500.0
MARINE PARADE,1991-05,5 ROOM,162000.0,140000.0,175000.0,151000.0,168500.0,1350.0,1166.6666666666667,1434.4262295081967,1258.3333333333335,1392.2131147540983
MARINE PARADE,1991-06,5 ROOM,155000.0,140000.0,192000.0,142500.0,171250.0,1291.6666666666665,1166.6666666666667,1600.0,1187.5,1427.0833333333333
MARINE PARADE,1991-07,5 ROOM,130000.0,90000.0,182500.0,115000.0,167500.0,1065.5737704918033,750.0,1559.8290598290598,932.5396825396826,1378.0487804878048
MARINE PARADE,1991-08,5 ROOM,160000.0,110000.0,230000.0,155000.0,181500.0,1311.4754098360656,873.015873015873,1916.6666666666667,1210.9375,1551.2820512820513
MARINE PARADE,1991-09,5 ROOM,140000.0,135000.0,180000.0,137500.0,160000.0,1111.111111111111,1071.4285714285713,1538.4615384615386,1091.2698412698412,1324.7863247863247
MARINE PARADE,1991-10,5 ROOM,160000.0,110000.0,190000.0,140000.0,175000.0,1367.5213675213674,894.3089430894308,1583.3333333333333,1185.115697310819,1485.5769230769229
MARINE PARADE,1991-11,5 ROOM,190750.0,130000.0,221000.0,161125.0,212750.0,1589.5833333333335,1083.3333333333333,1811.4754098360656,1342.7083333333335,1765.3688524590164
MARINE PARADE,1991-12,5 ROOM,176000.0,109900.0,203000.0,142950.0,189500.0,1375.0,915.8333333333334,1611.111111111111,1145.4166666666667,1493.0555555555557
MARINE PARADE,1992-01,5 ROOM,175000.0,100000.0,223000.0,110000.0,218000.0,1458.3333333333333,793.6507936507936,1858.3333333333333,916.6666666666666,1786.8852459016393
MARINE PARADE,1992-02,5 ROOM,170000.0,150000.0,190000.0,160000.0,180000.0,1416.6666666666665,1250.0,1583.3333333333333,1333.3333333333333,1500.0
MARINE PARADE,1992-03,5 ROOM,143000.0,110000.0,226000.0,113750.0,184750.0,1203.9529914529915,916.6666666666666,1883.3333333333333,966.3461538461538,1539.5833333333333
MARINE PARADE,1992-04,5 ROOM,165000.0,110000.0,185000.0,140000.0,181250.0,1328.125,916.6666666666666,1516.3934426229507,1166.6666666666667,1433.7858606557377
MARINE PARADE,1992-05,5 ROOM,139000.0,109900.0,215000.0,117500.0,183750.0,1135.1792616286818,872.2222222222222,1791.6666666666667,966.8715846994535,1524.5901639344263
MARINE PARADE,1992-06,5 ROOM,180000.0,180000.0,198000.0,180000.0,189000.0,1475.4098360655737,1428.5714285714287,1650.0,1451.9906323185012,1562.7049180327867
MARINE PARADE,1992-07,5 ROOM,175000.0,160000.0,190000.0,167500.0,182500.0,1458.3333333333333,1269.8412698412699,1557.377049180328,1364.0873015873017,1507.8551912568305
MARINE PARADE,1992-08,5 ROOM,215000.0,180000.0,240000.0,202500.0,240000.0,1791.6666666666667,1475.4098360655737,2000.0,1687.5,1983.4710743801652
MARINE PARADE,1992-09,5 ROOM,195000.0,100000.0,225000.0,165500.0,208000.0,1625.0,833.3333333333334,1875.0,1343.2539682539682,1689.6825396825398
MARINE PARADE,1992-10,5 ROOM,182500.0,110000.0,218000.0,151250.0,204500.0,1448.4126984126983,916.6666666666666,1816.6666666666667,1211.3095238095239,1644.642857142857
MARINE PARADE,1992-11,5 ROOM,209000.0,168000.0,265000.0,188500.0,237000.0,1741.6666666666667,1377.049180327869,2172.1311475409834,1559.3579234972678,1956.898907103825
MARINE PARADE,1992-12,5 ROOM,194000.0,180000.0,208000.0,187000.0,201000.0,1575.3968253968255,1500.0,1650.7936507936508,1537.6984126984128,1613.095238095238
MARINE PARADE,1993-01,5 ROOM,204500.0,150000.0,259000.0,177250.0,231750.0,1704.1666666666667,1250.0,2158.3333333333335,1477.0833333333335,1931.25
MARINE PARADE,1993-02,5 ROOM,225000.0,180000.0,265000.0,192250.0,241250.0,1785.7142857142858,1500.0,2208.3333333333335,1580.2579365079364,1962.496747332813
MARINE PARADE,1993-03,5 ROOM,243000.0,243000.0,243000.0,243000.0,243000.0,1928.5714285714287,1928.5714285714287,1928.5714285714287,1928.5714285714287,1928.5714285714287
MARINE PARADE,1993-04,5 ROOM,272585.0,175000.0,287000.0,242500.0,281877.5,2146.941964285714,1458.3333333333333,2391.6666666666665,1917.3177083333333,2265.595238095238
MARINE PARADE,1993-05,5 ROOM,280000.0,235000.0,290000.0,280000.0,280000.0,2295.0819672131147,1958.3333333333333,2377.0491803278687,2295.0819672131147,2333.3333333333335
MARINE PARADE,1993-06,5 ROOM,276500.0,230000.0,325000.0,270000.0,299500.0,2304.166666666667,1885.2459016393443,2708.3333333333335,2250.0,2495.833333333333
MARINE PARADE,1993-07,5 ROOM,260000.0,250000.0,285000.0,255000.0,272500.0,2166.6666666666665,2083.3333333333335,2375.0,2125.0,2270.833333333333
MARINE PARADE,1993-08,5 ROOM,320000.0,272000.0,330000.0,298750.0,326499.75,2622.0238095238096,2158.7301587301586,2750.0,2489.5833333333335,2709.0270833333334
MARINE PARADE,1993-09,5 ROOM,315000.0,285000.0,350000.0,290000.0,345000.0,2625.0,2226.5625,2916.6666666666665,2301.5873015873017,2695.3125
MARINE PARADE,1993-10,5 ROOM,333000.0,305000.0,375000.0,330000.0,350000.0,2750.0,2500.0,3073.7704918032787,2729.5081967213114,2916.6666666666665
MARINE PARADE,1993-11,5 ROOM,310000.0,220000.0,383000.0,287250.0,337500.0,2583.3333333333335,1833.3333333333333,3165.289256198347,2393.75,2812.5
MARINE PARADE,1993-12,5 ROOM,355500.0,300000.0,373800.0,338500.0,360500.0,2913.934426229508,2500.0,3008.3333333333335,2796.9262295081967,2983.333333333333
MARINE PARADE,1994-01,5 ROOM,330000.0,285000.0,380000.0,311500.0,350000.0,2750.0,2375.0,3247.863247863248,2500.0,2916.666666666667
MARINE PARADE,1994-02,5 ROOM,334620.0,280000.0,385000.0,319000.0,363500.0,2788.5,2333.3333333333335,3208.3333333333335,2636.4754098360654,2956.3492063492063
MARINE PARADE,1994-03,5 ROOM,348000.0,300000.0,415000.0,330000.0,371500.0,2900.0,2500.0,3458.3333333333335,2750.0,3095.833333333333
