town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
MARINE PARADE,1990-01,high,135000.0,38000.0,165000.0,58000.0,156000.0,1125.0,584.6153846153846,1375.0,763.1578947368421,1300.0
MARINE PARADE,1990-02,high,66995.0,40000.0,172000.0,50000.0,115500.0,854.7987012987013,615.3846153846154,1433.3333333333333,662.6518218623482,1028.409090909091
MARINE PARADE,1990-03,high,60000.0,32000.0,195000.0,41625.0,149250.0,735.4053236539626,492.3076923076923,1625.0,627.6098901098901,1243.75
MARINE PARADE,1990-04,high,137500.0,30000.0,175000.0,70375.0,150000.0,1145.8333333333335,461.53846153846155,1495.7264957264956,825.5444646098003,1258.0128205128206
MARINE PARADE,1990-05,high,98000.0,46000.0,140000.0,64250.0,108500.0,987.0689655172414,605.2631578947369,1181.8181818181818,863.7820512820513,1139.367816091954
MARINE PARADE,1990-06,high,171000.0,85000.0,188000.0,110000.0,174250.0,1413.2513661202186,1036.5853658536585,1606.837606837607,1175.6297481007596,1447.9166666666665
MARINE PARADE,1990-07,high,175000.0,40000.0,195000.0,155000.0,186500.0,1422.6190476190477,615.3846153846154,1598.360655737705,1274.8015873015872,1540.9836065573772
MARINE PARADE,1990-08,high,100000.0,48000.0,180000.0,68750.0,136500.0,953.9473684210526,705.8823529411765,1500.0,831.8965517241379,1215.007215007215
MARINE PARADE,1990-09,high,87000.0,35000.0,180000.0,68750.0,147250.0,988.6363636363637,538.4615384615385,1500.0,781.25,1233.8423295454545
MARINE PARADE,1990-10,high,102500.0,40000.0,110000.0,81250.0,110000.0,916.6666666666666,615.3846153846154,1158.5365853658536,841.3461538461538,977.1341463414634
MARINE PARADE,1990-11,high,99000.0,29000.0,230000.0,46625.0,165000.0,980.1553062985332,446.15384615384613,1916.6666666666667,616.1437246963562,1375.0
MARINE PARADE,1990-12,high,133000.0,40000.0,162000.0,86500.0,147500.0,1108.3333333333333,615.3846153846154,1350.0,861.8589743589744,1229.1666666666665
