town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
MARINE PARADE,1990-01,low,65500.0,37000.0,145000.0,43000.0,110000.0,744.3181818181819,569.2307692307693,1222.2222222222222,677.9661016949152,977.0114942528736
MARINE PARADE,1990-02,low,64400.0,40000.0,85000.0,52200.0,74700.0,740.2298850574713,677.9661016949152,977.0114942528736,709.0979933761932,858.6206896551724
MARINE PARADE,1990-03,low,100000.0,38000.0,169800.0,69000.0,134900.0,1219.5121951219512,584.6153846153846,1415.0,902.063789868668,1317.2560975609756
MARINE PARADE,1990-04,low,102500.0,40000.0,161000.0,44500.0,159500.0,970.1923076923076,582.2784810126582,1341.6666666666667,607.1080817916261,1329.1666666666667
MARINE PARADE,1990-05,low,38000.0,34000.0,39500.0,36000.0,38750.0,584.6153846153846,523.0769230769231,607.6923076923077,553.8461538461538,596.1538461538462
MARINE PARADE,1990-06,low,95000.0,70000.0,147000.0,80500.0,111000.0,1079.5454545454545,853.6585365853658,1261.3636363636363,914.7727272727273,1225.0
MARINE PARADE,1990-07,low,37500.0,35000.0,40000.0,36250.0,38750.0,576.9230769230769,538.4615384615385,615.3846153846154,557.6923076923076,596.1538461538462
MARINE PARADE,1990-08,low,45000.0,40000.0,98000.0,42500.0,71500.0,615.3846153846154,592.1052631578947,1126.4367816091954,603.744939271255,870.9106984969053
MARINE PARADE,1990-09,low,38000.0,33000.0,93000.0,35500.0,65500.0,584.6153846153846,507.6923076923077,1068.9655172413793,546.1538461538462,826.7904509283819
MARINE PARADE,1990-10,low,102500.0,40000.0,165000.0,71250.0,133750.0,995.1923076923076,615.3846153846154,1375.0,805.2884615384615,1185.0961538461538
MARINE PARADE,1990-11,low,86000.0,53000.0,153000.0,61000.0,133500.0,1018.2926829268292,815.3846153846154,1254.0983606557377,861.5384615384615,1146.0511033681767
MARINE PARADE,1991-01,low,45000.0,40000.0,63000.0,40000.0,46000.0,661.7647058823529,615.3846153846154,828.9473684210526,615.3846153846154,707.6923076923077
MARINE PARADE,1991-02,low,66000.0,29000.0,165000.0,40000.0,85500.0,758.6206896551724,446.15384615384613,1375.0,587.9120879120879,1035.2870813397128
MARINE PARADE,1991-03,low,49250.0,40000.0,58500.0,44625.0,53875.0,692.5607287449393,615.3846153846154,769.7368421052631,653.9726720647773,731.1487854251012
MARINE PARADE,1991-04,low,44000.0,38000.0,50000.0,39500.0,48500.0,676.9230769230769,584.6153846153846,769.2307692307693,607.6923076923076,746.1538461538462
MARINE PARADE,1991-05,low,64000.0,40000.0,80000.0,52000.0,72000.0,727.2727272727273,615.3846153846154,909.0909090909091,671.3286713286714,818.1818181818182
MARINE PARADE,1991-06,low,40000.0,40000.0,40000.0,40000.0,40000.0,677.9661016949152,677.9661016949152,677.9661016949152,677.9661016949152,677.9661016949152
MARINE PARADE,1991-07,low,44000.0,35000.0,80000.0,38750.0,56000.0,676.9230769230769,492.9577464788732,975.609756097561,584.7778981581798,797.7485928705441
MARINE PARADE,1991-08,low,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
MARINE PARADE,1991-09,low,65000.0,60000.0,135000.0,62500.0,100000.0,1000.0,789.4736842105264,1071.4285714285713,894.7368421052631,1035.7142857142858
MARINE PARADE,1991-10,low,65500.0,30000.0,137000.0,33750.0,106250.0,814.6853146853148,461.53846153846155,1670.7317073170732,519.2307692307693,1235.8647450110866
MARINE PARADE,1991-11,low,46500.0,29000.0,80000.0,37750.0,63250.0,611.8421052631579,446.15384615384613,1142.857142857143,528.997975708502,877.3496240601504
MARINE PARADE,1991-12,low,109900.0,109900.0,109900.0,109900.0,109900.0,915.8333333333334,915.8333333333334,915.8333333333334,915.8333333333334,915.8333333333334
MARINE PARADE,1992-01,low,65000.0,65000.0,75000.0,65000.0,70000.0,747.1264367816092,738.6363636363636,1071.4285714285713,742.8814002089864,909.2775041050902
MARINE PARADE,1992-02,low,82000.0,50000.0,100000.0,60500.0,100000.0,1110.5546995377504,769.2307692307693,1219.5121951219512,1005.8670143415907,1157.150776053215
MARINE PARADE,1992-03,low,42000.0,40000.0,86000.0,40000.0,65000.0,677.9661016949152,646.1538461538462,1131.578947368421,677.9661016949152,1000.0
MARINE PARADE,1992-04,low,77000.0,30000.0,110000.0,40000.0,100000.0,885.0574712643678,461.53846153846155,1264.367816091954,519.4805194805194,1219.5121951219512
MARINE PARADE,1992-05,low,109950.0,40000.0,195000.0,64500.0,132000.0,919.8717948717949,615.3846153846154,1598.360655737705,855.3861788617886,1075.719712115154
MARINE PARADE,1992-06,low,65000.0,45000.0,82000.0,55000.0,73500.0,747.1264367816092,592.1052631578947,1078.9473684210527,669.6158499697519,913.0369026013309
MARINE PARADE,1992-07,low,54000.0,40000.0,124000.0,47000.0,89000.0,830.7692307692307,615.3846153846154,1512.1951219512196,723.0769230769231,1171.4821763602251
MARINE PARADE,1992-08,low,58350.0,50000.0,66700.0,54175.0,62525.0,897.6923076923077,769.2307692307693,1026.1538461538462,833.4615384615386,961.9230769230769
MARINE PARADE,1992-09,low,100000.0,40000.0,225000.0,44000.0,173000.0,1149.4252873563219,615.3846153846154,1875.0,676.9230769230769,1441.6666666666665
MARINE PARADE,1992-10,low,66750.0,30000.0,139000.0,44500.0,74750.0,886.1888111888112,461.53846153846155,1579.5454545454545,612.8542510121457,1150.0
MARINE PARADE,1992-11,low,77500.0,60000.0,209000.0,64500.0,95250.0,1118.6234817813765,923.0769230769231,1741.6666666666667,992.3076923076923,1329.878048780488
MARINE PARADE,1992-12,low,67000.0,64000.0,70000.0,65500.0,68500.0,952.834008097166,921.0526315789474,984.6153846153846,936.9433198380567,968.7246963562753
MARINE PARADE,1993-01,low,68500.0,30000.0,259000.0,48750.0,126250.0,943.8854489164087,461.53846153846155,2158.3333333333335,722.0022624434389,1348.7938596491229
MARINE PARADE,1993-02,low,70000.0,60000.0,183000.0,65000.0,126500.0,1076.923076923077,789.4736842105264,1525.0,933.1983805668017,1300.9615384615386
MARINE PARADE,1993-03,low,90500.0,77000.0,108000.0,85500.0,97750.0,1212.3205741626793,1136.3636363636363,1384.6153846153845,1187.8036437246963,1276.048951048951
MARINE PARADE,1993-04,low,80000.0,35000.0,175000.0,62000.0,100500.0,1230.7692307692307,538.4615384615385,1458.3333333333333,898.178137651822,1322.4580017683465
MARINE PARADE,1993-05,low,75000.0,65000.0,87000.0,70000.0,81000.0,1000.0,986.8421052631579,1242.857142857143,993.421052631579,1121.4285714285716
MARINE PARADE,1993-06,low,175000.0,50000.0,270000.0,112500.0,222500.0,1988.6363636363637,769.2307692307693,2250.0,1378.9335664335665,2119.318181818182
MARINE PARADE,1993-07,low,90000.0,80000.0,164000.0,86000.0,120000.0,1384.6153846153845,1088.607594936709,2000.0,1230.7692307692307,1518.987341772152
MARINE PARADE,1993-08,low,83000.0,65000.0,272000.0,70000.0,106000.0,1276.923076923077,1000.0,2158.7301587301586,1076.923076923077,1394.7368421052631
MARINE PARADE,1993-09,low,111000.0,105000.0,117000.0,108000.0,114000.0,1577.429149797571,1539.4736842105262,1615.3846153846155,1558.4514170040486,1596.406882591093
MARINE PARADE,1993-10,low,135000.0,50000.0,210000.0,108000.0,154000.0,1815.7894736842106,769.2307692307693,2413.793103448276,1580.4655870445345,2005.8161350844277
MARINE PARADE,1993-11,low,162500.0,92000.0,283000.0,100000.0,218750.0,2000.595238095238,1415.3846153846155,2804.878048780488,1538.4615384615386,2421.1402821316615
MARINE PARADE,1993-12,low,119500.0,90000.0,373800.0,101250.0,140125.0,1718.8765182186235,1384.6153846153845,2966.6666666666665,1520.495951417004,1861.589068825911
MARINE PARADE,1994-01,low,132500.0,50000.0,347000.0,116495.0,235250.0,1882.591093117409,657.8947368421053,2891.6666666666665,1792.2307692307693,2430.0766283524904
MARINE PARADE,1994-02,low,111000.0,100000.0,280000.0,106000.0,182500.0,1864.406779661017,1538.4615384615386,2333.3333333333335,1638.4615384615386,2148.6973392461196
MARINE PARADE,1994-03,low,118000.0,85000.0,230000.0,103000.0,162500.0,1842.1052631578948,1440.677966101695,2804.878048780488,1548.4261501210653,2085.0346687211095
MARINE PARADE,1994-04,low,126000.0,100000.0,193000.0,102250.0,160000.0,1749.4939271255062,1471.4285714285713,2193.181818181818,1521.7032967032967,2018.69019138756
MARINE PARADE,1994-05,low,134000.0,104000.0,190000.0,110750.0,163750.0,1977.363960749331,1600.0,2317.0731707317073,1836.4406779661017,2108.8735558408216
MARINE PARADE,1994-06,low,221000.0,128000.0,360000.0,195500.0,258000.0,2525.992685475444,1882.3529411764705,3000.0,2328.542780748663,2681.0344827586205
MARINE PARADE,1994-07,low,134000.0,94000.0,180000.0,108500.0,152000.0,1789.4736842105262,1446.1538461538462,2271.186440677966,1669.2307692307693,2139.745916515427
MARINE PARADE,1994-08,low,228000.0,102000.0,372000.0,105000.0,235000.0,2590.909090909091,1569.2307692307693,3100.0,1615.3846153846155,2670.4545454545455
MARINE PARADE,1994-09,low,351000.0,117000.0,370000.0,234000.0,360500.0,2785.714285714286,1800.0,3083.3333333333335,2292.857142857143,2934.5238095238096
MARINE PARADE,1994-10,low,210000.0,102000.0,240000.0,128500.0,212500.0,2443.181818181818,1728.8135593220338,2727.2727272727275,1976.923076923077,2560.9756097560976
MARINE PARADE,1994-11,low,110000.0,100000.0,250000.0,105000.0,180000.0,1864.406779661017,1538.4615384615386,2873.5632183908046,1701.4341590612778,2368.984999025911
MARINE PARADE,1994-12,low,187000.0,138000.0,269000.0,140000.0,242250.0,2484.969053934571,1842.1052631578948,3091.9540229885056,2130.7692307692305,2844.266890944771
MARINE PARADE,1995-01,low,138000.0,115000.0,300000.0,125000.0,270000.0,2338.9830508474574,1769.2307692307693,3448.2758620689656,1923.076923076923,3103.448275862069
MARINE PARADE,1995-02,low,202500.0,140000.0,275000.0,177500.0,230000.0,2408.0315870570107,2317.0731707317073,3125.0,2358.9293096320794,2613.6363636363635
MARINE PARADE,1995-03,low,137000.0,121000.0,220000.0,127500.0,190000.0,2107.6923076923076,1838.235294117647,2528.735632183908,1930.7692307692307,2403.722721437741
MARINE PARADE,1995-04,low,145000.0,105000.0,270000.0,131000.0,162000.0,2016.2538699690404,1615.3846153846155,3068.181818181818,1970.3441295546559,2152.8637770897835
