town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
MARINE PARADE,1990-01,mid,40100.0,40000.0,43500.0,40000.0,41025.0,616.9230769230769,615.3846153846154,669.2307692307693,615.3846153846154,631.1538461538462
MARINE PARADE,1990-02,mid,77500.0,55000.0,100000.0,66250.0,88750.0,936.5547489413188,723.6842105263158,1149.4252873563219,830.1194797338173,1042.9900181488204
MARINE PARADE,1990-03,mid,40000.0,29000.0,103000.0,39000.0,79500.0,615.3846153846154,491.52542372881356,1256.0975609756097,600.0,903.4090909090909
MARINE PARADE,1990-04,mid,124000.0,83000.0,165000.0,103500.0,144500.0,1176.829268292683,1012.1951219512196,1341.4634146341464,1094.5121951219512,1259.1463414634147
MARINE PARADE,1990-05,mid,120500.0,111000.0,130000.0,115750.0,125250.0,1172.3484848484848,1083.3333333333333,1261.3636363636363,1127.840909090909,1216.8560606060605
MARINE PARADE,1990-06,mid,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
MARINE PARADE,1990-07,mid,46000.0,40000.0,100000.0,43000.0,73000.0,605.2631578947369,571.4285714285714,1149.4252873563219,588.3458646616541,877.3442226255294
MARINE PARADE,1990-08,mid,49500.0,40000.0,70000.0,46750.0,55000.0,705.8704453441296,615.3846153846154,921.0526315789474,647.2672064777328,795.6477732793522
MARINE PARADE,1990-09,mid,75000.0,49000.0,90000.0,62000.0,82500.0,862.0689655172414,753.8461538461538,1097.560975609756,807.9575596816976,979.8149705634987
MARINE PARADE,1990-10,mid,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
MARINE PARADE,1990-11,mid,65000.0,30000.0,113000.0,37500.0,95750.0,824.9336870026525,461.53846153846155,1284.090909090909,576.9230769230769,1096.8847962382447
MARINE PARADE,1990-12,mid,42750.0,29500.0,56000.0,36125.0,49375.0,657.6923076923077,453.84615384615387,861.5384615384615,555.7692307692308,759.6153846153846
MARINE PARADE,1991-01,mid,40000.0,40000.0,42000.0,40000.0,41000.0,615.3846153846154,526.3157894736842,711.8644067796611,570.8502024291497,663.6245110821383
MARINE PARADE,1991-02,mid,36000.0,29000.0,65000.0,32500.0,50500.0,473.6842105263158,446.15384615384613,738.6363636363636,459.91902834008096,606.1602870813397
MARINE PARADE,1991-03,mid,47500.0,30000.0,65000.0,38750.0,56250.0,627.1106941838649,461.53846153846155,792.6829268292682,544.3245778611632,709.8968105065666
MARINE PARADE,1991-04,mid,46000.0,40000.0,110000.0,43000.0,78000.0,615.3846153846154,605.2631578947369,859.375,610.3238866396762,737.3798076923076
MARINE PARADE,1991-05,mid,105000.0,35000.0,175000.0,70000.0,140000.0,986.4438839848676,538.4615384615385,1434.4262295081967,762.452711223203,1210.4350567465322
MARINE PARADE,1991-06,mid,43500.0,40000.0,47000.0,41750.0,45250.0,616.9028340080972,615.3846153846154,618.421052631579,616.1437246963562,617.6619433198381
MARINE PARADE,1991-07,mid,88000.0,33000.0,126500.0,37000.0,110000.0,1011.4942528735633,523.0769230769231,1454.0229885057472,587.3533246414602,1264.367816091954
MARINE PARADE,1991-08,mid,34000.0,30000.0,86000.0,32000.0,60000.0,523.0769230769231,461.53846153846155,1048.780487804878,492.3076923076923,785.9287054409006
MARINE PARADE,1991-09,mid,90000.0,50000.0,90000.0,70000.0,90000.0,1022.7272727272727,657.8947368421053,1097.560975609756,840.311004784689,1060.1441241685143
MARINE PARADE,1991-10,mid,79000.0,40000.0,170000.0,45000.0,129750.0,1039.4736842105262,615.3846153846154,1568.1818181818182,692.3076923076924,1424.771588564692
MARINE PARADE,1991-11,mid,50000.0,35000.0,210000.0,37500.0,118250.0,657.8947368421053,454.54545454545456,1750.0,576.9230769230769,1088.146551724138
MARINE PARADE,1991-12,mid,41000.0,40000.0,65500.0,40500.0,53250.0,694.9152542372881,615.3846153846154,744.3181818181819,655.1499348109517,719.616718027735
MARINE PARADE,1992-01,mid,66000.0,40000.0,175000.0,53000.0,120500.0,758.6206896551724,615.3846153846154,1458.3333333333333,687.0026525198939,1108.4770114942528
MARINE PARADE,1992-02,mid,110000.0,110000.0,110000.0,110000.0,110000.0,1250.0,1250.0,1250.0,1250.0,1250.0
MARINE PARADE,1992-03,mid,40000.0,40000.0,115000.0,40000.0,80000.0,615.3846153846154,615.3846153846154,982.9059829059829,615.3846153846154,909.0909090909091
MARINE PARADE,1992-04,mid,110000.0,45000.0,185000.0,76500.0,134000.0,1006.578947368421,762.7118644067797,1522.7272727272727,916.6666666666666,1516.3934426229507
MARINE PARADE,1992-06,mid,44500.0,40000.0,70000.0,42250.0,52000.0,638.4615384615385,605.2631578947369,1076.923076923077,612.8542510121457,765.3846153846154
MARINE PARADE,1992-07,mid,81500.0,50000.0,120000.0,59500.0,112500.0,1110.3189493433397,735.2941176470588,1379.3103448275863,909.0056285178237,1315.2519893899205
MARINE PARADE,1992-08,mid,100000.0,67000.0,240000.0,83500.0,170000.0,1219.5121951219512,1030.7692307692307,1983.4710743801652,1125.140712945591,1601.4916347510582
MARINE PARADE,1992-09,mid,65000.0,40000.0,100000.0,60000.0,70000.0,921.0526315789474,615.3846153846154,1000.0,843.4959349593496,923.0769230769231
MARINE PARADE,1992-10,mid,57000.0,40000.0,130000.0,40000.0,74000.0,876.9230769230769,615.3846153846154,1494.2528735632184,615.3846153846154,1138.4615384615386
MARINE PARADE,1992-11,mid,70000.0,70000.0,70000.0,70000.0,70000.0,795.4545454545455,795.4545454545455,795.4545454545455,795.4545454545455,795.4545454545455
MARINE PARADE,1992-12,mid,83750.0,45000.0,168000.0,65625.0,106750.0,1087.4125874125875,692.3076923076923,2048.7804878048782,1009.6153846153846,1359.748803827751
MARINE PARADE,1993-01,mid,77000.0,40000.0,123000.0,72250.0,87500.0,1146.1538461538462,615.3846153846154,1618.421052631579,1104.251012145749,1177.834008097166
MARINE PARADE,1993-02,mid,101500.0,45000.0,158000.0,73250.0,129750.0,1254.1998231653404,692.3076923076923,1816.0919540229886,973.2537577365164,1535.1458885941645
MARINE PARADE,1993-03,mid,73000.0,60000.0,85000.0,68250.0,77500.0,1054.6284224250326,986.8421052631579,1118.421052631579,1009.4223907225692,1098.836032388664
MARINE PARADE,1993-04,mid,75000.0,44000.0,265000.0,62000.0,86000.0,1153.8461538461538,628.5714285714286,2070.3125,815.7894736842105,1323.076923076923
MARINE PARADE,1993-05,mid,105000.0,80000.0,290000.0,92500.0,197500.0,1381.578947368421,1176.4705882352941,2377.0491803278687,1279.0247678018577,1879.314063848145
MARINE PARADE,1993-06,mid,70000.0,70000.0,70000.0,70000.0,70000.0,1186.4406779661017,1186.4406779661017,1186.4406779661017,1186.4406779661017,1186.4406779661017
MARINE PARADE,1993-07,mid,110000.0,90000.0,260000.0,98500.0,152250.0,1676.923076923077,1139.240506329114,2166.6666666666665,1363.7651821862348,1850.743006993007
MARINE PARADE,1993-08,mid,82000.0,80000.0,124800.0,81000.0,103400.0,1261.5384615384614,1230.7692307692307,1642.1052631578948,1246.1538461538462,1451.821862348178
MARINE PARADE,1993-09,mid,90000.0,81000.0,243800.0,85500.0,166900.0,1525.4237288135594,1372.8813559322034,2973.170731707317,1449.1525423728813,2249.297230260438
MARINE PARADE,1993-10,mid,135000.0,93000.0,213888.0,125500.0,170500.0,1938.4615384615386,1430.7692307692307,2608.390243902439,1849.6963562753035,2210.9265734265737
MARINE PARADE,1993-11,mid,217500.0,100000.0,330000.0,147500.0,246250.0,2524.425287356322,1538.4615384615386,2865.8536585365855,1857.6073805202664,2818.181818181818
MARINE PARADE,1993-12,mid,190000.0,95000.0,203000.0,142500.0,196500.0,2159.090909090909,1461.5384615384614,2306.818181818182,1810.3146853146852,2232.9545454545455
MARINE PARADE,1994-01,mid,135000.0,108000.0,348000.0,122000.0,203000.0,2076.923076923077,1578.9473684210527,2900.0,1661.5384615384614,2333.3333333333335
MARINE PARADE,1994-02,mid,130000.0,109000.0,385000.0,120000.0,313000.0,2033.8983050847457,1676.923076923077,3208.3333333333335,1846.1538461538462,2647.7272727272725
MARINE PARADE,1994-03,mid,143000.0,120000.0,330000.0,136500.0,215500.0,2014.7058823529412,1846.1538461538462,2750.0,1912.218045112782,2463.5579937304074
MARINE PARADE,1994-04,mid,182000.0,105000.0,188000.0,143500.0,185000.0,2292.682926829268,1615.3846153846155,2394.7368421052633,1954.033771106942,2343.7098844672655
MARINE PARADE,1994-05,mid,132750.0,120000.0,159500.0,122750.0,147625.0,1972.419028340081,1605.2631578947369,2205.8823529411766,1695.091093117409,2145.824898785425
