town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
MARINE PARADE,1990-01,high,3 ROOM,50000.0,38000.0,60000.0,41000.0,58500.0,704.6558704453441,584.6153846153846,857.1428571428571,630.7692307692308,786.6541353383459
MARINE PARADE,1990-01,high,5 ROOM,156000.0,135000.0,165000.0,155000.0,158000.0,1300.0,1125.0,1375.0,1291.6666666666667,1316.6666666666667
MARINE PARADE,1990-01,low,3 ROOM,41500.0,37000.0,55000.0,39250.0,46000.0,669.7522816166884,569.2307692307693,723.6842105263158,638.4615384615385,689.3956289027653
MARINE PARADE,1990-01,low,4 ROOM,75250.0,65500.0,85000.0,70375.0,80125.0,860.6648380355277,744.3181818181819,977.0114942528736,802.4915099268549,918.8381661442006
MARINE PARADE,1990-01,low,5 ROOM,143000.0,110000.0,145000.0,126500.0,144000.0,1188.5245901639344,916.6666666666666,1222.2222222222222,1052.5956284153006,1205.3734061930782
MARINE PARADE,1990-01,mid,3 ROOM,40100.0,40000.0,43500.0,40000.0,41025.0,616.9230769230769,615.3846153846154,669.2307692307693,615.3846153846154,631.1538461538462
MARINE PARADE,1990-01,very low,3 ROOM,44500.0,44000.0,45000.0,44250.0,44750.0,634.5141700404859,592.1052631578947,676.9230769230769,613.3097165991902,655.7186234817814
MARINE PARADE,1990-01,very low,4 ROOM,66000.0,66000.0,66000.0,66000.0,66000.0,750.0,750.0,750.0,750.0,750.0
MARINE PARADE,1990-01,very low,5 ROOM,147500.0,145000.0,150000.0,146250.0,148750.0,1170.6349206349205,1150.7936507936508,1190.4761904761904,1160.7142857142858,1180.5555555555554
MARINE PARADE,1990-02,high,3 ROOM,50000.0,40000.0,63990.0,44000.0,50000.0,657.8947368421053,615.3846153846154,914.1428571428571,657.8947368421053,676.9230769230769
MARINE PARADE,1990-02,high,4 ROOM,78500.0,70000.0,87000.0,74250.0,82750.0,892.0454545454545,795.4545454545455,988.6363636363636,843.75,940.3409090909091
MARINE PARADE,1990-02,high,5 ROOM,145000.0,125000.0,172000.0,135000.0,158500.0,1188.5245901639344,1041.6666666666667,1433.3333333333333,1115.0956284153006,1310.9289617486338
MARINE PARADE,1990-02,low,3 ROOM,40000.0,40000.0,40000.0,40000.0,40000.0,677.9661016949152,677.9661016949152,677.9661016949152,677.9661016949152,677.9661016949152
MARINE PARADE,1990-02,low,4 ROOM,74700.0,64400.0,85000.0,69550.0,79850.0,858.6206896551724,740.2298850574713,977.0114942528736,799.4252873563219,917.816091954023
MARINE PARADE,1990-02,mid,3 ROOM,55000.0,55000.0,55000.0,55000.0,55000.0,723.6842105263158,723.6842105263158,723.6842105263158,723.6842105263158,723.6842105263158
MARINE PARADE,1990-02,mid,4 ROOM,100000.0,100000.0,100000.0,100000.0,100000.0,1149.4252873563219,1149.4252873563219,1149.4252873563219,1149.4252873563219,1149.4252873563219
MARINE PARADE,1990-02,very low,3 ROOM,40000.0,39000.0,40200.0,39500.0,40100.0,615.3846153846154,600.0,618.4615384615385,607.6923076923076,616.9230769230769
MARINE PARADE,1990-02,very low,5 ROOM,177000.0,177000.0,177000.0,177000.0,177000.0,1475.0,1475.0,1475.0,1475.0,1475.0
MARINE PARADE,1990-03,high,3 ROOM,40000.0,32000.0,55000.0,37500.0,50250.0,615.3846153846154,492.3076923076923,723.6842105263158,576.9230769230769,687.406015037594
MARINE PARADE,1990-03,high,4 ROOM,65000.0,65000.0,65000.0,65000.0,65000.0,747.1264367816092,747.1264367816092,747.1264367816092,747.1264367816092,747.1264367816092
MARINE PARADE,1990-03,high,5 ROOM,164500.0,110000.0,195000.0,133750.0,185500.0,1370.8333333333333,859.375,1625.0,1114.5833333333333,1545.8333333333333
MARINE PARADE,1990-03,low,3 ROOM,38000.0,38000.0,38000.0,38000.0,38000.0,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846
MARINE PARADE,1990-03,low,4 ROOM,100000.0,100000.0,100000.0,100000.0,100000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
MARINE PARADE,1990-03,low,5 ROOM,169800.0,169800.0,169800.0,169800.0,169800.0,1415.0,1415.0,1415.0,1415.0,1415.0
MARINE PARADE,1990-03,mid,3 ROOM,39000.0,29000.0,40000.0,34000.0,39500.0,600.0,491.52542372881356,615.3846153846154,545.7627118644068,607.6923076923076
MARINE PARADE,1990-03,mid,4 ROOM,91250.0,79500.0,103000.0,85375.0,97125.0,1079.7533259423503,903.4090909090909,1256.0975609756097,991.5812084257205,1167.92544345898
MARINE PARADE,1990-03,very low,3 ROOM,39600.0,39000.0,40200.0,39300.0,39900.0,565.8097165991903,513.1578947368421,618.4615384615385,539.4838056680162,592.1356275303643
MARINE PARADE,1990-03,very low,4 ROOM,85000.0,75000.0,95000.0,80000.0,90000.0,1036.5853658536585,914.6341463414634,1158.5365853658536,975.609756097561,1097.560975609756
MARINE PARADE,1990-04,high,3 ROOM,35000.0,30000.0,40000.0,32500.0,37500.0,493.92712550607285,461.53846153846155,526.3157894736842,477.73279352226723,510.1214574898785
MARINE PARADE,1990-04,high,4 ROOM,80500.0,80500.0,80500.0,80500.0,80500.0,925.2873563218391,925.2873563218391,925.2873563218391,925.2873563218391,925.2873563218391
MARINE PARADE,1990-04,high,5 ROOM,150000.0,135000.0,175000.0,140000.0,150000.0,1250.0,1125.0,1495.7264957264956,1166.6666666666667,1282.051282051282
MARINE PARADE,1990-04,low,3 ROOM,43000.0,40000.0,46000.0,41500.0,44500.0,598.8315481986367,582.2784810126582,615.3846153846154,590.5550146056474,607.1080817916261
MARINE PARADE,1990-04,low,5 ROOM,160000.0,159000.0,161000.0,159500.0,160500.0,1333.3333333333335,1325.0,1341.6666666666667,1329.1666666666667,1337.5
MARINE PARADE,1990-04,mid,4 ROOM,83000.0,83000.0,83000.0,83000.0,83000.0,1012.1951219512196,1012.1951219512196,1012.1951219512196,1012.1951219512196,1012.1951219512196
