town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
MARINE PARADE,1990-01,60000.0,37000.0,165000.0,42500.0,144000.0,750.0,569.2307692307693,1375.0,653.8461538461538,1169.6591204787926
MARINE PARADE,1990-02,63990.0,39000.0,177000.0,42100.0,93500.0,740.2298850574713,600.0,1475.0,657.8947368421053,1015.1515151515152
MARINE PARADE,1990-03,60000.0,29000.0,195000.0,40000.0,108250.0,735.4053236539626,491.52542372881356,1625.0,615.3846153846154,1204.2682926829268
MARINE PARADE,1990-04,83000.0,30000.0,175000.0,46000.0,150000.0,1012.1951219512196,461.53846153846155,1495.7264957264956,615.3846153846154,1282.051282051282
MARINE PARADE,1990-05,73500.0,34000.0,140000.0,39875.0,110250.0,881.4102564102564,523.0769230769231,1261.3636363636363,607.085020242915,1104.1666666666665
MARINE PARADE,1990-06,111000.0,40000.0,188000.0,85000.0,170000.0,1225.0,615.3846153846154,1606.837606837607,1036.5853658536585,1409.8360655737704
MARINE PARADE,1990-07,145000.0,35000.0,195000.0,44500.0,180500.0,1199.712643678161,538.4615384615385,1598.360655737705,615.3846153846154,1444.3793911007026
MARINE PARADE,1990-08,67500.0,34000.0,180000.0,47250.0,102500.0,835.2564102564102,523.0769230769231,1500.0,647.2672064777328,1128.9184952978055
MARINE PARADE,1990-09,75000.0,33000.0,180000.0,39000.0,93500.0,862.0689655172414,507.6923076923077,1500.0,600.0,1083.2632464255676
MARINE PARADE,1990-10,67500.0,40000.0,165000.0,40000.0,110000.0,766.025641025641,615.3846153846154,1375.0,615.3846153846154,977.1341463414634
MARINE PARADE,1990-11,86000.0,29000.0,230000.0,46625.0,144250.0,1017.2413793103449,446.15384615384613,1916.6666666666667,616.1437246963562,1233.1349206349207
MARINE PARADE,1990-12,90500.0,29500.0,182000.0,40000.0,133000.0,937.5,453.84615384615387,1516.6666666666667,615.3846153846154,1108.3333333333333
MARINE PARADE,1991-01,46000.0,29000.0,183000.0,40000.0,108500.0,707.6923076923077,446.15384615384613,1525.0,615.3846153846154,1127.6041666666665
MARINE PARADE,1991-02,65000.0,29000.0,181000.0,40000.0,100000.0,758.6206896551724,446.15384615384613,1483.6065573770493,615.3846153846154,1136.3636363636363
MARINE PARADE,1991-03,65000.0,30000.0,171500.0,48000.0,85000.0,769.7368421052631,461.53846153846155,1405.7377049180327,738.4615384615385,1036.5853658536585
MARINE PARADE,1991-04,58000.0,38000.0,213000.0,43000.0,75000.0,763.1578947368421,526.3157894736842,1775.0,615.3846153846154,884.2329545454545
MARINE PARADE,1991-05,108000.0,35000.0,175000.0,64000.0,140000.0,1166.6666666666667,538.4615384615385,1434.4262295081967,727.2727272727273,1346.590909090909
