town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PASIR RIS,1998-11,2 ROOM,125000.0,125000.0,125000.0,125000.0,125000.0,2272.7272727272725,2272.7272727272725,2272.7272727272725,2272.7272727272725,2272.7272727272725
PASIR RIS,1999-04,2 ROOM,117500.0,115000.0,120000.0,116250.0,118750.0,2136.3636363636365,2090.909090909091,2181.818181818182,2113.636363636364,2159.090909090909
PASIR RIS,1999-07,2 ROOM,126000.0,126000.0,126000.0,126000.0,126000.0,2172.4137931034484,2172.4137931034484,2172.4137931034484,2172.4137931034484,2172.4137931034484
PASIR RIS,1999-12,2 ROOM,140500.0,130000.0,151000.0,135250.0,145750.0,2554.5454545454545,2363.6363636363635,2745.4545454545455,2459.090909090909,2650.0
PASIR RIS,2000-09,2 ROOM,135000.0,135000.0,135000.0,135000.0,135000.0,2454.5454545454545,2454.5454545454545,2454.5454545454545,2454.5454545454545,2454.5454545454545
PASIR RIS,2002-08,2 ROOM,136000.0,136000.0,136000.0,136000.0,136000.0,2472.7272727272725,2472.7272727272725,2472.7272727272725,2472.7272727272725,2472.7272727272725
PASIR RIS,2002-12,2 ROOM,140000.0,140000.0,140000.0,140000.0,140000.0,2545.4545454545455,2545.4545454545455,2545.4545454545455,2545.4545454545455,2545.4545454545455
PASIR RIS,2003-04,2 ROOM,152000.0,152000.0,152000.0,152000.0,152000.0,2763.6363636363635,2763.6363636363635,2763.6363636363635,2763.6363636363635,2763.6363636363635
PASIR RIS,2003-11,2 ROOM,135000.0,135000.0,135000.0,135000.0,135000.0,2327.5862068965516,2327.5862068965516,2327.5862068965516,2327.5862068965516,2327.5862068965516
PASIR RIS,2004-10,2 ROOM,148000.0,148000.0,148000.0,148000.0,148000.0,2690.909090909091,2690.909090909091,2690.909090909091,2690.909090909091,2690.909090909091
PASIR RIS,2005-03,2 ROOM,150000.0,150000.0,150000.0,150000.0,150000.0,2727.2727272727275,2727.2727272727275,2727.2727272727275,2727.2727272727275,2727.2727272727275
PASIR RIS,2007-12,2 ROOM,188000.0,188000.0,188000.0,188000.0,188000.0,3418.181818181818,3418.181818181818,3418.181818181818,3418.181818181818,3418.181818181818
PASIR RIS,2008-11,2 ROOM,208000.0,208000.0,208000.0,208000.0,208000.0,3781.818181818182,3781.818181818182,3781.818181818182,3781.818181818182,3781.818181818182
PASIR RIS,2009-02,2 ROOM,190000.0,190000.0,190000.0,190000.0,190000.0,3275.862068965517,3275.862068965517,3275.862068965517,3275.862068965517,3275.862068965517
PASIR RIS,2009-04,2 ROOM,220000.0,220000.0,220000.0,220000.0,220000.0,4000.0,4000.0,4000.0,4000.0,4000.0
PASIR RIS,2009-11,2 ROOM,230000.0,230000.0,230000.0,230000.0,230000.0,4181.818181818182,4181.818181818182,4181.818181818182,4181.818181818182,4181.818181818182
PASIR RIS,2010-08,2 ROOM,255000.0,255000.0,255000.0,255000.0,255000.0,4636.363636363636,4636.363636363636,4636.363636363636,4636.363636363636,4636.363636363636
PASIR RIS,2010-09,2 ROOM,258000.0,258000.0,258000.0,258000.0,258000.0,4690.909090909091,4690.909090909091,4690.909090909091,4690.909090909091,4690.909090909091
PASIR RIS,2011-04,2 ROOM,263000.0,263000.0,263000.0,263000.0,263000.0,4781.818181818182,4781.818181818182,4781.818181818182,4781.818181818182,4781.818181818182
PASIR RIS,2011-09,2 ROOM,260000.0,260000.0,260000.0,260000.0,260000.0,4727.272727272727,4727.272727272727,4727.272727272727,4727.272727272727,4727.272727272727
PASIR RIS,2016-10,2 ROOM,240000.0,240000.0,240000.0,240000.0,240000.0,4363.636363636364,4363.636363636364,4363.636363636364,4363.636363636364,4363.636363636364
PASIR RIS,2019-10,2 ROOM,258000.0,258000.0,258000.0,258000.0,258000.0,5489.36170212766,5489.36170212766,5489.36170212766,5489.36170212766,5489.36170212766
