town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PASIR RIS,1992-05,EXECUTIVE,160000.0,160000.0,160000.0,160000.0,160000.0,1095.890410958904,1095.890410958904,1095.890410958904,1095.890410958904,1095.890410958904
PASIR RIS,1992-08,EXECUTIVE,255000.0,208000.0,320000.0,231500.0,287500.0,1655.844155844156,1454.5454545454545,2176.8707482993195,1555.1948051948052,1916.3574520717377
PASIR RIS,1992-11,EXECUTIVE,215000.0,215000.0,215000.0,215000.0,215000.0,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275
PASIR RIS,1993-03,EXECUTIVE,110000.0,110000.0,110000.0,110000.0,110000.0,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465
PASIR RIS,1993-05,EXECUTIVE,268500.0,247000.0,290000.0,257750.0,279250.0,1815.2536182258139,1657.7181208053692,1972.7891156462586,1736.4858695155915,1894.0213669360362
PASIR RIS,1993-07,EXECUTIVE,305500.0,281000.0,330000.0,293250.0,317750.0,2045.3284410238052,1860.9271523178809,2229.7297297297296,1953.127796670843,2137.5290853767674
PASIR RIS,1993-08,EXECUTIVE,247250.0,247000.0,247500.0,247125.0,247375.0,1717.3210495851822,1695.2054794520548,1739.4366197183099,1706.2632645186186,1728.378834651746
PASIR RIS,1993-09,EXECUTIVE,304000.0,225000.0,370000.0,278750.0,317750.0,2060.398505603985,1510.0671140939598,2486.301369863014,1912.4940954180445,2133.717054091293
PASIR RIS,1993-10,EXECUTIVE,345000.0,292500.0,380000.0,318500.0,360000.0,2363.013698630137,2003.4246575342465,2602.7397260273974,2181.5068493150684,2440.930403603935
PASIR RIS,1993-11,EXECUTIVE,333000.0,250000.0,390000.0,307500.0,370500.0,2273.0640201285996,1724.1379310344828,2746.478873239437,2106.1643835616437,2487.4161073825503
PASIR RIS,1993-12,EXECUTIVE,305000.0,255000.0,365000.0,295000.0,330000.0,2034.2465753424658,1746.5753424657535,2431.5068493150684,1986.3013698630136,2323.943661971831
PASIR RIS,1994-01,EXECUTIVE,346500.0,320000.0,360000.0,336250.0,357250.0,2333.214730475004,2206.896551724138,2485.9154929577467,2303.082191780822,2446.9178082191784
PASIR RIS,1994-02,EXECUTIVE,356500.0,340000.0,365000.0,351250.0,359500.0,2384.1059602649007,2251.655629139073,2500.0,2349.493310813814,2443.3457316520007
PASIR RIS,1994-03,EXECUTIVE,362500.0,340000.0,398000.0,353750.0,376250.0,2449.6553588322745,2328.7671232876714,2781.6901408450703,2393.5827893720693,2609.323750723519
PASIR RIS,1994-04,EXECUTIVE,366000.0,340000.0,422000.0,350500.0,386250.0,2473.923359298057,2328.7671232876714,2890.4109589041095,2404.700047236656,2604.4520547945203
PASIR RIS,1994-05,EXECUTIVE,380000.0,330000.0,425000.0,347500.0,394000.0,2602.7397260273974,2275.862068965517,2931.0344827586205,2347.7377528192483,2670.704238301002
PASIR RIS,1994-06,EXECUTIVE,389000.0,315000.0,460000.0,366000.0,407750.0,2642.6310817194144,2114.0939597315437,3108.108108108108,2369.6862571807333,2763.351374652744
PASIR RIS,1994-07,EXECUTIVE,412000.0,335000.0,450000.0,395000.0,442500.0,2739.72602739726,2278.91156462585,3013.698630136986,2714.6297411198075,2983.3548157695895
PASIR RIS,1994-08,EXECUTIVE,422500.0,320000.0,445000.0,373250.0,428000.0,2846.7042979687985,2091.503267973856,3027.2108843537417,2551.696020874103,2907.3571091166746
PASIR RIS,1994-09,EXECUTIVE,403000.0,350000.0,423000.0,386000.0,420000.0,2730.01998001998,2397.2602739726026,2916.6666666666665,2564.7362104982444,2837.421325435024
PASIR RIS,1994-10,EXECUTIVE,388000.0,345000.0,463000.0,358750.0,410000.0,2657.5342465753424,2315.4362416107383,3171.2328767123286,2474.137931034483,2779.6037510342926
PASIR RIS,1994-11,EXECUTIVE,420000.0,345000.0,442000.0,397500.0,429250.0,2876.7123287671234,2240.2597402597403,2927.1523178807947,2691.914250133428,2915.0072575523905
PASIR RIS,1994-12,EXECUTIVE,365000.0,341000.0,430000.0,350000.0,395000.0,2449.6644295302012,2288.5906040268455,2862.0689655172414,2337.6623376623374,2705.4794520547944
PASIR RIS,1995-01,EXECUTIVE,425000.0,343000.0,478000.0,365500.0,443500.0,2811.688311688312,2337.748344370861,3208.0536912751677,2433.2106516562026,3037.671232876712
PASIR RIS,1995-02,EXECUTIVE,392500.0,343000.0,473000.0,369125.0,416250.0,2642.4294656627053,2349.3150684931506,3217.687074829932,2480.302549215277,2837.0644479176244
