town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PASIR RIS,1991-08,100000.0,100000.0,100000.0,100000.0,100000.0,819.672131147541,819.672131147541,819.672131147541,819.672131147541,819.672131147541
PASIR RIS,1991-10,126000.0,126000.0,126000.0,126000.0,126000.0,1086.2068965517242,1086.2068965517242,1086.2068965517242,1086.2068965517242,1086.2068965517242
PASIR RIS,1991-11,85000.0,85000.0,85000.0,85000.0,85000.0,817.3076923076923,817.3076923076923,817.3076923076923,817.3076923076923,817.3076923076923
PASIR RIS,1992-03,125000.0,110000.0,140000.0,117500.0,132500.0,994.0294715447154,894.3089430894308,1093.75,944.1692073170732,1043.8897357723577
PASIR RIS,1992-04,90000.0,90000.0,90000.0,90000.0,90000.0,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902
PASIR RIS,1992-05,160000.0,160000.0,160000.0,160000.0,160000.0,1095.890410958904,1095.890410958904,1095.890410958904,1095.890410958904,1095.890410958904
PASIR RIS,1992-08,231500.0,153000.0,320000.0,194250.0,271250.0,1555.1948051948052,1264.4628099173553,2176.8707482993195,1407.0247933884298,1786.100803957947
PASIR RIS,1992-09,139000.0,90000.0,188000.0,114500.0,163500.0,1201.1208461599178,873.7864077669902,1528.4552845528456,1037.453626963454,1364.7880653563818
PASIR RIS,1992-10,79660.0,79660.0,79660.0,79660.0,79660.0,773.3980582524272,773.3980582524272,773.3980582524272,773.3980582524272,773.3980582524272
PASIR RIS,1992-11,215000.0,215000.0,215000.0,215000.0,215000.0,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275
PASIR RIS,1993-01,180000.0,180000.0,180000.0,180000.0,180000.0,1475.4098360655737,1475.4098360655737,1475.4098360655737,1475.4098360655737,1475.4098360655737
PASIR RIS,1993-03,105000.0,100000.0,110000.0,102500.0,107500.0,862.1492219710067,753.4246575342465,970.8737864077669,807.7869397526266,916.5115041893869
PASIR RIS,1993-05,247000.0,110000.0,290000.0,178500.0,268500.0,1657.7181208053692,1037.7358490566037,1972.7891156462586,1347.7269849309864,1815.2536182258139
PASIR RIS,1993-06,116000.0,116000.0,116000.0,116000.0,116000.0,1380.952380952381,1380.952380952381,1380.952380952381,1380.952380952381,1380.952380952381
PASIR RIS,1993-07,180000.0,130000.0,330000.0,133750.0,264500.0,1647.7932636469222,1171.1711711711712,2229.7297297297296,1432.5778388278388,1832.6872341571097
PASIR RIS,1993-08,247250.0,247000.0,247500.0,247125.0,247375.0,1717.3210495851822,1695.2054794520548,1739.4366197183099,1706.2632645186186,1728.378834651746
PASIR RIS,1993-09,290000.0,170000.0,370000.0,251500.0,316000.0,2042.2535211267605,1359.375,2486.301369863014,1831.837505904582,2125.402224878183
PASIR RIS,1993-10,286250.0,100000.0,380000.0,215000.0,340500.0,2077.268835616438,961.5384615384615,2602.7397260273974,1705.343752466651,2341.365965029513
PASIR RIS,1993-11,282500.0,135000.0,390000.0,210000.0,333000.0,1964.9932965887083,1174.2424242424242,2746.478873239437,1723.431317128321,2288.2679535076795
PASIR RIS,1993-12,244000.0,135000.0,365000.0,190000.0,297000.0,1893.939393939394,1136.3636363636363,2431.5068493150684,1746.5753424657535,2034.2465753424658
PASIR RIS,1994-01,247500.0,146000.0,360000.0,181000.0,335000.0,1989.955357142857,1504.424778761062,2485.9154929577467,1761.9574378423936,2294.660902762183
PASIR RIS,1994-02,258000.0,150000.0,365000.0,232500.0,304000.0,2137.0967741935483,1428.5714285714287,2500.0,1912.8317226568493,2349.993333037024
PASIR RIS,1994-03,248000.0,145000.0,398000.0,185000.0,295000.0,2090.1639344262294,1523.8095238095239,2781.6901408450703,1792.803970223325,2342.2752111276704
PASIR RIS,1994-04,265000.0,147500.0,422000.0,185000.0,340000.0,2172.1311475409834,1404.7619047619048,2890.4109589041095,1785.7142857142858,2424.6575342465753
PASIR RIS,1994-05,255000.0,150000.0,425000.0,186250.0,323750.0,2017.251063146915,1538.4615384615386,2931.0344827586205,1808.252427184466,2394.4180716974956
PASIR RIS,1994-06,260000.0,170000.0,460000.0,190000.0,372000.0,2122.620750357575,1504.424778761062,3108.108108108108,1835.8760980120203,2422.8020240354203
PASIR RIS,1994-07,250000.0,165000.0,450000.0,204500.0,325000.0,2087.378640776699,1592.9203539823009,3013.698630136986,1946.969696969697,2500.0
PASIR RIS,1994-08,245000.0,157000.0,445000.0,200000.0,318000.0,2091.503267973856,1622.6415094339623,3027.2108843537417,1851.851851851852,2421.875
PASIR RIS,1994-09,218000.0,136000.0,423000.0,185000.0,283000.0,2000.0,1504.0650406504064,2916.6666666666665,1767.2413793103449,2233.009708737864
PASIR RIS,1994-10,225000.0,150000.0,463000.0,183750.0,301250.0,2125.104022191401,1456.3106796116506,3171.2328767123286,1758.541325695581,2418.068404821979
PASIR RIS,1994-11,200500.0,148000.0,442000.0,184250.0,261250.0,1952.005861879465,1439.0243902439024,3040.0,1747.5728155339805,2198.414449628042
PASIR RIS,1994-12,230000.0,150000.0,430000.0,192500.0,308750.0,2160.377358490566,1456.3106796116506,3007.8125,1835.2130325814537,2371.2877758025725
PASIR RIS,1995-01,231500.0,167000.0,478000.0,200000.0,323000.0,2095.2380952380954,1628.3185840707965,3208.0536912751677,1875.0,2424.242424242424
PASIR RIS,1995-02,270000.0,155000.0,473000.0,210000.0,348000.0,2273.5849056603774,1698.1132075471698,3217.687074829932,1981.132075471698,2682.119205298013
PASIR RIS,1995-03,234000.0,175000.0,500000.0,189750.0,311500.0,2104.987492182614,1605.2631578947369,3311.2582781456954,1862.1967654986522,2522.6943236310917
PASIR RIS,1995-04,240000.0,155000.0,470000.0,220000.0,335000.0,2285.714285714286,1420.7142857142858,3146.853146853147,2079.646017699115,2692.9133858267714
PASIR RIS,1995-05,250000.0,145000.0,500000.0,228875.0,332250.0,2314.285714285714,1367.9245283018868,3378.3783783783783,2170.153813737885,2694.672131147541
PASIR RIS,1995-06,250000.0,180000.0,570000.0,236750.0,331250.0,2345.6709956709956,1698.1132075471698,3904.109589041096,2227.8546266861413,2532.5168605943823
PASIR RIS,1995-07,253500.0,185000.0,516000.0,235000.0,350000.0,2380.9523809523807,1820.388349514563,3521.1267605633802,2219.0476190476193,2859.504132231405
PASIR RIS,1995-08,263500.0,195000.0,495000.0,245375.0,368500.0,2491.0714285714284,2161.904761904762,3342.4657534246576,2333.3333333333335,2931.788617886179
PASIR RIS,1995-09,310000.0,220000.0,527000.0,253000.0,400000.0,2572.8155339805826,2131.5789473684213,3609.5890410958905,2379.1554357592095,2934.4262295081967
PASIR RIS,1995-10,270000.0,238000.0,555000.0,256000.0,358000.0,2561.904761904762,2068.9655172413795,3700.0,2424.242424242424,2796.875
PASIR RIS,1995-11,273000.0,220000.0,560000.0,257500.0,350000.0,2552.3809523809523,2075.4716981132074,3741.496598639456,2433.6283185840707,2845.528455284553
PASIR RIS,1995-12,282000.0,198000.0,600000.0,265000.0,360000.0,2669.902912621359,2027.027027027027,4109.58904109589,2548.076923076923,2950.8196721311474
PASIR RIS,1996-01,300000.0,204000.0,605000.0,280000.0,397000.0,2796.116504854369,2409.5238095238096,4087.837837837838,2666.6666666666665,3245.901639344262
PASIR RIS,1996-02,310000.0,218000.0,600000.0,283000.0,462500.0,2942.8571428571427,2162.037037037037,4055.1724137931033,2682.5705039297272,3398.5245901639346
PASIR RIS,1996-03,321400.0,210000.0,615000.0,292000.0,415000.0,3000.0,2380.5309734513276,4212.328767123287,2815.5339805825242,3363.987738238038
PASIR RIS,1996-04,322500.0,223000.0,678000.0,305000.0,446250.0,3072.1153846153848,2017.5438596491229,4615.384615384615,2862.1967654986524,3511.71875
PASIR RIS,1996-05,360000.0,265000.0,665000.0,336000.0,535000.0,3455.2845528455287,2685.185185185185,4650.40650406504,3179.322699953768,3710.4847207586936
PASIR RIS,1996-06,370000.0,268000.0,715000.0,349000.0,475500.0,3396.2264150943397,2571.4285714285716,4931.0344827586205,3234.5132743362833,3869.8630136986303
PASIR RIS,1996-07,372000.0,275000.0,622500.0,350000.0,442500.0,3495.9349593495936,2956.896551724138,4263.698630136986,3300.970873786408,3693.256631511665
PASIR RIS,1996-08,385000.0,250000.0,715000.0,358500.0,478000.0,3599.1305697873004,2380.9523809523807,5035.211267605634,3373.5530246452577,3850.4901960784314
PASIR RIS,1996-09,380000.0,310000.0,645000.0,367000.0,409500.0,3587.6909254267744,3108.108108108108,4448.275862068966,3434.260429835651,3844.139194139194
PASIR RIS,1996-10,387500.0,285000.0,700000.0,363250.0,488750.0,3633.2943013270883,2660.5504587155965,4729.72972972973,3401.4389736477115,3852.314200398142
PASIR RIS,1996-11,380000.0,260000.0,700000.0,355250.0,463000.0,3516.7124542124543,2831.858407079646,4761.9047619047615,3363.4700476514636,3784.8227896341464
PASIR RIS,1996-12,380000.0,298000.0,635000.0,352000.0,487500.0,3547.6190476190477,2920.353982300885,4349.315068493151,3320.754716981132,3886.1788617886177
PASIR RIS,1997-01,372500.0,302000.0,665000.0,349500.0,487000.0,3480.9523809523807,2877.3584905660377,4618.055555555556,3328.5714285714284,3900.273224043716
PASIR RIS,1997-02,460000.0,335000.0,688000.0,360000.0,593750.0,3723.1404958677685,2790.6976744186045,4777.777777777777,3368.6986557132186,4058.435547327008
PASIR RIS,1997-03,444500.0,300000.0,668000.0,356250.0,568750.0,3672.003073770492,3028.5714285714284,4606.896551724138,3387.5181422351234,4038.192290651307
PASIR RIS,1997-04,448000.0,275000.0,680000.0,365000.0,582000.0,3658.5365853658536,2857.1428571428573,4666.666666666667,3393.939393939394,3986.394557823129
PASIR RIS,1997-05,447500.0,270000.0,680000.0,362750.0,568750.0,3643.623432979749,2904.7619047619046,4689.6551724137935,3400.669642857143,3944.1056910569105
PASIR RIS,1997-06,459000.0,273000.0,710000.0,365000.0,580000.0,3707.949696833595,3000.0,4896.551724137931,3368.373180873181,4024.9756097560976
PASIR RIS,1997-07,456250.0,300000.0,690000.0,366250.0,577250.0,3699.1869918699185,2654.8672566371683,4689.6551724137935,3403.6104605776736,3989.72602739726
PASIR RIS,1997-08,425000.0,273000.0,675000.0,350000.0,563000.0,3490.3846153846152,2870.3703703703704,4560.810810810811,3288.4615384615386,3895.104895104895
PASIR RIS,1997-09,445000.0,263000.0,700000.0,350000.0,568500.0,3546.5512719643325,2961.904761904762,4827.586206896552,3305.995475113122,3896.395735524257
PASIR RIS,1997-10,431500.0,262000.0,645000.0,351000.0,560000.0,3508.130081300813,2818.181818181818,4479.166666666667,3253.537735849057,3871.321386946387
PASIR RIS,1997-11,425000.0,268000.0,615000.0,335000.0,540000.0,3426.573426573427,2916.6666666666665,4241.379310344828,3191.391941391941,3677.430032415651
PASIR RIS,1997-12,433500.0,290000.0,654000.0,341250.0,537500.0,3390.3274306715666,2690.265486725664,4389.261744966443,3168.5014204545455,3617.3841233221474
PASIR RIS,1998-01,418000.0,280000.0,630000.0,326000.0,515000.0,3317.3076923076924,2666.6666666666665,4262.5,3028.5714285714284,3537.4149659863947
PASIR RIS,1998-02,411000.0,258000.0,670000.0,318500.0,495000.0,3214.285714285714,2457.1428571428573,4527.027027027027,3000.0,3444.4897959183672
PASIR RIS,1998-03,399500.0,238000.0,700000.0,310500.0,464000.0,3057.6923076923076,2457.1428571428573,4827.586206896552,2905.6603773584907,3267.496392496392
PASIR RIS,1998-04,395000.0,226000.0,585000.0,308500.0,480000.0,3034.246575342466,2548.076923076923,4062.5,2861.9065420560746,3265.3061224489797
PASIR RIS,1998-05,385000.0,262000.0,637000.0,310000.0,468250.0,3023.8230289279636,2568.9655172413795,4304.054054054054,2816.978733240869,3203.767123287671
PASIR RIS,1998-06,385000.0,241500.0,590000.0,309000.0,465500.0,3000.0,2411.214953271028,4041.095890410959,2807.6923076923076,3210.420786640299
PASIR RIS,1998-07,380000.0,230000.0,665000.0,304700.0,465750.0,2984.250992063492,2448.2758620689656,4068.9655172413795,2806.5268065268065,3201.2295081967213
PASIR RIS,1998-08,381180.0,226000.0,585000.0,305000.0,464300.0,2965.753424657534,2358.490566037736,3926.1744966442952,2764.2276422764226,3181.818181818182
