town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PASIR RIS,1992-03,high,125000.0,110000.0,140000.0,117500.0,132500.0,994.0294715447154,894.3089430894308,1093.75,944.1692073170732,1043.8897357723577
PASIR RIS,1992-04,high,90000.0,90000.0,90000.0,90000.0,90000.0,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902
PASIR RIS,1992-05,high,160000.0,160000.0,160000.0,160000.0,160000.0,1095.890410958904,1095.890410958904,1095.890410958904,1095.890410958904,1095.890410958904
PASIR RIS,1992-09,high,188000.0,188000.0,188000.0,188000.0,188000.0,1528.4552845528456,1528.4552845528456,1528.4552845528456,1528.4552845528456,1528.4552845528456
PASIR RIS,1993-06,high,116000.0,116000.0,116000.0,116000.0,116000.0,1380.952380952381,1380.952380952381,1380.952380952381,1380.952380952381,1380.952380952381
PASIR RIS,1993-07,high,215000.0,215000.0,215000.0,215000.0,215000.0,1747.9674796747968,1747.9674796747968,1747.9674796747968,1747.9674796747968,1747.9674796747968
PASIR RIS,1993-09,high,285000.0,238000.0,303000.0,269500.0,293250.0,1968.5605209970806,1917.8082191780823,2075.3424657534247,1942.5668088928812,2008.5616438356165
PASIR RIS,1993-10,high,280000.0,170000.0,360000.0,190000.0,292500.0,2003.4246575342465,1557.377049180328,2465.753424657534,1650.485436893204,2276.4227642276423
PASIR RIS,1993-11,high,280000.0,183000.0,390000.0,255000.0,355000.0,2121.212121212121,1794.1176470588234,2746.478873239437,1931.8181818181818,2382.55033557047
PASIR RIS,1993-12,high,225000.0,150000.0,345000.0,202750.0,249750.0,1844.2622950819673,1136.3636363636363,2379.310344827586,1792.8464977645306,1997.9254478398316
PASIR RIS,1994-01,high,195000.0,146000.0,360000.0,175000.0,287000.0,1964.2857142857142,1619.4690265486727,2337.6623376623374,1885.2459016393443,2206.896551724138
PASIR RIS,1994-02,high,235000.0,171000.0,300000.0,203750.0,253500.0,2032.387045181927,1513.274336283186,2439.0243902439024,1911.7061913098837,2183.0440900562853
PASIR RIS,1994-03,high,230000.0,145000.0,398000.0,190000.0,282000.0,2067.3076923076924,1650.485436893204,2726.027397260274,1726.1904761904761,2311.4754098360654
PASIR RIS,1994-04,high,191000.0,163000.0,422000.0,170000.0,377000.0,1836.5384615384614,1504.424778761062,2890.4109589041095,1634.6153846153845,2582.1917808219177
PASIR RIS,1994-05,high,278800.0,160000.0,425000.0,195000.0,347500.0,2285.245901639344,1538.4615384615386,2931.0344827586205,1893.2038834951454,2431.1125661592187
PASIR RIS,1994-06,high,209250.0,170000.0,430000.0,187000.0,262500.0,2009.9013715518572,1504.424778761062,2885.9060402684563,1815.5339805825242,2077.34375
PASIR RIS,1994-07,high,257000.0,165000.0,450000.0,209750.0,363500.0,2087.378640776699,1592.9203539823009,3013.698630136986,1974.861303744799,2681.3384235346957
PASIR RIS,1994-08,high,197500.0,180000.0,266000.0,187500.0,220250.0,1899.907535829866,1714.2857142857142,2078.125,1785.7142857142858,2012.2496966019417
PASIR RIS,1994-09,high,246000.0,175000.0,418000.0,222500.0,296500.0,2123.8938053097345,1682.6923076923076,2824.324324324324,2004.9019607843138,2318.320610687023
PASIR RIS,1994-10,high,204000.0,165000.0,320000.0,177500.0,235000.0,1821.0954317149008,1603.7735849056603,2601.6260162601625,1753.3825655856228,2185.394204851752
PASIR RIS,1994-11,high,200000.0,148000.0,380000.0,190000.0,230000.0,1901.9607843137255,1681.41592920354,3040.0,1761.904761904762,2169.811320754717
PASIR RIS,1994-12,high,270500.0,165000.0,385000.0,207500.0,350000.0,2271.9285611407176,1755.3191489361702,3007.8125,1998.7635098003298,2771.5114503816794
PASIR RIS,1995-01,high,233000.0,167000.0,478000.0,226500.0,345900.0,2204.7619047619046,1681.41592920354,3208.0536912751677,2031.9240724762726,2634.9129098360654
PASIR RIS,1995-02,high,250000.0,155000.0,455000.0,235000.0,339000.0,2211.5384615384614,1796.116504854369,3095.2380952380954,2086.5370665892933,2790.2045793252946
PASIR RIS,1995-03,high,240000.0,175000.0,500000.0,233000.0,350000.0,2281.5533980582522,1699.0291262135922,3311.2582781456954,2061.9469026548672,2590.909090909091
PASIR RIS,1995-04,high,285000.0,159120.0,470000.0,222750.0,331250.0,2401.0148656375072,1420.7142857142858,3112.582781456954,2162.621359223301,2716.188524590164
PASIR RIS,1995-05,high,275000.0,220000.0,485000.0,247000.0,360750.0,2433.10442813166,2049.1803278688526,3321.917808219178,2251.877633266166,2799.3206826858295
PASIR RIS,1995-06,high,254000.0,205000.0,452000.0,243000.0,331500.0,2400.0,1971.1538461538462,3095.890410958904,2279.4843430905375,2676.0703485596055
PASIR RIS,1995-07,high,344500.0,238000.0,516000.0,248250.0,478250.0,2835.4897710337355,2232.1428571428573,3350.6493506493507,2313.384188626907,3189.2034959679236
PASIR RIS,1995-08,high,325000.0,245500.0,480000.0,261000.0,370000.0,2598.3606557377047,2256.637168141593,3287.671232876712,2427.1844660194174,3032.7868852459014
PASIR RIS,1995-09,high,270000.0,243000.0,356000.0,261500.0,338000.0,2572.8155339805826,2131.5789473684213,2918.032786885246,2401.4354400390216,2769.6960050931084
PASIR RIS,1995-10,high,268000.0,238000.0,500000.0,257000.0,293500.0,2504.854368932039,2106.1946902654868,3333.3333333333335,2345.1327433628317,2601.9417475728155
PASIR RIS,1995-11,high,273000.0,220000.0,550000.0,267500.0,288500.0,2610.619469026549,2340.425531914894,3741.496598639456,2433.6283185840707,2695.054945054945
PASIR RIS,1995-12,high,281500.0,198000.0,592000.0,264250.0,306250.0,2628.83914627798,2266.6666666666665,4027.2108843537417,2490.044247787611,2772.3603047895504
PASIR RIS,1996-01,high,300000.0,253000.0,600000.0,278500.0,540000.0,2912.621359223301,2433.6283185840707,4020.2702702702704,2585.473187551039,3598.051948051948
PASIR RIS,1996-02,high,360000.0,265000.0,595000.0,316250.0,426250.0,3167.3623083204793,2345.1327433628317,4047.6190476190477,3045.6808707735063,3466.2135145941625
PASIR RIS,1996-03,high,325000.0,240000.0,615000.0,302750.0,408000.0,2967.737778159636,2407.4074074074074,4212.328767123287,2861.8836915297093,3179.0465631929046
PASIR RIS,1996-04,high,416000.0,260000.0,625000.0,309500.0,450000.0,3409.090909090909,2823.529411764706,4310.3448275862065,2990.4779686333086,3642.291017477307
PASIR RIS,1996-05,high,360000.0,265000.0,572000.0,319250.0,366250.0,3445.054945054945,3028.846153846154,4650.40650406504,3142.770457697642,3534.15559772296
PASIR RIS,1996-06,high,370000.0,323000.0,525000.0,350000.0,423500.0,3345.1327433628317,2936.3636363636365,4065.5737704918033,3234.5132743362833,3841.019417475728
PASIR RIS,1996-07,high,375000.0,340000.0,622500.0,368000.0,415000.0,3537.735849056604,3256.637168141593,4263.698630136986,3509.6153846153848,3672.566371681416
PASIR RIS,1996-08,high,393000.0,250000.0,715000.0,374000.0,476000.0,3669.902912621359,2380.9523809523807,5035.211267605634,3416.6602539438245,3860.896817743491
PASIR RIS,1996-09,high,400000.0,310000.0,522000.0,383000.0,430000.0,3672.566371681416,3210.5263157894738,3934.4262295081967,3500.0,3787.878787878788
PASIR RIS,1996-10,high,398000.0,320000.0,680000.0,364500.0,476500.0,3592.233009708738,3141.592920353982,4503.311258278146,3470.430107526882,3759.598836864281
PASIR RIS,1996-11,high,379000.0,260000.0,595000.0,360000.0,449250.0,3515.6926406926405,3095.2380952380954,4192.307692307692,3389.07967032967,3717.2619047619046
PASIR RIS,1996-12,high,434000.0,360000.0,620000.0,380000.0,522750.0,3721.2885154061623,3421.0526315789475,4217.687074829932,3562.4656530500088,3943.3226709316273
PASIR RIS,1997-01,high,377000.0,335000.0,665000.0,356500.0,397250.0,3451.3274336283184,3238.095238095238,4618.055555555556,3374.662618083671,3703.067273820775
PASIR RIS,1997-02,high,493000.0,345000.0,688000.0,378000.0,630000.0,4008.130081300813,3097.3451327433627,4777.777777777777,3446.6019417475727,4285.714285714285
PASIR RIS,1997-03,high,461500.0,347000.0,660000.0,358000.0,607000.0,3853.658536585366,3126.126126126126,4551.724137931034,3380.134428678118,4203.026729559749
PASIR RIS,1997-04,high,460000.0,330000.0,680000.0,368000.0,495000.0,3778.688524590164,3115.0442477876104,4666.666666666667,3543.6893203883496,4027.3972602739727
PASIR RIS,1997-05,high,458800.0,285500.0,680000.0,372000.0,584500.0,3730.081300813008,3106.7961165048546,4689.6551724137935,3526.512322628828,4189.6551724137935
PASIR RIS,1997-06,high,451000.0,340000.0,693000.0,374000.0,580000.0,3696.72131147541,3226.4150943396226,4758.620689655172,3393.719391700318,4001.2037143184684
