town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PASIR RIS,1991-10,mid,126000.0,126000.0,126000.0,126000.0,126000.0,1086.2068965517242,1086.2068965517242,1086.2068965517242,1086.2068965517242,1086.2068965517242
PASIR RIS,1992-08,mid,231500.0,208000.0,255000.0,219750.0,243250.0,1555.1948051948052,1454.5454545454545,1655.844155844156,1504.8701298701299,1605.5194805194806
PASIR RIS,1993-07,mid,305500.0,281000.0,330000.0,293250.0,317750.0,2045.3284410238052,1860.9271523178809,2229.7297297297296,1953.127796670843,2137.5290853767674
PASIR RIS,1993-08,mid,247250.0,247000.0,247500.0,247125.0,247375.0,1717.3210495851822,1695.2054794520548,1739.4366197183099,1706.2632645186186,1728.378834651746
PASIR RIS,1993-09,mid,286500.0,174000.0,370000.0,248250.0,316500.0,1906.2889165628892,1359.375,2483.221476510067,1735.7949064248505,2107.001220256254
PASIR RIS,1993-10,mid,260000.0,210000.0,310000.0,235000.0,285000.0,2031.25,1590.909090909091,2123.2876712328766,1811.0795454545455,2077.268835616438
PASIR RIS,1993-11,mid,230000.0,140000.0,380000.0,189000.0,319000.0,1951.923076923077,1283.1858407079646,2676.056338028169,1693.618881118881,2295.71398920714
PASIR RIS,1993-12,mid,252500.0,250000.0,255000.0,251250.0,253750.0,1820.2573682025736,1746.5753424657535,1893.939393939394,1783.4163553341637,1857.0983810709838
PASIR RIS,1994-01,mid,221000.0,160000.0,358000.0,185000.0,279250.0,1870.995670995671,1504.424778761062,2452.054794520548,1638.4204374686926,2208.5361168032787
PASIR RIS,1994-02,mid,285000.0,150000.0,365000.0,237500.0,339500.0,2248.715394295302,1428.5714285714287,2452.054794520548,1874.9206046747968,2386.566747346863
PASIR RIS,1994-03,mid,260000.0,160000.0,395000.0,223750.0,277250.0,2100.6493506493507,1650.9433962264152,2781.6901408450703,1946.72131147541,2200.415826612903
PASIR RIS,1994-04,mid,340000.0,200000.0,355000.0,290000.0,354000.0,2377.0491803278687,1769.9115044247787,2431.5068493150684,2328.7671232876714,2424.6575342465753
PASIR RIS,1994-05,mid,175000.0,150000.0,245000.0,162500.0,210000.0,1785.7142857142858,1682.6923076923076,2024.793388429752,1734.2032967032967,1905.253837072019
PASIR RIS,1994-06,mid,260000.0,172000.0,410000.0,185000.0,308500.0,2131.1475409836066,1522.1238938053098,2755.244755244755,1814.5896656534956,2297.129810828441
PASIR RIS,1994-07,mid,225000.0,175000.0,325000.0,189000.0,280000.0,2123.809523809524,1666.6666666666667,2663.934426229508,1723.8095238095239,2187.5
PASIR RIS,1994-08,mid,235000.0,185000.0,440000.0,200000.0,285000.0,2106.7961165048546,1637.1681415929204,3013.698630136986,1904.7619047619048,2336.065573770492
PASIR RIS,1994-09,mid,235000.0,180000.0,420000.0,212500.0,312500.0,2142.8571428571427,1747.5728155339805,2916.6666666666665,1923.2547387887194,2315.134991355233
PASIR RIS,1994-10,mid,252000.0,207000.0,340000.0,228000.0,316500.0,2400.0,2009.7087378640776,2729.5081967213114,2181.855651218172,2578.7145459276608
PASIR RIS,1994-11,mid,190000.0,177000.0,345000.0,181250.0,222500.0,1803.2824780397596,1439.0243902439024,2524.390243902439,1722.6074895977808,2112.7953837699215
PASIR RIS,1994-12,mid,225500.0,187000.0,330000.0,207500.0,251750.0,2088.404767542821,1780.952380952381,2682.9268292682927,1972.3163583073822,2208.0720092915217
PASIR RIS,1995-01,mid,235000.0,178000.0,425000.0,205000.0,305000.0,2076.190476190476,1628.3185840707965,2852.3489932885905,1894.7368421052631,2418.032786885246
PASIR RIS,1995-02,mid,320000.0,185000.0,368000.0,255000.0,336750.0,2588.673621460507,1778.8461538461538,3016.3934426229507,2155.119084441695,2711.065573770492
PASIR RIS,1995-03,mid,230500.0,176000.0,428000.0,189750.0,304500.0,2208.333333333333,1773.5849056603774,2911.5646258503402,1978.4223203532717,2496.4285714285716
PASIR RIS,1995-04,mid,244500.0,185000.0,456000.0,235000.0,339500.0,2346.1538461538457,1712.962962962963,3146.853146853147,2195.1621073961496,2654.930941009423
PASIR RIS,1995-05,mid,310000.0,233000.0,500000.0,246500.0,330000.0,2520.3252032520327,2219.0476190476193,3378.3783783783783,2297.9195561719835,2704.9180327868853
PASIR RIS,1995-06,mid,248000.0,217000.0,448000.0,239250.0,260750.0,2333.333333333333,2047.1698113207547,2986.6666666666665,2229.9841375855735,2483.333333333333
PASIR RIS,1995-07,mid,272500.0,204000.0,480000.0,250000.0,340000.0,2570.754716981132,2135.9223300970875,3287.671232876712,2281.5533980582522,2786.8852459016393
PASIR RIS,1995-08,mid,256000.0,195000.0,488000.0,240000.0,342000.0,2352.3809523809523,2161.904761904762,3342.4657534246576,2330.097087378641,2803.27868852459
PASIR RIS,1995-09,mid,266000.0,220000.0,470000.0,248500.0,385000.0,2377.3584905660377,2135.9223300970875,3103.448275862069,2315.0191232715506,2744.6764946764947
