town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PASIR RIS,1992-08,very low,153000.0,153000.0,153000.0,153000.0,153000.0,1264.4628099173553,1264.4628099173553,1264.4628099173553,1264.4628099173553,1264.4628099173553
PASIR RIS,1992-09,very low,90000.0,90000.0,90000.0,90000.0,90000.0,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902
PASIR RIS,1993-03,very low,105000.0,100000.0,110000.0,102500.0,107500.0,862.1492219710067,753.4246575342465,970.8737864077669,807.7869397526266,916.5115041893869
PASIR RIS,1993-05,very low,247000.0,110000.0,290000.0,178500.0,268500.0,1657.7181208053692,1037.7358490566037,1972.7891156462586,1347.7269849309864,1815.2536182258139
PASIR RIS,1993-07,very low,130000.0,130000.0,130000.0,130000.0,130000.0,1171.1711711711712,1171.1711711711712,1171.1711711711712,1171.1711711711712,1171.1711711711712
PASIR RIS,1993-09,very low,275000.0,275000.0,275000.0,275000.0,275000.0,1896.551724137931,1896.551724137931,1896.551724137931,1896.551724137931,1896.551724137931
PASIR RIS,1993-10,very low,100000.0,100000.0,100000.0,100000.0,100000.0,961.5384615384615,961.5384615384615,961.5384615384615,961.5384615384615,961.5384615384615
PASIR RIS,1993-11,very low,286500.0,155000.0,372000.0,240000.0,323250.0,1955.619233994968,1174.2424242424242,2530.612244897959,1723.431317128321,2210.162147050601
PASIR RIS,1993-12,very low,188000.0,135000.0,330000.0,155000.0,305000.0,1607.142857142857,1147.5409836065573,2323.943661971831,1540.983606557377,2013.7931034482758
PASIR RIS,1994-01,very low,335000.0,152000.0,360000.0,231750.0,346500.0,2294.5205479452056,1538.4615384615386,2485.9154929577467,1912.5744047619048,2380.1369863013697
PASIR RIS,1994-02,very low,257500.0,160000.0,360000.0,242500.0,291250.0,2084.8085496984004,1523.8095238095239,2500.0,1983.5399173663868,2292.0866935483873
PASIR RIS,1994-03,very low,268000.0,160000.0,370000.0,230000.0,350000.0,2196.72131147541,1523.8095238095239,2570.4225352112676,1885.2459016393443,2397.2602739726026
PASIR RIS,1994-04,very low,281000.0,150000.0,385000.0,203750.0,317500.0,2162.1685606060605,1619.047619047619,2540.9836065573772,1899.131274131274,2387.705656975434
PASIR RIS,1994-05,very low,312500.0,170000.0,405000.0,205000.0,367500.0,2337.1180263526776,1619.047619047619,2718.1208053691275,1807.1730644111908,2551.6482904555073
