town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PASIR RIS,1991-08,low,5 ROOM,100000.0,100000.0,100000.0,100000.0,100000.0,819.672131147541,819.672131147541,819.672131147541,819.672131147541,819.672131147541
PASIR RIS,1991-10,mid,4 ROOM,126000.0,126000.0,126000.0,126000.0,126000.0,1086.2068965517242,1086.2068965517242,1086.2068965517242,1086.2068965517242,1086.2068965517242
PASIR RIS,1991-11,low,4 ROOM,85000.0,85000.0,85000.0,85000.0,85000.0,817.3076923076923,817.3076923076923,817.3076923076923,817.3076923076923,817.3076923076923
PASIR RIS,1992-03,high,5 ROOM,125000.0,110000.0,140000.0,117500.0,132500.0,994.0294715447154,894.3089430894308,1093.75,944.1692073170732,1043.8897357723577
PASIR RIS,1992-04,high,4 ROOM,90000.0,90000.0,90000.0,90000.0,90000.0,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902
PASIR RIS,1992-05,high,EXECUTIVE,160000.0,160000.0,160000.0,160000.0,160000.0,1095.890410958904,1095.890410958904,1095.890410958904,1095.890410958904,1095.890410958904
PASIR RIS,1992-08,low,EXECUTIVE,320000.0,320000.0,320000.0,320000.0,320000.0,2176.8707482993195,2176.8707482993195,2176.8707482993195,2176.8707482993195,2176.8707482993195
PASIR RIS,1992-08,mid,EXECUTIVE,231500.0,208000.0,255000.0,219750.0,243250.0,1555.1948051948052,1454.5454545454545,1655.844155844156,1504.8701298701299,1605.5194805194806
PASIR RIS,1992-08,very low,5 ROOM,153000.0,153000.0,153000.0,153000.0,153000.0,1264.4628099173553,1264.4628099173553,1264.4628099173553,1264.4628099173553,1264.4628099173553
PASIR RIS,1992-09,high,5 ROOM,188000.0,188000.0,188000.0,188000.0,188000.0,1528.4552845528456,1528.4552845528456,1528.4552845528456,1528.4552845528456,1528.4552845528456
PASIR RIS,1992-09,very low,4 ROOM,90000.0,90000.0,90000.0,90000.0,90000.0,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902
PASIR RIS,1992-10,low,4 ROOM,79660.0,79660.0,79660.0,79660.0,79660.0,773.3980582524272,773.3980582524272,773.3980582524272,773.3980582524272,773.3980582524272
PASIR RIS,1992-11,low,EXECUTIVE,215000.0,215000.0,215000.0,215000.0,215000.0,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275
PASIR RIS,1993-01,low,5 ROOM,180000.0,180000.0,180000.0,180000.0,180000.0,1475.4098360655737,1475.4098360655737,1475.4098360655737,1475.4098360655737,1475.4098360655737
PASIR RIS,1993-03,very low,4 ROOM,100000.0,100000.0,100000.0,100000.0,100000.0,970.8737864077669,970.8737864077669,970.8737864077669,970.8737864077669,970.8737864077669
PASIR RIS,1993-03,very low,EXECUTIVE,110000.0,110000.0,110000.0,110000.0,110000.0,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465
PASIR RIS,1993-05,very low,4 ROOM,110000.0,110000.0,110000.0,110000.0,110000.0,1037.7358490566037,1037.7358490566037,1037.7358490566037,1037.7358490566037,1037.7358490566037
PASIR RIS,1993-05,very low,EXECUTIVE,268500.0,247000.0,290000.0,257750.0,279250.0,1815.2536182258139,1657.7181208053692,1972.7891156462586,1736.4858695155915,1894.0213669360362
PASIR RIS,1993-06,high,4 ROOM,116000.0,116000.0,116000.0,116000.0,116000.0,1380.952380952381,1380.952380952381,1380.952380952381,1380.952380952381,1380.952380952381
