town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PUNGGOL,2015-11,3 ROOM,365000.0,365000.0,365000.0,365000.0,365000.0,5214.285714285715,5214.285714285715,5214.285714285715,5214.285714285715,5214.285714285715
PUNGGOL,2015-12,3 ROOM,360000.0,335000.0,395000.0,360000.0,378000.0,5217.391304347826,4785.714285714285,5895.522388059701,5142.857142857143,5400.0
PUNGGOL,2016-01,3 ROOM,407000.0,407000.0,407000.0,407000.0,407000.0,6074.626865671642,6074.626865671642,6074.626865671642,6074.626865671642,6074.626865671642
PUNGGOL,2016-02,3 ROOM,375000.0,335000.0,415000.0,355000.0,395000.0,5489.872068230277,4785.714285714285,6194.0298507462685,5137.793176972281,5841.950959488273
PUNGGOL,2016-03,3 ROOM,360000.0,338000.0,365000.0,352500.0,362500.0,5171.428571428572,4828.571428571428,5220.588235294118,5144.957983193277,5200.0
PUNGGOL,2016-04,3 ROOM,375000.0,350000.0,398000.0,355000.0,380000.0,5357.142857142857,5000.0,5685.714285714285,5071.428571428572,5671.641791044776
PUNGGOL,2016-05,3 ROOM,352500.0,350000.0,355000.0,351250.0,353750.0,5035.714285714286,5000.0,5071.428571428572,5017.857142857143,5053.571428571428
PUNGGOL,2016-06,3 ROOM,373000.0,352000.0,410000.0,362500.0,391500.0,5328.571428571428,5028.571428571428,5942.028985507246,5178.571428571428,5635.300207039338
PUNGGOL,2016-07,3 ROOM,368000.0,347500.0,383000.0,357750.0,375500.0,5411.764705882353,4964.285714285715,5550.724637681159,5188.0252100840335,5481.244671781757
PUNGGOL,2016-08,3 ROOM,368000.0,357000.0,370000.0,362500.0,369000.0,5257.142857142857,5250.0,5285.714285714285,5253.571428571428,5271.428571428571
PUNGGOL,2016-10,3 ROOM,366500.0,355000.0,378000.0,360750.0,372250.0,5315.126050420168,5071.428571428572,5558.823529411765,5193.27731092437,5436.9747899159665
PUNGGOL,2016-11,3 ROOM,378888.88,378888.88,378888.88,378888.88,378888.88,5571.895294117647,5571.895294117647,5571.895294117647,5571.895294117647,5571.895294117647
PUNGGOL,2016-12,3 ROOM,330000.0,330000.0,330000.0,330000.0,330000.0,4714.285714285715,4714.285714285715,4714.285714285715,4714.285714285715,4714.285714285715
PUNGGOL,2017-03,3 ROOM,370000.0,340000.0,392888.0,354888.5,384000.0,5362.31884057971,4857.142857142857,5864.0,5069.835714285715,5529.228855721393
PUNGGOL,2017-04,3 ROOM,380000.0,360000.0,420000.0,370000.0,391000.0,5205.479452054795,5068.493150684932,5753.424657534247,5142.857142857143,5585.714285714285
PUNGGOL,2017-05,3 ROOM,362500.0,338000.0,380000.0,347000.0,376250.0,5178.571428571428,4828.571428571428,5507.246376811594,4957.142857142857,5394.668737060041
PUNGGOL,2017-06,3 ROOM,366000.0,330000.0,408000.0,353500.0,379500.0,5228.571428571428,4782.608695652174,6089.55223880597,5123.188405797102,5421.428571428572
PUNGGOL,2017-07,3 ROOM,358000.0,335000.0,392000.0,354000.0,364000.0,5217.391304347826,4855.072463768116,5369.86301369863,5094.202898550724,5260.9243697479
PUNGGOL,2017-08,3 ROOM,365000.0,350000.0,380000.0,355000.0,365000.0,5072.463768115942,5000.0,5507.246376811594,5071.428571428572,5289.855072463768
PUNGGOL,2017-09,3 ROOM,351944.0,310000.0,373000.0,330000.0,359500.0,5100.63768115942,4492.753623188406,5405.797101449275,4782.608695652174,5217.391304347826
PUNGGOL,2017-10,3 ROOM,347500.0,332000.0,355000.0,345000.0,353750.0,5036.231884057971,4811.594202898551,5144.927536231884,5000.0,5126.811594202898
PUNGGOL,2017-11,3 ROOM,351500.0,336000.0,390000.0,345000.0,380500.0,5130.967604433077,4869.565217391304,5388.888888888889,5018.382352941177,5303.950764343856
PUNGGOL,2017-12,3 ROOM,300000.0,300000.0,300000.0,300000.0,300000.0,4477.611940298508,4477.611940298508,4477.611940298508,4477.611940298508,4477.611940298508
PUNGGOL,2018-01,3 ROOM,350000.0,328000.0,385000.0,328000.0,370000.0,5072.463768115942,4753.623188405797,5746.268656716418,4895.522388059701,5285.714285714285
PUNGGOL,2018-02,3 ROOM,343000.0,338000.0,380000.0,340500.0,361500.0,5044.776119402985,4971.014492753623,5205.479452054795,5007.895306078304,5125.12778572889
PUNGGOL,2018-03,3 ROOM,344000.0,300000.0,403000.0,322750.0,366500.0,5059.701492537313,4347.826086956522,5657.142857142857,4734.101232965607,5450.285338015803
PUNGGOL,2018-04,3 ROOM,360000.0,348000.0,390000.0,356500.0,365000.0,5373.134328358209,4971.428571428572,5820.895522388059,5320.89552238806,5447.76119402985
