town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PUNGGOL,2005-04,high,292800.0,292800.0,292800.0,292800.0,292800.0,2661.818181818182,2661.818181818182,2661.818181818182,2661.818181818182,2661.818181818182
PUNGGOL,2005-06,high,255000.0,255000.0,255000.0,255000.0,255000.0,2802.197802197802,2802.197802197802,2802.197802197802,2802.197802197802,2802.197802197802
PUNGGOL,2005-07,high,235000.0,235000.0,235000.0,235000.0,235000.0,2764.705882352941,2764.705882352941,2764.705882352941,2764.705882352941,2764.705882352941
PUNGGOL,2005-09,high,302888.0,302888.0,302888.0,302888.0,302888.0,2753.5272727272727,2753.5272727272727,2753.5272727272727,2753.5272727272727,2753.5272727272727
PUNGGOL,2005-10,high,305000.0,305000.0,305000.0,305000.0,305000.0,2772.7272727272725,2772.7272727272725,2772.7272727272725,2772.7272727272725,2772.7272727272725
PUNGGOL,2005-11,high,302500.0,300000.0,305000.0,301250.0,303750.0,2750.0,2727.2727272727275,2772.7272727272725,2738.636363636364,2761.363636363636
PUNGGOL,2005-12,high,271500.0,252000.0,318000.0,264000.0,285750.0,2830.06993006993,2500.0,2977.777777777778,2701.9230769230767,2912.626262626263
PUNGGOL,2006-01,high,314000.0,292000.0,330000.0,305500.0,321000.0,2816.170555108608,2654.5454545454545,2894.7368421052633,2774.2558326629123,2837.3205741626793
PUNGGOL,2006-02,high,318000.0,318000.0,318000.0,318000.0,318000.0,2890.909090909091,2890.909090909091,2890.909090909091,2890.909090909091,2890.909090909091
PUNGGOL,2006-03,high,297000.0,296000.0,303000.0,296500.0,300000.0,2724.770642201835,2715.5963302752293,2754.5454545454545,2720.183486238532,2739.6580483736448
PUNGGOL,2006-04,high,306000.0,292000.0,316000.0,299000.0,311000.0,2781.818181818182,2654.5454545454545,2872.7272727272725,2718.181818181818,2827.272727272727
PUNGGOL,2006-05,high,308000.0,306500.0,313000.0,307625.0,309250.0,2800.0,2786.3636363636365,2845.4545454545455,2796.590909090909,2811.3636363636365
PUNGGOL,2006-06,high,306000.0,297000.0,312000.0,303000.0,308250.0,2794.620517097581,2700.0,2836.3636363636365,2754.5454545454545,2821.4762301918263
PUNGGOL,2006-07,high,297750.0,250000.0,328000.0,267500.0,312249.75,2827.1929824561403,2600.0,2981.818181818182,2727.948402948403,2852.6160541586078
PUNGGOL,2006-08,high,303000.0,247000.0,320000.0,290500.0,306500.0,2772.7272727272725,2590.909090909091,2911.1111111111113,2727.2727272727275,2810.18981018981
PUNGGOL,2006-09,high,261500.0,235000.0,345000.0,256250.0,307500.0,2817.7655677655675,2611.1111111111113,3023.529411764706,2777.9013539651837,2871.212121212121
PUNGGOL,2006-10,high,305500.0,248000.0,368000.0,262500.0,315000.0,2831.7629556161664,2618.181818181818,2945.4545454545455,2752.312599681021,2881.5247252747254
PUNGGOL,2006-11,high,270000.0,245000.0,369000.0,257000.0,306000.0,2810.10101010101,2500.0,2976.470588235294,2748.512954934973,2877.7777777777774
PUNGGOL,2006-12,high,309000.0,257000.0,320000.0,298000.0,312000.0,2793.717824967825,2481.818181818182,2909.090909090909,2702.272727272727,2836.3636363636365
PUNGGOL,2007-01,high,270000.0,245000.0,330000.0,254500.0,302000.0,2809.090909090909,2454.5454545454545,3027.777777777778,2733.838383838384,2850.0
PUNGGOL,2007-02,high,277000.0,250000.0,322000.0,267250.0,303250.0,2833.333333333333,2581.818181818182,3058.823529411765,2733.5995085995087,2920.3296703296705
PUNGGOL,2007-03,high,299000.0,247000.0,385000.0,257250.0,316166.0,2861.1111111111113,2652.6315789473683,3272.7272727272725,2760.810810810811,2957.264957264957
PUNGGOL,2007-04,high,306000.0,245000.0,380000.0,260000.0,318000.0,2844.4444444444443,2366.97247706422,3454.5454545454545,2772.7272727272725,2890.909090909091
PUNGGOL,2007-05,high,300000.0,250000.0,335000.0,262250.0,310500.0,2824.1758241758243,2678.5714285714284,3076.470588235294,2783.625730994152,2915.6565656565654
PUNGGOL,2007-06,high,307200.0,250000.0,355000.0,276800.0,320000.0,2844.4444444444443,2522.5225225225226,3181.818181818182,2779.816513761468,2918.181818181818
PUNGGOL,2007-07,high,305000.0,250000.0,365000.0,282000.0,318000.0,2836.3636363636365,2563.6363636363635,3061.40350877193,2747.252747252747,2882.8828828828828
PUNGGOL,2007-08,high,321000.0,255000.0,393888.0,305000.0,343000.0,2936.3636363636365,2545.4545454545455,3300.0,2834.622823984526,3114.1784820683906
PUNGGOL,2007-09,high,314000.0,258000.0,390000.0,288750.0,330750.0,2969.403714565005,2687.5,3489.090909090909,2869.578815679733,3088.5570599613156
PUNGGOL,2007-10,high,328500.0,258000.0,405000.0,286072.0,343500.0,3043.606393606394,2772.7272727272725,3454.5454545454545,2952.395577395577,3165.15984015984
PUNGGOL,2007-11,high,336000.0,269000.0,425000.0,300250.0,352100.0,3140.909090909091,2663.6363636363635,3644.4444444444443,2995.3726453726454,3220.5128205128203
PUNGGOL,2007-12,high,355000.0,280000.0,410000.0,304750.0,369750.0,3247.937411095306,2725.663716814159,3663.6363636363635,3156.196089706728,3357.992007992008
PUNGGOL,2008-01,high,353500.0,283000.0,405000.0,304250.0,378750.0,3298.2295482295485,2978.9473684210525,3681.818181818182,3254.7979797979797,3485.257985257985
PUNGGOL,2008-02,high,365000.0,288000.0,420000.0,320250.0,392250.0,3400.0,3145.4545454545455,3818.181818181818,3286.3636363636365,3534.4214608920493
PUNGGOL,2008-03,high,368000.0,247000.0,428000.0,310000.0,380000.0,3396.387387387387,2744.4444444444443,3602.6181818181817,3241.7582417582416,3454.5454545454545
PUNGGOL,2008-04,high,362500.0,280000.0,415000.0,331700.0,384000.0,3453.588516746411,3000.0,3741.176470588235,3284.090909090909,3541.4438502673797
PUNGGOL,2008-05,high,385000.0,288500.0,450000.0,326750.0,415250.0,3581.1688311688313,3205.5555555555557,3963.6363636363635,3426.977335800185,3745.9595959595963
PUNGGOL,2008-06,high,381000.0,299000.0,465000.0,339000.0,405500.0,3545.4545454545455,3181.818181818182,3972.7272727272725,3410.6858054226477,3634.588068181818
PUNGGOL,2008-07,high,387500.0,298000.0,465000.0,338500.0,409500.0,3640.4040404040406,3116.0714285714284,3918.181818181818,3520.4545454545455,3706.818181818182
PUNGGOL,2008-08,high,374000.0,307000.0,472000.0,340375.0,409250.0,3558.8516746411483,3225.225225225225,4000.0,3386.5615615615616,3704.4117647058824
PUNGGOL,2008-09,high,395000.0,322500.0,450000.0,372444.0,422500.0,3648.6486486486488,3392.3076923076924,4077.2727272727275,3571.8864468864467,3816.6333666333667
PUNGGOL,2008-10,high,395000.0,315000.0,478000.0,373000.0,420000.0,3681.818181818182,3169.6428571428573,4200.0,3550.5050505050503,3795.604395604396
PUNGGOL,2008-11,high,402500.0,310000.0,468000.0,368500.0,420000.0,3694.83016983017,3214.285714285714,4090.909090909091,3594.082719082719,3816.3390663390664
PUNGGOL,2008-12,high,395000.0,335000.0,450000.0,377000.0,413500.0,3636.3636363636365,3333.3333333333335,4090.909090909091,3531.818181818182,3809.090909090909
PUNGGOL,2009-01,high,392444.0,322000.0,472000.0,380250.0,411750.0,3689.2045454545455,3436.3636363636365,4093.557894736842,3565.1454545454544,3813.6363636363635
PUNGGOL,2009-02,high,380000.0,310000.0,458000.0,347000.0,397250.0,3561.3636363636365,3252.252252252252,4117.64705882353,3451.548451548452,3788.699690402477
PUNGGOL,2009-03,high,398000.0,300000.0,475000.0,357544.0,415500.0,3709.090909090909,3296.703296703297,3952.9411764705883,3590.909090909091,3825.757575757576
PUNGGOL,2009-04,high,392500.0,318000.0,460000.0,340500.0,422250.0,3665.233415233415,3227.2727272727275,3941.176470588235,3507.2427572427573,3797.802197802198
PUNGGOL,2009-05,high,389000.0,302000.0,460000.0,347000.0,408750.0,3665.233415233415,3355.5555555555557,4152.941176470588,3523.2517482517483,3792.8486997635937
PUNGGOL,2009-06,high,396500.0,333000.0,452000.0,374000.0,408000.0,3649.490909090909,3169.6428571428573,3965.1162790697676,3504.3859649122805,3734.090909090909
PUNGGOL,2009-07,high,398000.0,299888.0,478000.0,352500.0,412500.0,3659.090909090909,3243.2432432432433,3911.764705882353,3593.181818181818,3732.0175438596493
PUNGGOL,2009-08,high,393000.0,310000.0,455000.0,365000.0,403888.0,3603.6036036036035,3225.225225225225,3998.981818181818,3500.0,3754.5454545454545
PUNGGOL,2009-09,high,391000.0,318000.0,466000.0,373500.0,413400.0,3618.181818181818,3272.7272727272725,4000.0,3522.8118026283164,3758.181818181818
PUNGGOL,2009-10,high,395500.0,325000.0,482000.0,372750.0,417250.0,3684.2105263157896,3142.8571428571427,4227.272727272727,3540.909090909091,3775.399262899263
PUNGGOL,2009-11,high,403500.0,327000.0,480000.0,390000.0,418500.0,3688.0733944954127,3243.2432432432433,4227.272727272727,3590.909090909091,3811.1111111111113
PUNGGOL,2009-12,high,416000.0,350000.0,490000.0,410000.0,440000.0,3794.6428571428573,3558.5585585585586,4378.9473684210525,3704.587155963303,3954.5454545454545
PUNGGOL,2010-01,high,425000.0,343000.0,492000.0,395000.0,442000.0,3863.6363636363635,3392.8571428571427,4272.727272727273,3818.181818181818,4045.4545454545455
PUNGGOL,2010-02,high,422000.0,350000.0,497000.0,392500.0,439500.0,3869.957386363636,3545.4545454545455,4294.117647058823,3795.7616707616708,3995.4545454545455
PUNGGOL,2010-03,high,420000.0,345000.0,528000.0,400000.0,452000.0,3981.818181818182,3486.4864864864867,4282.35294117647,3789.0625,4125.0
PUNGGOL,2010-04,high,434500.0,363000.0,530000.0,410375.0,454750.0,4009.250398724083,3482.1428571428573,4593.406593406594,3929.545454545455,4154.83710106383
PUNGGOL,2010-05,high,438944.0,357000.0,528000.0,423000.0,460000.0,4031.901584653878,3743.362831858407,4541.176470588235,3884.82800982801,4181.818181818182
PUNGGOL,2010-06,high,443000.0,355000.0,545000.0,423000.0,455000.0,4062.5,3636.3636363636365,4483.516483516483,3918.181818181818,4154.545454545455
PUNGGOL,2010-07,high,460000.0,365000.0,518000.0,443000.0,478000.0,4254.545454545455,3812.5,4717.64705882353,4136.363636363636,4377.777777777777
PUNGGOL,2010-08,high,460000.0,392000.0,550000.0,430500.0,491500.0,4257.8125,3684.6846846846847,4891.363636363636,4111.363636363636,4468.181818181818
PUNGGOL,2010-09,high,470000.0,373000.0,575000.0,439500.0,497000.0,4346.153846153846,3873.873873873874,4888.888888888889,4205.462885738115,4465.391995614035
PUNGGOL,2010-10,high,480000.0,413000.0,575000.0,465000.0,501000.0,4423.076923076923,3954.954954954955,4858.823529411765,4272.727272727273,4543.478260869565
PUNGGOL,2010-11,high,487500.0,430000.0,550000.0,459875.0,514750.0,4411.752661752662,3839.285714285714,4912.087912087912,4301.665861902463,4578.9473684210525
PUNGGOL,2010-12,high,478500.0,412000.0,570000.0,465750.0,493500.0,4444.744318181818,4099.0990990990995,4888.888888888889,4254.545454545455,4502.272727272727
PUNGGOL,2011-01,high,486000.0,395000.0,560000.0,473250.0,505000.0,4431.818181818182,4154.545454545455,5000.0,4372.159090909091,4594.2807192807195
PUNGGOL,2011-02,high,491000.0,405000.0,586800.0,427250.0,506250.0,4545.454545454545,4308.510638297872,5066.666666666667,4454.545454545455,4675.824175824177
PUNGGOL,2011-03,high,466500.0,402000.0,600000.0,444250.0,515250.0,4701.913875598086,4261.261261261261,5388.235294117647,4606.932186732187,4893.939393939394
PUNGGOL,2011-04,high,500000.0,407000.0,570000.0,466250.0,511750.5,4636.363636363636,4203.539823008849,5244.444444444444,4525.474525474525,4868.181818181818
PUNGGOL,2011-05,high,505000.0,413000.0,535000.0,470000.0,516000.0,4663.636363636364,4324.324324324324,5277.777777777777,4618.181818181818,4858.823529411765
PUNGGOL,2011-06,high,502500.0,438000.0,595000.0,485000.0,537000.0,4790.350877192983,4108.108108108108,5500.0,4580.419580419581,4952.921365914787
PUNGGOL,2011-07,high,503000.0,425000.0,595000.0,467250.0,536500.0,4948.529914529914,4554.545454545455,5500.0,4813.636363636364,5163.949275362319
PUNGGOL,2011-08,high,531888.0,460000.0,625000.0,503750.0,559000.0,4823.153409090909,4207.207207207207,5529.411764705882,4601.6746411483255,4885.793585526316
PUNGGOL,2011-09,high,512500.0,448000.0,610000.0,491000.0,546250.0,4909.50040950041,4459.459459459459,5488.888888888889,4713.9639639639645,5153.920146520147
PUNGGOL,2011-10,high,520500.0,453000.0,588000.0,516750.0,530500.0,4764.578214578214,4663.636363636364,5157.894736842105,4727.272727272727,4974.242424242424
PUNGGOL,2011-11,high,520500.0,448000.0,618000.0,510500.0,537750.0,4886.363636363636,4468.468468468468,5777.777777777777,4756.818181818182,5231.459330143541
PUNGGOL,2011-12,high,521500.0,435000.0,580000.0,506722.0,542500.0,4890.909090909091,4618.181818181818,5500.0,4729.1154791154795,5101.076555023924
PUNGGOL,2012-01,high,535000.0,469000.0,690000.0,508125.0,573125.0,4938.210227272728,4484.615384615385,5644.444444444444,4739.148239148239,5318.181818181818
PUNGGOL,2012-02,high,513500.0,441000.0,580000.0,478750.0,545500.0,5122.4702380952385,4627.272727272727,5647.058823529412,4832.227682227682,5342.64705882353
PUNGGOL,2012-03,high,510000.0,431000.0,610000.0,482050.0,540000.0,4974.242424242424,4241.071428571428,5815.217391304348,4720.454545454545,5281.699346405228
PUNGGOL,2012-04,high,516500.0,425000.0,630000.0,472500.0,535250.0,4929.405968468469,4454.545454545455,5966.666666666667,4748.863636363636,5310.314685314685
PUNGGOL,2012-05,high,531000.0,415000.0,655000.0,505000.0,554749.75,4929.119318181818,4509.090909090909,6087.9010989010985,4743.181818181818,5145.625889046942
PUNGGOL,2012-06,high,545000.0,465000.0,648000.0,511000.0,568000.0,5062.5,4603.603603603604,5722.222222222223,4881.818181818182,5198.198198198198
PUNGGOL,2012-07,high,542500.0,455000.0,600000.0,507100.0,570500.0,5241.307814992026,4747.747747747748,5833.333333333333,5119.444444444445,5422.459893048129
PUNGGOL,2012-08,high,555000.0,460000.0,638000.0,523000.0,590000.0,5100.0,4754.545454545455,5673.913043478261,5000.0,5400.0
PUNGGOL,2012-09,high,553000.0,478888.0,662000.0,520500.0,572500.0,5196.463815789473,4553.571428571428,5911.111111111111,5018.181818181818,5393.181818181818
PUNGGOL,2012-10,high,560000.0,473000.0,677000.0,532000.0,595444.0,5372.340425531915,4776.923076923077,6152.941176470588,5235.369318181818,5756.778868630201
PUNGGOL,2012-11,high,553000.0,463000.0,600000.0,542500.0,565000.0,5381.818181818182,4910.714285714285,6250.0,5089.41058941059,5858.695652173913
PUNGGOL,2012-12,high,586500.0,515000.0,688000.0,561250.0,592000.0,5367.68018018018,4954.954954954955,6032.608695652174,5275.892857142857,5381.818181818182
PUNGGOL,2013-01,high,567000.0,482000.0,675800.0,550000.0,600000.0,5350.0,4693.693693693694,6111.111111111111,5154.545454545455,5681.818181818182
PUNGGOL,2013-02,high,550000.0,525000.0,600000.0,542900.0,570000.0,5878.260869565217,5175.438596491228,6055.555555555556,5519.82591876209,5978.260869565217
PUNGGOL,2013-03,high,540000.0,488000.0,610000.0,530000.0,558000.0,5760.869565217391,4821.428571428572,6141.304347826087,5545.454545454545,6011.111111111111
