town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PUNGGOL,2005-05,low,245000.0,245000.0,245000.0,245000.0,245000.0,2722.222222222222,2722.222222222222,2722.222222222222,2722.222222222222,2722.222222222222
PUNGGOL,2005-11,low,282500.0,282500.0,282500.0,282500.0,282500.0,2568.181818181818,2568.181818181818,2568.181818181818,2568.181818181818,2568.181818181818
PUNGGOL,2006-05,low,290000.0,290000.0,290000.0,290000.0,290000.0,2636.3636363636365,2636.3636363636365,2636.3636363636365,2636.3636363636365,2636.3636363636365
PUNGGOL,2006-07,low,288000.0,288000.0,288000.0,288000.0,288000.0,2618.181818181818,2618.181818181818,2618.181818181818,2618.181818181818,2618.181818181818
PUNGGOL,2006-08,low,243500.0,235000.0,252000.0,239250.0,247750.0,2782.3529411764703,2764.705882352941,2800.0,2773.529411764706,2791.176470588235
PUNGGOL,2006-09,low,268500.0,238000.0,287000.0,247000.0,287000.0,2620.334928229665,2609.090909090909,2644.4444444444443,2609.090909090909,2634.795321637427
PUNGGOL,2006-10,low,293000.0,293000.0,293000.0,293000.0,293000.0,2663.6363636363635,2663.6363636363635,2663.6363636363635,2663.6363636363635,2663.6363636363635
PUNGGOL,2006-11,low,247000.0,236000.0,295000.0,238250.0,265000.0,2729.144385026738,2542.553191489362,2802.197802197802,2647.001934235977,2782.902391725921
PUNGGOL,2006-12,low,246500.0,240000.0,290000.0,244500.0,285250.0,2711.1111111111113,2544.6428571428573,2905.8823529411766,2627.2727272727275,2755.8823529411766
PUNGGOL,2007-01,low,290000.0,248000.0,300000.0,251000.0,293500.0,2681.818181818182,2636.3636363636365,2788.8888888888887,2648.3253588516745,2741.4141414141413
PUNGGOL,2007-02,low,271250.0,240000.0,307000.0,245250.0,298750.0,2704.129129129129,2637.3626373626375,2790.909090909091,2684.44055944056,2756.060606060606
PUNGGOL,2007-03,low,266500.0,242000.0,292000.0,245750.0,289500.0,2662.6262626262624,2545.4545454545455,2811.1111111111113,2622.7272727272725,2713.8888888888887
