town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PUNGGOL,2005-05,mid,318000.0,318000.0,318000.0,318000.0,318000.0,2890.909090909091,2890.909090909091,2890.909090909091,2890.909090909091,2890.909090909091
PUNGGOL,2005-10,mid,315000.0,315000.0,315000.0,315000.0,315000.0,2863.6363636363635,2863.6363636363635,2863.6363636363635,2863.6363636363635,2863.6363636363635
PUNGGOL,2006-03,mid,280000.0,280000.0,280000.0,280000.0,280000.0,2545.4545454545455,2545.4545454545455,2545.4545454545455,2545.4545454545455,2545.4545454545455
PUNGGOL,2006-04,mid,268000.0,268000.0,268000.0,268000.0,268000.0,2436.3636363636365,2436.3636363636365,2436.3636363636365,2436.3636363636365,2436.3636363636365
PUNGGOL,2006-05,mid,295000.0,253000.0,298000.0,284500.0,295750.0,2695.4545454545455,2681.818181818182,2811.1111111111113,2681.818181818182,2734.5959595959594
PUNGGOL,2006-07,mid,269500.0,228000.0,296000.0,244250.0,290250.0,2686.631016042781,2563.6363636363635,2855.5555555555557,2668.31550802139,2790.3743315508023
PUNGGOL,2006-08,mid,288000.0,253000.0,301800.0,280000.0,296000.0,2690.909090909091,2568.8073394495414,2811.1111111111113,2618.181818181818,2743.6363636363635
PUNGGOL,2006-09,mid,290000.0,252000.0,313000.0,258000.0,295000.0,2681.818181818182,2527.2727272727275,2866.6666666666665,2652.6315789473683,2833.3333333333335
PUNGGOL,2006-10,mid,253000.0,239000.0,306000.0,245000.0,300000.0,2727.2727272727275,2589.4736842105262,2811.764705882353,2637.3626373626375,2807.3394495412845
PUNGGOL,2006-11,mid,254500.0,241000.0,353000.0,250250.0,286750.0,2741.4141414141413,2536.842105263158,2911.1111111111113,2690.2097902097903,2802.777777777778
PUNGGOL,2006-12,mid,300000.0,249000.0,303000.0,274500.0,301500.0,2754.5454545454545,2702.7027027027025,2929.4117647058824,2728.6240786240787,2841.9786096256685
PUNGGOL,2007-01,mid,295000.0,239500.0,318000.0,249000.0,300000.0,2700.0,2571.4285714285716,2890.909090909091,2679.7979797979797,2786.096256684492
PUNGGOL,2007-02,mid,284250.0,243000.0,326000.0,261000.0,315000.0,2861.229946524064,2744.68085106383,2963.6363636363635,2758.7918660287082,2883.838383838384
PUNGGOL,2007-03,mid,302000.0,241000.0,321000.0,262000.0,306000.0,2777.777777777778,2454.5454545454545,2891.891891891892,2723.7911025145067,2790.909090909091
PUNGGOL,2007-04,mid,285500.0,231000.0,310000.0,243722.0,302112.5,2683.1695331695328,2527.2727272727275,2882.3529411764707,2611.714285714286,2807.613636363636
PUNGGOL,2007-05,mid,292250.0,238000.0,316288.0,255125.0,307750.0,2794.4444444444443,2636.3636363636365,2866.6666666666665,2753.781818181818,2846.4512694512696
PUNGGOL,2007-06,mid,306000.0,248000.0,355000.0,295000.0,310000.0,2772.7272727272725,2654.5454545454545,3045.4545454545455,2730.769230769231,2795.4545454545455
PUNGGOL,2007-07,mid,278500.0,240000.0,348000.0,253500.0,303500.0,2764.2479435957694,2636.3636363636365,3135.135135135135,2719.191919191919,2945.5882352941176
PUNGGOL,2007-08,mid,302500.0,253000.0,388000.0,261250.0,322000.0,2833.333333333333,2663.157894736842,3109.090909090909,2761.363636363636,2986.3636363636365
PUNGGOL,2007-09,mid,312500.0,256000.0,360000.0,302000.0,322500.0,2886.7515151515154,2727.2727272727275,3272.7272727272725,2826.1363636363635,3037.0320855614973
PUNGGOL,2007-10,mid,304000.0,265000.0,350000.0,286750.0,322916.0,2944.4404040404042,2681.818181818182,3333.3333333333335,2916.193181818182,3118.4371184371184
PUNGGOL,2007-11,mid,340000.0,251000.0,430000.0,310000.0,361500.0,3105.2631578947367,2700.0,3330.3571428571427,2968.181818181818,3165.723863398282
