town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PUNGGOL,2006-03,very low,288000.0,288000.0,288000.0,288000.0,288000.0,2618.181818181818,2618.181818181818,2618.181818181818,2618.181818181818,2618.181818181818
PUNGGOL,2006-07,very low,291500.0,288000.0,295000.0,289750.0,293250.0,2650.0,2618.181818181818,2681.818181818182,2634.090909090909,2665.909090909091
PUNGGOL,2006-08,very low,239000.0,239000.0,239000.0,239000.0,239000.0,2626.3736263736264,2626.3736263736264,2626.3736263736264,2626.3736263736264,2626.3736263736264
PUNGGOL,2006-09,very low,240000.0,235000.0,288000.0,237500.0,264000.0,2618.181818181818,2582.4175824175823,2666.6666666666665,2600.2997002997,2642.424242424242
PUNGGOL,2006-10,very low,284500.0,264000.0,305000.0,274250.0,294750.0,2552.4453024453023,2357.1428571428573,2747.747747747748,2454.79407979408,2650.096525096525
PUNGGOL,2006-11,very low,248000.0,248000.0,248000.0,248000.0,248000.0,2610.5263157894738,2610.5263157894738,2610.5263157894738,2610.5263157894738,2610.5263157894738
PUNGGOL,2006-12,very low,224000.0,224000.0,224000.0,224000.0,224000.0,2635.294117647059,2635.294117647059,2635.294117647059,2635.294117647059,2635.294117647059
PUNGGOL,2007-01,very low,245000.0,245000.0,245000.0,245000.0,245000.0,2578.9473684210525,2578.9473684210525,2578.9473684210525,2578.9473684210525,2578.9473684210525
PUNGGOL,2007-03,very low,286000.0,286000.0,286000.0,286000.0,286000.0,2600.0,2600.0,2600.0,2600.0,2600.0
PUNGGOL,2007-04,very low,261500.0,210000.0,290000.0,232500.0,284750.0,2604.5454545454545,2470.5882352941176,2666.6666666666665,2547.192513368984,2643.939393939394
PUNGGOL,2007-05,very low,286500.0,238000.0,358000.0,264500.0,303250.0,2660.4422604422602,2454.5454545454545,2845.4545454545455,2609.265734265734,2765.885416666667
PUNGGOL,2007-06,very low,256000.0,243000.0,300000.0,250000.0,286000.0,2727.2727272727275,2530.973451327434,2858.823529411765,2694.7368421052633,2747.252747252747
PUNGGOL,2007-07,very low,298000.0,240000.0,310000.0,263500.0,300000.0,2727.2727272727275,2609.090909090909,2823.529411764706,2681.6280566280566,2820.855614973262
PUNGGOL,2007-08,very low,255000.0,238000.0,300000.0,248000.0,285000.0,2733.3333333333335,2545.4545454545455,2857.1428571428573,2649.9650349650346,2779.1819291819293
PUNGGOL,2007-09,very low,304000.0,248000.0,330000.0,267125.0,311750.0,2831.818181818182,2663.6363636363635,3035.294117647059,2740.4791154791155,2885.164835164835
PUNGGOL,2007-10,very low,307000.0,278000.0,335000.0,300000.0,320000.0,2909.090909090909,2678.5714285714284,3045.4545454545455,2765.765765765766,2957.446808510638
PUNGGOL,2007-11,very low,320000.0,265000.0,333000.0,296500.0,331500.0,2972.222222222222,2794.6428571428573,3197.802197802198,2887.426900584795,3020.4545454545455
PUNGGOL,2007-12,very low,339500.0,331000.0,348000.0,335250.0,343750.0,3086.363636363636,3009.090909090909,3163.6363636363635,3047.7272727272725,3125.0
PUNGGOL,2008-01,very low,311500.0,265000.0,362000.0,284750.0,353250.0,3195.187165775401,2589.285714285714,3329.4117647058824,3049.866310160428,3286.3636363636365
PUNGGOL,2008-02,very low,336500.0,328000.0,345000.0,332250.0,340750.0,3059.090909090909,2981.818181818182,3136.3636363636365,3020.4545454545455,3097.727272727273
PUNGGOL,2008-03,very low,335000.0,273000.0,377000.0,323000.0,340000.0,3035.714285714286,2909.090909090909,3427.2727272727275,2963.6363636363635,3090.909090909091
PUNGGOL,2008-04,very low,343000.0,290000.0,375000.0,306500.0,352250.0,3172.7272727272725,2723.214285714286,3409.090909090909,3130.0395256917,3246.411483253589
PUNGGOL,2008-05,very low,350000.0,328000.0,380000.0,337000.0,365000.0,3363.6363636363635,2954.954954954955,3578.9473684210525,3193.284193284193,3485.645933014354
PUNGGOL,2008-06,very low,349000.0,292000.0,375000.0,311000.0,367500.0,3240.7592407592406,3045.045045045045,3409.090909090909,3186.4083285135916,3340.909090909091
PUNGGOL,2008-07,very low,354000.0,303000.0,362500.0,346250.0,360000.0,3250.0,3018.018018018018,3564.705882352941,3188.068181818182,3278.409090909091
PUNGGOL,2008-08,very low,360500.0,320000.0,450000.0,349000.0,372000.0,3372.727272727273,3163.6363636363635,3555.5555555555557,3238.6363636363635,3443.8811188811187
PUNGGOL,2008-09,very low,353400.0,288000.0,414000.0,350450.0,371875.0,3204.545454545455,2969.0721649484535,3763.6363636363635,3172.4815724815726,3380.6818181818185
PUNGGOL,2008-10,very low,353000.0,299000.0,375000.0,312144.0,366500.0,3409.090909090909,3209.090909090909,3517.6470588235293,3331.818181818182,3468.2666666666664
PUNGGOL,2008-11,very low,338000.0,304000.0,438000.0,313000.0,350000.0,3304.3478260869565,3125.0,3714.285714285714,3260.4166666666665,3421.875
PUNGGOL,2008-12,very low,380000.0,286000.0,435000.0,368000.0,390000.0,3354.5454545454545,3177.777777777778,3545.4545454545455,3333.3333333333335,3473.684210526316
PUNGGOL,2009-01,very low,369000.0,306000.0,463000.0,322500.0,406500.0,3520.8190247252746,3221.0526315789475,3617.1875,3359.090909090909,3568.181818181818
PUNGGOL,2009-02,very low,352000.0,309000.0,425000.0,325250.0,372250.0,3336.195054945055,3097.3451327433627,3764.705882352941,3249.220374220374,3422.312430011198
PUNGGOL,2009-03,very low,368888.0,308000.0,391000.0,336500.0,386000.0,3429.8245614035086,3227.2727272727275,3697.6744186046512,3329.040935672515,3509.090909090909
PUNGGOL,2009-04,very low,350000.0,308000.0,368000.0,329000.0,359000.0,3345.4545454545455,3181.818181818182,3623.529411764706,3263.636363636364,3484.4919786096257
PUNGGOL,2009-05,very low,333000.0,292000.0,400000.0,317500.0,370500.0,3439.8692810457514,2909.090909090909,3603.6036036036035,3377.2727272727275,3514.585666293393
PUNGGOL,2009-06,very low,357000.0,323000.0,432000.0,342000.0,369000.0,3200.0,2909.90990990991,3436.3636363636365,3049.8903508771928,3323.863636363636
PUNGGOL,2009-07,very low,343500.0,312000.0,385000.0,332500.0,365000.0,3346.8899521531102,3045.4545454545455,3500.0,3122.542997542998,3457.5757575757575
PUNGGOL,2009-08,very low,360000.0,320000.0,375000.0,350000.0,361000.0,3281.818181818182,3163.6363636363635,3723.404255319149,3272.7272727272725,3404.255319148936
PUNGGOL,2009-09,very low,370500.0,325000.0,385888.0,346250.0,377250.0,3446.905222437137,3136.3636363636365,3888.8888888888887,3361.3636363636365,3499.2363636363634
PUNGGOL,2009-10,very low,366000.0,310000.0,446000.0,351000.0,390500.0,3368.356643356643,3135.135135135135,3764.705882352941,3273.9340305711985,3481.818181818182
PUNGGOL,2009-11,very low,365000.0,315000.0,455000.0,350000.0,376000.0,3409.090909090909,3153.153153153153,3781.818181818182,3304.5454545454545,3500.0
PUNGGOL,2009-12,very low,380000.0,332000.0,400000.0,371000.0,390250.0,3454.5454545454545,3227.2727272727275,3688.8888888888887,3375.8615288220553,3602.272727272727
PUNGGOL,2010-01,very low,390500.0,323000.0,430000.0,376250.0,404250.0,3558.0808080808083,3363.6363636363635,3771.9298245614036,3449.1626794258373,3675.0
PUNGGOL,2010-02,very low,378000.0,328000.0,415000.0,373000.0,391000.0,3490.909090909091,3272.7272727272725,3772.7272727272725,3360.3603603603606,3554.5454545454545
PUNGGOL,2010-03,very low,394500.0,318000.0,467000.0,377000.0,421250.0,3642.400568181818,3463.6363636363635,3927.2727272727275,3563.636363636364,3820.843570843571
PUNGGOL,2010-04,very low,402500.0,333000.0,462000.0,369500.0,417750.0,3731.818181818182,3351.3513513513512,4022.222222222222,3595.27972027972,3851.5151515151515
PUNGGOL,2010-05,very low,370000.0,336000.0,435000.0,349000.0,394500.0,3745.4545454545455,3256.637168141593,4065.934065934066,3656.68016194332,3943.939393939394
PUNGGOL,2010-06,very low,416000.0,377000.0,518000.0,402900.0,434000.0,3842.1052631578946,3654.5454545454545,4094.553191489362,3679.3706293706296,3938.755980861244
PUNGGOL,2010-07,very low,423444.0,340000.0,475000.0,379750.0,436000.0,3895.4545454545455,3653.846153846154,4317.64705882353,3829.2909090909093,4061.1111111111113
PUNGGOL,2010-08,very low,432500.0,400000.0,448000.0,426750.0,439000.0,3972.727272727273,3857.1428571428573,4210.526315789473,3881.818181818182,4056.8181818181815
PUNGGOL,2010-09,very low,427000.0,420000.0,450000.0,424500.0,433500.0,3881.818181818182,3818.181818181818,4090.909090909091,3859.090909090909,3940.909090909091
PUNGGOL,2010-10,very low,478500.0,447000.0,523000.0,456750.0,503500.0,4074.786931818182,3882.8125,4181.818181818182,4018.4303977272725,4109.907670454546
PUNGGOL,2010-11,very low,449000.0,380000.0,458000.0,427000.0,451416.0,4008.771929824561,3818.181818181818,4108.072727272727,3960.5263157894738,4058.931419457735
PUNGGOL,2010-12,very low,440000.0,407000.0,512000.0,420500.0,469250.0,3931.818181818182,3601.7699115044247,4174.311926605505,3798.169750603379,4043.577981651376
PUNGGOL,2011-01,very low,443500.0,400000.0,515000.0,426000.0,462250.0,4136.363636363636,3866.0714285714284,4705.882352941177,3950.8835758835758,4334.459459459459
PUNGGOL,2011-02,very low,452500.0,440000.0,471000.0,443750.0,462750.0,4094.799344799345,3928.5714285714284,4281.818181818182,4016.2337662337663,4178.562653562653
PUNGGOL,2011-03,very low,458500.0,390000.0,543000.0,418000.0,474000.0,4279.279279279279,4000.0,4604.6511627906975,4205.184659090909,4316.666666666666
PUNGGOL,2011-04,very low,445000.0,376000.0,550000.0,407750.0,465900.0,4318.181818181818,4009.009009009009,4777.777777777777,4237.202797202797,4564.457070707071
PUNGGOL,2011-05,very low,461500.0,430000.0,525000.0,446500.0,478000.0,4327.272727272728,4038.4615384615386,4944.444444444444,4147.727272727273,4674.242424242424
PUNGGOL,2011-06,very low,490000.0,455000.0,526000.0,487000.0,493000.0,4298.245614035088,4046.153846153846,4563.636363636364,4271.929824561404,4454.545454545455
PUNGGOL,2011-07,very low,474000.0,410000.0,570000.0,444500.0,493750.0,4453.835227272728,4045.4545454545455,4922.222222222223,4295.51597051597,4601.076555023923
PUNGGOL,2011-08,very low,492500.0,453000.0,555000.0,477000.0,501325.0,4409.09090909091,4118.181818181818,4555.454545454545,4265.559440559441,4505.630630630631
PUNGGOL,2011-09,very low,489500.0,450000.0,523000.0,459750.0,505000.0,4590.909090909091,4054.054054054054,5055.555555555556,4379.545454545454,4713.636363636364
PUNGGOL,2011-10,very low,501500.0,465000.0,595000.0,494250.0,529666.0,4522.727272727272,4227.272727272727,4844.436363636363,4415.909090909091,4629.509943181818
PUNGGOL,2011-11,very low,496500.0,480000.0,551000.0,486000.0,513250.0,4363.636363636364,4000.0,4645.454545454545,4331.739278420694,4463.636363636363
PUNGGOL,2011-12,very low,505000.0,474000.0,580000.0,492500.0,517000.0,4531.25,4232.142857142857,4687.5,4477.272727272728,4567.7759740259735
PUNGGOL,2012-01,very low,505000.0,452000.0,524000.0,489500.0,515000.0,4590.909090909091,4363.636363636364,5022.222222222223,4544.967532467532,4745.454545454546
PUNGGOL,2012-02,very low,497500.0,468000.0,520000.0,478000.0,516250.0,4659.090909090909,4192.982456140351,5142.857142857143,4393.181818181818,4727.272727272727
PUNGGOL,2012-06,very low,510000.0,430000.0,528000.0,508500.0,513750.0,4636.363636363636,4526.315789473684,4800.0,4622.727272727272,4670.454545454546
PUNGGOL,2012-07,very low,500000.0,438888.0,578000.0,463250.0,519500.0,4927.072927072927,4515.625,5388.888888888889,4713.636363636364,5177.943833017078
PUNGGOL,2012-08,very low,510000.0,480000.0,620000.0,498000.0,524000.0,4763.636363636364,4500.0,5688.888888888889,4563.636363636364,5217.391304347826
PUNGGOL,2012-09,very low,476000.0,440000.0,558000.0,444500.0,510000.0,4933.333333333334,4835.1648351648355,5555.555555555556,4905.502392344498,5105.701754385966
PUNGGOL,2012-10,very low,532000.0,473000.0,545000.0,510000.0,543000.0,4891.891891891892,4590.909090909091,5604.395604395604,4792.792792792793,4936.363636363636
PUNGGOL,2012-11,very low,540000.0,457000.0,565000.0,497500.0,551500.0,4963.636363636364,4745.454545454545,5197.802197802198,4885.396518375242,5100.0
PUNGGOL,2012-12,very low,553500.0,505000.0,576500.0,539250.0,564750.0,5009.090909090909,4863.636363636364,5611.111111111111,4986.8421052631575,5115.036525974026
PUNGGOL,2013-01,very low,510000.0,470000.0,620000.0,508000.0,525000.0,4729.72972972973,4618.181818181818,4947.368421052632,4636.363636363636,4769.2307692307695
PUNGGOL,2013-02,very low,542750.0,523000.0,562500.0,532875.0,552625.0,4934.09090909091,4754.545454545455,5113.636363636364,4844.318181818182,5023.863636363637
PUNGGOL,2013-03,very low,518000.0,500000.0,565000.0,516000.0,565000.0,4956.140350877193,4709.090909090909,5608.695652173913,4956.140350877193,5434.782608695652
PUNGGOL,2013-04,very low,538000.0,450000.0,600000.0,523750.0,546250.0,4851.17302052786,4687.5,4981.818181818182,4755.131964809384,4904.545454545454
PUNGGOL,2013-05,very low,513000.0,493000.0,533000.0,504000.0,519000.0,4772.727272727273,4618.181818181818,5494.505494505494,4663.636363636364,5102.075098814229
PUNGGOL,2013-06,very low,523594.0,452000.0,547800.0,499766.0,535575.0,4905.909090909091,4688.072727272727,5022.222222222223,4795.881818181819,4990.555555555556
PUNGGOL,2013-07,very low,495000.0,430000.0,555000.0,463500.0,516000.0,5000.0,4673.913043478261,5439.56043956044,4885.964035964036,5367.995169082125
PUNGGOL,2013-08,very low,518500.0,472000.0,602500.0,496750.0,549625.0,4612.762237762237,4252.252252252252,4836.363636363636,4506.244881244881,4685.052447552447
PUNGGOL,2013-09,very low,490000.0,435000.0,580000.0,474000.0,515000.0,4681.818181818182,4454.545454545455,5208.791208791209,4461.538461538462,4833.333333333333
PUNGGOL,2013-10,very low,520000.0,450000.0,530000.0,485000.0,525000.0,5000.0,4818.181818181818,5591.397849462365,4909.090909090909,5295.698924731183
PUNGGOL,2013-11,very low,510000.0,480000.0,540000.0,480000.0,532000.0,4363.636363636364,4153.846153846154,4836.363636363636,4363.636363636364,4636.363636363636
