town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PUNGGOL,2005-04,high,5 ROOM,292800.0,292800.0,292800.0,292800.0,292800.0,2661.818181818182,2661.818181818182,2661.818181818182,2661.818181818182,2661.818181818182
PUNGGOL,2005-05,low,4 ROOM,245000.0,245000.0,245000.0,245000.0,245000.0,2722.222222222222,2722.222222222222,2722.222222222222,2722.222222222222,2722.222222222222
PUNGGOL,2005-05,mid,5 ROOM,318000.0,318000.0,318000.0,318000.0,318000.0,2890.909090909091,2890.909090909091,2890.909090909091,2890.909090909091,2890.909090909091
PUNGGOL,2005-06,high,4 ROOM,255000.0,255000.0,255000.0,255000.0,255000.0,2802.197802197802,2802.197802197802,2802.197802197802,2802.197802197802,2802.197802197802
PUNGGOL,2005-07,high,4 ROOM,235000.0,235000.0,235000.0,235000.0,235000.0,2764.705882352941,2764.705882352941,2764.705882352941,2764.705882352941,2764.705882352941
PUNGGOL,2005-09,high,5 ROOM,302888.0,302888.0,302888.0,302888.0,302888.0,2753.5272727272727,2753.5272727272727,2753.5272727272727,2753.5272727272727,2753.5272727272727
PUNGGOL,2005-10,high,5 ROOM,305000.0,305000.0,305000.0,305000.0,305000.0,2772.7272727272725,2772.7272727272725,2772.7272727272725,2772.7272727272725,2772.7272727272725
PUNGGOL,2005-10,mid,5 ROOM,315000.0,315000.0,315000.0,315000.0,315000.0,2863.6363636363635,2863.6363636363635,2863.6363636363635,2863.6363636363635,2863.6363636363635
PUNGGOL,2005-11,high,5 ROOM,302500.0,300000.0,305000.0,301250.0,303750.0,2750.0,2727.2727272727275,2772.7272727272725,2738.636363636364,2761.363636363636
PUNGGOL,2005-11,low,5 ROOM,282500.0,282500.0,282500.0,282500.0,282500.0,2568.181818181818,2568.181818181818,2568.181818181818,2568.181818181818,2568.181818181818
